Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,21.56,23.04,21.56,22.00,3000,22.00
2014-02-21,23.30,23.30,21.28,21.28,3100,21.28
2014-02-20,23.30,23.30,23.10,23.15,3700,23.15
2014-02-19,23.28,23.49,23.28,23.45,14000,23.45
2014-02-18,23.20,23.44,23.18,23.44,6200,23.44
2014-02-14,23.30,23.50,23.30,23.35,4800,23.35
2014-02-13,22.91,23.20,22.91,23.20,5800,23.20
2014-02-12,22.75,23.06,22.75,23.01,12600,23.01
2014-02-11,23.02,23.15,22.91,23.00,13900,23.00
2014-02-10,23.00,23.10,22.61,23.00,11300,23.00
2014-02-07,22.79,23.20,22.44,23.00,9400,23.00
2014-02-06,22.00,22.60,22.00,22.60,3100,22.60
2014-02-05,22.44,22.75,21.98,22.26,11700,22.26
2014-02-04,22.01,22.44,21.05,22.44,2800,22.44
2014-02-03,21.49,22.40,21.49,22.40,6800,22.40
2014-01-31,21.56,22.26,20.70,21.36,6000,21.36
2014-01-30,20.89,22.25,20.85,21.90,11900,21.90
2014-01-29,20.50,20.75,19.66,20.53,10600,20.53
2014-01-28,20.29,20.64,19.85,20.61,26900,20.61
2014-01-27,20.32,20.88,20.00,20.35,13500,20.35
2014-01-24,21.43,21.43,20.28,20.28,21500,20.28
2014-01-23,20.54,21.30,20.54,20.61,3600,20.61
2014-01-22,20.79,20.94,20.50,20.50,5000,20.50
2014-01-21,20.85,21.33,20.65,20.76,10800,20.76
2014-01-17,20.84,21.43,20.69,20.82,10900,20.82
2014-01-16,21.14,21.44,20.90,21.41,13000,21.41
2014-01-15,20.44,21.49,20.44,20.80,31600,20.80
2014-01-14,21.10,21.50,20.65,20.79,8800,20.79
2014-01-13,21.49,22.00,21.10,21.39,15000,21.39
2014-01-10,22.00,22.00,21.40,21.40,10500,21.40
2014-01-09,22.29,22.89,21.87,21.87,13300,21.87
2014-01-08,21.80,22.97,21.51,22.00,22900,22.00
2014-01-07,22.18,22.38,21.95,22.00,9700,22.00
2014-01-06,21.39,22.60,21.39,22.01,12400,22.01
2014-01-03,21.59,22.12,21.25,21.42,35500,21.42
2014-01-02,22.50,22.58,21.50,21.95,10100,21.95
2013-12-31,22.88,23.12,22.50,22.50,16300,22.50
2013-12-30,23.20,23.40,22.88,22.88,15200,22.88
2013-12-27,23.44,23.52,23.10,23.20,10100,23.20
2013-12-26,23.60,23.60,23.27,23.52,5400,23.46
2013-12-24,23.45,23.97,22.97,23.70,14900,23.64
2013-12-23,22.53,23.45,22.50,23.33,10800,23.27
2013-12-20,23.18,23.64,22.80,23.29,53200,23.23
2013-12-19,23.20,23.41,22.88,23.41,14100,23.35
2013-12-18,23.06,23.50,22.90,23.27,14500,23.21
2013-12-17,23.00,23.61,22.88,23.03,15500,22.97
2013-12-16,22.99,23.65,22.69,23.11,14600,23.05
2013-12-13,23.46,23.46,22.50,22.99,11500,22.93
2013-12-12,23.98,23.98,23.02,23.38,1500,23.32
2013-12-11,23.01,23.01,22.50,22.71,5100,22.65
2013-12-10,23.39,23.39,22.64,22.64,1400,22.58
2013-12-09,23.68,23.87,22.88,22.88,12200,22.82
2013-12-06,23.75,24.12,23.60,23.90,13200,23.84
2013-12-05,23.70,23.80,23.50,23.62,8500,23.56
2013-12-04,23.50,23.95,23.50,23.90,4300,23.84
2013-12-03,24.17,24.17,23.10,23.82,6800,23.76
2013-12-02,23.90,24.28,23.70,23.86,42500,23.80
2013-11-29,24.10,24.71,23.41,23.92,15600,23.86
2013-11-27,21.94,24.15,21.94,24.15,45800,24.09
2013-11-26,21.55,21.94,21.55,21.82,4600,21.76
2013-11-25,20.90,21.99,20.60,21.95,80600,21.89
2013-11-22,20.60,20.75,20.25,20.50,189800,20.45
2013-11-21,21.59,21.59,20.27,20.71,9800,20.66
2013-11-20,21.82,21.82,21.50,21.50,2100,21.45
2013-11-19,23.00,23.00,21.62,21.75,1800,21.69
2013-11-18,22.77,22.77,21.76,22.03,2200,21.97
2013-11-15,22.36,23.28,21.02,23.18,2700,23.12
2013-11-14,22.54,23.10,21.54,22.50,9500,22.44
2013-11-13,22.30,23.90,22.00,22.54,6500,22.48
2013-11-12,23.71,23.71,22.06,22.94,4500,22.88
2013-11-11,23.79,23.79,23.35,23.35,4200,23.29
2013-11-08,24.14,24.14,23.60,23.60,2000,23.54
2013-11-07,24.30,24.30,23.20,24.15,6300,24.09
2013-11-06,24.41,24.41,23.11,24.14,2100,24.08
2013-11-05,24.21,24.90,24.00,24.00,1100,23.94
2013-11-04,23.50,25.49,23.50,24.36,11200,24.30
2013-11-01,22.50,22.70,22.37,22.68,9700,22.62
2013-10-31,22.50,22.50,21.70,22.25,8200,22.19
2013-10-30,22.35,22.36,21.65,22.00,9100,21.94
2013-10-29,21.94,22.93,21.94,22.36,10700,22.30
2013-10-28,25.23,25.26,20.12,21.15,75600,21.10
2013-10-25,30.53,30.53,24.05,25.23,70800,25.17
2013-10-24,27.38,31.82,27.38,31.00,15200,30.92
2013-10-23,29.64,30.47,29.29,29.60,11700,29.52
2013-10-22,28.30,30.49,28.02,29.80,15300,29.72
2013-10-21,28.29,28.30,27.70,27.99,7600,27.92
2013-10-18,28.02,28.36,27.38,28.19,7400,28.12
2013-10-17,27.36,28.47,27.36,28.39,2400,28.32
2013-10-16,28.48,28.59,27.77,28.23,3500,28.16
2013-10-15,27.07,27.60,27.07,27.60,10100,27.53
2013-10-14,28.00,28.40,27.18,27.72,5900,27.65
2013-10-11,27.47,28.70,27.07,28.70,3400,28.63
2013-10-10,27.52,28.47,27.52,28.00,2200,27.93
2013-10-09,27.75,27.75,27.06,27.16,4600,27.09
2013-10-08,27.75,28.75,26.89,28.30,15800,28.23
2013-10-07,27.26,27.99,26.62,27.34,12800,27.27
2013-10-04,25.28,27.45,25.28,27.22,3700,27.15
2013-10-03,25.61,26.60,25.61,26.60,5900,26.53
2013-10-02,26.16,26.23,25.51,25.71,8200,25.58
2013-10-01,26.41,26.55,24.38,25.99,63400,25.86
2013-09-30,26.61,26.70,26.00,26.69,4600,26.56
2013-09-27,28.00,28.00,26.63,26.82,5400,26.69
2013-09-26,27.46,27.72,27.46,27.72,1700,27.58
2013-09-25,27.56,27.58,27.33,27.47,2400,27.34
2013-09-24,27.51,28.05,27.50,27.90,4700,27.76
2013-09-23,28.03,28.05,27.53,27.80,10000,27.66
2013-09-20,28.35,28.57,27.81,28.10,4800,27.96
2013-09-19,28.13,28.42,27.23,28.42,11100,28.28
2013-09-18,28.17,28.78,27.48,28.47,11000,28.33
2013-09-17,27.89,28.15,27.11,27.27,8100,27.14
2013-09-16,27.41,28.19,27.30,28.01,6500,27.87
