Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,34.98,36.14,34.98,36.01,57800,36.01
2014-02-21,35.02,35.25,34.70,35.08,100000,35.08
2014-02-20,34.62,35.08,34.27,34.85,48100,34.85
2014-02-19,35.93,35.94,34.52,34.66,83400,34.66
2014-02-18,36.05,36.54,35.83,36.15,63200,36.15
2014-02-14,35.90,36.18,35.54,35.92,56700,35.92
2014-02-13,35.37,35.99,35.24,35.88,50600,35.88
2014-02-12,35.99,36.37,35.40,35.69,72200,35.69
2014-02-11,35.39,35.86,35.21,35.79,82800,35.79
2014-02-10,34.93,35.17,34.43,35.15,93700,35.15
2014-02-07,35.08,35.27,34.64,34.93,65700,34.93
2014-02-06,34.85,35.15,34.71,35.02,50100,35.02
2014-02-05,35.22,35.65,34.66,34.94,101800,34.94
2014-02-04,35.06,35.81,34.94,35.42,96700,35.42
2014-02-03,36.09,36.24,34.92,34.97,111800,34.97
2014-01-31,36.23,36.71,36.04,36.16,102800,36.16
2014-01-30,36.33,36.93,35.46,36.75,97000,36.75
2014-01-29,36.40,37.80,35.87,36.02,79300,36.02
2014-01-28,36.89,36.96,36.49,36.77,70300,36.77
2014-01-27,37.81,37.88,36.69,36.77,62000,36.77
2014-01-24,38.02,38.02,37.30,37.76,78700,37.76
2014-01-23,38.06,38.61,37.81,38.31,143600,38.31
2014-01-22,38.69,38.79,38.37,38.70,51000,38.70
2014-01-21,38.36,38.94,38.32,38.61,58800,38.61
2014-01-17,37.86,38.61,37.86,38.04,43700,38.04
2014-01-16,37.89,38.04,37.61,37.99,76300,37.99
2014-01-15,37.66,38.02,37.54,37.90,75300,37.90
2014-01-14,37.69,37.74,37.21,37.63,39100,37.63
2014-01-13,38.02,38.02,36.90,37.46,108600,37.46
2014-01-10,38.28,38.28,37.72,38.21,72000,38.21
2014-01-09,38.13,38.43,37.88,38.20,46900,38.20
2014-01-08,38.27,38.34,37.70,38.08,92300,38.08
2014-01-07,38.20,38.43,37.76,38.21,70200,38.21
2014-01-06,38.57,38.57,37.91,37.97,62500,37.97
2014-01-03,38.44,38.63,38.30,38.44,89800,38.44
