Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,25.05,25.50,25.00,25.03,4400,25.03
2014-02-21,25.50,25.50,25.50,25.50,000,25.50
2014-02-20,25.50,25.50,25.50,25.50,1500,25.50
2014-02-19,25.85,25.85,25.50,25.50,3500,25.50
2014-02-18,25.20,25.30,25.20,25.30,1900,25.30
2014-02-14,25.11,25.85,25.11,25.85,400,25.85
2014-02-13,25.07,25.07,25.00,25.00,2200,25.00
2014-02-12,25.30,25.30,25.05,25.05,4300,25.05
2014-02-11,25.25,25.28,25.25,25.25,2500,25.25
2014-02-10,25.50,25.50,25.25,25.25,2000,25.25
2014-02-07,25.52,25.52,25.52,25.52,400,25.52
2014-02-06,25.00,25.00,25.00,25.00,700,25.00
2014-02-05,24.97,25.35,24.94,24.95,7700,24.95
2014-02-04,25.25,25.25,25.02,25.02,1000,25.02
2014-02-03,24.85,25.42,24.85,25.40,1700,25.40
2014-01-31,25.00,25.00,24.90,24.90,2800,24.90
2014-01-30,25.38,25.38,23.02,25.05,2500,25.05
2014-01-29,25.35,25.35,25.35,25.35,000,25.35
2014-01-28,25.35,25.35,25.35,25.35,200,25.35
2014-01-27,25.50,25.50,25.40,25.40,2000,25.40
2014-01-24,25.46,25.80,25.45,25.45,2300,25.45
2014-01-23,25.77,25.77,25.77,25.77,000,25.77
2014-01-22,25.55,25.85,25.55,25.77,4300,25.77
2014-01-21,25.65,25.65,25.65,25.65,000,25.65
2014-01-17,25.50,25.65,25.50,25.65,500,25.65
2014-01-16,26.00,26.13,26.00,26.13,14400,26.13
2014-01-15,25.50,25.50,25.50,25.50,000,25.50
2014-01-14,25.50,25.55,25.50,25.50,1800,25.50
2014-01-13,27.28,27.28,25.52,25.52,3000,25.52
2014-01-10,26.05,26.05,26.05,26.05,000,25.52
2014-01-09,26.05,26.05,26.05,26.05,000,25.52
2014-01-08,25.20,26.05,25.05,26.05,2800,25.52
2014-01-07,25.50,25.50,25.47,25.50,7700,24.98
2014-01-06,25.50,25.50,25.50,25.50,000,24.98
2014-01-03,25.00,25.50,25.00,25.50,900,24.98
2014-01-02,25.40,25.40,25.40,25.40,000,24.88
