Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,0.91,0.97,0.90,0.91,446400,0.91
2014-02-21,0.94,0.98,0.90,0.91,315400,0.91
2014-02-20,0.94,0.95,0.90,0.95,537900,0.95
2014-02-19,0.85,0.99,0.85,0.91,1811700,0.91
2014-02-18,0.78,0.90,0.77,0.88,377600,0.88
2014-02-14,0.78,0.83,0.73,0.79,705000,0.79
2014-02-13,0.85,0.86,0.80,0.80,351700,0.80
2014-02-12,0.87,0.89,0.85,0.86,475600,0.86
2014-02-11,0.86,0.90,0.85,0.86,218700,0.86
2014-02-10,0.86,0.87,0.85,0.85,228400,0.85
2014-02-07,0.89,0.89,0.85,0.88,279600,0.88
2014-02-06,0.93,0.93,0.83,0.88,323100,0.88
2014-02-05,0.95,0.95,0.84,0.89,496800,0.89
2014-02-04,0.96,1.00,0.90,0.94,447500,0.94
2014-02-03,1.02,1.02,0.93,0.95,517400,0.95
2014-01-31,0.97,1.05,0.91,0.98,1430800,0.98
2014-01-30,0.96,0.99,0.90,0.96,321900,0.96
2014-01-29,0.98,1.10,0.92,0.95,1441000,0.95
2014-01-28,0.93,1.04,0.90,0.99,1449300,0.99
2014-01-27,0.90,0.93,0.85,0.92,353000,0.92
2014-01-24,0.98,1.00,0.88,0.93,588000,0.93
2014-01-23,0.90,0.97,0.87,0.94,577700,0.94
2014-01-22,0.94,0.96,0.85,0.94,536600,0.94
2014-01-21,1.02,1.06,0.88,0.93,1051600,0.93
2014-01-17,0.90,1.02,0.87,0.96,1577900,0.96
2014-01-16,0.86,0.92,0.84,0.90,726800,0.90
2014-01-15,0.83,0.94,0.76,0.89,1551200,0.89
2014-01-14,0.77,0.85,0.74,0.79,1166200,0.79
2014-01-13,0.75,0.80,0.73,0.75,836600,0.75
2014-01-10,0.75,0.75,0.71,0.74,435000,0.74
2014-01-09,0.74,0.74,0.71,0.73,256500,0.73
2014-01-08,0.75,0.75,0.70,0.71,352400,0.71
2014-01-07,0.69,0.75,0.65,0.73,763500,0.73
2014-01-06,0.59,0.69,0.59,0.69,353900,0.69
2014-01-03,0.60,0.65,0.57,0.59,570000,0.59
2014-01-02,0.57,0.63,0.57,0.63,255200,0.63
2013-12-31,0.57,0.62,0.57,0.58,440200,0.58
2013-12-30,0.60,0.61,0.57,0.59,557300,0.59
2013-12-27,0.56,0.58,0.56,0.58,223600,0.58
2013-12-26,0.58,0.58,0.55,0.56,169500,0.56
2013-12-24,0.56,0.59,0.56,0.57,73200,0.57
2013-12-23,0.57,0.60,0.55,0.58,182900,0.58
2013-12-20,0.52,0.52,0.52,0.52,000,0.52
2013-12-19,0.52,0.52,0.52,0.52,000,0.52
2013-12-18,0.52,0.52,0.52,0.52,000,0.52
2013-12-17,0.53,0.60,0.52,0.57,613000,0.57
2013-12-16,0.52,0.55,0.49,0.52,460300,0.52
2013-12-13,0.52,0.53,0.51,0.52,271900,0.52
2013-12-12,0.54,0.58,0.52,0.53,233400,0.53
2013-12-11,0.57,0.57,0.54,0.54,288100,0.54
2013-12-10,0.56,0.62,0.55,0.57,838200,0.57
2013-12-09,0.57,0.57,0.54,0.55,204500,0.55
2013-12-06,0.59,0.59,0.56,0.57,303600,0.57
2013-12-05,0.57,0.59,0.56,0.57,160900,0.57
2013-12-04,0.56,0.58,0.55,0.57,234200,0.57
2013-12-03,0.60,0.60,0.56,0.59,158100,0.59
2013-12-02,0.62,0.62,0.55,0.60,517400,0.60
2013-11-29,0.63,0.63,0.61,0.63,99500,0.63
2013-11-27,0.64,0.64,0.62,0.64,79200,0.64
2013-11-26,0.65,0.65,0.62,0.63,131500,0.63
2013-11-25,0.65,0.65,0.62,0.64,210800,0.64
2013-11-22,0.65,0.67,0.63,0.64,239800,0.64
2013-11-21,0.65,0.66,0.64,0.65,190300,0.65
2013-11-20,0.65,0.67,0.63,0.64,109900,0.64
2013-11-19,0.68,0.68,0.63,0.65,176600,0.65
2013-11-18,0.70,0.72,0.64,0.65,545700,0.65
2013-11-15,0.67,0.70,0.67,0.68,82100,0.68
2013-11-14,0.70,0.70,0.67,0.68,208700,0.68
2013-11-13,0.70,0.70,0.67,0.67,248300,0.67
2013-11-12,0.74,0.74,0.68,0.69,528000,0.69
2013-11-11,0.70,0.72,0.68,0.72,268200,0.72
2013-11-08,0.73,0.78,0.67,0.67,886700,0.67
2013-11-07,0.75,0.76,0.67,0.73,310500,0.73
2013-11-06,0.65,0.73,0.63,0.72,430200,0.72
2013-11-05,0.65,0.65,0.62,0.65,61900,0.65
