Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,7.99,7.99,7.93,7.97,19200,7.97
2014-02-21,7.99,7.99,7.99,7.99,000,7.99
2014-02-20,7.99,7.99,7.99,7.99,000,7.99
2014-02-19,7.99,7.99,7.99,7.99,000,7.99
2014-02-18,7.99,7.99,7.99,7.99,1200,7.99
2014-02-14,7.99,7.99,7.95,7.98,700,7.98
2014-02-13,7.96,7.97,7.95,7.97,1200,7.97
2014-02-12,7.97,7.97,7.97,7.97,000,7.97
2014-02-11,7.97,7.97,7.97,7.97,000,7.97
2014-02-10,7.97,7.97,7.97,7.97,100,7.97
2014-02-07,7.98,7.98,7.97,7.97,2100,7.97
2014-02-06,7.96,7.96,7.96,7.96,000,7.96
2014-02-05,7.96,7.96,7.96,7.96,000,7.96
2014-02-04,7.96,7.96,7.96,7.96,000,7.96
2014-02-03,7.98,7.99,7.95,7.96,2400,7.96
2014-01-31,7.99,7.99,7.94,7.99,85400,7.99
2014-01-30,7.97,7.99,7.94,7.96,237600,7.96
2014-01-29,7.95,7.98,7.94,7.94,13700,7.94
2014-01-28,7.96,7.97,7.94,7.95,105600,7.95
2014-01-27,7.99,7.99,7.94,7.95,15400,7.95
2014-01-24,7.97,7.97,7.94,7.94,62100,7.94
2014-01-23,7.99,7.99,7.99,7.99,1800,7.99
2014-01-22,7.96,7.99,7.90,7.94,383400,7.94
2014-01-21,7.99,7.99,7.93,7.96,5800,7.96
2014-01-17,7.95,7.95,7.95,7.95,000,7.95
2014-01-16,7.97,7.99,7.94,7.95,4100,7.95
2014-01-15,8.00,8.00,7.94,7.95,9100,7.95
2014-01-14,7.96,7.99,7.95,7.95,66800,7.95
2014-01-13,8.00,8.00,7.96,7.97,156000,7.97
2014-01-10,7.99,7.99,7.94,7.97,86400,7.97
2014-01-09,7.97,7.98,7.94,7.94,1300,7.94
2014-01-08,8.00,8.00,7.93,7.96,135900,7.96
2014-01-07,7.96,7.97,7.89,7.92,476700,7.92
2014-01-06,7.95,8.00,7.94,7.95,61000,7.95
