Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,8.68,8.68,8.61,8.64,600,8.64
2014-02-21,8.69,8.69,8.60,8.61,400,8.61
2014-02-20,8.65,8.65,8.65,8.65,000,8.65
2014-02-19,8.65,8.65,8.65,8.65,000,8.65
2014-02-18,8.65,8.65,8.65,8.65,000,8.65
2014-02-14,8.65,8.65,8.65,8.65,000,8.65
2014-02-13,8.65,8.65,8.65,8.65,000,8.65
2014-02-12,8.65,8.65,8.65,8.65,000,8.65
2014-02-11,8.65,8.65,8.65,8.65,000,8.65
2014-02-10,8.65,8.65,8.65,8.65,000,8.65
2014-02-07,8.65,8.65,8.65,8.65,000,8.65
2014-02-06,8.50,8.65,8.50,8.65,2200,8.65
2014-02-05,8.55,8.55,8.55,8.55,200,8.55
2014-02-04,8.62,8.73,8.62,8.65,55400,8.65
2014-02-03,8.61,8.75,8.61,8.64,116400,8.64
2014-01-31,8.60,8.87,8.52,8.63,27500,8.63
2014-01-30,8.50,8.50,8.50,8.50,000,8.50
2014-01-29,8.50,9.03,8.50,8.50,42800,8.50
2014-01-28,8.49,8.60,8.48,8.53,55100,8.53
2014-01-27,8.50,8.50,8.50,8.50,200,8.50
2014-01-24,8.50,8.50,8.40,8.50,5800,8.50
2014-01-23,8.60,8.60,8.39,8.40,3100,8.40
2014-01-22,8.74,8.74,8.74,8.74,000,8.74
2014-01-21,8.74,8.74,8.74,8.74,000,8.74
2014-01-17,8.74,8.74,8.74,8.74,000,8.74
2014-01-16,8.74,8.74,8.74,8.74,000,8.74
2014-01-15,8.74,8.74,8.74,8.74,000,8.74
2014-01-14,8.74,8.74,8.74,8.74,000,8.74
2014-01-13,8.74,8.74,8.74,8.74,000,8.74
2014-01-10,8.74,8.74,8.74,8.74,000,8.74
2014-01-09,8.74,8.74,8.74,8.74,000,8.74
2014-01-08,8.74,8.74,8.74,8.74,000,8.74
2014-01-07,8.74,8.74,8.74,8.74,000,8.74
2014-01-06,8.74,8.74,8.74,8.74,000,8.74
2014-01-03,8.74,8.74,8.74,8.74,000,8.74
2014-01-02,8.74,8.74,8.74,8.74,000,8.74
2013-12-31,8.74,8.74,8.74,8.74,000,8.74
2013-12-30,8.74,8.74,8.74,8.74,000,8.74
2013-12-27,8.74,8.74,8.74,8.74,000,8.74
