Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,52.73,52.83,52.00,52.17,117700,52.17
2014-02-21,53.40,53.40,52.33,52.68,120400,52.68
2014-02-20,51.32,53.40,51.28,53.21,130700,53.21
2014-02-19,51.15,52.17,50.20,51.10,272600,51.10
2014-02-18,50.65,51.22,50.36,51.05,217300,51.05
2014-02-14,50.45,51.29,50.00,51.08,120900,51.08
2014-02-13,47.36,50.24,47.30,50.16,183600,50.16
2014-02-12,47.10,47.55,46.65,47.22,112600,47.22
2014-02-11,46.70,47.87,46.50,47.36,105200,46.96
2014-02-10,45.85,46.63,45.75,46.60,168900,46.21
2014-02-07,45.26,46.09,44.93,46.04,153300,45.65
2014-02-06,44.78,45.36,44.70,45.21,62000,44.83
2014-02-05,44.83,44.96,44.27,44.69,145800,44.31
2014-02-04,45.65,45.72,44.89,45.03,117500,44.65
2014-02-03,46.68,47.00,45.40,45.53,95600,45.15
2014-01-31,46.97,47.20,46.57,46.67,155500,46.28
2014-01-30,47.65,47.77,47.06,47.61,68100,47.21
2014-01-29,48.15,48.76,47.15,47.30,101400,46.90
2014-01-28,49.45,49.52,48.41,48.68,94300,48.27
2014-01-27,48.38,50.10,48.13,49.50,268800,49.08
2014-01-24,48.70,49.00,47.90,48.38,114900,47.97
2014-01-23,49.08,49.08,48.62,48.89,78400,48.48
2014-01-22,49.27,50.28,49.10,49.20,142200,48.78
2014-01-21,49.80,50.14,48.91,49.38,140100,48.96
2014-01-17,49.99,50.02,49.55,49.80,93800,49.38
2014-01-16,49.62,50.31,49.39,50.15,88200,49.73
2014-01-15,49.84,49.92,49.42,49.55,65400,49.13
2014-01-14,49.43,49.83,49.14,49.81,103100,49.39
2014-01-13,49.17,49.45,48.91,49.20,136200,48.78
2014-01-10,48.53,49.07,48.03,49.03,108300,48.62
2014-01-09,48.81,48.95,48.03,48.67,91700,48.26
2014-01-08,48.00,48.54,47.71,48.53,98100,48.12
2014-01-07,47.63,48.29,47.36,48.07,131000,47.66
2014-01-06,47.98,48.49,47.30,47.66,138600,47.26
2014-01-03,47.69,48.02,47.32,47.71,150300,47.31
2014-01-02,48.20,48.35,47.60,47.71,92300,47.31
2013-12-31,48.27,48.80,48.19,48.60,78600,48.19
2013-12-30,48.87,49.12,47.73,48.22,132900,47.81
2013-12-27,49.58,49.58,48.79,48.93,141500,48.52
2013-12-26,49.83,49.94,49.29,49.35,58600,48.93
2013-12-24,49.21,49.84,49.01,49.74,57500,49.32
2013-12-23,48.30,49.27,48.20,49.07,118600,48.66
2013-12-20,47.31,48.11,47.11,48.00,290600,47.59
2013-12-19,47.80,47.87,47.26,47.31,107200,46.91
2013-12-18,46.89,47.90,46.65,47.71,106900,47.31
2013-12-17,46.76,47.00,46.23,46.89,177700,46.49
2013-12-16,47.17,47.17,46.61,46.93,344800,46.53
2013-12-13,45.98,46.27,45.73,46.00,241200,45.61
2013-12-12,46.18,46.24,45.55,46.05,154400,45.66
2013-12-11,46.96,46.96,46.14,46.25,159900,45.86
2013-12-10,47.37,47.85,46.68,46.84,125600,46.44
2013-12-09,46.83,47.55,46.50,47.48,203600,47.08
2013-12-06,47.29,47.66,46.79,46.93,131600,46.53
2013-12-05,46.75,47.17,46.35,47.00,92500,46.60
2013-12-04,46.94,47.24,46.71,46.77,122500,46.37
2013-12-03,47.25,47.29,46.82,47.14,181100,46.74
2013-12-02,47.75,48.11,46.87,47.27,156700,46.87
2013-11-29,47.92,48.75,47.64,47.98,48000,47.57
2013-11-27,47.45,47.68,47.05,47.49,79000,47.09
2013-11-26,47.35,47.90,47.03,47.55,100900,47.15
2013-11-25,47.19,47.67,46.81,47.52,184200,47.12
2013-11-22,47.89,47.89,46.59,47.18,203400,46.78
2013-11-21,47.65,48.24,47.46,47.74,99500,47.34
2013-11-20,47.59,47.67,47.11,47.58,142300,47.18
2013-11-19,47.17,47.55,47.02,47.16,119600,46.76
2013-11-18,47.20,47.58,47.05,47.27,154400,46.87
2013-11-15,47.56,47.59,47.20,47.20,135500,46.80
2013-11-14,47.17,47.98,46.91,47.69,77800,47.29
2013-11-13,45.82,47.41,45.04,47.30,203800,46.90
2013-11-12,46.71,46.99,45.96,46.46,146100,45.67
2013-11-11,47.53,47.87,46.99,47.02,55700,46.22
2013-11-08,47.37,47.99,47.04,47.55,85100,46.74
2013-11-07,48.56,48.65,47.36,47.45,118600,46.64
2013-11-06,48.79,49.41,48.24,48.60,49700,47.77
2013-11-05,48.95,49.43,48.56,48.61,84400,47.78
2013-11-04,49.69,49.83,48.84,49.19,120600,48.35
2013-11-01,49.96,50.52,49.24,49.69,171500,48.85
2013-10-31,50.17,50.74,50.07,50.12,84400,49.27
2013-10-30,50.91,53.95,49.80,50.29,206200,49.44
2013-10-29,52.94,52.94,49.51,51.12,680100,50.25
2013-10-28,55.91,55.97,55.38,55.56,46500,54.62
2013-10-25,56.21,56.21,55.41,55.79,44800,54.84
