Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,7.00,7.00,6.76,6.90,15200,6.90
2014-02-21,6.85,7.40,6.85,6.91,50200,6.91
2014-02-20,6.77,6.91,6.75,6.82,6100,6.82
2014-02-19,6.85,6.97,6.80,6.80,24000,6.80
2014-02-18,6.93,7.10,6.93,6.98,9000,6.98
2014-02-14,6.98,7.01,6.89,6.91,18800,6.91
2014-02-13,6.98,6.99,6.87,6.98,8900,6.98
2014-02-12,6.98,6.98,6.86,6.88,7500,6.88
2014-02-11,7.00,7.00,6.86,6.90,10000,6.90
2014-02-10,6.98,7.23,6.90,7.00,10400,7.00
2014-02-07,6.90,6.96,6.90,6.96,3000,6.96
2014-02-06,7.01,7.06,6.86,6.88,26900,6.88
2014-02-05,7.06,7.16,7.03,7.09,7500,7.09
2014-02-04,7.04,7.49,7.01,7.01,11400,7.01
2014-02-03,6.90,7.00,6.85,6.91,26200,6.91
2014-01-31,6.70,6.75,6.58,6.60,31500,6.60
2014-01-30,6.72,6.80,6.72,6.77,9700,6.77
2014-01-29,6.91,6.99,6.73,6.73,19400,6.73
2014-01-28,6.76,7.40,6.75,6.85,6000,6.85
2014-01-27,7.22,7.65,6.78,6.82,34300,6.82
2014-01-24,7.01,7.24,7.01,7.10,14500,7.10
2014-01-23,7.00,7.10,7.00,7.00,10200,7.00
2014-01-22,7.19,7.39,6.98,7.03,14600,7.03
2014-01-21,7.50,7.55,7.00,7.00,47600,7.00
2014-01-17,7.72,7.77,7.27,7.27,28400,7.27
2014-01-16,7.50,7.86,7.35,7.45,26900,7.45
2014-01-15,8.16,8.35,7.42,7.43,104000,7.43
2014-01-14,7.02,8.22,7.02,7.77,148600,7.77
2014-01-13,8.00,8.34,6.95,7.03,122300,7.03
2014-01-10,7.91,8.00,7.50,8.00,116400,8.00
2014-01-09,7.10,7.88,6.95,7.88,359000,7.88
2014-01-08,6.00,7.44,5.95,7.14,191900,7.14
2014-01-07,5.65,6.37,5.44,5.84,67400,5.84
2014-01-06,5.38,5.66,5.36,5.61,42700,5.61
2014-01-03,5.40,5.50,5.25,5.31,9000,5.31
2014-01-02,5.25,5.59,5.25,5.49,7000,5.49
2013-12-31,5.50,5.69,5.25,5.31,13300,5.31
2013-12-30,5.56,5.64,5.27,5.27,16900,5.27
2013-12-27,5.57,5.60,5.35,5.35,19600,5.35
2013-12-26,5.50,5.50,5.30,5.48,13000,5.48
2013-12-24,5.70,5.70,5.45,5.45,5900,5.45
2013-12-23,5.70,5.70,5.43,5.45,8500,5.45
2013-12-20,5.70,5.70,5.32,5.40,27600,5.40
2013-12-19,5.51,5.65,5.50,5.64,24600,5.64
2013-12-18,5.55,5.58,5.42,5.58,8600,5.58
2013-12-17,5.51,5.82,5.40,5.70,43700,5.70
2013-12-16,5.96,6.26,5.54,5.77,23500,5.77
2013-12-13,5.95,6.00,5.85,5.95,15200,5.95
2013-12-12,6.00,6.10,5.70,6.00,46400,6.00
2013-12-11,6.30,6.30,6.01,6.10,16000,6.10
2013-12-10,6.01,6.50,6.01,6.27,16900,6.27
2013-12-09,6.00,6.58,5.80,6.58,34900,6.58
2013-12-06,6.21,6.25,5.90,5.95,28400,5.95
2013-12-05,7.00,7.00,6.26,6.35,81700,6.35
2013-12-04,7.01,7.07,6.62,6.98,8100,6.98
2013-12-03,6.50,7.17,6.50,7.05,51700,7.05
2013-12-02,7.00,7.15,6.50,7.00,32800,7.00
2013-11-29,7.10,7.16,6.25,7.00,63600,7.00
2013-11-27,7.00,7.39,6.81,6.95,38300,6.95
2013-11-26,6.70,7.77,6.58,6.96,170600,6.96
2013-11-25,5.17,7.10,5.17,6.90,209200,6.90
2013-11-22,5.25,5.50,5.15,5.35,240400,5.35
