Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,32.76,33.20,32.73,32.98,92200,32.98
2014-02-21,32.61,32.72,32.25,32.66,101300,32.66
2014-02-20,32.29,32.49,32.08,32.44,89000,32.44
2014-02-19,32.79,32.86,32.12,32.14,80800,32.14
2014-02-18,32.39,33.05,32.18,32.87,91400,32.87
2014-02-14,31.97,32.46,31.66,32.42,60100,32.42
2014-02-13,31.67,32.02,31.56,31.97,121100,31.97
2014-02-12,32.28,32.63,31.77,31.94,87300,31.94
2014-02-11,32.14,33.16,31.52,32.32,94700,32.32
2014-02-10,31.82,32.21,31.45,32.10,100600,32.10
2014-02-07,32.35,32.47,31.70,31.89,104700,31.89
2014-02-06,31.97,32.64,30.02,32.17,104400,32.17
2014-02-05,32.05,32.48,31.36,31.87,138600,31.87
2014-02-04,32.75,33.40,31.15,32.15,168000,32.15
2014-02-03,33.48,33.76,32.39,32.62,413300,32.62
2014-01-31,32.30,33.59,31.98,33.57,240300,33.57
2014-01-30,33.97,33.97,32.83,32.87,207000,32.87
2014-01-29,34.20,34.68,33.19,33.59,211400,33.59
2014-01-28,35.33,35.39,33.96,34.41,258300,34.41
2014-01-27,36.05,36.85,35.05,35.19,149100,35.19
2014-01-24,37.30,37.53,35.78,35.88,413800,35.88
2014-01-23,37.73,38.01,37.38,37.80,189500,37.80
2014-01-22,37.43,37.98,37.29,37.88,121100,37.88
2014-01-21,37.00,37.35,36.85,37.29,223100,37.29
2014-01-17,36.62,36.99,36.61,36.94,284200,36.94
2014-01-16,35.50,37.01,35.12,36.72,217700,36.72
2014-01-15,35.26,35.71,35.20,35.54,93500,35.54
2014-01-14,34.73,35.19,34.45,35.15,60500,35.15
2014-01-13,34.76,35.41,34.31,34.58,84500,34.58
2014-01-10,34.52,34.91,34.44,34.90,90700,34.90
2014-01-09,35.02,35.13,34.22,34.39,106300,34.39
2014-01-08,34.68,34.91,34.43,34.87,106600,34.87
2014-01-07,34.91,34.95,34.57,34.76,69000,34.76
2014-01-06,35.19,35.44,34.72,34.75,71800,34.75
2014-01-03,34.88,35.21,34.76,35.12,38500,35.12
2014-01-02,35.28,35.45,34.78,34.81,51700,34.81
2013-12-31,35.29,35.72,35.10,35.45,74100,35.45
2013-12-30,35.72,35.72,35.15,35.32,57600,35.32
2013-12-27,35.85,35.85,35.47,35.76,47000,35.76
2013-12-26,35.59,35.84,35.46,35.73,63200,35.73
2013-12-24,35.18,35.57,35.14,35.47,61200,35.47
2013-12-23,34.61,35.55,34.37,35.21,143800,35.21
2013-12-20,33.88,34.60,33.72,34.47,268900,34.47
2013-12-19,34.19,34.46,33.66,33.72,55900,33.72
2013-12-18,33.56,34.47,33.46,34.45,76200,34.45
2013-12-17,33.55,33.63,33.23,33.58,48700,33.58
2013-12-16,33.26,33.78,33.25,33.65,55300,33.65
2013-12-13,33.30,33.38,32.91,33.16,110700,33.16
2013-12-12,33.15,33.34,33.02,33.16,87600,33.16
2013-12-11,33.47,33.70,33.03,33.17,129000,33.17
2013-12-10,33.95,34.33,33.44,33.49,98500,33.49
2013-12-09,33.93,34.19,33.71,34.06,78800,34.06
2013-12-06,33.87,34.64,33.71,33.90,49400,33.90
2013-12-05,33.49,33.72,33.20,33.48,87200,33.48
2013-12-04,33.87,34.29,33.26,33.58,42900,33.58
2013-12-03,34.43,34.80,33.86,34.04,88200,34.04
2013-12-02,34.35,35.05,34.30,34.57,80300,34.57
2013-11-29,34.84,34.87,34.27,34.33,32800,34.33
2013-11-27,34.65,34.99,34.41,34.67,73700,34.67
2013-11-26,34.45,34.88,33.59,34.58,119400,34.58
2013-11-25,34.50,34.69,34.08,34.59,101100,34.59
2013-11-22,34.21,34.39,33.89,34.37,55500,34.37
2013-11-21,33.83,34.24,33.60,34.22,66000,34.22
2013-11-20,33.91,34.00,33.43,33.68,44200,33.68
2013-11-19,33.85,34.15,32.28,33.82,94200,33.82
2013-11-18,34.05,34.31,33.77,33.90,63800,33.90
2013-11-15,33.73,34.09,33.48,34.06,75400,34.06
2013-11-14,33.55,33.81,33.33,33.77,38000,33.77
2013-11-13,33.11,33.54,33.10,33.51,59300,33.51
2013-11-12,33.07,33.46,32.85,33.33,65700,33.33
2013-11-11,32.92,33.35,32.76,33.22,68000,33.22
2013-11-08,32.38,33.27,32.38,32.93,57800,32.93
2013-11-07,32.75,32.85,32.32,32.36,142500,32.36
2013-11-06,32.79,32.79,32.41,32.70,50500,32.70
2013-11-05,32.68,32.84,32.45,32.67,46400,32.67
2013-11-04,32.71,33.11,32.37,32.89,87000,32.89
2013-11-01,32.70,32.80,32.30,32.66,155600,32.66
2013-10-31,33.23,33.23,32.60,32.71,123400,32.71
2013-10-30,33.82,33.82,33.07,33.21,67700,33.21
2013-10-29,34.14,34.14,33.21,33.71,103300,33.71
2013-10-28,33.63,34.30,33.63,34.11,184800,34.11
2013-10-25,33.60,33.73,33.17,33.69,88100,33.69
2013-10-24,33.23,33.60,32.90,33.48,108000,33.48
2013-10-23,33.13,33.49,33.00,33.11,94900,33.11
2013-10-22,33.43,33.57,33.15,33.32,124500,33.32
2013-10-21,33.50,33.50,33.19,33.38,134400,33.38
2013-10-18,33.21,33.62,32.86,33.57,160500,33.57
2013-10-17,32.60,33.10,32.39,32.94,96700,32.94
2013-10-16,32.64,33.17,32.45,32.82,79000,32.82
2013-10-15,32.37,32.58,32.27,32.43,103500,32.43
2013-10-14,32.10,32.49,32.04,32.45,72500,32.45
2013-10-11,31.03,32.29,31.00,32.26,128400,32.26
2013-10-10,30.72,31.36,30.51,31.23,124100,31.23
2013-10-09,30.68,30.73,30.41,30.44,187900,30.44
2013-10-08,30.32,30.68,30.14,30.50,169300,30.50
2013-10-07,31.35,31.40,30.36,30.39,117900,30.39
2013-10-04,32.51,32.75,31.55,31.57,95400,31.57
2013-10-03,33.30,33.58,31.76,32.71,282200,32.71
2013-10-02,33.01,33.48,32.95,33.39,177600,33.39
2013-10-01,32.31,33.37,32.18,33.29,250300,33.29
2013-09-30,32.06,32.35,31.89,32.25,124900,32.25
2013-09-27,32.44,32.60,32.18,32.36,34300,32.36
2013-09-26,32.83,32.96,32.47,32.66,46100,32.66
