Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,10.30,10.30,10.30,10.30,000,10.30
2014-02-21,10.30,10.30,10.30,10.30,000,10.30
2014-02-20,10.30,10.30,10.30,10.30,000,10.30
2014-02-19,10.30,10.30,10.30,10.30,000,10.30
2014-02-18,10.30,10.30,10.30,10.30,000,10.30
2014-02-14,10.30,10.30,10.30,10.30,000,10.30
2014-02-13,10.30,10.30,10.30,10.30,000,10.30
2014-02-12,10.30,10.30,10.30,10.30,000,10.30
2014-02-11,10.30,10.30,10.30,10.30,000,10.30
2014-02-10,10.30,10.30,10.30,10.30,000,10.30
2014-02-07,10.44,10.70,10.25,10.30,9800,10.30
2014-02-06,10.30,10.35,10.30,10.30,6500,10.30
2014-02-05,10.33,10.33,10.33,10.33,000,10.33
2014-02-04,10.15,10.35,10.14,10.33,9400,10.33
2014-02-03,10.30,10.40,10.25,10.27,137300,10.27
2014-01-31,10.24,10.44,10.24,10.43,39800,10.43
2014-01-30,10.24,10.34,10.24,10.30,51400,10.30
2014-01-29,10.32,10.44,10.24,10.24,186100,10.24
2014-01-28,10.30,10.30,10.30,10.30,000,10.30
2014-01-27,10.39,10.39,9.58,10.30,700,10.30
2014-01-24,10.50,10.50,10.50,10.50,700,10.50
2014-01-23,10.45,10.45,10.45,10.45,000,10.45
2014-01-22,10.45,10.45,10.45,10.45,000,10.45
2014-01-21,10.45,10.45,10.45,10.45,000,10.45
2014-01-17,10.45,10.45,10.45,10.45,000,10.45
2014-01-16,10.45,10.45,10.45,10.45,000,10.45
2014-01-15,10.45,10.45,10.45,10.45,000,10.45
2014-01-14,10.45,10.45,10.45,10.45,000,10.45
2014-01-13,10.50,10.50,10.45,10.45,900,10.45
2014-01-10,10.30,10.30,10.30,10.30,000,10.30
2014-01-09,10.30,10.30,10.30,10.30,000,10.30
2014-01-08,10.30,10.30,10.30,10.30,000,10.30
2014-01-07,10.30,10.30,10.30,10.30,10000,10.30
2014-01-06,10.30,10.30,10.30,10.30,5000,10.30
2014-01-03,10.29,10.29,10.29,10.29,10600,10.29
2014-01-02,10.27,10.29,10.27,10.28,6300,10.28
2013-12-31,10.29,10.29,10.29,10.29,000,10.29
2013-12-30,10.29,10.29,10.29,10.29,000,10.29
2013-12-27,10.29,10.29,10.29,10.29,000,10.29
2013-12-26,10.29,10.29,10.29,10.29,7400,10.29
2013-12-24,10.22,10.22,10.22,10.22,000,10.22
2013-12-23,10.22,10.22,10.22,10.22,21600,10.22
2013-12-20,10.23,10.23,10.23,10.23,000,10.23
2013-12-19,10.23,10.23,10.23,10.23,000,10.23
2013-12-18,10.23,10.23,10.23,10.23,000,10.23
2013-12-17,10.23,10.23,10.23,10.23,000,10.23
2013-12-16,10.23,10.23,10.23,10.23,000,10.23
2013-12-13,10.23,10.23,10.23,10.23,000,10.23
2013-12-12,10.23,10.23,10.23,10.23,000,10.23
2013-12-11,10.23,10.23,10.23,10.23,000,10.23
2013-12-10,10.23,10.23,10.23,10.23,000,10.23
2013-12-09,10.23,10.23,10.23,10.23,000,10.23
2013-12-06,10.23,10.23,10.23,10.23,000,10.23
2013-12-05,10.23,10.23,10.23,10.23,000,10.23
2013-12-04,10.23,10.25,10.23,10.23,15500,10.23
2013-12-03,11.00,11.00,11.00,11.00,000,11.00
2013-12-02,11.00,11.00,11.00,11.00,000,11.00
2013-11-29,11.00,11.00,11.00,11.00,000,11.00
2013-11-27,11.00,11.00,11.00,11.00,000,11.00
2013-11-26,11.00,11.00,11.00,11.00,000,11.00
2013-11-25,11.00,11.00,11.00,11.00,100,11.00
2013-11-22,10.28,10.28,10.28,10.28,000,10.28
2013-11-21,10.28,10.28,10.28,10.28,000,10.28
2013-11-20,10.28,10.28,10.28,10.28,000,10.28
2013-11-19,10.28,10.28,10.28,10.28,000,10.28
2013-11-18,10.28,10.28,10.28,10.28,000,10.28
2013-11-15,10.40,10.40,10.28,10.28,5400,10.28
2013-11-14,10.53,10.53,10.23,10.40,3200,10.40
2013-11-13,10.23,10.23,10.23,10.23,000,10.23
2013-11-12,10.23,10.23,10.23,10.23,000,10.23
2013-11-11,10.23,10.23,10.23,10.23,500,10.23
2013-11-08,10.19,10.19,10.19,10.19,000,10.19
2013-11-07,10.10,10.28,10.10,10.19,5900,10.19
2013-11-06,10.25,10.25,10.25,10.25,000,10.25
2013-11-05,10.25,10.25,10.25,10.25,000,10.25
2013-11-04,10.25,10.25,10.25,10.25,000,10.25
2013-11-01,10.25,10.25,10.25,10.25,000,10.25
2013-10-31,10.25,10.25,10.25,10.25,000,10.25
2013-10-30,10.25,10.25,10.25,10.25,000,10.25
2013-10-29,10.25,10.25,10.25,10.25,000,10.25
2013-10-28,10.25,10.25,10.25,10.25,000,10.25
2013-10-25,10.25,10.25,10.25,10.25,000,10.25
2013-10-24,10.25,10.25,10.25,10.25,000,10.25
2013-10-23,10.25,10.25,10.25,10.25,000,10.25
2013-10-22,10.25,10.25,10.25,10.25,000,10.25
2013-10-21,10.25,10.25,10.25,10.25,000,10.25
2013-10-18,10.25,10.25,10.25,10.25,000,10.25
2013-10-17,10.25,10.25,10.25,10.25,000,10.25
2013-10-16,10.25,10.25,10.25,10.25,4400,10.25
2013-10-15,10.19,10.19,10.19,10.19,000,10.19
2013-10-14,10.19,10.19,10.19,10.19,000,10.19
2013-10-11,10.19,10.19,10.19,10.19,000,10.19
2013-10-10,10.19,10.19,10.19,10.19,000,10.19
2013-10-09,10.19,10.19,10.19,10.19,000,10.19
2013-10-08,10.19,10.19,10.19,10.19,000,10.19
2013-10-07,10.19,10.19,10.19,10.19,000,10.19
2013-10-04,10.19,10.19,10.19,10.19,000,10.19
2013-10-03,10.19,10.19,10.19,10.19,000,10.19
2013-10-02,10.19,10.19,10.19,10.19,000,10.19
2013-10-01,10.19,10.19,10.19,10.19,000,10.19
2013-09-30,10.19,10.19,10.19,10.19,000,10.19
2013-09-27,10.19,10.19,10.19,10.19,000,10.19
2013-09-26,10.19,10.19,10.19,10.19,000,10.19
2013-09-25,10.19,10.19,10.19,10.19,000,10.19
2013-09-24,10.19,10.19,10.19,10.19,000,10.19
2013-09-23,10.19,10.19,10.19,10.19,000,10.19
2013-09-20,10.19,10.19,10.19,10.19,000,10.19
2013-09-19,10.19,10.19,10.19,10.19,000,10.19
2013-09-18,10.19,10.19,10.19,10.19,000,10.19
2013-09-17,10.19,10.19,10.19,10.19,000,10.19
2013-09-16,10.19,10.19,10.19,10.19,000,10.19
2013-09-13,10.19,10.19,10.19,10.19,000,10.19
2013-09-12,10.19,10.19,10.19,10.19,000,10.19
2013-09-11,10.19,10.19,10.19,10.19,000,10.19
2013-09-10,10.19,10.19,10.19,10.19,000,10.19
2013-09-09,10.19,10.19,10.19,10.19,000,10.19
2013-09-06,10.19,10.19,10.19,10.19,000,10.19
2013-09-05,10.19,10.19,10.19,10.19,000,10.19
2013-09-04,10.19,10.19,10.19,10.19,000,10.19
2013-09-03,10.19,10.19,10.19,10.19,000,10.19
2013-08-30,10.19,10.19,10.19,10.19,000,10.19
2013-08-29,10.19,10.19,10.19,10.19,000,10.19
2013-08-28,10.19,10.19,10.19,10.19,000,10.19
2013-08-27,10.19,10.19,10.19,10.19,000,10.19
2013-08-26,10.19,10.19,10.19,10.19,000,10.19
2013-08-23,10.19,10.19,10.19,10.19,000,10.19
2013-08-22,10.19,10.19,10.19,10.19,000,10.19
2013-08-21,10.19,10.19,10.19,10.19,000,10.19
2013-08-20,10.19,10.19,10.19,10.19,000,10.19
2013-08-19,10.19,10.19,10.19,10.19,000,10.19
2013-08-16,10.19,10.19,10.19,10.19,000,10.19
2013-08-15,10.19,10.19,10.19,10.19,000,10.19
2013-08-14,10.19,10.19,10.19,10.19,000,10.19
2013-08-13,10.19,10.19,10.19,10.19,000,10.19
2013-08-12,10.19,10.19,10.19,10.19,000,10.19
2013-08-09,10.10,10.19,10.10,10.19,8900,10.19
2013-08-08,10.05,10.05,10.05,10.05,000,10.05
2013-08-07,10.05,10.05,10.05,10.05,000,10.05
2013-08-06,10.05,10.05,10.05,10.05,000,10.05
2013-08-05,10.05,10.05,10.05,10.05,000,10.05
2013-08-02,10.05,10.05,10.05,10.05,000,10.05
2013-08-01,10.05,10.05,10.05,10.05,000,10.05
2013-07-31,10.05,10.05,10.05,10.05,000,10.05
2013-07-30,10.05,10.05,10.05,10.05,000,10.05
2013-07-29,10.05,10.05,10.05,10.05,000,10.05
2013-07-26,10.05,10.05,10.05,10.05,000,10.05
2013-07-25,10.05,10.05,10.05,10.05,000,10.05
2013-07-24,10.05,10.05,10.05,10.05,000,10.05
2013-07-23,10.05,10.05,10.05,10.05,000,10.05
2013-07-22,10.05,10.05,10.05,10.05,7000,10.05
2013-07-19,10.15,10.15,10.15,10.15,000,10.15
2013-07-18,10.15,10.15,10.15,10.15,000,10.15
2013-07-17,10.15,10.15,10.15,10.15,000,10.15
2013-07-16,10.15,10.15,10.15,10.15,000,10.15
2013-07-15,10.15,10.15,10.15,10.15,000,10.15
2013-07-12,10.15,10.15,10.15,10.15,000,10.15
2013-07-11,10.15,10.15,10.15,10.15,000,10.15
2013-07-10,10.15,10.15,10.15,10.15,000,10.15
2013-07-09,10.15,10.15,10.15,10.15,000,10.15
2013-07-08,10.15,10.15,10.15,10.15,000,10.15
2013-07-05,10.15,10.15,10.15,10.15,000,10.15
2013-07-03,10.15,10.15,10.15,10.15,000,10.15
2013-07-02,10.15,10.15,10.15,10.15,000,10.15
2013-07-01,10.15,10.15,10.15,10.15,000,10.15
2013-06-28,10.15,10.15,10.15,10.15,000,10.15
2013-06-27,10.15,10.15,10.15,10.15,000,10.15
2013-06-26,10.15,10.15,10.15,10.15,000,10.15
2013-06-25,10.15,10.15,10.15,10.15,000,10.15
2013-06-24,10.15,10.15,10.15,10.15,000,10.15
2013-06-21,10.15,10.15,10.15,10.15,000,10.15
2013-06-20,10.15,10.15,10.15,10.15,000,10.15
2013-06-19,10.15,10.15,10.15,10.15,000,10.15
2013-06-18,10.15,10.15,10.15,10.15,000,10.15
2013-06-17,10.15,10.15,10.15,10.15,000,10.15
2013-06-14,10.15,10.15,10.15,10.15,000,10.15
2013-06-13,10.15,10.15,10.15,10.15,000,10.15
2013-06-12,10.15,10.15,10.15,10.15,100,10.15
2013-06-11,10.05,10.05,10.05,10.05,000,10.05
2013-06-10,10.05,10.05,10.05,10.05,000,10.05
2013-06-07,10.05,10.05,10.05,10.05,000,10.05
2013-06-06,10.05,10.05,10.05,10.05,000,10.05
2013-06-05,10.05,10.05,10.05,10.05,000,10.05
2013-06-04,10.05,10.05,10.05,10.05,000,10.05
2013-06-03,10.05,10.05,10.05,10.05,000,10.05
2013-05-31,10.05,10.05,10.05,10.05,000,10.05
2013-05-30,10.05,10.05,10.05,10.05,6400,10.05
2013-05-29,10.01,10.01,10.01,10.01,000,10.01
2013-05-28,10.01,10.01,10.01,10.01,000,10.01
2013-05-24,10.01,10.01,10.01,10.01,000,10.01
2013-05-23,10.01,10.01,10.01,10.01,000,10.01
2013-05-22,10.01,10.01,10.01,10.01,000,10.01
2013-05-21,10.01,10.01,10.01,10.01,000,10.01
2013-05-20,10.01,10.01,10.01,10.01,000,10.01
2013-05-17,10.01,10.01,10.01,10.01,4400,10.01
2013-05-16,10.10,10.10,10.10,10.10,000,10.10
2013-05-15,10.10,10.10,10.10,10.10,000,10.10
2013-05-14,10.10,10.10,10.10,10.10,000,10.10
2013-05-13,10.10,10.10,10.10,10.10,000,10.10
2013-05-10,10.10,10.10,10.10,10.10,000,10.10
2013-05-09,10.10,10.10,10.10,10.10,000,10.10
2013-05-08,10.10,10.10,10.10,10.10,000,10.10
2013-05-07,10.10,10.10,10.10,10.10,000,10.10
2013-05-06,10.10,10.10,10.10,10.10,000,10.10
2013-05-03,10.10,10.10,10.10,10.10,000,10.10
2013-05-02,10.10,10.10,10.10,10.10,000,10.10
2013-05-01,10.10,10.10,10.10,10.10,000,10.10
2013-04-30,10.10,10.10,10.10,10.10,000,10.10
2013-04-29,10.10,10.10,10.10,10.10,000,10.10
2013-04-26,10.10,10.10,10.10,10.10,000,10.10
2013-04-25,10.10,10.10,10.10,10.10,000,10.10
2013-04-24,10.10,10.10,10.10,10.10,000,10.10
2013-04-23,10.10,10.10,10.10,10.10,000,10.10
2013-04-22,10.10,10.10,10.10,10.10,000,10.10
2013-04-19,10.10,10.10,10.10,10.10,000,10.10
2013-04-18,10.10,10.10,10.10,10.10,000,10.10
2013-04-17,10.10,10.10,10.10,10.10,000,10.10
2013-04-16,10.10,10.10,10.10,10.10,000,10.10
2013-04-15,10.10,10.10,10.10,10.10,000,10.10
2013-04-12,10.10,10.10,10.10,10.10,000,10.10
2013-04-11,10.10,10.10,10.10,10.10,000,10.10
2013-04-10,10.10,10.10,10.10,10.10,000,10.10
2013-04-09,10.10,10.10,10.10,10.10,000,10.10
2013-04-08,10.10,10.10,10.10,10.10,4700,10.10
2013-04-05,10.00,10.00,10.00,10.00,000,10.00
2013-04-04,10.00,10.00,10.00,10.00,000,10.00
2013-04-03,10.00,10.00,10.00,10.00,000,10.00
2013-04-02,10.00,10.00,10.00,10.00,000,10.00
2013-04-01,10.00,10.00,10.00,10.00,000,10.00
2013-03-28,10.00,10.00,10.00,10.00,100,10.00
2013-03-27,9.00,9.00,9.00,9.00,000,9.00
2013-03-26,9.00,9.00,9.00,9.00,000,9.00
2013-03-25,9.00,9.00,9.00,9.00,000,9.00
2013-03-22,9.00,9.00,9.00,9.00,000,9.00
2013-03-21,9.00,9.00,9.00,9.00,000,9.00
