Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,7.80,7.80,7.75,7.75,700,7.75
2014-02-21,7.75,7.82,7.75,7.81,6100,7.81
2014-02-20,7.75,7.80,7.73,7.77,52300,7.77
2014-02-19,7.80,7.80,7.76,7.76,6200,7.76
2014-02-18,7.79,7.79,7.75,7.78,1500,7.78
2014-02-14,7.80,7.80,7.75,7.76,23300,7.76
2014-02-13,7.73,7.79,7.72,7.74,7300,7.74
2014-02-12,7.75,7.79,7.70,7.73,17400,7.73
2014-02-11,7.76,7.77,7.70,7.72,13800,7.72
2014-02-10,7.72,7.72,7.72,7.72,000,7.72
2014-02-07,7.75,7.79,7.72,7.72,31800,7.72
2014-02-06,7.74,7.80,7.73,7.80,1400,7.80
2014-02-05,7.71,7.80,7.71,7.79,2800,7.79
2014-02-04,7.75,7.80,7.75,7.77,48600,7.77
2014-02-03,7.73,7.75,7.70,7.75,33500,7.75
2014-01-31,7.69,7.75,7.68,7.73,6800,7.73
2014-01-30,7.70,7.76,7.70,7.70,61000,7.70
2014-01-29,7.75,7.77,7.73,7.74,75100,7.74
2014-01-28,7.74,7.75,7.66,7.74,104100,7.74
2014-01-27,7.66,7.77,7.66,7.75,62400,7.75
2014-01-24,7.65,7.77,7.65,7.77,80700,7.77
2014-01-23,7.65,7.80,7.65,7.76,465000,7.76
2014-01-22,6.59,6.61,6.50,6.53,3900,6.53
2014-01-21,6.59,6.60,6.59,6.60,500,6.60
2014-01-17,6.61,6.70,6.60,6.60,3200,6.60
2014-01-16,6.54,6.54,6.54,6.54,100,6.54
2014-01-15,6.56,6.56,6.56,6.56,000,6.56
2014-01-14,6.94,6.94,6.56,6.56,1600,6.56
2014-01-13,6.68,6.70,6.51,6.60,4000,6.60
2014-01-10,6.70,6.70,6.70,6.70,400,6.70
2014-01-09,6.50,6.59,6.50,6.59,2500,6.59
2014-01-08,6.70,6.80,6.49,6.50,29200,6.50
2014-01-07,6.50,6.68,6.50,6.50,4600,6.50
2014-01-06,6.45,6.70,6.39,6.50,6500,6.50
2014-01-03,6.38,6.48,6.33,6.33,5800,6.33
2014-01-02,6.37,6.66,6.26,6.33,11400,6.33
2013-12-31,6.40,6.43,6.40,6.42,3100,6.42
2013-12-30,6.36,6.42,6.36,6.40,3600,6.40
2013-12-27,6.42,6.43,6.28,6.43,2600,6.43
2013-12-26,6.21,6.43,6.21,6.38,11300,6.38
2013-12-24,6.39,6.39,6.39,6.39,000,6.39
2013-12-23,6.20,6.42,6.20,6.39,2500,6.39
2013-12-20,6.35,6.44,6.22,6.22,14700,6.22
2013-12-19,6.26,6.35,6.25,6.30,4500,6.30
2013-12-18,6.27,6.35,6.25,6.35,2100,6.35
2013-12-17,6.25,6.25,6.25,6.25,4800,6.25
2013-12-16,6.30,6.30,6.25,6.30,2100,6.30
2013-12-13,6.26,6.34,6.25,6.30,6300,6.30
2013-12-12,6.26,6.34,6.18,6.30,4300,6.30
2013-12-11,6.48,6.48,6.25,6.25,9400,6.25
2013-12-10,6.20,6.20,6.20,6.20,000,6.20
2013-12-09,6.23,6.49,6.20,6.20,41500,6.20
2013-12-06,6.17,6.17,6.17,6.17,000,6.17
2013-12-05,6.28,6.40,6.17,6.17,22200,6.17
2013-12-04,6.41,6.44,6.30,6.39,3400,6.39
2013-12-03,6.20,6.39,6.20,6.39,400,6.39
2013-12-02,6.08,6.30,6.08,6.30,16600,6.30
2013-11-29,6.29,6.29,6.29,6.29,000,6.29
2013-11-27,6.30,6.30,6.29,6.29,7300,6.29
2013-11-26,6.30,6.30,6.25,6.25,8800,6.25
2013-11-25,6.29,6.39,6.29,6.39,5900,6.39
2013-11-22,6.28,6.30,6.28,6.30,97200,6.30
2013-11-21,6.20,6.30,6.20,6.30,20300,6.30
2013-11-20,6.30,6.34,6.25,6.25,7700,6.25
2013-11-19,6.12,6.30,6.12,6.30,900,6.30
2013-11-18,6.30,6.30,6.30,6.30,000,6.30
2013-11-15,6.30,6.30,6.30,6.30,2100,6.30
2013-11-14,6.20,6.24,6.19,6.20,2000,6.20
2013-11-13,6.22,6.26,6.10,6.26,3700,6.26
2013-11-12,6.17,6.32,6.17,6.30,400,6.30
2013-11-11,6.20,6.30,6.00,6.10,18900,6.10
2013-11-08,6.20,6.20,6.20,6.20,1200,6.20
2013-11-07,6.05,6.33,6.00,6.33,7700,6.33
2013-11-06,6.35,6.35,6.10,6.15,8600,6.15
2013-11-05,6.00,6.35,6.00,6.35,1600,6.35
2013-11-04,6.33,6.33,6.20,6.25,12500,6.25
2013-11-01,6.45,6.45,6.35,6.35,1500,6.35
2013-10-31,6.54,6.54,6.32,6.35,2600,6.35
2013-10-30,6.47,6.47,6.47,6.47,000,6.47
2013-10-29,6.50,6.50,6.47,6.47,1100,6.47
2013-10-28,6.50,6.65,6.45,6.49,16500,6.49
2013-10-25,6.50,6.50,6.33,6.36,3400,6.36
2013-10-24,6.44,6.44,6.44,6.44,100,6.44
2013-10-23,6.44,6.44,6.43,6.43,1400,6.43
2013-10-22,6.36,6.43,6.36,6.43,1100,6.43
2013-10-21,6.34,6.44,6.32,6.35,6200,6.35
2013-10-18,6.32,6.32,6.32,6.32,700,6.32
2013-10-17,6.31,6.31,6.31,6.31,000,6.31
2013-10-16,6.25,6.31,6.25,6.31,1800,6.31
2013-10-15,6.33,6.40,6.26,6.40,600,6.40
2013-10-14,6.19,6.30,6.00,6.30,15100,6.30
2013-10-11,6.18,6.18,6.15,6.18,2200,6.18
2013-10-10,5.89,6.18,5.89,6.18,8500,6.18
2013-10-09,6.11,6.15,5.77,5.77,1300,5.77
2013-10-08,6.12,6.12,6.12,6.12,200,6.12
2013-10-07,6.19,6.19,6.05,6.05,500,6.05
2013-10-04,6.10,6.26,6.00,6.19,4000,6.19
2013-10-03,6.28,6.28,6.00,6.00,1300,6.00
2013-10-02,5.88,6.54,5.86,6.20,17400,6.20
2013-10-01,5.77,5.87,5.77,5.87,1300,5.87
2013-09-30,5.88,5.88,5.80,5.80,5200,5.80
2013-09-27,5.80,5.80,5.75,5.75,5700,5.75
2013-09-26,5.45,5.80,5.45,5.80,18100,5.80
2013-09-25,5.50,5.50,5.45,5.50,1800,5.50
2013-09-24,5.40,5.45,5.40,5.45,1600,5.45
2013-09-23,5.45,5.50,5.45,5.48,13500,5.48
2013-09-20,5.49,5.50,5.48,5.49,1000,5.49
2013-09-19,5.50,5.59,5.45,5.47,11900,5.47
2013-09-18,5.54,5.65,5.50,5.50,4200,5.50
2013-09-17,5.50,5.68,5.42,5.42,900,5.42
2013-09-16,5.50,5.50,5.45,5.50,2900,5.50
2013-09-13,5.50,5.50,5.50,5.50,000,5.50
2013-09-12,5.51,5.52,5.50,5.50,8100,5.50
2013-09-11,5.46,5.55,5.46,5.55,3400,5.55
2013-09-10,5.66,5.75,5.45,5.50,4000,5.50
2013-09-09,5.72,5.75,5.50,5.50,3900,5.50
2013-09-06,5.49,5.49,5.46,5.46,2400,5.46
2013-09-05,5.49,5.49,5.45,5.45,1200,5.45
2013-09-04,5.50,5.68,5.50,5.50,2900,5.50
2013-09-03,5.52,5.52,5.52,5.52,100,5.52
2013-08-30,5.45,5.46,5.45,5.45,500,5.45
2013-08-29,5.45,5.45,5.45,5.45,000,5.45
2013-08-28,5.47,5.47,5.45,5.45,1700,5.45
2013-08-27,5.45,5.45,5.45,5.45,1000,5.45
2013-08-26,5.55,5.55,5.55,5.55,000,5.55
2013-08-23,5.77,5.77,5.55,5.55,900,5.55
2013-08-22,5.90,5.90,5.90,5.90,000,5.90
2013-08-21,5.52,5.95,5.52,5.90,600,5.90
2013-08-20,5.52,5.52,5.52,5.52,400,5.52
2013-08-19,5.58,5.58,5.50,5.50,52200,5.50
2013-08-16,5.58,5.78,5.58,5.69,1200,5.69
2013-08-15,5.66,5.66,5.65,5.65,700,5.65
2013-08-14,5.57,5.57,5.57,5.57,000,5.57
2013-08-13,5.57,5.57,5.57,5.57,300,5.57
2013-08-12,5.60,5.60,5.53,5.53,4700,5.53
2013-08-09,5.60,5.60,5.60,5.60,1300,5.60
2013-08-08,5.56,5.60,5.53,5.60,1200,5.60
2013-08-07,5.53,5.53,5.52,5.52,500,5.52
2013-08-06,5.60,5.60,5.60,5.60,1100,5.60
2013-08-05,5.75,5.80,5.55,5.55,21100,5.55
2013-08-02,5.61,5.75,5.60,5.75,3000,5.75
2013-08-01,5.76,5.76,5.53,5.60,7500,5.60
2013-07-31,5.78,5.79,5.78,5.79,900,5.79
2013-07-30,5.38,5.50,5.38,5.50,1900,5.50
2013-07-29,5.49,5.49,5.49,5.49,000,5.49
2013-07-26,5.49,5.53,5.35,5.49,1100,5.49
2013-07-25,5.52,5.54,5.52,5.54,500,5.54
2013-07-24,5.51,5.61,5.50,5.51,4500,5.51
2013-07-23,5.52,5.60,5.50,5.55,12200,5.55
2013-07-22,5.57,5.59,5.50,5.50,9500,5.50
2013-07-19,5.56,5.56,5.56,5.56,000,5.56
2013-07-18,5.56,5.56,5.56,5.56,000,5.56
2013-07-17,5.56,5.56,5.56,5.56,500,5.56
2013-07-16,5.56,5.64,5.56,5.64,800,5.64
2013-07-15,5.68,5.68,5.68,5.68,000,5.68
2013-07-12,5.68,5.68,5.68,5.68,000,5.68
2013-07-11,5.63,5.69,5.63,5.68,1000,5.68
2013-07-10,5.69,5.69,5.69,5.69,000,5.69
2013-07-09,5.65,5.69,5.60,5.69,1200,5.69
2013-07-08,5.74,5.74,5.65,5.65,500,5.65
2013-07-05,5.72,5.75,5.72,5.75,5000,5.75
2013-07-03,5.65,5.65,5.65,5.65,000,5.65
2013-07-02,5.73,5.73,5.65,5.65,900,5.65
2013-07-01,5.66,5.70,5.65,5.70,3400,5.70
2013-06-28,5.75,5.75,5.50,5.65,12400,5.65
2013-06-27,5.75,5.75,5.75,5.75,500,5.75
2013-06-26,5.56,5.56,5.56,5.56,200,5.56
2013-06-25,5.50,5.51,5.50,5.50,500,5.50
2013-06-24,5.55,5.55,5.50,5.50,18500,5.50
2013-06-21,5.50,5.89,5.49,5.50,9600,5.50
2013-06-20,5.50,5.57,5.50,5.50,13000,5.50
2013-06-19,5.68,5.95,5.50,5.50,2900,5.50
2013-06-18,5.71,5.71,5.71,5.71,000,5.71
2013-06-17,5.72,5.72,5.71,5.71,400,5.71
2013-06-14,5.65,5.65,5.65,5.65,000,5.65
2013-06-13,5.63,5.65,5.63,5.65,1100,5.65
2013-06-12,5.52,5.70,5.52,5.65,14400,5.65
2013-06-11,5.51,5.58,5.50,5.50,7100,5.50
2013-06-10,5.57,5.57,5.57,5.57,100,5.57
2013-06-07,5.60,5.60,5.52,5.52,600,5.52
2013-06-06,5.59,5.59,5.59,5.59,000,5.59
2013-06-05,5.59,5.59,5.59,5.59,000,5.59
2013-06-04,5.59,5.59,5.59,5.59,000,5.59
2013-06-03,5.46,5.60,5.46,5.59,3800,5.59
2013-05-31,5.55,5.55,5.50,5.50,7500,5.50
2013-05-30,5.55,5.55,5.55,5.55,9600,5.55
2013-05-29,5.50,5.50,5.50,5.50,6400,5.50
2013-05-28,5.58,5.58,5.55,5.55,1300,5.55
2013-05-24,5.55,5.55,5.50,5.50,9200,5.50
2013-05-23,5.59,5.59,5.59,5.59,500,5.59
2013-05-22,5.51,5.55,5.50,5.55,15500,5.55
2013-05-21,5.50,5.55,5.50,5.55,26400,5.55
2013-05-20,5.50,5.51,5.48,5.50,31600,5.50
2013-05-17,5.54,5.59,5.54,5.55,6600,5.55
2013-05-16,5.48,5.49,5.48,5.49,500,5.49
2013-05-15,5.50,5.52,5.48,5.50,24900,5.50
2013-05-14,5.55,5.55,5.50,5.50,9500,5.50
2013-05-13,5.58,5.58,5.58,5.58,000,5.58
2013-05-10,5.50,5.58,5.50,5.58,1000,5.58
2013-05-09,5.49,5.58,5.49,5.58,3500,5.58
2013-05-08,5.50,5.58,5.50,5.58,300,5.58
2013-05-07,5.55,5.67,5.50,5.62,7400,5.62
2013-05-06,5.48,5.48,5.48,5.48,000,5.48
2013-05-03,5.50,5.64,5.46,5.48,15500,5.48
