Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,20.74,20.74,20.74,20.74,100,20.74
2014-02-21,20.00,20.00,20.00,20.00,000,20.00
2014-02-20,20.00,20.00,20.00,20.00,800,20.00
2014-02-19,19.71,19.71,19.71,19.71,000,19.71
2014-02-18,20.50,20.50,19.70,19.71,900,19.71
2014-02-14,21.90,21.90,21.90,21.90,100,21.90
2014-02-13,20.72,20.72,20.72,20.72,000,20.72
2014-02-12,20.72,20.72,20.72,20.72,000,20.72
2014-02-11,20.72,20.72,20.72,20.72,600,20.72
2014-02-10,20.08,20.08,20.08,20.08,000,20.08
2014-02-07,20.08,20.08,20.08,20.08,200,20.08
2014-02-06,19.76,19.76,19.76,19.76,000,19.76
2014-02-05,19.76,19.76,19.76,19.76,000,19.76
2014-02-04,19.76,19.76,19.76,19.76,000,19.76
2014-02-03,19.76,19.76,19.76,19.76,000,19.76
2014-01-31,19.97,19.97,19.76,19.76,900,19.76
2014-01-30,19.80,19.80,19.40,19.60,1400,19.60
2014-01-29,19.88,19.88,19.88,19.88,000,19.88
2014-01-28,20.03,20.03,19.88,19.88,600,19.88
2014-01-27,19.75,19.75,19.75,19.75,000,19.75
2014-01-24,19.77,19.77,19.75,19.75,16800,19.75
2014-01-23,19.60,19.60,19.60,19.60,000,19.60
2014-01-22,19.60,19.60,19.60,19.60,1200,19.60
2014-01-21,19.75,19.77,19.75,19.75,1200,19.75
2014-01-17,19.58,19.58,19.58,19.58,000,19.58
2014-01-16,19.50,19.58,19.40,19.58,2000,19.58
2014-01-15,19.40,19.40,19.40,19.40,3600,19.40
2014-01-14,19.40,19.40,19.40,19.40,000,19.40
2014-01-13,19.40,19.40,19.40,19.40,400,19.40
2014-01-10,19.50,19.50,19.40,19.40,8500,19.40
2014-01-09,19.56,19.56,19.56,19.56,500,19.56
2014-01-08,19.53,19.60,19.40,19.40,4500,19.40
2014-01-07,19.88,19.88,19.88,19.88,000,19.88
2014-01-06,19.88,19.88,19.88,19.88,300,19.88
2014-01-03,19.90,19.91,19.90,19.91,300,19.91
2014-01-02,19.80,20.09,19.80,19.95,3600,19.95
2013-12-31,19.80,19.80,19.55,19.55,200,19.55
2013-12-30,19.53,19.80,19.53,19.78,1600,19.78
2013-12-27,19.50,19.50,19.50,19.50,000,19.50
2013-12-26,19.50,19.50,19.50,19.50,200,19.50
2013-12-24,19.51,19.51,19.51,19.51,000,19.51
2013-12-23,19.51,19.51,19.51,19.51,000,19.51
2013-12-20,19.51,19.51,19.51,19.51,200,19.51
2013-12-19,19.58,19.58,19.58,19.58,000,19.58
2013-12-18,19.58,19.58,19.58,19.58,000,19.58
2013-12-17,19.58,19.58,19.58,19.58,200,19.50
2013-12-16,19.51,19.51,19.51,19.51,000,19.43
2013-12-13,19.51,19.51,19.51,19.51,000,19.43
2013-12-12,19.51,19.51,19.51,19.51,000,19.43
2013-12-11,19.51,19.51,19.51,19.51,000,19.43
2013-12-10,19.69,19.69,19.51,19.51,8500,19.43
2013-12-09,19.50,19.50,19.50,19.50,3700,19.42
2013-12-06,19.50,19.50,19.50,19.50,000,19.42
2013-12-05,19.50,19.50,19.50,19.50,200,19.42
2013-12-04,19.50,19.50,19.50,19.50,300,19.42
2013-12-03,19.51,19.51,19.50,19.50,3000,19.42
2013-12-02,19.60,19.60,19.60,19.60,000,19.52
2013-11-29,19.60,19.60,19.60,19.60,000,19.52
2013-11-27,19.60,19.60,19.60,19.60,000,19.52
2013-11-26,19.60,19.60,19.60,19.60,000,19.52
2013-11-25,19.50,19.60,19.50,19.60,1300,19.52
2013-11-22,19.50,19.50,19.50,19.50,000,19.42
2013-11-21,19.50,19.50,19.50,19.50,000,19.42
2013-11-20,19.50,19.50,19.50,19.50,300,19.42
2013-11-19,19.63,19.63,19.63,19.63,000,19.55
2013-11-18,19.73,19.73,19.59,19.63,1900,19.55
2013-11-15,19.55,19.55,19.50,19.50,1900,19.42
2013-11-14,19.55,19.55,19.55,19.55,000,19.47
2013-11-13,19.62,19.62,19.55,19.55,300,19.47
