Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,48.78,49.80,48.78,49.23,11300,49.23
2014-02-21,47.65,50.01,46.98,49.46,31500,49.46
2014-02-20,47.31,47.99,47.31,47.65,9100,47.65
2014-02-19,46.78,48.14,46.78,47.26,77700,47.26
2014-02-18,46.93,50.04,46.51,47.09,38300,47.09
2014-02-14,47.17,47.37,46.40,46.59,11900,46.59
2014-02-13,45.90,47.42,45.90,47.21,6800,47.21
2014-02-12,46.66,46.78,45.70,46.24,20000,46.24
2014-02-11,43.89,47.15,43.89,46.49,50700,46.49
2014-02-10,44.05,44.28,43.01,43.60,6400,43.60
2014-02-07,44.32,45.22,43.66,44.29,15200,44.29
2014-02-06,44.58,44.95,44.32,44.32,9100,44.32
2014-02-05,44.40,44.88,43.90,44.25,14800,44.25
2014-02-04,46.60,47.00,43.56,44.57,20700,44.57
2014-02-03,47.22,47.22,44.98,45.43,17800,45.16
2014-01-31,47.29,48.74,47.09,47.17,10900,46.89
2014-01-30,47.77,48.95,47.47,48.32,15500,48.03
2014-01-29,47.28,48.52,46.93,47.39,25700,47.11
2014-01-28,47.52,48.04,46.79,47.93,13900,47.65
2014-01-27,48.43,48.43,47.02,47.70,14800,47.42
2014-01-24,49.25,50.19,48.10,48.10,4800,47.81
2014-01-23,48.24,50.68,48.24,49.69,10700,49.39
2014-01-22,49.72,50.98,48.61,50.09,23600,49.79
2014-01-21,51.03,51.03,49.30,49.99,32500,49.69
2014-01-17,50.15,51.24,49.77,50.62,35500,50.32
2014-01-16,50.26,52.49,49.78,50.20,15200,49.90
2014-01-15,50.18,50.90,49.92,50.32,2600,50.02
2014-01-14,47.94,49.94,47.94,49.80,13100,49.50
2014-01-13,49.66,49.96,48.00,48.33,10800,48.04
2014-01-10,49.19,50.45,48.11,49.60,16200,49.31
2014-01-09,50.65,50.73,48.65,49.00,8500,48.71
2014-01-08,48.13,52.39,48.13,50.31,31100,50.01
2014-01-07,46.58,48.91,46.58,48.74,26600,48.45
2014-01-06,47.00,47.01,46.52,46.56,5900,46.28
2014-01-03,46.83,47.24,46.75,47.00,8700,46.72
2014-01-02,47.76,47.76,46.80,46.80,6100,46.52
2013-12-31,49.63,50.00,46.25,47.74,7300,47.46
2013-12-30,47.84,48.64,47.62,48.30,10500,48.01
2013-12-27,48.30,48.34,47.69,47.70,3700,47.42
2013-12-26,48.35,48.45,47.82,48.13,4600,47.84
2013-12-24,47.35,48.75,47.35,47.79,25400,47.51
2013-12-23,47.34,47.78,46.51,47.26,20300,46.98
2013-12-20,46.95,48.50,46.94,47.00,65800,46.72
2013-12-19,47.90,47.90,46.23,47.00,12000,46.72
2013-12-18,47.87,48.40,47.00,48.20,10000,47.91
2013-12-17,48.29,48.29,47.10,47.66,8800,47.38
2013-12-16,47.52,49.00,47.17,48.09,29900,47.80
2013-12-13,47.23,47.79,46.07,47.25,18600,46.97
2013-12-12,48.80,48.91,46.82,47.08,14900,46.80
2013-12-11,49.50,49.51,48.52,48.74,5600,48.45
2013-12-10,49.00,49.93,48.95,49.50,19400,49.21
2013-12-09,49.90,49.90,48.93,49.02,4600,48.73
2013-12-06,49.42,49.97,48.94,49.95,5700,49.65
2013-12-05,49.86,49.86,48.76,48.88,5800,48.59
2013-12-04,49.03,49.96,49.03,49.11,4600,48.82
2013-12-03,49.15,49.75,48.66,49.02,11200,48.73
2013-12-02,49.71,49.91,48.70,48.80,32300,48.51
2013-11-29,49.20,50.50,48.50,49.95,19900,49.65
2013-11-27,48.47,49.43,48.02,49.26,5400,48.97
2013-11-26,48.13,48.89,46.99,48.39,3300,48.10
2013-11-25,48.89,48.89,47.80,47.90,2300,47.62
2013-11-22,47.26,47.81,46.71,47.68,8600,47.40
2013-11-21,46.96,47.70,46.96,47.39,4500,47.11
2013-11-20,46.68,47.32,46.60,46.60,5400,46.32
2013-11-19,47.60,48.01,46.42,46.53,1800,46.25
2013-11-18,47.95,48.02,47.25,47.42,10900,47.14
2013-11-15,46.46,47.99,45.74,47.90,6500,47.62
2013-11-14,45.90,46.84,45.80,46.60,3100,46.32
2013-11-13,44.16,46.10,43.76,45.98,12300,45.71
2013-11-12,45.45,45.45,44.23,44.85,2900,44.58
2013-11-11,46.45,46.45,45.16,45.51,1800,45.24
2013-11-08,46.08,46.54,45.92,46.27,5300,46.00
2013-11-07,47.84,47.84,45.92,45.92,4000,45.65
2013-11-06,46.46,48.57,46.46,47.19,21000,46.91
2013-11-05,48.04,48.04,46.10,46.21,18300,45.94
2013-11-04,46.12,47.19,45.83,46.28,26300,45.74
2013-11-01,45.78,46.33,44.68,45.78,25500,45.24
2013-10-31,46.49,46.50,45.30,45.90,11300,45.36
2013-10-30,46.70,46.80,46.01,46.19,8900,45.65
2013-10-29,46.95,47.55,46.42,46.66,14900,46.11
2013-10-28,46.90,47.71,46.88,47.18,5400,46.63
2013-10-25,47.19,48.45,46.47,47.24,15100,46.69
2013-10-24,46.27,47.47,46.00,46.82,19400,46.27
2013-10-23,46.87,46.87,45.94,45.98,11900,45.44
2013-10-22,46.70,47.49,46.15,46.71,14300,46.16
2013-10-21,46.79,47.27,46.22,46.32,14000,45.78
2013-10-18,46.21,46.93,46.01,46.61,19600,46.06
2013-10-17,45.27,46.52,45.27,45.77,19600,45.23
2013-10-16,45.70,45.99,45.30,45.83,10900,45.29
2013-10-15,45.48,45.78,45.24,45.43,4900,44.90
2013-10-14,44.72,45.88,44.72,45.58,21100,45.04
2013-10-11,43.99,45.64,43.99,45.33,15100,44.80
2013-10-10,44.42,44.92,44.25,44.27,9300,43.75
2013-10-09,44.19,44.86,43.80,44.01,10600,43.49
2013-10-08,44.46,44.67,44.01,44.11,9600,43.59
2013-10-07,44.17,44.98,44.11,44.54,8900,44.02
2013-10-04,43.25,44.60,43.06,44.32,17300,43.80
2013-10-03,43.98,44.20,43.05,43.15,18100,42.64
2013-10-02,44.04,44.58,43.78,43.90,10500,43.38
2013-10-01,44.19,44.51,44.09,44.20,5700,43.68
2013-09-30,43.52,44.62,43.52,44.22,27600,43.70
2013-09-27,44.43,44.55,43.99,44.22,7700,43.70
2013-09-26,44.95,44.95,44.04,44.74,5800,44.21
2013-09-25,45.20,45.20,44.16,44.63,10500,44.11
2013-09-24,45.22,45.27,44.50,45.02,6400,44.49
2013-09-23,45.14,45.32,44.70,45.00,8500,44.47
2013-09-20,44.55,45.45,44.08,44.90,62300,44.37
2013-09-19,45.18,45.29,44.52,44.52,7000,44.00
2013-09-18,45.00,45.79,44.78,45.31,7500,44.78
2013-09-17,44.40,45.38,44.40,45.22,14300,44.69
2013-09-16,44.81,44.85,44.16,44.42,19000,43.90
2013-09-13,44.20,44.63,43.55,44.54,14100,44.02
2013-09-12,44.80,44.84,43.66,43.96,29200,43.44
2013-09-11,44.60,45.10,44.25,44.83,11900,44.30
2013-09-10,44.30,44.87,43.90,44.61,21400,44.09
2013-09-09,44.75,44.75,43.32,44.13,13200,43.61
2013-09-06,44.45,44.87,43.20,43.92,20400,43.40
2013-09-05,44.64,44.64,44.10,44.23,6300,43.71
2013-09-04,43.13,44.95,43.13,44.19,20100,43.67
2013-09-03,44.33,44.77,43.28,43.99,11200,43.47
2013-08-30,44.05,44.37,43.10,43.66,29000,43.15
2013-08-29,43.37,44.37,43.37,44.10,7700,43.58
2013-08-28,42.41,43.59,42.21,43.27,13200,42.76
2013-08-27,43.22,43.75,42.10,42.28,9800,41.78
2013-08-26,43.99,44.48,43.59,43.89,13800,43.37
2013-08-23,44.34,44.34,43.54,43.96,13800,43.44
2013-08-22,44.44,44.90,43.63,44.35,7900,43.83
2013-08-21,44.08,44.29,43.54,43.84,24400,43.33
2013-08-20,43.38,44.36,43.38,44.31,14800,43.79
2013-08-19,43.83,44.85,43.16,43.29,17600,42.78
2013-08-16,43.69,44.73,43.64,44.19,21400,43.67
2013-08-15,43.35,44.81,43.35,43.88,18800,43.36
2013-08-14,43.60,44.02,43.01,43.66,20500,43.15
2013-08-13,43.00,44.05,42.99,43.55,20400,43.04
2013-08-12,42.10,42.99,42.00,42.66,27400,42.16
2013-08-09,42.31,42.50,41.80,42.16,19600,41.66
2013-08-08,42.49,42.49,42.00,42.11,7800,41.62
2013-08-07,42.00,42.39,41.64,42.27,14000,41.77
2013-08-06,42.43,42.60,42.03,42.29,17100,41.79
2013-08-05,42.95,42.97,42.15,42.43,14800,41.93
2013-08-02,43.52,43.98,42.63,42.88,25700,42.38
2013-08-01,44.29,44.69,43.35,43.58,22100,43.07
