Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,23.03,23.03,21.63,22.12,102500,22.12
2014-02-21,20.50,22.63,20.30,21.42,80900,21.42
2014-02-20,19.35,20.61,19.01,20.29,60300,20.29
2014-02-19,19.20,19.69,19.03,19.36,22600,19.36
2014-02-18,19.74,19.74,19.05,19.20,72200,19.20
2014-02-14,19.29,19.29,19.10,19.23,31500,19.23
2014-02-13,19.02,19.63,18.80,19.30,66700,19.30
2014-02-12,19.69,19.75,18.80,19.32,92200,19.32
2014-02-11,19.72,19.72,18.89,19.50,60400,19.50
2014-02-10,17.36,19.90,17.34,19.63,80200,19.63
2014-02-07,16.58,17.50,16.54,17.26,89000,17.26
2014-02-06,16.63,16.74,16.29,16.48,28000,16.48
2014-02-05,16.53,16.75,16.05,16.58,17200,16.58
2014-02-04,16.17,16.75,15.93,16.52,31200,16.52
2014-02-03,15.67,16.15,14.88,15.41,53900,15.41
2014-01-31,16.43,16.66,15.52,15.53,27400,15.53
2014-01-30,15.92,17.25,15.92,16.50,134200,16.50
2014-01-29,15.80,16.30,14.82,15.83,25400,15.83
2014-01-28,14.81,16.00,14.71,15.68,29400,15.68
2014-01-27,15.34,15.35,14.16,14.66,78800,14.66
2014-01-24,16.95,17.00,14.00,15.30,100000,15.30
2014-01-23,16.18,16.21,15.90,16.11,29800,16.11
2014-01-22,16.13,16.87,16.13,16.43,113100,16.43
2014-01-21,15.75,16.13,15.75,16.13,90000,16.13
2014-01-17,16.00,16.22,15.75,15.77,104200,15.77
2014-01-16,15.99,16.50,15.75,16.05,293100,16.05
2014-01-15,13.55,17.27,13.55,15.56,329400,15.56
2014-01-14,13.50,13.60,12.77,13.41,124700,13.41
2014-01-13,13.50,13.50,12.74,13.30,107300,13.30
2014-01-10,13.15,13.50,12.10,12.75,210400,12.75
2014-01-09,10.87,11.56,10.61,11.14,103000,11.14
2014-01-08,10.60,10.80,10.32,10.63,39700,10.63
2014-01-07,10.22,10.95,10.15,10.70,88800,10.70
2014-01-06,10.40,10.70,9.99,10.39,144700,10.39
2014-01-03,11.07,11.10,10.55,10.79,42500,10.79
2014-01-02,11.28,11.28,10.75,10.95,80000,10.95
2013-12-31,11.15,11.29,10.80,11.17,69600,11.17
2013-12-30,11.61,11.81,10.74,11.00,91200,11.00
2013-12-27,11.51,11.68,11.03,11.61,68700,11.61
2013-12-26,12.15,12.15,11.53,11.85,41100,11.85
2013-12-24,12.49,12.58,12.10,12.15,32500,12.15
2013-12-23,12.45,13.00,11.81,12.28,113200,12.28
2013-12-20,12.20,12.50,12.07,12.37,20000,12.37
2013-12-19,11.80,12.85,11.80,12.32,55900,12.32
2013-12-18,11.95,12.22,11.79,11.93,44200,11.93
2013-12-17,12.00,12.40,11.95,12.12,59000,12.12
2013-12-16,12.02,12.47,11.75,12.00,98400,12.00
2013-12-13,12.40,14.06,11.65,12.20,217400,12.20
2013-12-12,8.75,12.72,8.75,11.95,1132800,11.95
