Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,7.25,8.30,7.25,7.65,34600,7.65
2014-02-21,7.40,7.60,7.27,7.28,9800,7.28
2014-02-20,7.74,7.74,7.26,7.70,1700,7.70
2014-02-19,7.60,7.65,7.26,7.27,9200,7.27
2014-02-18,7.55,7.80,7.42,7.60,4700,7.60
2014-02-14,7.68,8.00,7.25,7.63,19500,7.63
2014-02-13,8.20,8.38,7.75,7.80,14200,7.80
2014-02-12,7.11,8.43,6.91,8.15,78300,8.15
2014-02-11,7.01,7.41,7.01,7.18,14600,7.18
2014-02-10,7.38,7.48,6.50,7.38,31400,7.38
2014-02-07,7.89,7.96,7.14,7.34,8200,7.34
2014-02-06,7.06,7.88,6.94,7.40,26700,7.40
2014-02-05,8.29,8.29,7.05,7.15,40600,7.15
2014-02-04,9.97,9.97,8.01,8.11,55600,8.11
2014-02-03,10.01,10.28,9.83,10.02,7300,10.02
2014-01-31,10.25,10.60,9.77,10.06,15000,10.06
2014-01-30,10.20,10.97,10.15,10.44,16700,10.44
2014-01-29,10.70,10.97,9.70,10.16,30200,10.16
2014-01-28,9.71,11.25,9.70,10.71,30100,10.71
2014-01-27,10.55,11.38,9.82,9.82,53400,9.82
2014-01-24,9.74,13.70,9.54,10.99,300100,10.99
2014-01-23,9.85,11.20,9.51,9.60,150400,9.60
2014-01-22,10.40,11.20,9.55,10.05,123200,10.05
2014-01-21,10.60,13.48,10.00,10.56,352600,10.56
2014-01-17,7.13,16.74,6.76,12.30,1423100,12.30
2014-01-16,5.00,5.07,4.27,4.95,16400,4.95
2014-01-15,5.60,5.60,4.36,5.10,42100,5.10
2014-01-14,5.50,6.00,5.35,5.37,75100,5.37
2014-01-13,3.72,5.40,3.51,4.72,102800,4.72
2014-01-10,3.38,3.99,3.23,3.88,20300,3.88
2014-01-09,3.15,3.15,3.15,3.15,000,3.15
2014-01-08,3.13,3.40,3.05,3.15,16800,3.15
2014-01-07,3.36,3.36,3.00,3.19,7300,3.19
2014-01-06,3.12,3.25,3.12,3.18,1700,3.18
2014-01-03,3.05,3.11,3.04,3.11,4700,3.11
2014-01-02,2.98,3.02,2.89,2.96,4900,2.96
2013-12-31,3.07,3.07,2.82,2.82,3500,2.82
2013-12-30,3.11,3.40,3.00,3.00,4000,3.00
2013-12-27,2.76,3.21,2.75,3.07,36400,3.07
2013-12-26,2.75,2.75,2.75,2.75,300,2.75
2013-12-24,2.80,2.80,2.80,2.80,000,2.80
2013-12-23,2.90,2.90,2.80,2.80,1300,2.80
2013-12-20,2.93,2.95,2.80,2.84,5500,2.84
2013-12-19,2.90,2.95,2.90,2.95,2400,2.95
2013-12-18,2.94,3.03,2.94,2.96,1000,2.96
2013-12-17,3.23,3.36,2.66,2.99,32100,2.99
2013-12-16,3.14,3.30,2.95,3.30,14300,3.30
2013-12-13,3.00,3.29,2.99,3.05,8000,3.05
2013-12-12,2.99,3.30,2.99,3.30,7900,3.30
2013-12-11,3.00,3.35,2.80,2.86,17000,2.86
2013-12-10,2.46,3.34,2.45,2.90,51500,2.90
2013-12-09,2.08,2.08,2.08,2.08,200,2.08
2013-12-06,2.60,2.60,2.60,2.60,000,2.60
2013-12-05,2.35,2.60,2.35,2.60,8800,2.60
2013-12-04,2.55,2.55,2.55,2.55,200,2.55
2013-12-03,2.09,2.58,2.09,2.58,600,2.58
2013-12-02,2.45,2.45,2.45,2.45,000,2.45
2013-11-29,2.45,2.45,2.45,2.45,300,2.45
2013-11-27,2.45,2.62,2.38,2.50,4100,2.50
2013-11-26,2.34,2.35,2.23,2.35,1400,2.35
2013-11-25,2.30,2.50,2.30,2.50,2900,2.50
2013-11-22,2.21,2.21,2.21,2.21,000,2.21
2013-11-21,2.21,2.21,2.21,2.21,000,2.21
2013-11-20,2.21,2.21,2.21,2.21,600,2.21
2013-11-19,2.38,2.38,2.38,2.38,300,2.38
2013-11-18,2.36,2.36,2.36,2.36,100,2.36
2013-11-15,2.10,2.37,2.07,2.37,2300,2.37
2013-11-14,2.09,2.09,2.09,2.09,000,2.09
2013-11-13,2.31,2.31,1.95,2.09,5800,2.09
2013-11-12,2.55,2.55,2.26,2.27,300,2.27
2013-11-11,2.32,2.52,2.32,2.52,5200,2.52
2013-11-08,2.44,2.49,1.99,2.48,9200,2.48
2013-11-07,2.61,2.61,2.60,2.60,700,2.60
2013-11-06,2.63,2.63,2.63,2.63,000,2.63
2013-11-05,2.70,2.70,2.61,2.63,900,2.63
2013-11-04,2.60,2.75,2.60,2.75,2300,2.75
2013-11-01,2.67,2.90,2.48,2.65,4200,2.65
2013-10-31,2.67,2.76,2.65,2.65,3600,2.65
2013-10-30,2.75,2.78,2.61,2.64,3300,2.64
2013-10-29,2.88,2.88,2.88,2.88,000,2.88
2013-10-28,2.88,2.88,2.88,2.88,000,2.88
2013-10-25,2.88,2.88,2.88,2.88,000,2.88
2013-10-24,2.88,2.88,2.88,2.88,000,2.88
2013-10-23,2.88,2.88,2.88,2.88,300,2.88
2013-10-22,3.01,3.01,3.01,3.01,000,3.01
2013-10-21,3.01,3.01,3.01,3.01,500,3.01
2013-10-18,3.02,3.02,3.01,3.01,700,3.01
2013-10-17,2.96,3.12,2.96,3.11,400,3.11
2013-10-16,3.25,3.25,3.23,3.25,1700,3.25
2013-10-15,3.20,3.20,3.19,3.20,400,3.20
2013-10-14,2.81,2.92,2.81,2.90,2100,2.90
2013-10-11,3.01,3.01,3.01,3.01,000,3.01
2013-10-10,3.02,3.02,3.00,3.01,2300,3.01
2013-10-09,3.08,3.15,3.01,3.01,1900,3.01
2013-10-08,2.96,3.46,2.75,3.15,10700,3.15
2013-10-07,2.75,2.75,2.75,2.75,800,2.75
2013-10-04,2.97,2.97,2.66,2.70,600,2.70
2013-10-03,2.61,2.90,2.61,2.89,2000,2.89
2013-10-02,2.64,2.98,2.64,2.70,1300,2.70
2013-10-01,2.98,2.98,2.60,2.61,2200,2.61
2013-09-30,2.60,2.98,2.60,2.74,4300,2.74
2013-09-27,2.52,2.98,2.52,2.98,1000,2.98
2013-09-26,2.63,2.65,2.51,2.60,6600,2.60
2013-09-25,2.76,2.76,2.76,2.76,000,2.76
2013-09-24,2.76,2.76,2.76,2.76,000,2.76
2013-09-23,2.76,2.76,2.76,2.76,000,2.76
2013-09-20,2.79,2.99,2.76,2.76,5400,2.76
2013-09-19,2.62,2.62,2.62,2.62,100,2.62
2013-09-18,2.60,2.60,2.60,2.60,000,2.60
2013-09-17,2.60,2.60,2.60,2.60,000,2.60
2013-09-16,2.58,2.80,2.50,2.60,1600,2.60
2013-09-13,2.40,2.80,2.40,2.80,1000,2.80
2013-09-12,2.71,2.71,2.71,2.71,100,2.71
2013-09-11,2.80,2.80,2.80,2.80,500,2.80
2013-09-10,2.45,2.88,2.45,2.88,700,2.88
2013-09-09,2.88,2.88,2.61,2.65,8800,2.65
2013-09-06,2.89,2.90,2.75,2.75,3700,2.75
2013-09-05,2.63,2.80,2.52,2.72,14700,2.72
2013-09-04,2.48,2.48,2.24,2.24,500,2.24
2013-09-03,2.50,2.94,2.10,2.34,3300,2.34
2013-08-30,2.65,2.65,2.65,2.65,000,2.65
2013-08-29,2.75,2.75,2.08,2.65,1400,2.65
2013-08-28,2.75,2.75,2.75,2.75,400,2.75
2013-08-27,2.80,2.85,2.80,2.85,2900,2.85
2013-08-26,2.86,2.86,2.86,2.86,000,2.86
2013-08-23,2.86,2.86,2.86,2.86,000,2.86
2013-08-22,2.86,2.86,2.86,2.86,200,2.86
2013-08-21,2.85,2.86,2.85,2.86,300,2.86
2013-08-20,2.75,3.10,2.75,2.97,2200,2.97
2013-08-19,3.09,3.09,3.00,3.00,400,3.00
2013-08-16,3.25,3.25,3.02,3.06,2000,3.06
2013-08-15,3.18,3.18,3.18,3.18,000,3.18
2013-08-14,3.00,3.18,3.00,3.18,1000,3.18
2013-08-13,3.48,3.48,3.00,3.05,4200,3.05
2013-08-12,3.14,3.42,2.90,2.97,10000,2.97
2013-08-09,3.40,3.45,2.85,3.43,1600,3.43
2013-08-08,3.45,3.45,3.12,3.19,600,3.19
2013-08-07,3.12,3.49,2.80,3.45,15200,3.45
2013-08-06,3.70,3.70,3.15,3.18,12900,3.18
2013-08-05,4.88,5.10,3.55,3.70,46100,3.70
2013-08-02,3.00,5.44,2.95,4.88,96200,4.88
2013-08-01,1.85,3.01,1.85,3.01,10000,3.01
2013-07-31,2.14,2.14,2.00,2.01,1500,2.01
2013-07-30,1.94,2.13,1.94,2.13,200,2.13
2013-07-29,2.13,2.13,2.13,2.13,100,2.13
2013-07-26,1.97,1.97,1.97,1.97,800,1.97
2013-07-25,2.05,2.11,1.99,2.10,4400,2.10
2013-07-24,2.00,2.38,1.94,2.38,1700,2.38
2013-07-23,2.44,2.44,2.44,2.44,000,2.44
2013-07-22,2.44,2.44,2.44,2.44,000,2.44
2013-07-19,2.44,2.44,2.44,2.44,000,2.44
2013-07-18,2.44,2.44,2.44,2.44,000,2.44
2013-07-17,2.44,2.44,2.44,2.44,000,2.44
2013-07-16,2.44,2.44,2.44,2.44,000,2.44
2013-07-15,2.44,2.44,2.44,2.44,000,2.44
2013-07-12,2.44,2.44,2.44,2.44,000,2.44
2013-07-11,2.12,2.44,2.12,2.44,400,2.44
2013-07-10,2.51,2.51,2.51,2.51,000,2.51
2013-07-09,2.51,2.51,2.51,2.51,000,2.51
2013-07-08,2.51,2.51,2.51,2.51,500,2.51
2013-07-05,1.77,2.52,1.77,2.45,1500,2.45
2013-07-03,2.15,2.15,2.15,2.15,000,2.15
2013-07-02,2.15,2.15,2.15,2.15,000,2.15
2013-07-01,2.15,2.15,2.15,2.15,000,2.15
2013-06-28,2.15,2.15,2.15,2.15,000,2.15
2013-06-27,2.15,2.15,2.15,2.15,400,2.15
2013-06-26,2.10,2.10,2.10,2.10,000,2.10
2013-06-25,2.10,2.10,2.10,2.10,000,2.10
2013-06-24,2.10,2.10,2.10,2.10,000,2.10
2013-06-21,2.22,2.22,2.10,2.10,800,2.10
2013-06-20,2.27,2.47,2.17,2.17,2100,2.17
2013-06-19,2.09,2.50,2.09,2.34,4100,2.34
2013-06-18,2.53,2.53,2.53,2.53,000,2.53
2013-06-17,2.30,2.55,1.73,2.53,1900,2.53
2013-06-14,2.30,2.35,2.30,2.35,1600,2.35
2013-06-13,2.30,2.30,2.30,2.30,200,2.30
2013-06-12,2.71,2.71,2.71,2.71,100,2.71
2013-06-11,2.95,2.95,2.95,2.95,000,2.95
2013-06-10,2.54,2.95,2.07,2.95,1500,2.95
2013-06-07,2.59,2.79,2.53,2.53,900,2.53
2013-06-06,2.41,2.68,2.41,2.58,1900,2.58
2013-06-05,2.36,2.36,2.36,2.36,200,2.36
2013-06-04,2.26,2.35,2.26,2.35,400,2.35
2013-06-03,2.25,2.25,2.25,2.25,000,2.25
2013-05-31,2.25,2.32,2.25,2.25,400,2.25
2013-05-30,2.55,2.55,2.16,2.21,1900,2.21
2013-05-29,2.65,2.65,2.65,2.65,000,2.65
2013-05-28,2.59,2.76,2.55,2.65,800,2.65
2013-05-24,2.75,2.76,2.75,2.76,300,2.76
2013-05-23,2.75,2.75,2.75,2.75,200,2.75
2013-05-22,2.64,2.97,2.64,2.97,200,2.97
2013-05-21,2.57,2.57,2.57,2.57,2500,2.57
2013-05-20,2.56,2.59,2.56,2.59,300,2.59
2013-05-17,2.55,2.55,2.55,2.55,000,2.55
2013-05-16,2.55,2.55,2.55,2.55,300,2.55
2013-05-15,2.55,2.55,2.55,2.55,500,2.55
2013-05-14,2.55,2.55,2.55,2.55,500,2.55
