Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,5.17,5.27,5.15,5.20,3800,5.20
2014-02-21,5.17,5.22,5.13,5.13,4100,5.13
2014-02-20,5.19,5.25,5.10,5.17,9400,5.17
2014-02-19,5.21,5.21,5.13,5.16,2800,5.16
2014-02-18,5.55,5.55,5.10,5.15,39300,5.15
2014-02-14,5.30,5.60,5.10,5.60,49800,5.60
2014-02-13,5.83,5.93,5.67,5.90,5300,5.90
2014-02-12,5.85,5.96,5.58,5.94,6200,5.94
2014-02-11,5.75,5.85,5.56,5.85,800,5.85
2014-02-10,5.90,5.90,5.80,5.87,1500,5.87
2014-02-07,5.90,5.90,5.90,5.90,200,5.90
2014-02-06,5.84,5.98,5.82,5.85,6200,5.85
2014-02-05,5.81,5.81,5.81,5.81,1700,5.81
2014-02-04,5.90,5.90,5.80,5.80,300,5.80
2014-02-03,5.85,5.85,5.75,5.75,1800,5.75
2014-01-31,5.80,5.82,5.79,5.81,1200,5.81
2014-01-30,5.62,5.85,5.61,5.84,3600,5.84
2014-01-29,5.84,5.84,5.84,5.84,100,5.84
2014-01-28,5.82,5.82,5.74,5.80,1800,5.80
2014-01-27,5.69,5.84,5.68,5.80,2100,5.80
2014-01-24,5.85,5.85,5.74,5.85,1500,5.85
2014-01-23,5.80,5.80,5.54,5.72,7300,5.72
2014-01-22,5.85,5.85,5.71,5.71,8300,5.71
2014-01-21,5.39,5.85,5.38,5.80,12900,5.80
2014-01-17,5.60,5.60,5.32,5.32,3300,5.32
2014-01-16,5.78,5.85,5.73,5.73,2600,5.73
2014-01-15,5.90,5.90,5.71,5.80,6900,5.80
2014-01-14,5.81,5.90,5.79,5.85,17600,5.85
2014-01-13,5.85,5.85,5.72,5.85,14700,5.85
2014-01-10,5.85,5.85,5.59,5.83,13400,5.83
2014-01-09,5.15,6.59,5.15,5.85,27900,5.85
2014-01-08,5.15,5.15,5.05,5.13,800,5.13
2014-01-07,5.04,5.15,5.04,5.14,8900,5.14
