Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,6.86,6.89,6.84,6.89,400,6.89
2014-02-21,6.68,6.90,6.68,6.90,1700,6.90
2014-02-20,6.84,6.87,6.84,6.87,2100,6.87
2014-02-19,6.85,6.90,6.77,6.87,3200,6.87
2014-02-18,6.81,6.82,6.81,6.82,1300,6.82
2014-02-14,6.91,6.91,6.60,6.84,18000,6.84
2014-02-13,6.80,6.89,6.61,6.85,3700,6.85
2014-02-12,6.47,6.87,6.47,6.87,5700,6.87
2014-02-11,6.34,6.44,6.15,6.41,24200,6.41
2014-02-10,6.39,6.60,6.39,6.59,2400,6.59
2014-02-07,6.55,6.55,6.47,6.47,700,6.47
2014-02-06,6.26,6.50,6.26,6.39,7200,6.39
2014-02-05,6.35,6.60,6.25,6.25,13000,6.25
2014-02-04,6.53,6.58,6.39,6.49,5000,6.49
2014-02-03,6.51,6.79,6.51,6.59,6300,6.59
2014-01-31,6.55,6.56,6.53,6.56,1700,6.56
2014-01-30,6.45,6.60,6.30,6.55,9000,6.55
2014-01-29,6.70,6.90,6.25,6.43,13400,6.43
2014-01-28,6.53,6.90,6.45,6.64,14400,6.64
2014-01-27,6.70,6.70,6.40,6.55,9700,6.55
2014-01-24,6.65,6.80,6.60,6.62,6300,6.62
2014-01-23,6.85,6.92,6.65,6.83,15600,6.83
2014-01-22,6.80,6.90,6.79,6.86,11900,6.86
2014-01-21,6.92,6.94,6.84,6.87,6200,6.87
2014-01-17,6.76,6.96,6.76,6.77,23000,6.77
2014-01-16,6.95,6.95,6.65,6.70,14900,6.70
2014-01-15,6.48,6.95,6.46,6.66,43600,6.66
2014-01-14,6.24,6.70,6.13,6.50,24900,6.50
2014-01-13,6.00,6.25,6.00,6.12,23100,6.12
2014-01-10,5.89,6.05,5.89,6.05,18800,6.05
2014-01-09,6.05,6.05,5.95,5.99,21500,5.99
2014-01-08,5.90,6.05,5.85,6.05,36700,6.05
2014-01-07,5.85,5.89,5.81,5.89,11900,5.89
2014-01-06,5.87,5.90,5.74,5.86,20000,5.86
2014-01-03,5.90,5.90,5.68,5.85,7800,5.85
2014-01-02,5.30,6.00,5.30,5.82,66400,5.82
2013-12-31,5.05,5.65,5.05,5.26,24100,5.26
2013-12-30,4.95,5.12,4.90,5.00,43400,5.00
2013-12-27,5.00,5.17,4.97,4.97,21400,4.97
2013-12-26,5.11,5.11,5.01,5.02,7500,5.02
2013-12-24,5.13,5.13,5.01,5.06,900,5.06
2013-12-23,4.95,5.12,4.95,5.05,30800,5.05
2013-12-20,5.10,5.12,5.02,5.02,4100,5.02
2013-12-19,4.94,5.09,4.94,5.09,1700,5.09
2013-12-18,5.12,5.16,4.93,5.14,7900,5.14
2013-12-17,5.17,5.25,4.86,4.97,27600,4.97
2013-12-16,4.83,5.30,4.83,5.30,13900,5.30
2013-12-13,5.29,5.29,4.75,4.91,50600,4.91
2013-12-12,5.90,5.90,5.29,5.30,42700,5.30
2013-12-11,5.46,6.00,5.46,5.89,19400,5.89
