Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,89.28,90.79,89.00,90.02,64200,90.02
2014-02-21,89.42,89.91,88.36,89.01,70600,89.01
2014-02-20,87.36,88.97,87.08,88.93,54300,88.93
2014-02-19,88.14,88.44,87.07,87.23,56700,87.23
2014-02-18,88.88,89.11,88.13,88.56,94800,88.56
2014-02-14,87.67,88.67,86.93,88.50,52100,88.50
2014-02-13,85.68,87.93,85.41,87.69,100300,87.69
2014-02-12,85.40,86.36,85.13,86.23,66700,86.23
2014-02-11,84.14,85.50,84.05,85.23,77100,85.23
2014-02-10,84.88,84.88,83.14,84.34,96400,84.34
2014-02-07,85.35,85.64,84.33,84.84,81300,84.84
2014-02-06,85.76,86.21,85.00,85.10,69300,85.10
2014-02-05,85.44,86.41,85.01,85.51,80300,85.51
2014-02-04,86.48,87.32,85.52,85.70,132200,85.70
2014-02-03,87.03,88.90,85.71,86.25,308900,86.25
2014-01-31,84.27,87.34,83.87,86.92,128500,86.92
2014-01-30,84.39,85.04,82.90,84.24,68000,84.24
2014-01-29,84.05,84.42,83.19,83.47,196900,83.47
2014-01-28,84.20,84.97,83.51,84.89,99400,84.89
2014-01-27,84.31,84.75,83.44,83.59,73100,83.59
2014-01-24,84.98,85.62,83.92,84.32,64100,84.32
2014-01-23,85.01,86.13,84.69,85.61,71600,85.61
2014-01-22,85.91,85.91,84.85,85.39,56600,85.39
2014-01-21,86.27,86.27,84.68,85.68,54900,85.68
2014-01-17,86.01,86.01,84.86,85.38,59600,85.38
2014-01-16,85.41,86.04,85.32,86.02,20700,86.02
2014-01-15,86.23,86.23,85.41,85.73,35500,85.73
2014-01-14,85.44,86.39,81.91,86.11,91800,86.11
2014-01-13,85.86,86.26,84.65,85.32,58100,85.32
2014-01-10,86.63,86.64,85.49,86.17,59400,86.17
2014-01-09,85.92,86.64,85.16,86.46,115100,86.46
2014-01-08,86.03,86.14,85.01,85.56,69300,85.56
2014-01-07,86.02,87.01,85.59,86.27,63900,86.27
2014-01-06,87.36,87.64,85.65,85.74,33700,85.74
2014-01-03,86.26,87.36,85.93,87.01,96200,87.01
2014-01-02,88.11,88.11,85.77,86.19,75700,86.19
2013-12-31,88.93,89.20,88.00,88.15,61100,88.15
2013-12-30,88.21,89.95,87.86,88.68,44600,88.68
2013-12-27,87.70,88.47,87.50,88.29,82900,88.29
2013-12-26,88.01,88.11,86.76,87.33,163200,87.33
2013-12-24,87.97,88.54,87.56,87.71,36400,87.71
2013-12-23,88.60,89.50,87.91,88.25,71300,88.25
2013-12-20,87.09,88.51,86.02,88.32,251500,88.32
2013-12-19,87.04,87.54,86.41,86.69,89000,86.69
2013-12-18,86.88,87.59,85.12,87.40,67700,87.40
2013-12-17,87.25,87.35,85.61,86.53,100300,86.53
2013-12-16,86.05,87.89,86.00,87.30,117100,87.30
