Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,12.74,12.91,11.85,11.95,54100,11.95
2014-02-21,12.97,13.13,12.52,12.64,36000,12.64
2014-02-20,13.44,13.44,12.56,12.96,27200,12.96
2014-02-19,13.58,13.61,13.30,13.50,11600,13.50
2014-02-18,13.77,13.82,13.47,13.58,19500,13.58
2014-02-14,13.71,13.84,13.48,13.60,6200,13.60
2014-02-13,13.61,13.70,13.51,13.62,4600,13.59
2014-02-12,13.69,13.79,13.51,13.65,13600,13.62
2014-02-11,13.74,14.12,13.65,13.74,20300,13.71
2014-02-10,13.59,14.13,13.36,13.74,17100,13.71
2014-02-07,13.50,13.70,13.35,13.70,21000,13.67
2014-02-06,13.36,13.61,13.35,13.54,11800,13.51
2014-02-05,13.76,13.78,13.10,13.36,32600,13.33
2014-02-04,13.80,14.02,13.60,13.71,13500,13.68
2014-02-03,13.39,13.86,13.34,13.82,34800,13.79
2014-01-31,13.28,13.50,13.11,13.47,18800,13.44
2014-01-30,13.50,13.89,13.38,13.41,15300,13.38
2014-01-29,13.96,13.97,13.10,13.38,52300,13.35
2014-01-28,14.10,14.23,13.83,13.97,18600,13.94
2014-01-27,14.27,14.38,14.03,14.10,25100,14.07
2014-01-24,14.25,14.39,14.05,14.25,14200,14.22
2014-01-23,14.50,14.50,14.24,14.45,29900,14.42
2014-01-22,14.80,14.85,14.51,14.54,28800,14.51
2014-01-21,14.90,14.95,14.73,14.86,33600,14.83
2014-01-17,14.69,14.89,14.62,14.85,8300,14.82
2014-01-16,14.66,14.75,14.60,14.69,10300,14.63
2014-01-15,14.60,14.76,14.60,14.60,17600,14.54
2014-01-14,14.50,14.72,14.50,14.55,33300,14.49
2014-01-13,14.51,14.61,14.50,14.50,33900,14.44
2014-01-10,14.75,14.75,14.55,14.66,39100,14.60
2014-01-09,14.54,14.72,14.00,14.72,70000,14.66
2014-01-08,15.36,15.78,14.15,15.02,391600,14.96
2014-01-07,16.05,16.13,15.91,16.02,29200,15.95
2014-01-06,16.00,16.07,15.83,16.03,28700,15.96
2014-01-03,16.02,16.08,15.56,16.06,57500,15.99
