Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,19.38,19.38,18.75,19.00,5000,19.00
2014-02-21,19.49,19.49,19.16,19.33,1300,19.33
2014-02-20,19.51,19.51,19.51,19.51,000,19.51
2014-02-19,19.51,19.51,19.51,19.51,200,19.51
2014-02-18,19.03,19.65,19.03,19.25,2100,19.25
2014-02-14,19.07,19.23,19.02,19.02,3400,19.02
2014-02-13,19.12,19.90,18.91,19.25,5400,19.06
2014-02-12,19.17,19.67,19.17,19.51,6900,19.32
2014-02-11,19.08,19.49,19.08,19.15,5100,18.96
2014-02-10,19.03,19.14,19.03,19.10,2800,18.91
2014-02-07,18.92,18.98,18.78,18.78,3500,18.59
2014-02-06,18.88,18.96,18.76,18.92,6800,18.73
2014-02-05,19.05,19.20,19.00,19.00,1600,18.81
2014-02-04,19.19,19.19,18.75,19.07,2600,18.88
2014-02-03,19.19,19.41,19.14,19.14,2400,18.95
2014-01-31,19.12,19.22,19.11,19.15,5500,18.96
2014-01-30,19.27,19.35,19.27,19.35,800,19.16
2014-01-29,19.43,19.48,19.25,19.25,2400,19.06
2014-01-28,19.55,19.55,19.24,19.24,1600,19.05
2014-01-27,19.61,19.63,19.35,19.53,3400,19.34
2014-01-24,19.85,19.85,19.62,19.62,1800,19.43
2014-01-23,19.73,19.94,19.73,19.94,500,19.74
2014-01-22,19.73,19.88,19.73,19.80,300,19.60
2014-01-21,19.80,19.81,19.55,19.80,1300,19.60
2014-01-17,19.60,19.80,19.60,19.80,1800,19.60
2014-01-16,19.80,19.96,19.63,19.70,4500,19.51
2014-01-15,19.95,19.99,19.86,19.86,1900,19.66
2014-01-14,19.80,19.80,19.80,19.80,000,19.60
2014-01-13,19.69,20.00,19.67,19.80,6200,19.60
2014-01-10,19.64,19.67,19.48,19.67,1200,19.48
2014-01-09,19.58,19.67,19.29,19.65,4000,19.46
2014-01-08,19.55,19.55,19.55,19.55,1700,19.36
2014-01-07,19.50,19.61,19.32,19.48,3400,19.29
2014-01-06,19.40,19.40,19.28,19.37,800,19.18
2014-01-03,19.62,19.85,19.38,19.85,3400,19.65
2014-01-02,19.90,20.01,19.90,20.01,1300,19.81
2013-12-31,19.71,19.75,19.49,19.60,5900,19.41
2013-12-30,19.79,19.79,19.71,19.71,2500,19.52
2013-12-27,19.70,19.98,19.70,19.91,3100,19.71
2013-12-26,19.98,19.98,19.94,19.97,700,19.77
2013-12-24,19.50,19.50,19.50,19.50,200,19.31
2013-12-23,19.98,19.98,19.68,19.68,1000,19.49
2013-12-20,19.75,19.98,19.54,19.98,3900,19.78
2013-12-19,20.00,20.00,19.70,19.85,900,19.65
2013-12-18,19.55,20.00,19.55,19.75,2200,19.56
2013-12-17,19.89,19.95,19.69,19.90,1500,19.70
2013-12-16,20.00,20.11,19.85,19.85,4800,19.65
2013-12-13,20.00,20.00,19.99,19.99,400,19.79
2013-12-12,20.05,20.12,20.05,20.12,1200,19.92
2013-12-11,20.20,20.30,20.05,20.28,2900,20.08
