Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,10.93,11.21,10.93,11.15,45000,11.15
2014-02-21,10.97,11.06,10.85,10.92,78200,10.92
2014-02-20,10.66,10.93,10.66,10.90,32300,10.90
2014-02-19,10.95,10.95,10.68,10.68,64400,10.68
2014-02-18,10.90,11.14,10.83,10.95,41600,10.95
2014-02-14,10.90,10.90,10.77,10.85,30100,10.85
2014-02-13,10.64,10.93,10.47,10.89,60000,10.89
2014-02-12,10.65,10.81,10.52,10.75,64800,10.75
2014-02-11,10.42,10.70,10.42,10.60,46100,10.60
2014-02-10,10.38,10.42,10.12,10.41,93500,10.41
2014-02-07,10.41,10.47,10.08,10.36,68600,10.36
2014-02-06,10.43,10.58,10.21,10.39,53500,10.39
2014-02-05,10.77,10.89,10.42,10.45,64600,10.37
2014-02-04,10.71,10.94,10.54,10.82,80700,10.74
2014-02-03,11.28,11.45,10.54,10.68,97900,10.60
2014-01-31,11.36,11.55,11.23,11.27,79400,11.19
2014-01-30,11.42,11.74,11.33,11.54,104100,11.46
2014-01-29,11.39,11.55,11.21,11.36,89300,11.28
2014-01-28,11.51,11.69,11.46,11.51,80400,11.43
2014-01-27,11.73,11.87,11.59,11.61,40300,11.53
2014-01-24,11.84,11.94,11.45,11.71,87400,11.63
2014-01-23,12.02,12.02,11.84,11.87,50500,11.78
2014-01-22,12.06,12.19,11.96,12.11,26800,12.02
2014-01-21,12.12,12.25,11.95,12.01,61000,11.92
2014-01-17,11.91,12.01,11.82,12.00,63500,11.91
2014-01-16,11.95,11.99,11.73,11.95,42200,11.86
2014-01-15,11.77,11.98,11.71,11.97,309900,11.88
2014-01-14,11.75,11.88,11.67,11.77,252100,11.69
2014-01-13,11.86,11.86,11.48,11.66,101400,11.58
2014-01-10,12.00,12.02,11.70,11.91,40300,11.82
2014-01-09,12.07,12.08,11.76,11.97,27000,11.88
2014-01-08,12.02,12.19,11.82,12.00,37200,11.91
2014-01-07,12.00,12.16,11.89,12.00,53100,11.91
2014-01-06,12.18,12.21,11.91,11.94,68000,11.85
2014-01-03,12.11,12.23,12.04,12.11,65800,12.02
2014-01-02,12.35,12.35,11.98,12.10,96200,12.01
2013-12-31,12.49,12.60,12.36,12.37,45700,12.28
2013-12-30,12.36,12.57,12.32,12.47,29000,12.38
2013-12-27,12.49,12.49,12.28,12.40,46100,12.31
2013-12-26,12.47,12.54,12.27,12.49,39200,12.40
2013-12-24,12.59,12.59,12.14,12.39,65200,12.30
2013-12-23,12.59,12.70,12.52,12.64,43800,12.55
2013-12-20,12.36,12.60,12.36,12.57,218100,12.48
2013-12-19,12.35,12.40,12.20,12.30,42700,12.21
2013-12-18,11.98,12.37,11.90,12.36,60700,12.27
2013-12-17,12.14,12.14,11.92,11.93,40600,11.84
2013-12-16,12.03,12.20,11.95,12.11,62200,12.02
2013-12-13,11.97,12.15,11.87,12.01,57400,11.92
2013-12-12,11.99,12.14,11.84,11.91,100500,11.82
2013-12-11,12.09,12.18,11.76,11.96,42500,11.87
2013-12-10,12.34,12.35,12.02,12.04,68500,11.95
2013-12-09,12.46,12.46,12.08,12.37,42400,12.28
2013-12-06,12.45,12.55,12.38,12.45,89300,12.36
2013-12-05,12.24,12.42,12.15,12.30,27400,12.21
2013-12-04,12.26,12.50,12.08,12.22,45800,12.13
2013-12-03,12.37,12.45,12.15,12.30,59000,12.21
2013-12-02,12.57,12.63,12.31,12.42,81800,12.33
2013-11-29,12.65,12.68,12.52,12.61,36600,12.52
2013-11-27,12.44,12.54,12.37,12.52,71200,12.43
2013-11-26,12.35,12.41,12.19,12.40,58300,12.31
2013-11-25,12.15,12.33,12.03,12.32,49600,12.23
2013-11-22,12.04,12.12,11.93,12.10,64100,12.01
2013-11-21,11.70,12.00,11.64,12.00,73700,11.91
2013-11-20,11.66,11.66,11.57,11.62,216400,11.54
2013-11-19,11.65,11.78,11.49,11.60,29000,11.52
2013-11-18,11.73,11.88,11.56,11.57,68100,11.49
2013-11-15,11.85,11.85,11.61,11.65,71500,11.57
2013-11-14,11.94,11.94,11.82,11.85,66400,11.76
2013-11-13,11.51,11.98,11.41,11.98,40800,11.89
2013-11-12,11.69,11.72,11.51,11.59,26700,11.51
2013-11-11,11.76,11.89,11.59,11.69,26400,11.61
2013-11-08,11.30,11.94,11.30,11.80,53000,11.72
2013-11-07,11.51,11.51,11.18,11.26,48600,11.18
2013-11-06,11.37,11.61,11.21,11.43,58700,11.35
2013-11-05,11.15,11.35,11.13,11.27,46800,11.19
2013-11-04,11.05,11.35,10.98,11.22,62900,11.14
2013-11-01,11.28,11.45,10.91,11.08,162200,11.00
2013-10-31,11.71,11.73,11.36,11.40,124500,11.24
2013-10-30,12.01,12.03,11.66,11.74,51600,11.58
2013-10-29,12.02,12.03,11.71,11.99,51000,11.83
2013-10-28,11.77,12.05,11.77,11.97,73300,11.81
2013-10-25,11.75,11.86,11.05,11.81,50700,11.65
2013-10-24,12.13,12.20,11.80,11.91,59300,11.75
2013-10-23,11.93,12.23,11.93,12.16,46400,11.99
2013-10-22,12.12,12.22,12.01,12.02,45000,11.86
2013-10-21,12.14,12.15,12.03,12.11,60800,11.94
2013-10-18,12.10,12.15,11.86,12.13,106200,11.96
2013-10-17,11.82,12.00,11.76,11.97,43600,11.81
2013-10-16,11.79,12.00,11.36,11.87,49900,11.71
2013-10-15,11.70,11.78,11.63,11.74,37100,11.58
2013-10-14,11.65,11.78,11.55,11.75,61800,11.59
2013-10-11,11.35,11.73,11.22,11.71,103800,11.55
2013-10-10,11.27,11.56,11.19,11.41,56500,11.25
2013-10-09,11.10,11.31,11.02,11.10,54100,10.95
2013-10-08,11.05,11.20,10.96,11.04,43900,10.89
2013-10-07,11.12,11.20,11.00,11.05,25000,10.90
2013-10-04,11.04,11.36,11.04,11.23,27700,11.08
2013-10-03,11.20,11.25,11.01,11.07,49700,10.92
2013-10-02,11.28,11.41,11.14,11.24,61400,11.09
2013-10-01,11.19,11.40,11.02,11.36,71400,11.20
2013-09-30,10.91,11.35,10.91,11.25,232800,11.10
2013-09-27,10.96,11.11,10.96,11.02,50000,10.87
2013-09-26,11.11,11.19,10.98,11.05,28700,10.90
2013-09-25,11.28,11.44,11.10,11.21,28100,11.06
