Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,4.03,4.03,4.00,4.00,500,4.00
2014-02-21,4.04,4.04,4.04,4.04,100,4.04
2014-02-20,4.00,4.00,3.95,3.99,3700,3.99
2014-02-19,4.00,4.01,3.95,4.01,6100,4.01
2014-02-18,3.99,4.01,3.99,4.00,4200,4.00
2014-02-14,3.95,3.95,3.87,3.89,6000,3.89
2014-02-13,4.03,4.03,4.03,4.03,500,4.03
2014-02-12,3.92,3.92,3.92,3.92,000,3.92
2014-02-11,3.92,3.92,3.92,3.92,1400,3.92
2014-02-10,4.03,4.03,4.03,4.03,000,4.03
2014-02-07,3.98,4.03,3.95,4.03,1800,4.03
2014-02-06,3.96,3.96,3.95,3.95,700,3.95
2014-02-05,3.96,4.00,3.92,3.92,2300,3.92
2014-02-04,4.04,4.04,4.04,4.04,200,4.04
2014-02-03,3.89,4.04,3.89,4.04,1800,4.04
2014-01-31,3.88,4.05,3.88,3.92,2500,3.92
2014-01-30,3.98,4.01,3.88,3.95,6300,3.95
2014-01-29,4.05,4.05,3.98,3.98,2500,3.98
2014-01-28,4.08,4.08,4.08,4.08,1500,4.08
2014-01-27,4.00,4.08,4.00,4.08,2700,4.08
2014-01-24,3.99,3.99,3.98,3.98,500,3.98
2014-01-23,4.03,4.03,4.00,4.00,1300,4.00
2014-01-22,4.06,4.14,4.03,4.03,3700,4.03
2014-01-21,4.10,4.17,4.05,4.06,19100,4.06
2014-01-17,4.10,4.10,4.05,4.05,1700,4.05
2014-01-16,4.10,4.10,4.10,4.10,200,4.10
2014-01-15,4.04,4.10,3.98,4.10,13700,4.10
2014-01-14,4.04,4.15,4.00,4.00,8100,4.00
2014-01-13,4.08,4.08,4.05,4.05,600,4.05
2014-01-10,4.15,4.28,4.00,4.11,13200,4.11
2014-01-09,4.00,4.00,4.00,4.00,300,4.00
2014-01-08,3.95,4.01,3.95,4.01,9400,4.01
2014-01-07,4.05,4.07,4.03,4.03,900,4.03
2014-01-06,3.96,4.02,3.88,4.02,2100,4.02
2014-01-03,3.85,3.99,3.85,3.99,300,3.99
2014-01-02,3.92,3.92,3.90,3.92,9700,3.92
2013-12-31,3.90,3.95,3.82,3.87,9500,3.87
2013-12-30,3.85,3.86,3.85,3.85,7900,3.85
2013-12-27,4.00,4.00,3.80,3.91,14900,3.91
2013-12-26,3.93,4.07,3.93,4.07,3500,4.07
2013-12-24,3.95,3.95,3.95,3.95,100,3.95
2013-12-23,4.00,4.10,3.95,3.95,11000,3.95
