Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,87.50,87.50,86.60,86.85,500,86.85
2014-02-21,88.11,88.11,87.85,87.85,200,87.85
2014-02-20,87.37,87.37,86.93,87.21,500,87.21
2014-02-19,87.90,89.19,86.34,86.34,3100,86.34
2014-02-18,83.83,88.05,83.83,88.05,3500,88.05
2014-02-14,83.92,83.92,83.92,83.92,100,83.92
2014-02-13,83.43,83.43,83.43,83.43,000,83.43
2014-02-12,83.36,83.43,83.36,83.43,600,83.43
2014-02-11,81.66,81.66,81.66,81.66,000,81.66
2014-02-10,81.66,81.66,81.66,81.66,000,81.66
2014-02-07,81.66,81.66,81.66,81.66,100,81.66
2014-02-06,81.00,81.00,81.00,81.00,100,81.00
2014-02-05,79.90,80.19,79.74,79.80,1000,79.80
2014-02-04,79.30,79.30,79.30,79.30,200,79.30
2014-02-03,79.86,79.86,78.61,79.08,1300,79.08
2014-01-31,79.43,79.50,79.43,79.50,2200,79.50
2014-01-30,79.23,80.79,79.23,80.79,300,80.79
2014-01-29,80.41,80.41,80.41,80.41,200,80.41
2014-01-28,81.50,81.50,81.50,81.50,000,81.50
2014-01-27,81.53,82.00,81.17,81.50,2900,81.50
2014-01-24,87.20,87.20,87.20,87.20,000,87.20
2014-01-23,87.20,87.20,87.20,87.20,000,87.20
2014-01-22,87.20,87.20,87.20,87.20,200,87.20
2014-01-21,88.59,88.59,88.59,88.59,000,88.59
2014-01-17,88.59,88.59,88.59,88.59,000,88.59
2014-01-16,88.59,88.59,88.59,88.59,100,88.59
2014-01-15,89.97,89.97,89.97,89.97,000,89.97
2014-01-14,89.97,89.97,89.97,89.97,000,89.97
2014-01-13,89.97,89.97,89.97,89.97,400,89.97
2014-01-10,88.28,88.28,88.28,88.28,000,88.28
2014-01-09,88.28,88.28,88.28,88.28,000,88.28
2014-01-08,88.28,88.28,88.28,88.28,000,88.28
2014-01-07,88.28,88.28,88.28,88.28,000,88.28
2014-01-06,88.28,88.28,88.28,88.28,000,88.28
2014-01-03,88.28,88.28,88.28,88.28,000,88.28
2014-01-02,88.29,88.29,88.28,88.28,2000,88.28
2013-12-31,88.26,88.26,88.26,88.26,100,88.26
2013-12-30,88.70,88.70,88.70,88.70,200,88.70
2013-12-27,88.46,88.46,88.46,88.46,100,88.46
2013-12-26,87.01,87.10,86.94,87.10,800,87.10
2013-12-24,86.11,86.11,86.11,86.11,000,86.11
2013-12-23,86.11,86.11,86.11,86.11,200,86.11
2013-12-20,84.64,84.64,84.64,84.64,000,84.64
2013-12-19,84.64,84.64,84.64,84.64,000,84.64
2013-12-18,84.64,84.64,84.64,84.64,200,84.64
2013-12-17,84.50,84.50,84.50,84.50,200,84.50
2013-12-16,84.46,84.46,84.46,84.46,000,84.46
2013-12-13,84.46,84.46,84.46,84.46,200,84.46
2013-12-12,85.08,85.08,83.87,83.87,1900,83.87
2013-12-11,86.51,86.51,85.37,85.37,800,85.37
2013-12-10,85.67,85.67,85.47,85.47,300,85.47
2013-12-09,85.66,86.17,85.59,85.59,700,85.59
2013-12-06,84.91,85.02,80.87,85.02,12200,85.02
2013-12-05,83.03,83.94,83.03,83.94,4600,83.94
2013-12-04,84.42,84.42,83.44,83.44,3900,83.44
2013-12-03,85.53,85.53,84.03,84.03,2100,84.03
2013-12-02,85.34,85.34,85.34,85.34,900,85.34
2013-11-29,85.97,85.97,85.38,85.38,5000,85.38
2013-11-27,85.59,85.59,84.75,84.75,200,84.75
2013-11-26,83.34,83.34,83.34,83.34,100,83.34
2013-11-25,83.36,83.36,83.11,83.11,1500,83.11
2013-11-22,79.60,79.60,79.60,79.60,000,79.60
2013-11-21,79.60,79.60,79.60,79.60,000,79.60
2013-11-20,79.60,79.60,79.60,79.60,000,79.60
2013-11-19,79.60,79.60,79.60,79.60,100,79.60
2013-11-18,80.40,80.40,80.40,80.40,100,80.40
2013-11-15,80.51,80.51,80.51,80.51,100,80.51
2013-11-14,80.04,80.07,80.04,80.07,300,80.07
2013-11-13,79.96,79.96,79.96,79.96,000,79.96
2013-11-12,79.96,79.96,79.96,79.96,000,79.96
2013-11-11,79.96,79.96,79.96,79.96,000,79.96
2013-11-08,79.96,79.96,79.96,79.96,000,79.96
2013-11-07,79.91,79.96,79.91,79.96,400,79.96
2013-11-06,78.82,81.45,78.82,80.77,7000,80.77
2013-11-05,77.28,77.28,77.28,77.28,000,77.28
2013-11-04,77.28,77.28,77.28,77.28,100,77.28
2013-11-01,78.50,78.50,78.50,78.50,000,78.50
2013-10-31,78.51,78.51,78.50,78.50,400,78.50
2013-10-30,79.02,79.02,79.02,79.02,000,79.02
2013-10-29,79.02,79.02,79.02,79.02,000,79.02
2013-10-28,79.02,79.02,79.02,79.02,000,79.02
2013-10-25,79.02,79.02,79.02,79.02,000,79.02
2013-10-24,79.02,79.02,79.02,79.02,000,79.02
2013-10-23,79.02,79.02,79.02,79.02,000,79.02
2013-10-22,79.02,79.02,79.02,79.02,000,79.02
2013-10-21,79.02,79.02,79.02,79.02,000,79.02
2013-10-18,79.02,79.02,79.02,79.02,000,79.02
2013-10-17,79.02,79.02,79.02,79.02,000,79.02
2013-10-16,79.02,79.02,79.02,79.02,000,79.02
2013-10-15,79.02,79.02,79.02,79.02,000,79.02
2013-10-14,79.02,79.02,79.02,79.02,000,79.02
2013-10-11,79.02,79.02,79.02,79.02,000,79.02
2013-10-10,79.02,79.02,79.02,79.02,000,79.02
2013-10-09,79.02,79.02,79.02,79.02,000,79.02
2013-10-08,79.02,79.02,79.02,79.02,000,79.02
2013-10-07,79.02,79.02,79.02,79.02,000,79.02
2013-10-04,79.02,79.02,79.02,79.02,000,79.02
2013-10-03,79.02,79.02,79.02,79.02,000,79.02
2013-10-02,79.02,79.02,79.02,79.02,000,79.02
2013-10-01,79.02,79.02,79.02,79.02,000,79.02
2013-09-30,79.02,79.02,79.02,79.02,200,79.02
2013-09-27,78.38,78.38,78.38,78.38,000,78.38
2013-09-26,78.38,78.38,78.38,78.38,000,78.38
2013-09-25,78.38,78.38,78.38,78.38,000,78.38
2013-09-24,78.38,78.38,78.38,78.38,100,78.38
2013-09-23,79.12,79.12,79.12,79.12,000,79.12
2013-09-20,79.12,79.12,79.12,79.12,100,79.12
2013-09-19,79.00,79.00,79.00,79.00,000,79.00
2013-09-18,79.00,79.00,79.00,79.00,300,79.00
2013-09-17,77.38,77.38,77.38,77.38,000,77.38
2013-09-16,77.38,77.38,77.38,77.38,000,77.38
2013-09-13,77.38,77.38,77.38,77.38,000,77.38
2013-09-12,77.38,77.38,77.38,77.38,000,77.38
2013-09-11,77.38,77.38,77.38,77.38,000,77.38
2013-09-10,77.38,77.38,77.38,77.38,500,77.38
2013-09-09,78.44,78.44,78.44,78.44,000,78.44
2013-09-06,78.44,78.44,78.44,78.44,000,78.44
2013-09-05,78.45,78.45,78.43,78.44,300,78.44
2013-09-04,79.82,79.82,79.37,79.37,300,79.37
2013-09-03,78.06,78.65,78.06,78.65,1200,78.65
2013-08-30,78.67,78.67,78.67,78.67,000,78.67
2013-08-29,78.67,78.67,78.67,78.67,900,78.67
2013-08-28,75.58,75.58,75.58,75.58,000,75.58
2013-08-27,75.58,75.58,75.58,75.58,100,75.58
2013-08-26,76.69,76.69,76.69,76.69,200,76.69
2013-08-23,76.61,76.61,76.41,76.41,200,76.41
2013-08-22,75.59,75.59,75.59,75.59,000,75.59
2013-08-21,75.44,75.59,75.02,75.59,700,75.59
2013-08-20,74.59,75.38,74.59,75.38,600,75.38
2013-08-19,75.45,75.60,74.71,74.71,1000,74.71
2013-08-16,78.17,78.17,78.17,78.17,000,78.17
2013-08-15,78.17,78.17,78.17,78.17,000,78.17
2013-08-14,78.17,78.17,78.17,78.17,000,78.17
2013-08-13,78.17,78.17,78.17,78.17,100,78.17
2013-08-12,79.16,79.16,79.16,79.16,000,79.16
2013-08-09,79.94,79.94,79.16,79.16,600,79.16
2013-08-08,79.55,79.55,79.55,79.55,000,79.55
2013-08-07,79.55,79.55,79.55,79.55,000,79.55
2013-08-06,79.55,79.55,79.55,79.55,000,79.55
2013-08-05,79.55,79.55,79.55,79.55,000,79.55
2013-08-02,79.55,79.55,79.55,79.55,100,79.55
2013-08-01,81.16,81.16,81.16,81.16,400,81.16
2013-07-31,81.53,81.53,81.53,81.53,300,81.53
2013-07-30,80.15,80.80,80.15,80.80,900,80.80
2013-07-29,81.73,81.73,81.73,81.73,000,81.73
2013-07-26,81.73,81.73,81.73,81.73,000,81.73
2013-07-25,81.73,81.73,81.73,81.73,000,81.73
