Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,74.05,75.18,74.05,74.67,277500,74.67
2014-02-21,74.63,74.96,73.88,73.90,231000,73.90
2014-02-20,73.05,74.53,72.86,74.48,238200,74.48
2014-02-19,73.26,74.09,72.90,72.94,330000,72.94
2014-02-18,73.30,73.66,71.79,73.50,365300,73.50
2014-02-14,73.68,74.95,72.25,72.90,509900,72.90
2014-02-13,69.66,70.84,69.18,70.84,269700,70.84
2014-02-12,69.29,70.35,69.29,69.93,241300,69.93
2014-02-11,68.76,69.62,68.16,69.31,218100,69.31
2014-02-10,69.54,69.58,68.52,68.86,231700,68.86
2014-02-07,69.00,69.75,68.47,69.70,153200,69.70
2014-02-06,67.73,68.96,67.17,68.66,303100,68.66
2014-02-05,67.82,68.54,67.36,67.48,316600,67.48
2014-02-04,67.12,68.27,66.75,68.07,607400,68.07
2014-02-03,69.25,69.63,66.68,66.92,779000,66.92
2014-01-31,68.02,69.53,67.44,69.20,403600,69.20
2014-01-30,68.90,69.18,68.08,69.02,264700,69.02
2014-01-29,66.92,68.60,66.92,68.18,408700,68.18
2014-01-28,67.60,68.63,66.84,67.66,388400,67.66
2014-01-27,68.39,69.77,67.20,67.55,267000,67.55
2014-01-24,71.11,71.39,67.88,67.93,747400,67.93
2014-01-23,71.75,71.97,71.31,71.63,332400,71.63
2014-01-22,72.52,72.52,71.26,72.07,197900,72.07
2014-01-21,72.50,72.60,71.41,72.29,290400,72.29
2014-01-17,71.94,72.49,71.56,71.87,182500,71.87
2014-01-16,72.27,72.65,72.02,72.12,190900,72.12
2014-01-15,71.81,73.26,71.61,72.45,354600,72.45
2014-01-14,70.32,71.50,69.84,71.47,340500,71.47
2014-01-13,70.47,71.13,69.65,69.98,279900,69.98
2014-01-10,70.03,70.83,69.96,70.57,285100,70.57
2014-01-09,70.08,70.63,69.53,70.25,197000,70.25
2014-01-08,70.23,70.84,69.76,70.16,314800,70.16
2014-01-07,69.81,70.78,69.37,70.40,341300,70.40
2014-01-06,70.89,71.23,69.35,69.42,534700,69.42
2014-01-03,70.29,70.75,70.00,70.47,239500,70.47
2014-01-02,71.12,71.38,70.03,70.36,253700,70.36
2013-12-31,71.52,71.79,71.16,71.34,288100,71.34
2013-12-30,71.54,71.85,71.15,71.26,306100,71.26
2013-12-27,71.99,72.10,71.35,71.41,253900,71.41
2013-12-26,72.45,72.45,71.71,71.96,329000,71.73
2013-12-24,71.25,72.25,71.05,72.04,155500,71.81
2013-12-23,71.03,71.42,70.65,71.09,449000,70.86
2013-12-20,70.72,71.52,70.49,70.70,1135900,70.47
2013-12-19,71.47,71.99,70.43,70.44,462400,70.21
2013-12-18,71.63,71.83,70.36,71.73,299400,71.50
2013-12-17,71.30,71.49,70.84,71.30,218100,71.07
2013-12-16,71.10,71.94,70.92,71.30,257400,71.07
2013-12-13,70.96,71.23,70.14,70.85,219500,70.62
2013-12-12,70.54,71.02,70.15,70.72,419800,70.49
2013-12-11,72.27,72.62,70.54,70.71,277900,70.48
2013-12-10,71.89,73.19,71.64,72.30,309500,72.07
2013-12-09,72.22,73.06,71.90,72.17,296700,71.94
2013-12-06,71.37,72.72,71.35,72.15,299500,71.92
2013-12-05,71.33,71.81,70.89,71.22,268800,70.99
2013-12-04,71.20,71.89,70.85,71.40,207800,71.17
2013-12-03,71.46,72.28,70.98,71.66,308900,71.43
2013-12-02,71.48,72.75,70.93,71.62,277500,71.39
2013-11-29,72.15,72.20,71.31,71.48,88700,71.25
2013-11-27,71.75,71.96,71.40,71.89,173600,71.66
2013-11-26,71.12,71.54,70.40,71.47,403000,71.24
2013-11-25,72.69,72.69,70.88,71.00,271900,70.77
2013-11-22,71.80,72.54,71.33,72.22,134500,71.99
2013-11-21,71.42,72.12,71.41,71.80,181000,71.57
2013-11-20,71.36,71.56,70.68,71.31,278100,71.08
2013-11-19,71.49,71.89,70.95,71.07,217000,70.84
2013-11-18,72.00,72.19,71.04,71.34,209500,71.11
2013-11-15,72.11,72.27,71.42,71.89,162800,71.66
2013-11-14,71.92,72.05,71.44,71.89,125200,71.66
2013-11-13,70.58,71.89,70.58,71.83,224500,71.60
2013-11-12,71.21,71.41,70.65,70.93,224100,70.70
2013-11-11,71.08,71.60,70.80,71.27,133500,71.04
2013-11-08,69.41,71.06,69.41,71.00,267800,70.77
2013-11-07,70.60,70.77,69.22,69.25,365800,69.03
2013-11-06,71.12,71.42,70.44,70.62,247200,70.39
2013-11-05,70.36,71.18,69.81,70.67,349300,70.44
2013-11-04,72.15,74.57,70.46,70.75,309800,70.52
2013-11-01,69.72,71.28,69.61,70.66,653300,70.43
2013-10-31,67.48,70.51,66.87,69.24,724200,69.02
2013-10-30,67.67,68.16,67.09,67.19,605600,66.98
2013-10-29,67.09,67.57,66.39,67.52,422400,67.30
2013-10-28,68.41,68.41,66.54,67.14,637300,66.93
2013-10-25,68.75,68.99,68.04,68.44,461800,68.22
2013-10-24,69.78,70.24,68.51,68.60,582700,68.38
2013-10-23,70.06,70.20,69.45,69.76,265500,69.54
2013-10-22,70.42,70.66,69.75,70.36,312500,70.14
2013-10-21,70.17,70.27,69.61,70.10,427600,69.88
2013-10-18,69.17,70.08,68.97,70.01,368000,69.79
2013-10-17,68.51,68.77,67.97,68.74,265600,68.52
2013-10-16,68.66,68.71,68.04,68.61,387500,68.39
2013-10-15,69.05,69.06,67.61,68.18,274500,67.96
2013-10-14,68.46,69.46,68.33,69.43,151100,69.21
2013-10-11,68.24,69.08,67.43,68.91,262800,68.69
2013-10-10,66.64,68.59,66.22,68.55,413000,68.33
2013-10-09,66.21,66.77,65.45,65.87,260800,65.66
2013-10-08,66.53,67.31,65.76,65.82,268800,65.61
2013-10-07,67.12,67.41,66.64,66.65,330600,66.44
2013-10-04,67.71,68.23,67.48,67.84,181900,67.62
2013-10-03,67.94,68.01,66.83,67.78,255800,67.56
2013-10-02,68.04,68.31,67.21,68.08,209200,67.86
2013-10-01,66.84,68.82,66.46,68.46,976000,68.24
2013-09-30,65.86,66.97,65.69,66.62,386700,66.41
2013-09-27,65.89,67.23,65.89,66.77,262200,66.56
2013-09-26,66.88,67.61,66.72,67.52,238900,67.30
2013-09-25,66.92,67.59,66.51,66.76,256400,66.35
2013-09-24,66.69,67.67,66.67,67.01,371600,66.60
2013-09-23,67.24,67.56,66.63,66.86,391000,66.45
2013-09-20,69.34,69.35,67.56,67.60,1035300,67.18
2013-09-19,68.80,69.28,68.68,69.07,154700,68.64
2013-09-18,68.33,68.86,67.43,68.69,235600,68.27
2013-09-17,67.66,68.40,67.02,68.34,218800,67.92
2013-09-16,67.53,67.95,67.18,67.37,138600,66.95
2013-09-13,66.88,67.11,66.17,66.86,148500,66.45
2013-09-12,66.58,67.12,66.22,66.65,547100,66.24
2013-09-11,67.13,67.23,66.20,66.74,312700,66.33
2013-09-10,65.55,67.16,65.26,67.13,303800,66.71
2013-09-09,64.83,65.46,64.51,65.12,394800,64.72
2013-09-06,63.58,65.01,62.68,64.43,430000,64.03
2013-09-05,63.13,63.80,62.80,63.35,376300,62.96
2013-09-04,62.83,63.43,62.32,63.22,269000,62.83
2013-09-03,63.29,63.78,62.60,62.95,1069000,62.56
2013-08-30,63.00,63.29,62.38,62.53,669100,62.14
2013-08-29,61.83,63.28,61.80,63.01,325700,62.62
2013-08-28,61.58,62.12,61.37,61.81,135600,61.43
2013-08-27,61.84,62.18,61.13,61.64,466800,61.26
2013-08-26,62.76,63.06,62.43,62.78,145500,62.39
2013-08-23,62.78,63.17,61.91,62.54,202400,62.15
2013-08-22,61.85,62.90,61.70,62.65,115700,62.26
2013-08-21,61.46,62.09,61.21,61.70,242700,61.32
2013-08-20,61.58,62.02,61.23,61.77,231100,61.39
2013-08-19,61.54,61.83,61.08,61.53,208000,61.15
2013-08-16,61.31,62.12,61.31,61.87,325900,61.49
2013-08-15,61.72,61.74,60.94,61.39,301500,61.01
2013-08-14,62.82,62.88,62.28,62.40,315900,62.01
2013-08-13,62.55,63.41,62.30,62.70,359400,62.31
2013-08-12,61.28,62.86,61.28,62.44,343100,62.05
2013-08-09,60.74,62.06,60.61,61.67,305500,61.29
2013-08-08,60.07,61.04,60.04,60.98,211400,60.60
2013-08-07,60.17,60.27,59.52,59.99,325100,59.62
2013-08-06,60.83,61.20,60.05,60.27,194500,59.90
2013-08-05,60.65,61.25,60.37,60.90,226000,60.52
2013-08-02,59.91,60.99,59.78,60.99,369800,60.61
2013-08-01,59.51,60.64,59.38,60.29,740900,59.92
2013-07-31,59.06,59.64,58.75,59.04,409600,58.67
2013-07-30,58.35,59.52,57.74,58.83,630000,58.47
2013-07-29,60.00,61.02,56.75,57.76,1108400,57.40
2013-07-26,60.40,61.17,60.27,60.94,343300,60.56
2013-07-25,60.31,60.96,60.17,60.62,249600,60.25
2013-07-24,61.23,61.66,60.51,60.60,302800,60.23
2013-07-23,62.07,62.54,60.98,61.20,442800,60.82
2013-07-22,60.66,62.07,60.65,61.91,230900,61.53
2013-07-19,60.25,60.59,60.06,60.49,240900,60.12
2013-07-18,60.71,61.10,60.25,60.41,438200,60.04
2013-07-17,61.57,61.70,60.61,60.73,247500,60.35
2013-07-16,62.28,62.44,61.13,61.18,319000,60.80
2013-07-15,62.80,63.12,62.06,62.28,163900,61.89
2013-07-12,61.80,63.29,61.61,62.80,369900,62.41
2013-07-11,61.80,61.80,61.18,61.76,144500,61.38
2013-07-10,60.62,61.19,60.00,61.04,179700,60.66
2013-07-09,60.47,60.58,59.74,60.52,168800,60.15
