Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,10.03,10.03,10.03,10.03,000,10.03
2014-02-21,10.03,10.03,10.03,10.03,000,10.03
2014-02-20,10.05,10.05,10.03,10.03,2900,10.03
2014-02-19,10.01,10.01,10.01,10.01,000,10.01
2014-02-18,10.03,10.13,10.01,10.01,10000,10.01
2014-02-14,10.71,10.71,10.03,10.03,700,10.03
2014-02-13,10.03,10.04,10.03,10.03,1000,10.03
2014-02-12,10.07,10.07,10.03,10.03,1600,10.03
2014-02-11,10.05,10.07,10.05,10.07,2000,10.07
2014-02-10,10.02,10.02,10.02,10.02,3200,10.02
2014-02-07,10.01,10.06,10.01,10.06,2100,10.06
2014-02-06,10.02,10.02,10.02,10.02,000,10.02
2014-02-05,10.02,10.05,10.02,10.02,8200,10.02
2014-02-04,10.02,10.05,10.02,10.03,27800,10.03
2014-02-03,10.02,10.06,10.00,10.03,58700,10.03
2014-01-31,10.01,10.06,10.01,10.05,322100,10.05
2014-01-30,10.07,10.07,10.02,10.02,112300,10.02
2014-01-29,10.03,10.05,10.00,10.04,35800,10.04
2014-01-28,9.99,10.09,9.99,10.00,94500,10.00
2014-01-27,10.04,10.07,9.98,10.02,105100,10.02
2014-01-24,10.02,10.02,10.02,10.02,800,10.02
2014-01-23,10.02,10.06,10.02,10.06,700,10.06
2014-01-22,10.05,10.05,10.05,10.05,10000,10.05
2014-01-21,10.02,10.05,10.02,10.05,2200,10.05
2014-01-17,10.02,10.02,10.02,10.02,100,10.02
2014-01-16,10.04,10.04,10.03,10.04,1300,10.04
2014-01-15,10.04,10.04,10.04,10.04,100,10.04
2014-01-14,10.04,10.05,10.04,10.04,4500,10.04
2014-01-13,10.05,10.05,10.04,10.04,251000,10.04
2014-01-10,10.08,10.08,10.08,10.08,99400,10.08
2014-01-09,10.04,10.07,10.04,10.07,10300,10.07
2014-01-08,10.06,10.08,10.06,10.07,26200,10.07
2014-01-07,10.07,10.09,10.06,10.07,122000,10.07
2014-01-06,10.04,10.08,10.04,10.06,30400,10.06
2014-01-03,10.05,10.05,10.05,10.05,000,10.05
2014-01-02,10.05,10.05,10.05,10.05,200,10.05
2013-12-31,10.05,10.05,10.01,10.01,600,10.01
2013-12-30,10.05,10.05,10.05,10.05,000,10.05
2013-12-27,10.05,10.05,10.05,10.05,200,10.05
2013-12-26,10.05,10.05,10.05,10.05,000,10.05
2013-12-24,10.04,10.05,10.04,10.05,1600,10.05
2013-12-23,10.05,10.05,10.05,10.05,2000,10.05
2013-12-20,10.05,10.05,10.05,10.05,100,10.05
2013-12-19,10.02,10.02,10.02,10.02,000,10.02
2013-12-18,10.02,10.02,10.02,10.02,000,10.02
2013-12-17,10.02,10.05,10.02,10.02,35600,10.02
2013-12-16,10.00,10.00,10.00,10.00,100,10.00
2013-12-13,10.02,10.02,10.02,10.02,14200,10.02
2013-12-12,10.02,10.02,10.02,10.02,10000,10.02
2013-12-11,10.02,10.04,10.02,10.02,19900,10.02
2013-12-10,10.02,10.02,10.02,10.02,1800,10.02
2013-12-09,10.01,10.01,10.01,10.01,000,10.01
2013-12-06,10.05,10.05,10.01,10.01,1100,10.01
2013-12-05,10.05,10.05,10.05,10.05,2000,10.05
2013-12-04,10.05,10.05,9.96,10.05,1900,10.05
2013-12-03,10.00,10.05,10.00,10.00,29500,10.00
2013-12-02,10.00,10.05,10.00,10.01,7100,10.01
2013-11-29,10.02,10.02,9.97,9.97,1700,9.97
2013-11-27,10.00,10.00,10.00,10.00,100,10.00
2013-11-26,10.02,10.05,10.00,10.03,26900,10.03
2013-11-25,10.05,10.05,10.00,10.00,42200,10.00
2013-11-22,10.02,10.05,10.00,10.00,61000,10.00
2013-11-21,10.05,10.05,10.00,10.05,1700,10.05
2013-11-20,10.00,10.05,10.00,10.02,4800,10.02
2013-11-19,10.04,10.04,10.00,10.00,4700,10.00
2013-11-18,10.05,10.05,10.00,10.00,86000,10.00
2013-11-15,9.95,10.03,9.95,9.96,9800,9.96
2013-11-14,9.95,10.04,9.91,10.02,1982700,10.02
