Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,16.16,16.32,15.82,16.13,21300,16.13
2014-02-21,16.86,16.89,16.04,16.16,30800,16.16
2014-02-20,15.91,16.97,15.87,16.77,32900,16.77
2014-02-19,15.79,16.10,15.76,15.97,31200,15.97
2014-02-18,16.77,16.89,15.79,15.90,62400,15.90
2014-02-14,17.01,17.02,16.58,16.58,12400,16.58
2014-02-13,16.38,17.12,16.27,17.00,23500,17.00
2014-02-12,16.84,16.90,16.29,16.43,16600,16.43
2014-02-11,16.18,17.20,16.18,16.77,66600,16.77
2014-02-10,16.42,16.49,15.76,16.17,55500,16.17
2014-02-07,16.50,16.83,16.21,16.52,58900,16.52
2014-02-06,16.62,16.71,16.38,16.46,35200,16.46
2014-02-05,16.96,17.28,16.56,16.68,36600,16.68
2014-02-04,17.15,17.59,16.77,17.00,50600,17.00
2014-02-03,17.43,18.15,16.35,17.09,92500,17.09
2014-01-31,16.89,17.70,16.50,17.42,132100,17.42
2014-01-30,17.04,17.91,17.00,17.12,38400,17.12
2014-01-29,16.87,17.33,16.87,16.95,50100,16.95
2014-01-28,17.02,17.50,16.94,17.12,46400,17.12
2014-01-27,17.42,17.44,16.48,17.02,85800,17.02
2014-01-24,18.00,18.42,17.25,17.45,78500,17.45
2014-01-23,18.03,18.30,17.82,18.11,41100,18.11
2014-01-22,17.88,18.63,17.80,18.20,60500,18.20
2014-01-21,19.50,20.75,17.76,18.01,208100,18.01
2014-01-17,17.71,19.27,17.71,18.91,159300,18.91
2014-01-16,17.75,17.88,17.53,17.79,32300,17.79
2014-01-15,17.68,17.95,17.59,17.79,33000,17.79
2014-01-14,17.80,17.88,17.59,17.67,76600,17.67
2014-01-13,17.80,17.89,17.70,17.83,115900,17.83
2014-01-10,17.69,17.95,17.69,17.81,62800,17.81
2014-01-09,17.74,17.84,17.50,17.68,75000,17.68
2014-01-08,17.50,17.92,17.50,17.72,106100,17.72
2014-01-07,17.62,17.81,17.41,17.53,47000,17.53
2014-01-06,18.04,18.10,17.41,17.52,57200,17.52
2014-01-03,18.00,18.05,17.60,17.91,105200,17.91
2014-01-02,18.06,18.06,17.31,17.60,56000,17.60
2013-12-31,17.60,17.86,17.60,17.79,66100,17.79
2013-12-30,18.16,18.16,17.60,17.68,130200,17.68
2013-12-27,18.11,18.43,18.00,18.10,30200,18.10
2013-12-26,18.15,18.27,18.00,18.14,41400,18.14
2013-12-24,18.43,18.43,17.81,18.09,27900,18.09
2013-12-23,18.52,18.85,17.85,18.08,111200,18.08
2013-12-20,18.39,18.45,17.75,18.23,1618300,18.23
2013-12-19,17.57,18.40,17.50,17.98,198600,17.98
2013-12-18,17.31,17.53,16.55,17.30,292500,17.30
2013-12-17,17.30,17.30,16.73,17.18,99900,17.18
2013-12-16,16.90,17.30,16.36,17.08,83400,17.08
2013-12-13,16.58,17.31,16.58,16.61,111500,16.61
2013-12-12,16.56,16.92,16.35,16.50,54200,16.50
2013-12-11,17.24,17.24,16.37,16.48,79000,16.48
2013-12-10,17.48,17.48,16.74,17.17,77100,17.17
2013-12-09,17.34,17.58,16.65,17.23,110600,17.23
2013-12-06,16.40,17.50,16.20,16.95,139000,16.95
2013-12-05,15.93,16.78,15.16,16.38,265700,16.38
2013-12-04,15.36,16.00,15.36,15.80,182400,15.80
2013-12-03,15.25,16.21,14.94,15.36,100400,15.36
2013-12-02,15.43,15.97,14.67,15.18,125600,15.18
2013-11-29,15.88,15.99,15.01,15.40,35300,15.40
2013-11-27,15.31,16.03,14.81,15.49,265100,15.49
2013-11-26,14.04,15.03,13.99,14.72,95200,14.72
2013-11-25,13.80,14.24,13.72,14.04,31000,14.04
2013-11-22,14.20,14.20,13.59,13.91,19600,13.91
2013-11-21,13.67,14.46,13.66,14.15,155100,14.15
2013-11-20,13.40,13.64,13.40,13.64,14300,13.64
2013-11-19,13.50,13.60,13.23,13.52,49500,13.52
2013-11-18,13.60,13.66,13.27,13.54,91800,13.54
2013-11-15,13.70,13.70,13.43,13.56,17800,13.56
2013-11-14,13.74,13.74,13.12,13.42,159300,13.42
2013-11-13,13.19,13.79,12.28,13.05,132200,13.05
2013-11-12,13.29,13.40,12.65,12.72,266600,12.72
2013-11-11,13.00,13.63,12.95,13.26,67800,13.26
2013-11-08,12.67,13.47,12.49,13.04,208600,13.04
2013-11-07,12.26,12.90,12.01,12.90,2569700,12.90
