Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,13.88,14.21,13.88,13.96,53300,13.96
2014-02-21,13.89,13.98,13.60,13.89,37500,13.89
2014-02-20,13.62,13.96,13.60,13.80,17100,13.80
2014-02-19,14.05,14.14,13.65,13.69,58600,13.69
2014-02-18,14.03,14.15,13.95,14.07,20500,14.07
2014-02-14,14.05,14.14,13.80,14.06,11200,14.06
2014-02-13,13.75,14.17,13.75,14.04,21800,14.04
2014-02-12,14.18,14.24,13.76,13.83,23000,13.83
2014-02-11,14.06,14.24,14.00,14.12,58500,14.12
2014-02-10,13.97,14.13,13.75,14.04,77900,14.04
2014-02-07,14.12,14.25,13.75,13.90,44900,13.90
2014-02-06,13.80,14.16,13.60,14.10,47400,14.10
2014-02-05,13.83,14.06,13.66,13.75,43200,13.75
2014-02-04,13.66,14.36,13.60,13.91,106900,13.91
2014-02-03,14.00,14.31,13.60,13.63,72600,13.63
2014-01-31,13.90,14.22,13.90,14.08,50300,14.08
2014-01-30,13.98,14.44,13.77,14.05,83900,14.05
2014-01-29,14.20,14.55,14.00,14.00,86400,13.90
2014-01-28,14.21,14.61,13.91,14.37,128800,14.27
2014-01-27,14.21,14.70,13.76,14.25,83600,14.15
2014-01-24,14.63,14.63,12.01,14.36,256700,14.26
2014-01-23,15.73,16.06,15.41,15.56,59200,15.45
2014-01-22,16.06,16.10,15.34,15.90,42200,15.79
2014-01-21,15.84,16.10,15.71,16.10,24200,15.99
2014-01-17,15.81,15.82,15.55,15.72,48500,15.61
2014-01-16,16.00,16.09,15.74,15.78,14000,15.67
2014-01-15,15.86,16.10,15.34,16.02,94200,15.91
2014-01-14,15.89,15.99,15.49,15.84,82900,15.73
2014-01-13,15.19,16.05,15.19,15.88,52900,15.77
2014-01-10,15.40,15.40,14.77,15.22,127300,15.12
2014-01-09,15.79,15.90,15.34,15.41,26800,15.30
2014-01-08,16.00,16.09,15.42,15.69,27000,15.58
2014-01-07,16.00,16.29,16.00,16.05,21000,15.94
2014-01-06,16.76,16.76,16.06,16.06,16300,15.95
2014-01-03,16.37,16.82,16.19,16.64,28500,16.53
2014-01-02,16.60,17.40,16.11,16.39,63500,16.28
2013-12-31,16.73,17.03,16.55,16.61,56000,16.50
2013-12-30,17.12,17.12,16.65,16.73,16600,16.62
2013-12-27,16.97,17.32,16.96,17.12,18800,17.00
2013-12-26,17.47,17.67,16.50,16.89,29600,16.77
2013-12-24,17.30,17.78,17.11,17.36,10500,17.24
2013-12-23,17.32,17.32,17.14,17.30,33900,17.18
2013-12-20,16.43,17.49,16.42,17.08,214300,16.96
2013-12-19,16.77,16.82,16.27,16.36,21400,16.25
2013-12-18,16.52,16.82,16.22,16.82,29600,16.70
2013-12-17,16.73,16.73,16.27,16.45,42300,16.34
2013-12-16,16.63,17.09,16.45,16.94,27800,16.82
2013-12-13,16.56,16.78,16.26,16.51,28400,16.40
2013-12-12,16.30,16.72,15.84,16.48,51100,16.37
2013-12-11,16.55,16.68,16.22,16.34,30700,16.23
2013-12-10,16.33,16.76,16.21,16.55,37700,16.44
2013-12-09,16.89,16.90,16.40,16.41,32000,16.30
2013-12-06,16.38,16.88,16.38,16.82,59900,16.70
2013-12-05,16.71,16.71,16.25,16.33,36600,16.22
2013-12-04,17.06,17.39,16.74,16.76,53500,16.65
2013-12-03,17.26,17.51,16.99,17.16,50200,17.04
2013-12-02,17.33,17.78,17.20,17.27,83200,17.15
2013-11-29,17.11,17.91,17.11,17.87,27200,17.75
2013-11-27,17.20,17.20,16.92,16.99,136800,16.87
2013-11-26,16.90,17.24,16.90,17.20,81700,17.08
2013-11-25,16.89,16.95,16.75,16.94,34400,16.82
2013-11-22,17.00,17.00,16.63,16.64,64100,16.53
2013-11-21,16.50,17.00,16.39,16.98,48500,16.86
2013-11-20,16.43,16.45,16.23,16.40,22600,16.29
2013-11-19,16.27,16.70,16.08,16.38,33800,16.27
2013-11-18,16.40,16.59,16.25,16.31,31800,16.20
2013-11-15,16.27,16.44,16.08,16.35,51000,16.24
2013-11-14,16.54,16.59,16.17,16.33,25100,16.22
2013-11-13,15.87,16.49,15.87,16.45,24700,16.34
2013-11-12,16.12,16.32,15.80,15.92,18300,15.81
2013-11-11,16.35,16.35,16.07,16.10,13300,15.99
2013-11-08,15.70,16.58,15.70,16.28,58300,16.17
2013-11-07,15.94,15.98,15.70,15.71,44300,15.60
2013-11-06,15.45,15.95,15.45,15.86,39000,15.75
2013-11-05,15.32,15.80,15.21,15.69,24300,15.58
2013-11-04,15.46,15.65,14.58,15.35,44700,15.24
2013-11-01,15.24,15.48,15.15,15.33,122300,15.23
2013-10-31,15.39,15.47,15.06,15.27,88700,15.17
2013-10-30,15.46,15.65,15.30,15.34,91200,15.24
2013-10-29,15.39,15.51,15.31,15.51,25800,15.32
2013-10-28,15.29,15.40,15.10,15.30,27200,15.11
2013-10-25,15.25,15.50,15.16,15.26,35900,15.07
2013-10-24,14.71,15.25,14.56,15.24,36500,15.05
2013-10-23,14.56,14.72,14.56,14.67,54200,14.49
2013-10-22,14.86,15.19,14.58,14.68,162800,14.50
2013-10-21,14.86,14.90,14.81,14.82,269600,14.64
