Date,Open,High,Low,Close,Volume,Adj Close
2014-01-23,1.68,1.68,1.68,1.68,000,1.68
2014-01-22,1.68,1.68,1.68,1.68,000,1.68
2014-01-21,1.68,1.68,1.68,1.68,000,1.68
2014-01-17,1.68,1.68,1.68,1.68,000,1.68
2014-01-16,1.68,1.68,1.68,1.68,000,1.68
2014-01-15,1.68,1.68,1.68,1.68,000,1.68
2014-01-14,1.68,1.68,1.68,1.68,000,1.68
2014-01-13,1.68,1.68,1.68,1.68,000,1.68
2014-01-10,1.68,1.68,1.68,1.68,000,1.68
2014-01-09,1.68,1.68,1.68,1.68,000,1.68
2014-01-08,1.68,1.68,1.68,1.68,000,1.68
2014-01-07,1.68,1.68,1.68,1.68,000,1.68
2014-01-06,1.68,1.68,1.68,1.68,000,1.68
2014-01-03,1.68,1.68,1.68,1.68,000,1.68
2014-01-02,1.68,1.68,1.68,1.68,000,1.68
2013-12-31,1.68,1.68,1.68,1.68,000,1.68
2013-12-30,1.68,1.68,1.68,1.68,000,1.68
2013-12-27,1.68,1.68,1.68,1.68,000,1.68
2013-12-26,1.68,1.68,1.68,1.68,000,1.68
2013-12-24,1.68,1.68,1.68,1.68,000,1.68
2013-12-23,1.68,1.68,1.68,1.68,000,1.68
2013-12-20,1.68,1.68,1.68,1.68,000,1.68
2013-12-19,1.68,1.68,1.68,1.68,000,1.68
2013-12-18,1.68,1.68,1.68,1.68,000,1.68
2013-12-17,1.68,1.68,1.68,1.68,000,1.68
2013-12-16,1.68,1.68,1.68,1.68,000,1.68
2013-12-13,1.68,1.68,1.68,1.68,000,1.68
2013-12-12,1.68,1.68,1.68,1.68,000,1.68
2013-12-11,1.68,1.68,1.68,1.68,000,1.68
2013-12-10,1.68,1.68,1.68,1.68,000,1.68
2013-12-09,1.68,1.68,1.68,1.68,000,1.68
2013-12-06,1.68,1.68,1.68,1.68,000,1.68
2013-12-05,1.68,1.68,1.68,1.68,000,1.68
2013-12-04,1.68,1.68,1.68,1.68,000,1.68
2013-12-03,1.68,1.68,1.68,1.68,000,1.68
2013-12-02,1.68,1.68,1.68,1.68,000,1.68
2013-11-29,1.68,1.68,1.68,1.68,000,1.68
2013-11-27,1.68,1.68,1.68,1.68,000,1.68
2013-11-26,1.68,1.68,1.68,1.68,000,1.68
2013-11-25,1.68,1.68,1.68,1.68,000,1.68
2013-11-22,1.68,1.68,1.68,1.68,000,1.68
2013-11-21,1.68,1.68,1.68,1.68,000,1.68
2013-11-20,1.68,1.68,1.68,1.68,000,1.68
2013-11-19,1.68,1.68,1.68,1.68,000,1.68
2013-11-18,1.68,1.68,1.68,1.68,000,1.68
2013-11-15,1.69,1.73,1.58,1.68,1036000,1.68
2013-11-14,1.61,1.69,1.52,1.64,1287200,1.64
2013-11-13,1.58,1.61,1.48,1.61,1158900,1.61
