Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,59.32,59.68,58.82,58.83,375100,58.83
2014-02-21,58.94,59.40,58.84,59.15,295600,59.15
2014-02-20,58.50,59.11,57.83,58.98,264100,58.98
2014-02-19,58.88,59.26,58.52,58.54,299500,58.54
2014-02-18,58.81,59.34,58.34,59.09,434600,59.09
2014-02-14,58.80,59.56,58.24,58.82,419900,58.82
2014-02-13,57.98,58.86,57.35,58.81,396000,58.81
2014-02-12,57.44,58.28,57.05,58.20,460500,58.14
2014-02-11,57.07,57.85,56.84,57.48,223200,57.42
2014-02-10,56.92,57.12,56.35,56.85,337300,56.79
2014-02-07,57.02,57.12,56.66,56.91,316200,56.85
2014-02-06,56.34,56.97,56.01,56.65,316700,56.59
2014-02-05,56.83,57.50,56.04,56.07,1053600,56.01
2014-02-04,56.43,57.33,56.10,57.30,597300,57.24
2014-02-03,57.59,58.48,56.28,56.35,895300,56.29
2014-01-31,56.00,59.51,56.00,57.44,713900,57.38
2014-01-30,56.69,57.78,56.34,57.57,355900,57.51
2014-01-29,56.32,57.04,56.01,56.30,432300,56.24
2014-01-28,56.31,57.19,56.31,56.74,208500,56.68
2014-01-27,57.29,57.65,56.06,56.35,375000,56.29
2014-01-24,58.51,58.51,57.15,57.20,286700,57.14
2014-01-23,59.02,59.31,58.70,58.80,266000,58.74
2014-01-22,58.78,59.39,58.39,59.22,236800,59.16
2014-01-21,58.61,58.80,58.13,58.64,302100,58.58
2014-01-17,57.73,58.26,57.57,58.15,190500,58.09
2014-01-16,58.03,58.20,57.52,58.05,171000,57.99
2014-01-15,58.03,58.35,57.76,58.34,166100,58.28
2014-01-14,57.56,58.01,57.20,57.86,134200,57.80
2014-01-13,57.79,58.21,57.10,57.27,228100,57.21
2014-01-10,58.02,58.37,57.68,58.01,347900,57.95
2014-01-09,57.71,58.03,57.03,58.03,459600,57.97
2014-01-08,57.45,57.62,56.87,57.45,232900,57.39
2014-01-07,57.05,57.90,56.67,57.51,237200,57.45
2014-01-06,57.66,57.91,56.73,56.79,280800,56.73
2014-01-03,56.87,57.58,56.49,57.36,286000,57.30
2014-01-02,57.42,57.42,56.43,56.90,323100,56.84
2013-12-31,57.46,58.19,57.30,57.45,252100,57.39
2013-12-30,57.51,57.77,57.21,57.55,219800,57.49
2013-12-27,57.12,57.67,56.91,57.51,183700,57.45
2013-12-26,57.03,57.67,56.89,57.10,248300,57.04
2013-12-24,57.03,57.23,56.68,56.95,122300,56.89
2013-12-23,57.03,57.36,56.54,57.24,273300,56.83
2013-12-20,56.06,56.78,55.91,56.73,615800,56.32
2013-12-19,56.15,56.45,55.75,56.17,358400,55.77
2013-12-18,55.49,56.16,55.13,56.12,464400,55.72
2013-12-17,55.03,56.08,54.83,55.35,504500,54.95
2013-12-16,54.94,55.12,54.42,54.95,623500,54.56
2013-12-13,54.97,55.45,54.45,54.89,426800,54.50
2013-12-12,54.57,55.16,54.57,54.77,394300,54.38
2013-12-11,55.65,55.95,54.41,54.46,428800,54.07
2013-12-10,56.00,56.21,55.16,55.32,265000,54.93
2013-12-09,56.45,56.45,55.65,55.98,283900,55.58
2013-12-06,56.43,56.76,56.25,56.35,264800,55.95
2013-12-05,55.42,56.15,55.37,55.98,263400,55.58
2013-12-04,55.14,56.05,55.03,55.63,254500,55.23
2013-12-03,57.11,57.20,55.40,55.49,297500,55.09
2013-12-02,56.31,57.83,56.04,57.29,441700,56.88
2013-11-29,55.85,56.62,55.85,56.13,172100,55.73
2013-11-27,55.89,56.18,55.65,55.87,113300,55.47
2013-11-26,55.65,56.08,55.53,55.86,161400,55.46
2013-11-25,55.70,55.93,55.38,55.60,295900,55.20
2013-11-22,55.86,55.99,55.41,55.56,224600,55.16
2013-11-21,55.76,56.07,55.53,55.85,170700,55.45
2013-11-20,55.82,56.09,55.51,55.74,129300,55.34
2013-11-19,56.17,56.17,55.57,55.87,118000,55.47
2013-11-18,56.47,56.78,56.13,56.36,174400,55.96
2013-11-15,56.57,56.95,56.30,56.56,205300,56.16
2013-11-14,56.24,56.44,55.93,56.32,162900,55.92
2013-11-13,56.00,56.33,55.72,56.18,319100,55.78
2013-11-12,55.76,56.41,55.54,56.23,212800,55.83
2013-11-11,55.64,55.77,55.15,55.67,190600,55.27
2013-11-08,55.27,55.49,55.06,55.46,132700,55.06
2013-11-07,55.11,55.36,54.74,55.09,248800,54.70
2013-11-06,55.34,55.38,55.00,55.10,251100,54.71
2013-11-05,55.36,55.62,55.14,55.20,258100,54.81
2013-11-04,54.81,55.63,54.81,55.56,271800,55.16
2013-11-01,55.61,55.87,54.48,54.72,329400,54.33
2013-10-31,54.47,55.38,53.85,55.25,437600,54.86
2013-10-30,54.19,54.90,54.09,54.42,696700,54.03
2013-10-29,54.08,54.63,53.99,54.23,590700,53.84
2013-10-28,53.90,54.05,53.69,53.98,547700,53.59
2013-10-25,54.20,54.61,53.56,53.87,734100,53.49
2013-10-24,56.75,56.75,54.66,54.97,737900,54.58
2013-10-23,57.01,58.26,56.82,57.87,276800,57.46
2013-10-22,58.64,58.84,57.26,57.45,592200,57.04
2013-10-21,58.35,58.71,58.15,58.69,333800,58.27
2013-10-18,57.66,58.57,57.55,58.53,576600,58.11
2013-10-17,57.74,58.00,56.99,57.66,547600,57.25
2013-10-16,57.18,58.05,56.83,57.84,480400,57.43
2013-10-15,56.40,57.24,56.14,56.95,773800,56.54
2013-10-14,55.96,56.53,55.96,56.44,230000,56.04
2013-10-11,55.74,56.18,55.74,56.13,158100,55.73
2013-10-10,55.43,55.77,55.13,55.69,206600,55.29
2013-10-09,55.12,55.20,54.42,54.95,395300,54.56
2013-10-08,55.45,55.46,55.09,55.09,437100,54.70
2013-10-07,55.11,55.81,54.79,55.36,360500,54.96
2013-10-04,55.24,56.00,55.11,55.42,229500,55.02
2013-10-03,56.23,56.27,55.24,55.32,174700,54.93
2013-10-02,56.23,56.43,55.60,56.25,122500,55.85
2013-10-01,56.13,56.96,55.76,56.43,350400,56.03
2013-09-30,55.20,56.12,55.07,55.98,213200,55.58
2013-09-27,55.30,55.75,55.23,55.50,125600,55.10
2013-09-26,55.64,56.18,55.35,55.66,135600,55.26
2013-09-25,56.23,56.48,55.24,55.37,173200,54.97
2013-09-24,56.62,56.70,55.98,56.06,137800,55.66
2013-09-23,56.75,56.99,56.28,56.41,136900,56.01
2013-09-20,56.58,57.10,56.25,56.86,447300,56.45
2013-09-19,56.69,57.06,56.33,56.36,255600,55.96
2013-09-18,56.69,56.84,55.98,56.79,187900,56.38
2013-09-17,56.41,56.65,56.08,56.57,204500,56.17
2013-09-16,57.13,57.13,56.32,56.65,201500,56.25
2013-09-13,57.11,57.11,56.14,56.48,320100,56.08
2013-09-12,57.07,57.18,56.52,56.88,208000,56.47
2013-09-11,57.63,57.94,57.00,57.20,261200,56.79
2013-09-10,56.25,57.69,56.15,57.64,261900,57.23
2013-09-09,55.39,56.28,55.39,56.02,299000,55.62
