Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,2.11,2.44,2.11,2.34,275500,2.34
2014-02-21,2.12,2.19,2.12,2.16,54300,2.16
2014-02-20,2.16,2.20,2.05,2.19,55700,2.19
2014-02-19,2.07,2.20,2.07,2.11,63800,2.11
2014-02-18,2.22,2.31,2.06,2.08,165700,2.08
2014-02-14,2.28,2.32,2.08,2.15,199800,2.15
2014-02-13,2.43,2.45,2.22,2.22,129600,2.22
2014-02-12,2.51,2.51,2.40,2.46,74100,2.46
2014-02-11,2.55,2.60,2.44,2.51,76300,2.51
2014-02-10,2.56,2.60,2.43,2.50,73900,2.50
2014-02-07,2.50,2.63,2.40,2.55,143500,2.55
2014-02-06,2.47,2.64,2.39,2.41,109600,2.41
2014-02-05,2.45,2.58,2.35,2.52,75200,2.52
2014-02-04,2.39,2.59,2.20,2.46,146400,2.46
2014-02-03,2.54,2.72,2.33,2.39,232800,2.39
2014-01-31,2.60,2.60,2.33,2.50,585900,2.50
2014-01-30,2.63,2.97,2.60,2.82,778800,2.82
2014-01-29,2.47,2.79,2.40,2.55,595300,2.55
2014-01-28,2.12,2.65,1.98,2.57,1040000,2.57
2014-01-27,2.28,2.29,2.04,2.08,151100,2.08
2014-01-24,2.68,2.68,2.28,2.31,173500,2.31
2014-01-23,2.72,2.72,2.65,2.67,62300,2.67
2014-01-22,2.73,2.79,2.70,2.75,116300,2.75
2014-01-21,2.64,2.89,2.50,2.84,395600,2.84
2014-01-17,2.50,2.51,2.42,2.50,151400,2.50
2014-01-16,2.64,2.75,2.37,2.54,444100,2.54
2014-01-15,2.23,3.03,2.11,2.74,2543500,2.74
2014-01-14,1.76,2.50,1.76,2.30,1445500,2.30
2014-01-13,1.69,1.85,1.69,1.78,63600,1.78
2014-01-10,1.72,1.73,1.64,1.73,33400,1.73
2014-01-09,1.67,1.68,1.65,1.68,24100,1.68
2014-01-08,1.60,1.70,1.60,1.67,23900,1.67
2014-01-07,1.63,1.67,1.60,1.60,32000,1.60
2014-01-06,1.62,1.65,1.56,1.60,10900,1.60
2014-01-03,1.55,1.58,1.53,1.55,43400,1.55
2014-01-02,1.55,1.59,1.55,1.58,4800,1.58
2013-12-31,1.53,1.59,1.53,1.56,16500,1.56
2013-12-30,1.57,1.60,1.53,1.56,65000,1.56
2013-12-27,1.57,1.64,1.57,1.60,18600,1.60
2013-12-26,1.61,1.67,1.56,1.56,23100,1.56
2013-12-24,1.61,1.63,1.61,1.61,9600,1.61
2013-12-23,1.63,1.64,1.61,1.61,21800,1.61
2013-12-20,1.70,1.70,1.63,1.63,20700,1.63
2013-12-19,1.72,1.72,1.65,1.67,8700,1.67
2013-12-18,1.73,1.74,1.68,1.68,9100,1.68
2013-12-17,1.62,1.69,1.61,1.66,3900,1.66
2013-12-16,1.65,1.70,1.65,1.68,23800,1.68
2013-12-13,1.70,1.70,1.65,1.66,27900,1.66
2013-12-12,1.72,1.72,1.69,1.69,38800,1.69
2013-12-11,1.72,1.72,1.70,1.72,6900,1.72
2013-12-10,1.70,1.75,1.70,1.74,10600,1.74
2013-12-09,1.72,1.75,1.70,1.72,27400,1.72
2013-12-06,1.72,1.75,1.72,1.72,10400,1.72
2013-12-05,1.76,1.78,1.72,1.72,8600,1.72
2013-12-04,1.72,1.82,1.69,1.73,16700,1.73
2013-12-03,1.83,1.83,1.65,1.77,117300,1.77
2013-12-02,1.89,1.98,1.75,1.80,102500,1.80
2013-11-29,1.99,2.10,1.76,1.77,187400,1.77
2013-11-27,1.54,2.00,1.54,1.93,366000,1.93
2013-11-26,1.51,1.52,1.43,1.52,51000,1.52
2013-11-25,1.47,1.48,1.43,1.48,80200,1.48
2013-11-22,1.44,1.48,1.44,1.45,18800,1.45
2013-11-21,1.43,1.46,1.43,1.46,10100,1.46
2013-11-20,1.50,1.50,1.43,1.46,81300,1.46
2013-11-19,1.48,1.52,1.46,1.51,27100,1.51
2013-11-18,1.50,1.52,1.46,1.48,30800,1.48
2013-11-15,1.48,1.49,1.46,1.49,6400,1.49
2013-11-14,1.48,1.48,1.46,1.46,4400,1.46
2013-11-13,1.47,1.53,1.47,1.50,13900,1.50
2013-11-12,1.48,1.50,1.43,1.45,31700,1.45
2013-11-11,1.49,1.51,1.48,1.50,36900,1.50
2013-11-08,1.49,1.53,1.44,1.44,28300,1.44
2013-11-07,1.49,1.49,1.44,1.45,19500,1.45
2013-11-06,1.44,1.52,1.44,1.44,21900,1.44
2013-11-05,1.41,1.44,1.40,1.42,39900,1.42
2013-11-04,1.41,1.47,1.37,1.38,70000,1.38
2013-11-01,1.41,1.45,1.37,1.41,94500,1.41
2013-10-31,1.35,1.36,1.32,1.33,82500,1.33
2013-10-30,1.40,1.40,1.35,1.37,30800,1.37
2013-10-29,1.43,1.44,1.40,1.40,10600,1.40
2013-10-28,1.39,1.45,1.39,1.41,13400,1.41
2013-10-25,1.42,1.43,1.40,1.42,6300,1.42
2013-10-24,1.40,1.42,1.31,1.42,45000,1.42
2013-10-23,1.41,1.44,1.35,1.38,58000,1.38
2013-10-22,1.41,1.46,1.40,1.42,28900,1.42
2013-10-21,1.43,1.43,1.40,1.41,14100,1.41
2013-10-18,1.45,1.45,1.39,1.42,40000,1.42
2013-10-17,1.44,1.47,1.42,1.43,30400,1.43
2013-10-16,1.43,1.43,1.39,1.41,22000,1.41
2013-10-15,1.41,1.43,1.40,1.41,15000,1.41
2013-10-14,1.43,1.45,1.40,1.43,28300,1.43
2013-10-11,1.40,1.44,1.40,1.43,24000,1.43
2013-10-10,1.40,1.44,1.39,1.41,19300,1.41
2013-10-09,1.38,1.44,1.35,1.42,5500,1.42
2013-10-08,1.38,1.42,1.38,1.41,11900,1.41
2013-10-07,1.44,1.44,1.37,1.40,43200,1.40
2013-10-04,1.40,1.43,1.40,1.42,38800,1.42
2013-10-03,1.42,1.44,1.39,1.40,52800,1.40
2013-10-02,1.44,1.46,1.40,1.46,74400,1.46
2013-10-01,1.39,1.43,1.38,1.43,32500,1.43
2013-09-30,1.40,1.45,1.39,1.40,52000,1.40
2013-09-27,1.42,1.43,1.40,1.42,22700,1.42
2013-09-26,1.44,1.44,1.37,1.41,95100,1.41
2013-09-25,1.48,1.50,1.41,1.44,299100,1.44
2013-09-24,1.56,1.58,1.43,1.49,113600,1.49
2013-09-23,1.60,1.68,1.54,1.55,329900,1.55
2013-09-20,1.44,1.54,1.43,1.51,392600,1.51
2013-09-19,1.37,1.46,1.37,1.44,385800,1.44
2013-09-18,1.38,1.40,1.37,1.38,4400,1.38
2013-09-17,1.37,1.40,1.37,1.40,1000,1.40
2013-09-16,1.40,1.40,1.39,1.40,13300,1.40
2013-09-13,1.39,1.40,1.39,1.40,3200,1.40
2013-09-12,1.40,1.40,1.40,1.40,5500,1.40
2013-09-11,1.40,1.40,1.38,1.40,71800,1.40
2013-09-10,1.43,1.43,1.40,1.42,22000,1.42
2013-09-09,1.46,1.46,1.41,1.43,38500,1.43
2013-09-06,1.46,1.46,1.41,1.42,51000,1.42
2013-09-05,1.45,1.47,1.43,1.43,50400,1.43
2013-09-04,1.45,1.48,1.41,1.47,28000,1.47
2013-09-03,1.48,1.48,1.45,1.48,12200,1.48
2013-08-30,1.55,1.55,1.41,1.50,176100,1.50
2013-08-29,1.60,1.63,1.53,1.61,28100,1.61
2013-08-28,1.59,1.60,1.57,1.60,45500,1.60
2013-08-27,1.54,1.58,1.54,1.57,2300,1.57
2013-08-26,1.55,1.74,1.46,1.54,52400,1.54
2013-08-23,1.57,1.57,1.54,1.54,3400,1.54
2013-08-22,1.49,1.56,1.49,1.56,5500,1.56
2013-08-21,1.54,1.56,1.48,1.55,13700,1.55
2013-08-20,1.49,1.56,1.49,1.55,20000,1.55
2013-08-19,1.50,1.50,1.45,1.49,6100,1.49
2013-08-16,1.50,1.54,1.43,1.52,15100,1.52
2013-08-15,1.55,1.55,1.54,1.54,2200,1.54
2013-08-14,1.54,1.54,1.52,1.54,5900,1.54
2013-08-13,1.53,1.54,1.46,1.54,12800,1.54
2013-08-12,1.68,1.68,1.47,1.50,51900,1.50
2013-08-09,1.65,1.69,1.58,1.59,67400,1.59
2013-08-08,1.65,1.73,1.56,1.60,103100,1.60
2013-08-07,1.55,1.77,1.54,1.63,91500,1.63
2013-08-06,1.53,1.55,1.51,1.55,9600,1.55
2013-08-05,1.55,1.56,1.51,1.53,11600,1.53
2013-08-02,1.53,1.55,1.53,1.55,300,1.55
2013-08-01,1.55,1.55,1.50,1.54,8800,1.54
2013-07-31,1.57,1.59,1.50,1.54,14100,1.54
2013-07-30,1.58,1.60,1.52,1.55,56200,1.55
2013-07-29,1.55,1.55,1.55,1.55,5700,1.55
2013-07-26,1.55,1.59,1.55,1.59,7500,1.59
2013-07-25,1.56,1.59,1.56,1.57,10500,1.57
2013-07-24,1.62,1.63,1.59,1.60,9600,1.60
2013-07-23,1.60,1.64,1.60,1.64,6100,1.64
2013-07-22,1.65,1.65,1.60,1.60,11600,1.60
2013-07-19,1.65,1.65,1.65,1.65,5000,1.65
2013-07-18,1.64,1.69,1.64,1.67,5300,1.67
2013-07-17,1.65,1.65,1.65,1.65,000,1.65
2013-07-16,1.65,1.65,1.61,1.65,15100,1.65
