Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,139.28,140.20,137.84,139.59,150400,139.59
2014-02-21,138.18,139.90,137.60,138.60,114000,138.60
2014-02-20,134.81,137.31,134.70,137.23,138000,137.23
2014-02-19,134.09,136.68,134.09,134.53,93400,134.53
2014-02-18,134.15,139.10,131.94,134.51,206100,134.51
2014-02-14,133.24,133.94,131.79,132.76,165800,132.76
2014-02-13,131.41,135.67,130.23,132.97,381600,132.97
2014-02-12,126.27,132.76,125.21,131.66,470800,131.66
2014-02-11,125.71,126.21,124.56,125.21,239400,125.21
2014-02-10,126.71,127.15,124.78,125.17,430900,125.17
2014-02-07,118.20,126.97,118.20,126.16,660500,126.16
2014-02-06,114.50,116.18,114.50,116.01,83200,116.01
2014-02-05,113.09,114.69,112.16,114.41,168600,114.41
2014-02-04,113.41,114.92,112.00,113.79,218600,113.79
2014-02-03,116.36,117.39,111.25,112.55,260100,112.55
2014-01-31,114.82,117.38,114.21,116.00,227800,116.00
2014-01-30,114.77,118.18,114.77,116.50,266500,116.50
2014-01-29,114.60,116.04,113.87,113.99,85500,113.99
2014-01-28,115.34,117.00,114.94,115.83,156800,115.83
2014-01-27,117.06,118.39,114.05,114.80,157900,114.80
2014-01-24,117.88,117.94,116.20,117.01,145900,117.01
2014-01-23,119.37,119.37,117.75,118.16,193300,118.16
2014-01-22,119.03,119.98,117.78,119.52,169100,119.52
2014-01-21,121.79,122.19,118.29,118.50,169900,118.50
2014-01-17,120.69,122.30,120.69,121.13,168900,121.13
2014-01-16,120.54,121.65,118.72,120.47,213500,120.47
2014-01-15,120.51,121.21,119.48,120.76,268400,120.76
2014-01-14,119.57,121.05,118.59,120.42,132700,120.42
2014-01-13,121.64,122.50,118.60,119.15,110200,119.15
2014-01-10,120.02,122.00,119.48,121.78,167400,121.78
2014-01-09,120.96,121.66,118.90,120.11,137900,120.11
2014-01-08,121.76,122.11,119.99,120.16,274000,120.16
2014-01-07,118.67,121.96,117.61,121.67,782700,121.67
2014-01-06,120.10,120.10,116.53,117.66,317800,117.66
2014-01-03,119.87,119.87,117.48,119.04,536300,119.04
2014-01-02,123.59,123.59,117.54,118.75,517700,118.75
2013-12-31,122.88,122.88,121.26,122.59,319300,122.59
2013-12-30,121.80,122.75,120.43,122.31,263800,122.31
