Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,24.35,24.35,24.25,24.25,3400,24.25
2014-02-21,24.50,24.88,24.35,24.35,1600,24.35
2014-02-20,24.71,24.88,24.50,24.50,4400,24.50
2014-02-19,24.65,24.75,24.65,24.75,1600,24.75
2014-02-18,24.62,24.88,24.62,24.86,500,24.86
2014-02-14,24.87,24.88,24.83,24.88,1300,24.88
2014-02-13,24.75,24.99,24.75,24.86,3600,24.86
2014-02-12,24.75,24.99,24.65,24.91,24900,24.91
2014-02-11,24.75,24.75,24.70,24.75,13100,24.75
2014-02-10,24.86,24.86,24.66,24.75,2800,24.75
2014-02-07,24.75,25.00,24.70,24.70,21000,24.70
2014-02-06,24.70,24.95,24.44,24.75,9500,24.75
2014-02-05,24.75,24.75,24.70,24.75,3300,24.75
2014-02-04,24.95,24.96,24.60,24.86,7800,24.86
2014-02-03,24.65,24.99,24.31,24.31,2400,24.31
2014-01-31,24.72,24.72,24.64,24.64,1100,24.64
2014-01-30,24.40,25.00,24.40,24.58,3200,24.58
2014-01-29,24.67,24.67,24.26,24.26,2600,24.26
2014-01-28,24.95,24.95,24.60,24.60,1100,24.60
2014-01-27,25.00,25.00,24.25,24.64,2500,24.64
2014-01-24,24.88,25.04,22.74,24.95,13600,24.95
2014-01-23,24.98,25.10,24.98,25.10,1300,25.10
2014-01-22,24.80,25.00,24.68,24.91,2000,24.91
2014-01-21,25.00,25.00,24.80,24.96,3100,24.96
2014-01-17,25.00,25.00,24.96,24.96,2100,24.96
2014-01-16,24.80,24.94,24.79,24.94,1100,24.94
2014-01-15,24.73,25.00,24.73,24.85,2700,24.85
2014-01-14,24.85,25.00,24.65,24.78,4000,24.78
2014-01-13,24.92,25.00,24.65,25.00,9000,25.00
2014-01-10,24.75,25.35,24.40,25.00,9700,25.00
2014-01-09,24.95,24.95,23.81,24.84,4000,24.84
2014-01-08,25.35,25.35,24.70,25.05,5300,25.05
