Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,18.30,18.73,18.00,18.20,81300,18.20
2014-02-21,18.29,18.50,17.95,18.35,112400,18.35
2014-02-20,17.75,19.29,17.74,18.29,310100,18.29
2014-02-19,17.96,17.96,17.70,17.71,62100,17.71
2014-02-18,17.90,17.90,17.52,17.75,104900,17.75
2014-02-14,17.07,17.91,17.05,17.89,37900,17.89
2014-02-13,17.60,17.75,16.98,17.07,66100,17.07
2014-02-12,17.30,17.63,17.13,17.63,65800,17.63
2014-02-11,17.50,17.78,17.40,17.43,82800,17.43
2014-02-10,17.59,17.79,17.40,17.53,28200,17.53
2014-02-07,17.25,17.70,17.11,17.54,117300,17.54
2014-02-06,16.94,17.53,16.67,17.15,237700,17.15
2014-02-05,17.00,17.00,17.00,17.00,165600,17.00
2014-02-04,18.00,18.00,17.00,17.00,175300,17.00
2014-02-03,17.64,18.20,17.25,18.10,240100,18.10
2014-01-31,17.30,18.01,16.70,17.75,5159600,17.75
