Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,20.38,20.89,20.38,20.68,15100,20.68
2014-02-21,20.47,20.91,20.37,20.41,15100,20.41
2014-02-20,20.10,20.45,20.10,20.40,19700,20.40
2014-02-19,20.47,20.47,19.98,19.99,15000,19.99
2014-02-18,20.26,20.51,19.96,20.02,14800,20.02
2014-02-14,20.56,20.61,20.06,20.24,9800,20.24
2014-02-13,20.00,20.69,20.00,20.50,12900,20.50
2014-02-12,20.01,20.18,19.97,20.03,8600,20.03
2014-02-11,19.45,19.95,19.45,19.91,10100,19.91
2014-02-10,19.50,19.58,19.40,19.45,18900,19.45
2014-02-07,19.39,19.57,19.39,19.49,26500,19.49
2014-02-06,19.62,19.62,19.08,19.41,16300,19.41
2014-02-05,19.40,19.82,19.37,19.63,21000,19.51
2014-02-04,19.28,19.55,19.21,19.49,17000,19.37
2014-02-03,20.08,20.37,18.82,19.07,31800,18.95
2014-01-31,20.07,20.36,19.94,20.01,34200,19.89
2014-01-30,20.26,20.45,20.10,20.40,18500,20.28
2014-01-29,20.36,20.36,19.90,20.11,34000,19.99
2014-01-28,20.88,20.88,20.33,20.58,37900,20.45
2014-01-27,21.01,21.22,20.56,20.65,26600,20.52
2014-01-24,20.97,21.10,20.90,21.01,22600,20.88
2014-01-23,21.88,21.90,20.85,21.05,26400,20.92
2014-01-22,21.55,22.15,21.44,22.05,39700,21.92
2014-01-21,21.00,21.75,21.00,21.69,34600,21.56
2014-01-17,20.89,20.89,20.65,20.72,9500,20.59
2014-01-16,20.79,20.90,20.79,20.84,6000,20.71
2014-01-15,21.00,21.00,20.73,20.86,37600,20.73
2014-01-14,20.75,21.01,20.75,20.87,13200,20.74
2014-01-13,21.16,21.18,20.30,20.69,22600,20.56
2014-01-10,21.26,21.49,20.97,21.16,15900,21.03
2014-01-09,21.39,21.46,21.19,21.20,11800,21.07
2014-01-08,21.39,21.46,21.13,21.39,20300,21.26
2014-01-07,21.28,21.41,21.27,21.38,17900,21.25
2014-01-06,21.19,21.30,21.15,21.28,25100,21.15
2014-01-03,21.23,21.48,21.07,21.25,21800,21.12
2014-01-02,21.43,21.55,21.08,21.22,25000,21.09
2013-12-31,21.68,21.74,21.36,21.58,12400,21.45
2013-12-30,21.73,21.84,21.60,21.62,10100,21.49
2013-12-27,21.98,21.98,21.60,21.73,9500,21.60
2013-12-26,22.07,22.07,21.66,21.88,6000,21.75
2013-12-24,22.20,22.20,21.69,21.95,12900,21.82
2013-12-23,21.88,22.34,21.88,22.12,11500,21.98
2013-12-20,20.89,22.25,20.89,21.91,52400,21.78
2013-12-19,21.04,21.04,20.68,20.81,7300,20.68
2013-12-18,20.98,21.21,20.90,21.12,19300,20.99
2013-12-17,20.74,20.90,20.59,20.77,9700,20.64
2013-12-16,20.34,20.76,20.34,20.63,8900,20.50
2013-12-13,20.29,20.46,20.24,20.29,13100,20.17
2013-12-12,20.21,20.45,20.16,20.21,8200,20.09
2013-12-11,21.01,21.01,20.10,20.14,12600,20.02
2013-12-10,21.05,21.13,20.56,20.66,24500,20.53
2013-12-09,21.76,21.76,21.07,21.08,20200,20.95
2013-12-06,21.86,22.03,21.75,21.76,7800,21.63
2013-12-05,21.55,21.93,21.50,21.65,22800,21.52
2013-12-04,21.83,21.85,21.70,21.70,7000,21.57
2013-12-03,21.82,22.02,21.72,21.82,11200,21.69
2013-12-02,22.28,22.28,21.67,21.75,40000,21.62
2013-11-29,22.11,22.30,22.11,22.28,9600,22.14
2013-11-27,21.67,22.12,21.58,21.92,21800,21.79
2013-11-26,21.31,21.67,21.31,21.67,14200,21.54
2013-11-25,21.30,21.45,21.23,21.41,11800,21.28
2013-11-22,21.28,21.42,21.11,21.37,11600,21.24
2013-11-21,21.25,21.34,21.01,21.21,11800,21.08
2013-11-20,21.19,21.30,21.00,21.12,24900,20.99
2013-11-19,21.27,21.31,21.00,21.07,4700,20.94
2013-11-18,21.27,21.32,21.10,21.10,7600,20.97
2013-11-15,21.53,21.53,21.17,21.28,26300,21.15
2013-11-14,21.73,21.77,21.40,21.60,6200,21.47
2013-11-13,21.64,21.97,21.64,21.79,3900,21.66
2013-11-12,21.96,21.96,21.67,21.71,2800,21.58
2013-11-11,22.12,22.30,21.86,22.03,11000,21.90
2013-11-08,21.82,22.04,21.78,22.04,15700,21.91
2013-11-07,21.94,22.01,21.81,21.85,16100,21.72
2013-11-06,21.94,21.98,21.54,21.89,21200,21.76
2013-11-05,21.99,22.05,21.90,21.99,18100,21.74
2013-11-04,21.57,22.01,21.57,22.01,16700,21.76
2013-11-01,21.75,21.91,20.53,21.66,48300,21.41
2013-10-31,21.95,21.96,21.50,21.84,13000,21.59
2013-10-30,22.07,22.10,21.73,21.91,8800,21.66
2013-10-29,22.10,22.25,21.43,21.99,21800,21.74
2013-10-28,22.21,22.25,21.88,22.03,12400,21.78
2013-10-25,22.19,22.19,21.74,22.07,17400,21.82
2013-10-24,22.14,22.14,21.88,22.03,5300,21.78
2013-10-23,21.96,22.25,21.89,21.99,7500,21.74
2013-10-22,22.30,22.50,22.12,22.25,17800,21.99
2013-10-21,22.35,22.47,22.03,22.19,17600,21.93
2013-10-18,22.42,22.52,22.18,22.49,17200,22.23
2013-10-17,22.21,22.46,22.14,22.26,13200,22.00
