Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,17.00,17.00,17.00,17.00,4000,17.00
2014-02-21,17.00,17.00,17.00,17.00,000,17.00
2014-02-20,17.01,17.03,17.00,17.00,8000,17.00
2014-02-19,16.96,17.00,16.96,17.00,400,17.00
2014-02-18,16.99,17.00,16.99,17.00,1500,17.00
2014-02-14,17.10,17.10,17.10,17.10,000,17.10
2014-02-13,16.75,17.10,16.74,17.10,2900,17.10
2014-02-12,17.00,17.00,17.00,17.00,5700,17.00
2014-02-11,17.12,17.13,16.84,17.00,21700,17.00
2014-02-10,17.30,17.30,17.20,17.20,1800,17.20
2014-02-07,17.20,17.20,17.20,17.20,000,17.20
2014-02-06,17.20,17.20,17.20,17.20,000,17.20
2014-02-05,17.22,17.22,17.20,17.20,1500,17.20
2014-02-04,17.10,17.30,17.10,17.30,5400,17.30
2014-02-03,17.20,17.21,17.20,17.20,1800,17.20
2014-01-31,17.35,17.35,17.20,17.20,1900,17.20
2014-01-30,17.33,17.33,17.16,17.16,600,17.16
2014-01-29,17.40,17.40,17.33,17.33,1900,17.33
2014-01-28,17.40,17.41,17.26,17.26,6100,17.26
2014-01-27,17.45,17.45,17.44,17.45,500,17.45
2014-01-24,17.59,17.59,17.56,17.58,3200,17.58
2014-01-23,17.48,17.82,17.45,17.81,6200,17.81
2014-01-22,17.47,17.47,17.41,17.41,6400,17.41
2014-01-21,17.39,17.39,17.39,17.39,000,17.39
2014-01-17,17.60,17.60,17.39,17.39,8600,17.39
2014-01-16,17.55,17.78,17.55,17.55,10000,17.55
2014-01-15,17.68,17.68,17.65,17.65,6400,17.65
2014-01-14,17.80,17.81,17.80,17.80,5100,17.80
2014-01-13,18.00,18.00,18.00,18.00,000,18.00
2014-01-10,18.00,18.00,18.00,18.00,000,18.00
2014-01-09,18.00,18.00,18.00,18.00,000,18.00
2014-01-08,18.00,18.00,18.00,18.00,000,18.00
2014-01-07,17.80,18.00,17.80,18.00,1400,18.00
2014-01-06,17.80,17.90,17.80,17.88,5500,17.88
2014-01-03,17.79,17.80,17.79,17.80,4300,17.80
2014-01-02,18.00,18.00,18.00,18.00,000,18.00
2013-12-31,17.94,18.00,17.80,18.00,3700,18.00
2013-12-30,17.68,18.10,17.68,18.08,1600,18.08
2013-12-27,17.65,17.65,17.65,17.65,3600,17.65
2013-12-26,17.69,17.69,17.69,17.69,000,17.69
2013-12-24,17.71,17.71,17.69,17.69,1400,17.69
2013-12-23,17.58,17.71,17.58,17.71,1100,17.71
2013-12-20,17.95,17.95,17.61,17.74,1400,17.74
2013-12-19,17.82,17.85,17.80,17.85,1200,17.85
2013-12-18,18.00,18.00,18.00,18.00,000,18.00
2013-12-17,17.95,18.00,17.90,18.00,1900,18.00
2013-12-16,18.00,18.01,17.90,17.90,4700,17.90
2013-12-13,17.75,17.75,17.75,17.75,000,17.75
2013-12-12,17.75,17.75,17.75,17.75,600,17.75
2013-12-11,17.94,17.94,17.94,17.94,000,17.94
2013-12-10,17.94,17.94,17.94,17.94,400,17.94
2013-12-09,17.75,17.75,17.75,17.75,000,17.75
2013-12-06,17.94,17.94,17.75,17.75,1800,17.75
2013-12-05,18.00,18.00,18.00,18.00,200,18.00
2013-12-04,17.99,17.99,17.80,17.80,2300,17.80
2013-12-03,17.99,17.99,17.99,17.99,300,17.99
2013-12-02,17.54,18.00,17.43,18.00,500,18.00
2013-11-29,17.49,17.49,17.49,17.49,000,17.49
2013-11-27,17.44,17.49,17.39,17.49,1100,17.49
2013-11-26,17.80,17.80,17.80,17.80,000,17.80
2013-11-25,17.80,17.80,17.80,17.80,1400,17.80
2013-11-22,17.85,17.85,17.70,17.85,1400,17.85
2013-11-21,17.88,17.88,17.88,17.88,200,17.88
2013-11-20,17.95,17.95,17.95,17.95,100,17.95
2013-11-19,18.00,18.00,18.00,18.00,000,18.00
2013-11-18,18.00,18.00,18.00,18.00,000,18.00
2013-11-15,18.00,18.02,18.00,18.00,1800,18.00
2013-11-14,17.98,18.15,17.73,18.00,2200,18.00
2013-11-13,18.00,18.00,18.00,18.00,2000,18.00
2013-11-12,18.00,18.01,17.94,18.00,3500,18.00
2013-11-11,17.73,18.01,17.73,18.00,2400,18.00
2013-11-08,17.50,17.76,17.25,17.72,3700,17.72
2013-11-07,17.37,17.88,17.37,17.58,19800,17.58
2013-11-06,17.30,17.30,17.30,17.30,200,17.30
2013-11-05,17.14,17.14,17.10,17.10,1200,17.10
2013-11-04,17.00,17.05,17.00,17.05,1100,17.05
2013-11-01,17.20,17.39,17.19,17.19,2000,17.19
