Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,23.45,23.81,23.30,23.70,54800,23.70
2014-02-21,23.28,23.47,23.00,23.19,44500,23.19
2014-02-20,23.34,23.52,23.04,23.12,39500,23.12
2014-02-19,24.08,24.10,23.42,23.52,23800,23.52
2014-02-18,23.78,24.15,23.67,24.13,47200,24.13
2014-02-14,23.37,24.02,22.98,23.74,106500,23.74
2014-02-13,22.94,23.58,22.90,23.53,158600,23.53
2014-02-12,23.21,23.30,22.92,23.15,55600,23.15
2014-02-11,22.90,23.25,22.80,23.19,38900,23.19
2014-02-10,23.03,23.15,22.55,22.89,41800,22.89
2014-02-07,22.50,23.20,22.49,23.16,72200,23.16
2014-02-06,22.20,22.59,22.20,22.43,40900,22.43
2014-02-05,22.76,22.90,22.20,22.21,87900,22.21
2014-02-04,23.32,23.40,23.05,23.13,44100,22.61
2014-02-03,23.36,23.45,23.18,23.32,82100,22.80
2014-01-31,23.39,23.40,23.05,23.36,60500,22.84
2014-01-30,23.08,23.34,23.02,23.19,57300,22.67
2014-01-29,23.31,23.39,22.95,23.09,75400,22.58
2014-01-28,22.88,23.40,22.81,23.38,84600,22.86
2014-01-27,23.20,23.40,22.62,22.71,46100,22.20
2014-01-24,23.17,23.31,23.01,23.11,34700,22.60
2014-01-23,23.18,23.39,23.11,23.11,92300,22.60
2014-01-22,23.21,23.36,23.16,23.25,87700,22.73
2014-01-21,22.70,23.26,22.70,23.23,91800,22.71
2014-01-17,22.64,22.87,22.44,22.73,34100,22.22
2014-01-16,22.12,22.65,22.12,22.55,68700,22.05
2014-01-15,22.28,22.32,22.14,22.25,54000,21.75
2014-01-14,22.02,22.33,22.02,22.25,64200,21.75
2014-01-13,22.62,22.80,22.00,22.03,81900,21.54
2014-01-10,22.32,22.71,22.06,22.62,55300,22.12
2014-01-09,22.57,22.65,22.41,22.46,35200,21.96
2014-01-08,22.90,22.93,22.50,22.55,61100,22.05
2014-01-07,23.19,23.63,22.79,23.00,64300,22.49
2014-01-06,22.80,23.32,22.56,22.99,67300,22.48
2014-01-03,22.72,23.15,22.61,22.71,69700,22.20
2014-01-02,22.85,23.00,22.55,22.88,65200,22.37
2013-12-31,22.89,23.28,22.63,22.85,66500,22.34
2013-12-30,22.85,23.18,22.56,22.78,68500,22.27
2013-12-27,23.18,23.23,22.86,22.90,48600,22.39
2013-12-26,23.35,23.35,22.95,23.06,60500,22.55
2013-12-24,23.31,23.40,22.95,23.25,46300,22.73
2013-12-23,22.57,23.39,22.57,23.24,163200,22.72
2013-12-20,22.53,22.80,22.18,22.47,99100,21.97
2013-12-19,22.13,22.67,22.13,22.37,63300,21.87
2013-12-18,21.63,22.07,21.62,22.00,81500,21.51
2013-12-17,21.69,21.86,21.52,21.55,121900,21.07
2013-12-16,21.79,21.99,21.51,21.51,99800,21.03
2013-12-13,21.50,21.96,21.50,21.70,51600,21.22
2013-12-12,21.86,21.89,21.50,21.50,79000,21.02
2013-12-11,22.02,22.25,21.75,21.80,72500,21.31
2013-12-10,22.27,22.43,22.00,22.02,65400,21.53
2013-12-09,22.71,22.71,22.07,22.17,140700,21.68
2013-12-06,22.71,22.74,22.50,22.60,37400,22.10
2013-12-05,22.71,22.92,22.51,22.52,37800,22.02
2013-12-04,22.97,23.20,22.66,22.73,28300,22.22
2013-12-03,23.12,23.30,22.86,22.98,58700,22.47
2013-12-02,22.64,23.18,22.63,23.00,76500,22.49
2013-11-29,22.61,22.75,22.50,22.65,40800,22.15
2013-11-27,22.59,22.73,22.55,22.61,38100,22.11
2013-11-26,22.50,22.75,22.42,22.72,48900,22.21
2013-11-25,22.75,22.75,22.32,22.52,56300,22.02
2013-11-22,22.30,22.74,22.12,22.72,65300,22.21
2013-11-21,22.33,22.67,22.10,22.22,113100,21.73
2013-11-20,22.11,22.55,22.02,22.11,46400,21.62
2013-11-19,22.20,22.37,22.01,22.27,63900,21.77
2013-11-18,22.40,22.57,22.06,22.17,136600,21.68
2013-11-15,22.44,22.78,22.28,22.56,75300,22.06
2013-11-14,23.09,23.11,22.41,22.58,95600,22.08
2013-11-13,22.79,22.99,22.50,22.80,193800,22.29
2013-11-12,24.32,24.69,23.17,23.40,178100,22.88
2013-11-11,24.25,24.68,24.10,24.23,55300,23.69
2013-11-08,23.41,24.16,23.01,23.99,96600,23.46
2013-11-07,23.42,23.71,22.91,23.61,73900,23.08
2013-11-06,23.10,23.79,22.50,23.63,353900,23.10
