Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,22.52,23.41,21.81,22.21,388100,22.21
2014-02-21,25.19,25.19,21.84,22.46,869300,22.46
2014-02-20,25.54,25.54,25.22,25.41,129200,25.41
2014-02-19,25.43,26.20,25.41,25.54,167300,25.54
2014-02-18,25.20,25.60,25.08,25.56,131800,25.56
2014-02-14,25.15,25.25,24.66,25.16,90700,25.16
2014-02-13,24.59,25.10,24.59,25.10,79500,25.10
2014-02-12,24.95,25.03,24.61,24.83,127800,24.83
2014-02-11,24.83,25.05,24.55,24.96,124500,24.96
2014-02-10,24.86,24.86,24.39,24.85,189900,24.85
2014-02-07,24.70,25.06,24.64,24.90,166200,24.90
2014-02-06,24.68,25.04,24.50,24.64,131500,24.64
2014-02-05,24.48,24.85,24.13,24.53,160700,24.53
2014-02-04,24.12,24.68,24.12,24.56,281000,24.56
2014-02-03,24.02,24.21,23.78,24.12,316600,24.12
2014-01-31,23.30,24.21,23.23,24.03,147800,24.03
2014-01-30,23.22,24.33,22.43,23.88,262000,23.88
2014-01-29,24.23,24.54,22.88,22.94,369000,22.94
2014-01-28,23.83,24.54,23.59,24.44,178700,24.44
2014-01-27,25.17,25.18,23.56,23.88,405600,23.88
2014-01-24,25.41,25.81,25.04,25.19,200100,25.19
2014-01-23,25.14,25.65,25.14,25.65,141100,25.65
2014-01-22,25.80,25.80,25.17,25.30,222600,25.30
2014-01-21,26.06,26.43,25.50,25.80,139300,25.80
2014-01-17,26.20,26.21,25.86,26.02,127300,26.02
2014-01-16,26.12,26.62,25.91,26.32,87200,26.32
2014-01-15,26.35,26.38,25.99,26.22,124000,26.22
2014-01-14,25.50,26.38,25.45,26.28,222100,26.28
2014-01-13,25.76,25.92,25.09,25.34,228500,25.34
2014-01-10,26.17,26.35,25.88,25.92,139000,25.92
2014-01-09,26.10,26.20,25.86,26.19,198200,26.19
2014-01-08,25.82,26.10,25.66,26.05,169800,26.05
2014-01-07,25.90,26.08,25.88,25.93,155400,25.93
2014-01-06,26.03,26.10,25.54,25.73,171500,25.73
2014-01-03,25.07,26.09,25.00,25.99,136400,25.99
2014-01-02,25.45,25.57,24.74,25.06,158000,25.06
2013-12-31,25.12,25.65,25.00,25.51,444400,25.51
2013-12-30,24.89,25.07,24.63,24.99,183300,24.99
2013-12-27,25.01,25.03,24.60,24.83,125100,24.83
2013-12-26,25.59,25.59,24.72,24.97,123900,24.97
2013-12-24,25.50,25.76,25.23,25.47,67100,25.47
2013-12-23,25.47,25.72,25.29,25.51,150200,25.51
2013-12-20,25.46,25.76,25.31,25.39,367600,25.39
2013-12-19,25.54,25.76,24.96,25.36,270200,25.36
2013-12-18,24.41,26.01,24.33,25.49,334300,25.49
2013-12-17,23.92,24.37,23.91,24.30,153000,24.30
2013-12-16,23.37,24.04,23.34,24.00,212700,24.00
2013-12-13,23.02,23.71,23.02,23.33,130200,23.33
2013-12-12,22.25,23.18,22.17,22.88,352400,22.88
2013-12-11,22.54,22.81,22.15,22.23,328800,22.23
2013-12-10,22.63,22.95,22.53,22.63,151800,22.63
2013-12-09,22.46,22.77,22.35,22.60,176500,22.60
2013-12-06,22.93,23.17,22.18,22.50,247600,22.50
2013-12-05,23.30,23.58,22.24,22.63,238900,22.63
2013-12-04,23.91,23.91,23.08,23.22,125800,23.22
2013-12-03,23.38,24.00,23.19,23.96,245600,23.96
2013-12-02,22.99,24.00,22.99,23.39,226000,23.39
2013-11-29,22.86,23.44,21.72,22.76,165200,22.76
2013-11-27,33.46,33.62,33.15,33.62,302100,22.41
2013-11-26,33.31,33.51,33.02,33.45,147600,22.30
2013-11-25,32.91,33.50,32.59,33.23,151800,22.15
2013-11-22,33.20,33.25,32.60,32.75,138200,21.83
2013-11-21,32.22,33.25,32.11,33.18,291200,22.12
2013-11-20,33.00,33.11,32.04,32.22,219200,21.48
2013-11-19,32.57,33.15,32.57,32.85,126900,21.90
2013-11-18,33.00,33.00,32.58,32.65,362400,21.77
2013-11-15,32.83,33.00,32.77,32.97,153900,21.98
2013-11-14,32.10,33.00,31.92,32.88,137400,21.92
2013-11-13,31.37,32.03,31.37,32.02,504000,21.35
2013-11-12,31.38,32.00,31.03,31.55,158600,21.03
2013-11-11,31.31,31.65,30.84,31.38,105000,20.92
2013-11-08,30.39,31.64,30.23,31.29,196100,20.86
2013-11-07,31.22,31.46,30.30,30.40,218900,20.27
2013-11-06,31.12,31.45,30.81,31.05,128100,20.70
2013-11-05,30.50,31.01,30.47,30.85,201500,20.57
2013-11-04,30.69,31.02,30.37,30.80,223100,20.37
2013-11-01,30.76,31.12,30.33,30.83,361800,20.39
2013-10-31,31.06,32.00,30.71,30.83,493100,20.39
2013-10-30,32.47,32.60,30.80,31.00,382800,20.51
2013-10-29,29.58,32.57,29.58,32.36,549200,21.41
2013-10-28,29.30,29.41,28.92,29.26,174300,19.35
2013-10-25,29.31,30.14,28.55,29.20,180600,19.31
2013-10-24,29.15,29.56,29.15,29.24,123900,19.34
2013-10-23,28.98,29.43,28.41,29.14,99600,19.28
2013-10-22,29.63,29.93,28.74,29.24,161900,19.34
2013-10-21,29.10,29.55,28.98,29.44,193100,19.47
2013-10-18,29.62,29.65,28.19,28.97,310200,19.16
2013-10-17,28.88,29.75,28.80,29.38,137600,19.43
2013-10-16,29.69,30.00,28.91,28.96,147000,19.16
2013-10-15,30.13,30.29,29.40,29.54,159300,19.54
2013-10-14,30.08,30.56,29.82,30.30,249600,20.04
2013-10-11,29.59,30.22,29.34,29.81,155300,19.72
2013-10-10,29.81,30.76,29.56,29.77,211100,19.69
2013-10-09,29.10,29.82,28.84,29.44,270900,19.47
2013-10-08,29.24,29.36,28.42,28.97,281300,19.16
2013-10-07,28.32,29.13,28.10,28.97,326700,19.16
2013-10-04,27.84,28.98,27.84,28.56,417200,18.89
2013-10-03,28.41,28.56,27.02,27.62,259800,18.27
2013-10-02,28.93,29.31,28.31,28.55,210600,18.89
2013-10-01,27.98,29.06,27.94,29.05,153200,19.22
2013-09-30,27.33,28.00,27.30,27.98,186900,18.51
2013-09-27,27.23,27.84,26.99,27.59,210000,18.25
2013-09-26,27.11,27.57,26.66,27.46,126600,18.16
2013-09-25,26.83,28.14,26.72,26.98,289100,17.85
2013-09-24,25.43,26.91,25.34,26.71,199700,17.67
2013-09-23,25.30,25.66,25.29,25.48,158000,16.85
2013-09-20,25.26,25.41,25.09,25.38,134100,16.79
2013-09-19,24.65,25.25,24.56,25.23,107400,16.69
2013-09-18,24.70,24.90,24.48,24.65,167100,16.31
2013-09-17,24.79,25.05,24.60,24.73,252000,16.36
2013-09-16,24.99,25.10,24.66,24.89,188600,16.46
2013-09-13,24.79,24.86,24.60,24.73,44600,16.36
2013-09-12,24.55,24.87,24.55,24.69,98000,16.33
2013-09-11,24.30,24.85,24.02,24.69,79700,16.33
2013-09-10,24.12,24.39,24.03,24.37,77600,16.12
2013-09-09,23.65,24.10,23.50,23.97,25700,15.86
2013-09-06,23.86,24.04,23.45,23.54,173300,15.57
2013-09-05,23.57,24.07,23.37,23.63,91700,15.63
2013-09-04,23.85,23.94,23.20,23.47,150600,15.52
2013-09-03,22.66,23.91,22.54,23.38,92700,15.47
2013-08-30,23.78,23.78,22.16,22.38,136100,14.80
2013-08-29,23.23,23.90,23.04,23.88,100200,15.80
2013-08-28,23.75,23.79,23.29,23.37,115400,15.46
2013-08-27,24.18,24.38,22.76,23.84,214800,15.77
2013-08-26,24.51,24.69,24.21,24.46,137400,16.18
2013-08-23,24.13,24.73,23.73,24.49,86300,16.20
2013-08-22,24.29,24.48,23.79,24.11,136400,15.95
2013-08-21,24.31,24.60,24.04,24.18,94400,15.99
2013-08-20,23.88,24.44,23.88,24.35,150900,16.11
