Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,45.44,45.56,45.32,45.36,5600,45.36
2014-02-21,45.50,45.50,45.05,45.40,3800,45.40
2014-02-20,46.26,46.50,45.00,45.02,80400,45.02
2014-02-19,45.63,45.85,45.25,45.31,18600,45.31
2014-02-18,45.45,46.60,45.45,45.90,42400,45.90
2014-02-14,45.65,45.78,45.00,45.31,3400,45.31
2014-02-13,43.65,45.65,43.65,45.40,267200,45.40
2014-02-12,43.18,43.63,43.18,43.47,127000,43.47
2014-02-11,43.65,43.75,43.40,43.60,81100,43.60
2014-02-10,43.36,43.98,43.35,43.92,9000,43.92
2014-02-07,43.75,43.88,43.32,43.87,34900,43.87
2014-02-06,43.58,43.80,43.30,43.66,68200,43.66
2014-02-05,43.78,43.92,43.26,43.50,65100,43.50
2014-02-04,43.97,47.05,43.28,44.14,40500,44.14
2014-02-03,44.75,44.75,43.81,43.88,47800,43.88
2014-01-31,44.75,44.75,44.70,44.75,2100,44.75
2014-01-30,45.35,45.40,44.96,45.21,28300,45.21
2014-01-29,44.94,45.63,44.60,45.27,8500,45.27
2014-01-28,46.25,46.25,44.48,45.47,322000,45.47
2014-01-27,46.15,46.15,45.60,45.95,3900,45.95
2014-01-24,47.15,47.63,46.36,46.36,173700,46.36
2014-01-23,47.00,47.00,45.70,46.64,151800,46.64
2014-01-22,46.55,47.32,46.55,47.32,47600,47.32
2014-01-21,46.45,46.45,46.45,46.45,25600,46.45
2014-01-17,46.11,46.21,46.11,46.18,1100,46.18
2014-01-16,46.78,46.78,46.25,46.25,2400,46.25
2014-01-15,46.60,47.01,46.24,46.64,2700,46.64
2014-01-14,46.53,46.53,46.53,46.53,000,46.53
2014-01-13,46.32,46.53,46.24,46.53,700,46.53
2014-01-10,46.80,47.08,46.62,46.90,2500,46.90
2014-01-09,47.48,47.48,45.14,45.71,75900,45.71
2014-01-08,46.85,46.91,46.25,46.29,90700,46.29
2014-01-07,45.80,46.78,45.80,46.78,50600,46.78
2014-01-06,45.58,46.26,45.40,45.49,2100,45.49
2014-01-03,45.79,45.79,45.27,45.27,600,45.27
2014-01-02,45.40,45.42,45.35,45.40,2500,45.40
2013-12-31,45.00,45.59,44.83,45.57,1900,45.57
