Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,29.74,30.23,29.74,30.02,159700,30.02
2014-02-21,30.27,30.36,29.59,29.69,263500,29.69
2014-02-20,29.44,30.16,29.44,30.11,189400,30.11
2014-02-19,29.74,30.10,29.33,29.55,139700,29.55
2014-02-18,30.01,30.33,29.66,29.87,220100,29.87
2014-02-14,29.76,29.99,29.46,29.88,128500,29.88
2014-02-13,29.18,29.78,29.12,29.74,293600,29.74
2014-02-12,29.25,29.77,29.25,29.44,154800,29.44
2014-02-11,29.01,29.50,28.68,29.32,143000,29.32
2014-02-10,28.95,29.04,28.52,29.04,163800,29.04
2014-02-07,29.26,29.26,28.76,29.04,194300,29.04
2014-02-06,29.25,29.33,29.00,29.10,187800,29.10
2014-02-05,29.15,29.43,28.82,29.14,265700,29.14
2014-02-04,29.75,29.75,29.18,29.20,428600,29.20
2014-02-03,30.05,30.23,29.20,29.61,490000,29.61
2014-01-31,29.97,30.60,29.80,30.13,328700,30.13
2014-01-30,29.47,32.50,29.44,30.49,771800,30.49
2014-01-29,28.90,29.15,28.71,29.11,277400,29.11
2014-01-28,29.04,29.10,28.72,29.08,456700,29.08
2014-01-27,29.38,29.38,28.97,29.10,233500,29.10
2014-01-24,29.63,29.63,29.09,29.26,257000,29.26
2014-01-23,30.00,30.20,29.81,29.87,376900,29.87
2014-01-22,29.67,30.29,29.63,30.17,153200,30.17
2014-01-21,30.09,30.09,29.68,29.74,291400,29.74
2014-01-17,30.14,30.28,29.84,29.96,212600,29.96
2014-01-16,30.54,30.56,30.04,30.27,264300,30.27
2014-01-15,30.60,30.96,30.52,30.73,239200,30.73
2014-01-14,30.03,30.63,29.92,30.47,179000,30.47
2014-01-13,30.13,30.45,29.63,29.91,311600,29.91
2014-01-10,30.12,30.52,29.95,30.32,142700,30.32
2014-01-09,30.39,30.43,29.94,30.26,148600,30.26
2014-01-08,30.53,30.62,30.04,30.25,274600,30.25
2014-01-07,30.08,30.74,30.04,30.49,173200,30.49
2014-01-06,30.23,30.23,29.71,30.07,186000,30.07
2014-01-03,29.87,30.59,29.87,30.18,296400,30.18
2014-01-02,29.85,30.00,29.52,29.86,224600,29.86
2013-12-31,29.72,30.02,29.60,29.92,244400,29.92
2013-12-30,29.58,29.78,29.46,29.69,190800,29.69
2013-12-27,29.78,29.79,29.47,29.68,143000,29.68
2013-12-26,29.93,29.94,29.60,29.66,247700,29.66
2013-12-24,29.73,29.90,29.71,29.82,109800,29.82
2013-12-23,29.99,29.99,29.59,29.74,230500,29.74
2013-12-20,29.43,29.97,29.29,29.92,502800,29.92
2013-12-19,29.65,29.78,29.24,29.29,140700,29.29
2013-12-18,29.58,29.78,29.21,29.77,180900,29.77
