Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,4.79,4.94,4.77,4.92,88100,4.92
2014-02-21,4.81,4.84,4.70,4.78,109300,4.78
2014-02-20,4.71,4.84,4.66,4.77,128800,4.77
2014-02-19,4.88,4.88,4.70,4.73,106200,4.73
2014-02-18,4.80,4.87,4.71,4.86,111500,4.86
2014-02-14,4.89,4.94,4.66,4.85,154700,4.85
2014-02-13,4.57,4.91,4.57,4.88,124200,4.88
2014-02-12,4.77,4.78,4.60,4.62,127000,4.62
2014-02-11,4.63,4.88,4.63,4.79,128200,4.79
2014-02-10,4.87,4.95,4.57,4.65,237300,4.65
2014-02-07,4.86,4.97,4.78,4.85,99800,4.85
2014-02-06,4.91,5.04,4.85,4.86,112700,4.86
2014-02-05,5.04,5.04,4.89,4.93,100100,4.93
2014-02-04,5.02,5.19,4.84,5.05,102000,5.05
2014-02-03,5.11,5.22,4.97,5.02,301800,5.02
2014-01-31,5.22,5.31,5.00,5.15,246100,5.15
2014-01-30,5.45,5.52,5.29,5.33,174300,5.33
2014-01-29,5.55,5.55,5.27,5.45,104700,5.45
2014-01-28,5.49,5.59,5.44,5.59,196100,5.59
2014-01-27,5.60,5.60,5.44,5.47,200900,5.47
2014-01-24,5.55,5.59,5.50,5.56,222000,5.56
2014-01-23,5.49,5.62,5.45,5.55,99600,5.55
2014-01-22,5.63,5.64,5.49,5.53,145700,5.53
2014-01-21,5.66,5.66,5.47,5.62,98400,5.62
2014-01-17,5.68,5.79,5.48,5.63,90000,5.63
2014-01-16,5.79,5.79,5.59,5.67,102000,5.67
2014-01-15,5.50,5.80,5.48,5.79,192700,5.79
2014-01-14,5.44,5.64,5.38,5.51,140100,5.51
2014-01-13,5.33,5.44,5.30,5.40,150100,5.40
2014-01-10,5.45,5.50,5.23,5.37,168900,5.37
2014-01-09,5.31,5.45,5.03,5.44,175800,5.44
2014-01-08,5.50,5.56,5.28,5.31,209900,5.31
2014-01-07,5.36,5.60,5.36,5.49,240200,5.49
2014-01-06,5.56,5.67,5.35,5.37,362500,5.37
2014-01-03,5.59,5.66,5.52,5.56,98300,5.56
2014-01-02,5.68,5.80,5.46,5.59,101900,5.59
2013-12-31,5.69,5.77,5.68,5.72,119400,5.72
2013-12-30,5.70,5.80,5.63,5.71,205400,5.71
2013-12-27,5.85,5.86,5.61,5.70,120500,5.70
2013-12-26,5.77,5.88,5.69,5.82,252800,5.82
2013-12-24,5.73,5.78,5.61,5.76,75000,5.76
2013-12-23,5.50,5.75,5.27,5.73,390700,5.73
2013-12-20,5.17,5.69,5.14,5.63,871800,5.63
2013-12-19,5.11,5.20,5.00,5.14,427800,5.14
2013-12-18,4.59,5.17,4.55,5.14,646600,5.14
2013-12-17,4.61,4.61,4.45,4.55,301800,4.55
2013-12-16,4.04,4.58,4.00,4.49,612900,4.49
2013-12-13,4.11,4.22,4.04,4.05,117500,4.05
2013-12-12,4.16,4.23,4.09,4.12,134800,4.12
2013-12-11,4.08,4.27,4.04,4.17,439000,4.17
2013-12-10,3.95,3.99,3.83,3.84,109200,3.84
2013-12-09,4.01,4.04,3.93,3.95,67400,3.95
2013-12-06,3.86,4.04,3.83,4.00,218300,4.00
2013-12-05,3.64,3.84,3.63,3.83,148000,3.83
2013-12-04,3.82,3.82,3.63,3.65,191000,3.65
2013-12-03,3.74,3.84,3.71,3.74,75600,3.74
2013-12-02,3.88,3.91,3.73,3.73,87200,3.73
2013-11-29,3.80,3.89,3.77,3.89,70600,3.89
2013-11-27,3.77,3.80,3.75,3.79,91100,3.79
2013-11-26,3.80,3.82,3.76,3.78,77800,3.78
2013-11-25,3.84,3.85,3.76,3.81,86400,3.81
2013-11-22,3.82,3.84,3.76,3.82,98600,3.82
2013-11-21,3.81,3.87,3.76,3.82,112400,3.82
2013-11-20,3.83,3.92,3.80,3.81,97100,3.81
2013-11-19,3.98,4.05,3.82,3.83,118500,3.83
2013-11-18,4.08,4.10,3.92,3.97,105600,3.97
2013-11-15,4.06,4.19,4.05,4.09,72100,4.09
2013-11-14,4.27,4.28,4.02,4.07,183300,4.07
2013-11-13,4.19,4.32,4.13,4.27,81600,4.27
2013-11-12,4.20,4.24,4.14,4.24,51000,4.24
2013-11-11,4.16,4.37,4.16,4.22,253500,4.22
2013-11-08,4.17,4.25,4.14,4.18,145100,4.18
2013-11-07,4.17,4.20,4.10,4.18,191200,4.18
