Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,16.76,16.86,16.27,16.55,6700,16.55
2014-02-21,17.00,17.24,16.60,16.61,19600,16.61
2014-02-20,16.77,17.00,16.51,16.90,5700,16.90
2014-02-19,16.80,16.80,16.48,16.68,6600,16.68
2014-02-18,16.72,17.10,16.36,16.65,11700,16.65
2014-02-14,16.65,16.79,16.41,16.72,16200,16.72
2014-02-13,16.63,16.68,16.27,16.41,2500,16.41
2014-02-12,16.68,16.86,16.46,16.77,3200,16.77
2014-02-11,16.75,16.90,16.70,16.70,4000,16.70
2014-02-10,16.65,16.76,16.55,16.74,19600,16.74
2014-02-07,16.64,16.89,16.41,16.85,3200,16.85
2014-02-06,16.10,16.77,16.10,16.66,3200,16.66
2014-02-05,16.21,16.43,15.78,15.97,16900,15.97
2014-02-04,16.30,16.94,16.30,16.43,6600,16.32
2014-02-03,17.09,17.09,16.10,16.28,14100,16.17
2014-01-31,16.92,17.11,16.90,17.11,1200,17.00
2014-01-30,16.97,17.11,16.77,17.11,5200,17.00
2014-01-29,16.80,17.09,16.80,16.97,6300,16.86
2014-01-28,17.48,17.49,16.88,17.01,3000,16.90
2014-01-27,16.77,16.90,16.77,16.88,2900,16.77
2014-01-24,17.30,17.30,17.03,17.15,7700,17.04
2014-01-23,16.83,17.43,16.82,17.43,6500,17.31
2014-01-22,16.89,17.48,16.89,17.15,8800,17.04
2014-01-21,16.39,16.94,16.39,16.80,12600,16.69
2014-01-17,16.38,16.51,16.21,16.41,6000,16.30
2014-01-16,16.46,16.53,16.18,16.31,4800,16.20
2014-01-15,16.28,16.34,16.28,16.34,1900,16.23
2014-01-14,16.13,16.54,15.97,16.28,13700,16.17
2014-01-13,15.92,16.11,15.63,15.96,5300,15.85
2014-01-10,15.86,16.49,15.86,15.86,10700,15.75
2014-01-09,16.02,16.15,15.50,16.15,15700,16.04
2014-01-08,16.02,16.27,14.55,16.07,12200,15.96
2014-01-07,15.74,16.47,15.74,16.27,6800,16.16
2014-01-06,16.13,16.13,15.08,15.72,2400,15.61
2014-01-03,15.86,16.24,15.86,16.01,3600,15.90
2014-01-02,15.71,16.62,15.71,15.86,3200,15.75
2013-12-31,15.21,16.05,15.21,15.80,11800,15.69
2013-12-30,15.20,15.30,15.20,15.26,3300,15.16
2013-12-27,15.45,15.47,15.25,15.46,4300,15.36
2013-12-26,14.90,15.55,14.79,15.51,10500,15.41
2013-12-24,14.93,14.93,14.60,14.75,6200,14.65
2013-12-23,14.67,14.93,14.61,14.84,6100,14.74
2013-12-20,14.57,14.93,14.54,14.54,58100,14.44
2013-12-19,14.69,14.85,14.52,14.53,7300,14.43
2013-12-18,14.59,14.85,14.59,14.74,7300,14.64
2013-12-17,14.92,14.92,14.50,14.53,14500,14.43
2013-12-16,14.24,14.93,14.20,14.80,23400,14.70
