Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,16.02,16.35,16.00,16.08,149600,16.08
2014-02-21,15.03,16.20,14.85,15.99,285200,15.99
2014-02-20,16.15,17.00,15.52,15.68,794600,15.68
2014-02-19,15.96,16.38,15.63,16.16,444000,16.16
2014-02-18,16.20,16.64,15.90,16.12,538800,16.12
2014-02-14,15.99,16.36,15.52,15.83,453600,15.83
2014-02-13,15.99,15.99,15.06,15.77,713800,15.77
2014-02-12,15.99,16.50,15.90,15.99,275800,15.99
2014-02-11,15.99,17.14,15.90,15.99,651900,15.99
2014-02-10,16.12,17.39,15.81,15.90,1202400,15.90
2014-02-07,16.60,16.69,13.52,15.72,3498100,15.72
2014-02-06,21.25,21.97,14.51,17.45,6394100,17.45
2014-02-05,22.78,22.88,21.00,21.21,501300,21.21
2014-02-04,21.38,23.44,21.04,22.52,555200,22.52
2014-02-03,22.30,22.31,20.10,20.85,367900,20.85
2014-01-31,21.75,22.30,21.28,21.98,1995600,21.98
2014-01-30,21.91,22.73,20.62,21.70,328300,21.70
2014-01-29,22.49,22.88,21.15,21.80,331000,21.80
2014-01-28,21.11,22.70,20.10,22.60,437900,22.60
2014-01-27,23.00,23.00,20.88,21.06,311800,21.06
2014-01-24,23.80,23.80,22.76,22.99,145200,22.99
2014-01-23,23.00,23.93,22.52,23.91,165500,23.91
2014-01-22,24.06,24.58,22.82,23.96,89900,23.96
2014-01-21,24.57,25.63,23.23,24.29,128200,24.29
2014-01-17,24.00,26.70,23.67,25.63,357600,25.63
2014-01-16,22.17,24.00,21.70,23.99,192600,23.99
2014-01-15,22.34,22.77,21.70,22.08,96500,22.08
2014-01-14,22.79,23.00,21.49,22.32,127000,22.32
2014-01-13,23.86,24.25,22.67,23.19,342500,23.19
2014-01-10,22.06,23.20,21.67,23.06,260000,23.06
2014-01-09,21.09,23.25,20.66,22.14,633000,22.14
2014-01-08,17.32,19.75,17.32,19.60,273200,19.60
2014-01-07,17.20,17.69,17.09,17.26,45200,17.26
2014-01-06,17.71,17.98,17.29,17.29,37900,17.29
2014-01-03,18.02,18.13,17.18,17.42,43500,17.42
2014-01-02,16.66,18.15,16.51,17.65,179000,17.65
2013-12-31,16.54,16.90,16.07,16.31,91600,16.31
2013-12-30,16.65,16.71,16.05,16.51,108800,16.51
2013-12-27,17.32,17.40,16.40,17.04,56000,17.04
2013-12-26,17.39,17.50,17.19,17.29,44500,17.29
2013-12-24,17.15,17.50,17.15,17.28,5500,17.28
2013-12-23,17.72,17.94,17.25,17.25,56500,17.25
2013-12-20,17.90,17.95,17.25,17.65,64500,17.65
2013-12-19,17.97,18.12,17.50,17.74,36500,17.74
2013-12-18,17.56,18.01,17.56,17.90,293300,17.90
2013-12-17,17.97,18.06,17.13,17.61,148600,17.61
2013-12-16,18.45,18.66,17.51,17.95,88500,17.95
2013-12-13,16.57,18.20,16.57,17.95,88600,17.95
2013-12-12,16.39,16.69,15.83,16.43,68500,16.43
2013-12-11,16.90,16.96,16.44,16.46,53900,16.46
2013-12-10,17.20,17.20,16.67,16.78,32400,16.78
2013-12-09,16.70,17.40,15.30,17.18,218200,17.18
2013-12-06,16.99,17.08,16.29,16.70,90500,16.70
2013-12-05,17.60,17.61,16.30,17.02,86700,17.02
2013-12-04,17.38,18.25,17.15,17.74,106000,17.74
2013-12-03,16.92,17.77,16.90,17.43,74600,17.43
2013-12-02,18.12,18.22,16.78,16.92,84100,16.92
2013-11-29,17.98,18.42,17.87,18.10,30500,18.10
2013-11-27,17.56,18.00,17.56,17.82,46700,17.82
2013-11-26,18.65,18.82,17.49,17.82,62700,17.82
2013-11-25,17.53,19.34,17.22,18.50,105000,18.50
2013-11-22,15.99,19.69,15.75,17.75,479600,17.75
2013-11-21,15.25,15.86,14.80,15.60,79300,15.60
2013-11-20,15.29,15.45,14.67,15.18,15500,15.18
2013-11-19,15.02,15.50,15.02,15.35,60600,15.35
2013-11-18,14.67,15.70,14.47,14.99,130700,14.99
2013-11-15,14.28,14.92,13.97,14.82,88500,14.82
2013-11-14,14.23,14.23,13.90,14.05,62200,14.05
2013-11-13,14.15,14.29,13.90,14.04,57700,14.04
2013-11-12,14.13,14.39,13.82,14.15,71800,14.15
2013-11-11,13.93,14.23,13.60,14.23,41300,14.23
2013-11-08,14.16,14.20,13.55,13.88,43300,13.88
2013-11-07,15.10,15.50,13.91,14.15,140600,14.15
2013-11-06,14.00,14.70,14.00,14.70,62500,14.70
2013-11-05,14.55,14.59,14.16,14.16,41900,14.16
2013-11-04,14.20,14.60,14.20,14.57,52800,14.57
2013-11-01,14.32,14.94,13.70,13.99,87500,13.99
2013-10-31,13.61,14.38,13.54,14.08,45300,14.08
2013-10-30,13.75,13.75,13.15,13.69,39000,13.69
2013-10-29,14.00,14.00,13.02,13.70,136700,13.70
2013-10-28,14.25,14.36,13.84,13.94,66900,13.94
2013-10-25,13.55,14.78,13.55,14.33,27100,14.33
2013-10-24,14.80,14.96,13.67,14.41,85500,14.41
2013-10-23,15.00,15.00,14.51,14.56,28400,14.56
2013-10-22,15.25,15.25,14.70,14.76,53700,14.76
2013-10-21,14.32,15.21,14.31,14.83,156500,14.83
2013-10-18,13.93,14.75,13.88,14.61,45400,14.61
2013-10-17,13.42,14.61,13.42,14.10,87400,14.10
2013-10-16,13.61,13.62,13.15,13.60,43200,13.60
2013-10-15,13.42,13.92,13.30,13.81,26500,13.81
2013-10-14,13.68,13.68,13.20,13.50,14300,13.50
2013-10-11,13.50,13.78,13.06,13.53,27400,13.53
2013-10-10,13.32,13.83,13.10,13.35,51400,13.35
2013-10-09,12.86,13.59,12.80,13.00,49600,13.00
2013-10-08,14.20,14.20,13.00,13.15,111200,13.15
2013-10-07,13.50,13.94,13.48,13.67,27500,13.67
2013-10-04,14.66,15.37,13.00,13.48,434400,13.48
2013-10-03,13.67,14.75,13.60,14.70,87900,14.70
2013-10-02,13.39,14.50,13.30,13.76,67200,13.76
2013-10-01,14.13,14.18,13.08,13.69,135200,13.69
2013-09-30,14.82,16.00,13.81,14.20,267500,14.20
2013-09-27,13.42,16.40,13.01,15.15,1334600,15.15
2013-09-26,10.00,13.74,10.00,12.80,5025100,12.80
