Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,14.40,14.75,14.38,14.75,2800,14.75
2014-02-21,14.47,14.47,14.47,14.47,300,14.47
2014-02-20,14.50,14.50,14.50,14.50,100,14.50
2014-02-19,14.60,14.60,14.60,14.60,200,14.60
2014-02-18,14.20,14.40,13.90,13.93,1200,13.93
2014-02-14,13.86,14.50,13.86,14.20,16000,14.20
2014-02-13,13.80,13.80,13.68,13.68,700,13.68
2014-02-12,13.80,13.80,13.80,13.80,000,13.80
2014-02-11,14.17,14.17,13.80,13.80,900,13.80
2014-02-10,14.24,14.24,14.24,14.24,000,14.24
2014-02-07,14.24,14.24,14.24,14.24,200,14.24
2014-02-06,14.10,14.10,14.10,14.10,200,14.10
2014-02-05,13.98,14.08,13.90,14.01,5200,14.01
2014-02-04,14.05,14.05,14.05,14.05,000,14.05
2014-02-03,14.01,14.20,14.01,14.05,1600,14.05
2014-01-31,14.01,14.01,14.01,14.01,300,13.96
2014-01-30,14.45,14.45,14.38,14.38,700,14.33
2014-01-29,14.22,14.22,14.22,14.22,000,14.17
2014-01-28,14.22,14.22,14.22,14.22,000,14.17
2014-01-27,14.60,14.60,14.21,14.22,700,14.17
2014-01-24,14.97,14.97,14.45,14.50,2100,14.45
2014-01-23,13.80,14.97,13.69,14.10,2200,14.05
2014-01-22,14.10,14.13,14.00,14.00,1800,13.95
2014-01-21,13.82,14.50,13.68,14.16,11400,14.11
2014-01-17,13.39,13.57,13.39,13.57,700,13.52
2014-01-16,13.25,13.75,13.25,13.35,1200,13.30
2014-01-15,13.43,13.43,13.30,13.30,900,13.25
2014-01-14,13.47,13.55,13.41,13.41,3300,13.36
2014-01-13,13.75,13.85,13.25,13.54,5600,13.49
2014-01-10,14.11,14.11,14.11,14.11,000,14.06
2014-01-09,14.11,14.11,14.11,14.11,000,14.06
2014-01-08,14.11,14.11,14.11,14.11,000,14.06
2014-01-07,14.11,14.11,14.11,14.11,000,14.06
2014-01-06,14.11,14.11,14.11,14.11,1900,14.06
2014-01-03,14.46,14.90,14.35,14.35,1100,14.30
2014-01-02,14.34,14.40,14.33,14.33,4200,14.28
2013-12-31,14.29,14.34,14.29,14.34,600,14.29
2013-12-30,14.29,14.29,14.29,14.29,000,14.24
2013-12-27,14.21,14.36,14.20,14.29,6900,14.24
2013-12-26,13.86,14.85,13.86,14.00,5300,13.95
2013-12-24,14.20,14.20,13.90,13.90,500,13.75
