Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,9.30,9.44,9.25,9.35,6400,9.35
2014-02-21,9.45,9.50,9.21,9.47,600,9.47
2014-02-20,9.58,9.60,9.22,9.33,4700,9.33
2014-02-19,9.19,9.34,9.19,9.33,1700,9.33
2014-02-18,9.35,9.35,9.34,9.34,600,9.34
2014-02-14,9.32,9.45,9.25,9.40,5100,9.40
2014-02-13,9.17,9.25,9.17,9.25,500,9.25
2014-02-12,9.20,9.20,9.16,9.16,500,9.16
2014-02-11,9.20,9.21,9.19,9.20,4700,9.20
2014-02-10,9.28,9.37,9.15,9.17,8200,9.17
2014-02-07,9.27,9.31,9.24,9.31,46600,9.22
2014-02-06,9.34,9.35,9.30,9.30,6800,9.21
2014-02-05,9.40,9.41,9.37,9.37,6000,9.28
2014-02-04,9.50,9.50,9.45,9.45,1200,9.36
2014-02-03,9.69,9.69,9.55,9.55,1600,9.46
2014-01-31,9.50,9.57,9.40,9.45,8400,9.36
2014-01-30,9.36,9.36,9.36,9.36,700,9.27
2014-01-29,9.36,9.37,9.35,9.37,1200,9.28
2014-01-28,9.40,9.56,9.37,9.46,9100,9.37
2014-01-27,9.40,9.40,9.32,9.32,800,9.23
2014-01-24,9.37,9.49,9.35,9.42,3700,9.33
2014-01-23,9.45,9.45,9.28,9.30,1900,9.21
2014-01-22,9.41,9.43,9.41,9.41,1100,9.32
2014-01-21,9.50,9.50,9.45,9.49,1100,9.40
2014-01-17,9.34,9.50,9.34,9.49,6900,9.40
2014-01-16,9.65,9.65,9.50,9.50,2700,9.41
2014-01-15,9.56,9.56,9.56,9.56,300,9.47
2014-01-14,9.53,9.57,9.53,9.55,3200,9.46
2014-01-13,9.51,9.58,9.51,9.54,900,9.45
2014-01-10,9.75,9.75,9.71,9.72,1300,9.63
2014-01-09,9.70,9.72,9.53,9.71,23500,9.62
2014-01-08,9.75,9.75,9.70,9.70,68500,9.61
2014-01-07,9.68,9.70,9.45,9.65,18100,9.56
2014-01-06,9.60,9.70,9.60,9.64,8500,9.55
2014-01-03,9.50,9.74,9.45,9.74,8600,9.65
2014-01-02,9.34,9.45,9.32,9.40,73000,9.31
2013-12-31,9.58,9.58,9.58,9.58,100,9.49
2013-12-30,9.41,9.59,9.41,9.50,4000,9.41
2013-12-27,9.26,9.44,9.26,9.44,1800,9.35
2013-12-26,9.38,9.50,9.25,9.50,40900,9.41
2013-12-24,9.52,9.53,9.35,9.37,8500,9.28
2013-12-23,9.69,9.69,9.59,9.59,200,9.50
2013-12-20,9.51,9.70,9.47,9.70,11200,9.61
2013-12-19,9.48,9.48,9.35,9.44,3000,9.35
2013-12-18,9.45,9.48,9.35,9.48,1700,9.39
2013-12-17,9.51,9.51,9.22,9.41,4500,9.32
2013-12-16,9.44,9.45,9.38,9.41,1800,9.32
2013-12-13,9.41,9.41,9.41,9.41,1200,9.32
2013-12-12,9.42,9.47,9.41,9.41,1800,9.32
2013-12-11,9.41,9.41,9.41,9.41,300,9.32
2013-12-10,9.48,9.48,9.41,9.43,2700,9.34
2013-12-09,9.59,9.59,9.40,9.40,9000,9.31
2013-12-06,9.73,9.73,9.57,9.57,1700,9.48
2013-12-05,9.70,9.70,9.57,9.68,2000,9.59
2013-12-04,9.67,9.70,9.60,9.68,1000,9.59
2013-12-03,9.53,9.75,9.53,9.60,1200,9.51
2013-12-02,9.56,9.70,9.53,9.53,2200,9.44
2013-11-29,9.70,9.70,9.51,9.51,7700,9.42
2013-11-27,9.74,9.74,9.65,9.65,2100,9.56
2013-11-26,9.83,9.83,9.65,9.75,7200,9.66
2013-11-25,9.75,9.79,9.75,9.79,4800,9.70
2013-11-22,9.76,9.76,9.75,9.75,5400,9.66
2013-11-21,9.86,9.86,9.75,9.75,3400,9.66
2013-11-20,9.81,9.81,9.81,9.81,1300,9.72
2013-11-19,9.74,9.85,9.74,9.76,5900,9.67
2013-11-18,9.67,9.91,9.65,9.89,4100,9.79
2013-11-15,10.00,10.10,9.90,9.95,91600,9.85
2013-11-14,9.95,10.06,9.90,9.95,25800,9.85
2013-11-13,9.98,10.00,9.98,10.00,1700,9.90
2013-11-12,9.90,9.95,9.89,9.89,3500,9.79
2013-11-11,9.95,9.95,9.95,9.95,2600,9.85
2013-11-08,9.93,9.95,9.84,9.88,1200,9.78
2013-11-07,9.90,9.90,9.90,9.90,000,9.80
2013-11-06,9.85,9.95,9.85,9.90,5900,9.72
2013-11-05,10.23,10.23,9.80,9.85,14900,9.67
2013-11-04,9.94,10.00,9.91,9.97,6700,9.78
2013-11-01,10.20,10.20,10.20,10.20,200,10.01
2013-10-31,10.12,10.12,9.95,10.00,5600,9.81
2013-10-30,9.99,10.05,9.90,9.98,18600,9.79
2013-10-29,9.97,10.23,9.97,10.23,4000,10.04
2013-10-28,10.13,10.24,9.97,10.18,6100,9.99
2013-10-25,10.00,10.00,10.00,10.00,500,9.81
2013-10-24,10.00,10.00,9.94,10.00,2400,9.81
2013-10-23,9.99,10.00,9.98,10.00,55400,9.81
2013-10-22,10.24,10.24,10.04,10.22,10600,10.03
2013-10-21,9.87,10.05,9.85,10.03,6500,9.84
2013-10-18,9.86,9.91,9.81,9.91,1100,9.72
2013-10-17,9.91,9.91,9.80,9.91,1400,9.72
2013-10-16,9.76,9.98,9.76,9.89,2000,9.71
2013-10-15,10.05,10.05,9.60,9.75,9300,9.57
2013-10-14,9.94,10.22,9.75,9.98,1400,9.79
2013-10-11,10.00,10.20,9.93,10.20,3700,10.01
2013-10-10,9.95,10.12,9.95,10.00,9000,9.81
2013-10-09,10.00,10.01,9.93,9.95,2400,9.76
2013-10-08,10.04,10.05,9.95,9.95,2000,9.76
2013-10-07,9.87,10.10,9.87,10.03,5000,9.84
2013-10-04,9.80,9.83,9.80,9.80,1100,9.62
2013-10-03,9.82,9.85,9.75,9.85,3100,9.67
2013-10-02,10.01,10.09,9.91,10.09,2600,9.90
2013-10-01,10.05,10.05,10.05,10.05,100,9.86
2013-09-30,10.00,10.00,10.00,10.00,000,9.81
2013-09-27,10.00,10.00,9.99,10.00,1500,9.81
2013-09-26,9.90,10.22,9.80,10.03,3100,9.84
2013-09-25,10.30,10.30,9.85,10.00,10100,9.81
2013-09-24,10.27,10.30,10.09,10.30,400,10.11
2013-09-23,10.41,10.41,10.30,10.30,5400,10.11
2013-09-20,10.34,10.34,10.30,10.30,2800,10.11
2013-09-19,10.41,10.41,10.33,10.34,5300,10.15
2013-09-18,10.47,10.47,10.33,10.34,2900,10.15
2013-09-17,10.56,10.56,10.56,10.56,000,10.36
2013-09-16,10.38,10.56,10.38,10.56,500,10.36
2013-09-13,10.46,10.46,10.46,10.46,100,10.26
2013-09-12,10.43,10.49,10.43,10.49,300,10.29
2013-09-11,10.33,10.60,10.33,10.60,200,10.40
2013-09-10,10.42,10.50,10.42,10.44,3200,10.25
2013-09-09,10.47,10.47,10.39,10.40,700,10.21
2013-09-06,10.36,10.36,10.36,10.36,300,10.17
2013-09-05,10.40,10.40,10.35,10.35,300,10.16
2013-09-04,10.31,10.44,10.31,10.43,6400,10.24
2013-09-03,10.31,10.31,10.31,10.31,500,10.12
2013-08-30,10.33,10.45,10.31,10.32,2500,10.13
2013-08-29,10.31,10.31,10.31,10.31,200,10.12
2013-08-28,10.29,10.39,10.28,10.29,700,10.10
2013-08-27,10.30,10.35,10.29,10.35,2400,10.16
2013-08-26,10.29,10.60,10.29,10.51,1300,10.31
2013-08-23,10.55,10.55,10.29,10.29,2500,10.10
2013-08-22,10.31,10.55,10.31,10.55,300,10.35
2013-08-21,10.31,10.31,10.31,10.31,000,10.12
2013-08-20,10.67,10.67,10.02,10.31,12700,10.12
2013-08-19,10.67,10.71,10.51,10.71,3200,10.51
2013-08-16,10.79,10.79,10.79,10.79,100,10.59
2013-08-15,10.51,10.79,10.51,10.79,2000,10.59
2013-08-14,10.51,10.79,10.51,10.76,13500,10.56
2013-08-13,10.47,10.64,10.42,10.60,3200,10.40
2013-08-12,10.37,10.88,10.21,10.30,8900,10.11
2013-08-09,10.10,10.39,10.09,10.14,3700,9.95
2013-08-08,10.17,10.17,10.09,10.09,5200,9.90
2013-08-07,10.12,10.21,10.07,10.09,10100,9.90
2013-08-06,10.19,10.19,10.10,10.15,4800,9.87
2013-08-05,10.00,10.04,10.00,10.04,600,9.77
2013-08-02,10.05,10.05,9.90,9.99,19000,9.72
2013-08-01,10.03,10.10,9.91,9.91,3800,9.64
2013-07-31,10.05,10.10,10.00,10.09,1300,9.81
2013-07-30,10.12,10.12,9.96,9.96,500,9.69
2013-07-29,9.90,9.92,9.65,9.91,2300,9.64
2013-07-26,10.00,10.07,9.90,9.98,33900,9.71
2013-07-25,9.90,10.00,9.90,9.98,1300,9.71
2013-07-24,10.01,10.01,9.85,10.01,1900,9.74
2013-07-23,9.68,9.94,9.68,9.91,7800,9.64
2013-07-22,9.92,9.92,9.92,9.92,100,9.65
2013-07-19,9.70,9.94,9.70,9.93,2500,9.66
2013-07-18,9.65,9.94,9.65,9.69,18600,9.42
2013-07-17,9.58,9.69,9.58,9.65,7900,9.39
2013-07-16,9.63,9.70,9.58,9.58,18500,9.32
2013-07-15,9.55,9.65,9.52,9.60,15500,9.34
2013-07-12,9.59,9.60,9.51,9.55,13400,9.29
2013-07-11,9.53,9.60,9.52,9.54,3700,9.28
2013-07-10,9.58,9.59,9.50,9.59,9000,9.33
2013-07-09,9.65,9.65,9.53,9.53,2400,9.27
2013-07-08,9.66,9.66,9.66,9.66,000,9.40
2013-07-05,9.69,9.70,9.66,9.66,3100,9.40
2013-07-03,9.69,9.70,9.66,9.68,2500,9.42
2013-07-02,9.65,9.70,9.61,9.64,7200,9.38
2013-07-01,9.59,9.64,9.59,9.64,2000,9.38
2013-06-28,9.72,9.72,9.50,9.67,2900,9.41
2013-06-27,9.64,9.68,9.64,9.68,300,9.42
2013-06-26,9.57,9.61,9.50,9.61,2300,9.35
2013-06-25,9.56,9.66,9.56,9.61,6100,9.35
2013-06-24,9.58,9.75,9.55,9.68,4300,9.42
2013-06-21,9.52,9.58,9.50,9.58,3600,9.32
2013-06-20,9.50,9.55,9.50,9.51,900,9.25
2013-06-19,9.58,9.58,9.50,9.55,1000,9.29
2013-06-18,9.50,9.59,9.50,9.54,2900,9.28
2013-06-17,9.64,9.64,9.51,9.52,1100,9.26
2013-06-14,9.56,9.74,9.56,9.58,2900,9.32
2013-06-13,9.75,9.75,9.54,9.54,1300,9.28
2013-06-12,9.57,9.60,9.57,9.60,500,9.34
2013-06-11,9.74,9.74,9.55,9.55,400,9.29
2013-06-10,9.56,9.62,9.50,9.62,1200,9.36
2013-06-07,9.53,9.61,9.50,9.59,6000,9.33
2013-06-06,9.66,9.66,9.51,9.51,500,9.25
2013-06-05,9.60,9.71,9.50,9.71,63600,9.44
2013-06-04,9.60,9.63,9.59,9.61,1300,9.35
2013-06-03,9.66,9.66,9.66,9.66,900,9.40
2013-05-31,9.75,9.75,9.75,9.75,300,9.48
2013-05-30,9.69,9.69,9.60,9.64,36300,9.38
