Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,16.69,17.24,16.55,17.03,10600,17.03
2014-02-21,16.39,17.10,16.39,16.76,30200,16.76
2014-02-20,16.16,16.50,15.61,16.29,14100,16.29
2014-02-19,15.60,16.43,15.46,16.07,21300,16.07
2014-02-18,15.20,15.85,15.10,15.66,52500,15.66
2014-02-14,15.34,15.97,15.16,15.34,12800,15.34
2014-02-13,14.82,15.40,14.12,15.31,16100,15.31
2014-02-12,14.80,15.22,14.37,15.01,15400,15.01
2014-02-11,14.33,14.74,14.25,14.64,14400,14.64
2014-02-10,14.22,14.53,13.64,14.08,25000,14.08
2014-02-07,14.37,14.59,13.96,14.16,21300,14.16
2014-02-06,14.41,14.54,14.10,14.28,11700,14.28
2014-02-05,14.73,15.01,14.21,14.32,16600,14.32
2014-02-04,14.95,14.97,14.37,14.73,13400,14.73
2014-02-03,15.05,15.60,13.75,14.33,41200,14.33
2014-01-31,15.23,15.38,15.00,15.00,12700,15.00
2014-01-30,15.02,15.68,14.89,15.51,27600,15.51
2014-01-29,15.43,15.58,14.85,14.85,12000,14.85
2014-01-28,15.62,15.80,15.50,15.59,22600,15.59
2014-01-27,15.55,15.95,15.22,15.65,15300,15.65
2014-01-24,15.70,16.45,15.67,15.80,15200,15.80
2014-01-23,16.30,16.30,15.57,15.84,20100,15.84
2014-01-22,15.98,16.71,15.98,16.46,12600,16.46
2014-01-21,16.15,16.38,13.80,16.09,11600,16.09
2014-01-17,16.34,18.97,16.00,16.00,18500,16.00
2014-01-16,16.84,17.01,16.32,16.32,12200,16.32
2014-01-15,16.95,17.08,16.42,16.95,11800,16.95
2014-01-14,16.70,17.13,16.58,16.97,7300,16.97
2014-01-13,17.41,17.91,16.25,16.65,12600,16.65
2014-01-10,17.36,17.49,16.81,17.49,10600,17.49
2014-01-09,17.82,17.82,17.00,17.34,3900,17.34
2014-01-08,18.45,18.50,16.97,17.73,13300,17.73
2014-01-07,18.79,19.00,18.38,18.59,9200,18.59
2014-01-06,18.21,18.85,18.20,18.80,9300,18.80
2014-01-03,18.54,18.54,18.02,18.21,4400,18.21
2014-01-02,18.45,19.00,18.45,18.51,8800,18.51
2013-12-31,18.36,19.00,18.36,18.82,19200,18.82
2013-12-30,18.35,18.45,18.03,18.31,6700,18.31
2013-12-27,18.23,18.26,17.69,18.16,5900,18.16
2013-12-26,18.12,18.19,18.12,18.15,3500,18.15
2013-12-24,17.95,18.20,17.93,18.00,3400,18.00
2013-12-23,17.68,17.99,17.52,17.82,7800,17.82
2013-12-20,17.30,17.93,17.15,17.58,66000,17.58
2013-12-19,17.93,17.93,17.33,17.33,10600,17.33
2013-12-18,17.02,18.00,16.95,17.99,18700,17.99
2013-12-17,16.95,17.50,16.44,17.48,17300,17.48
2013-12-16,16.60,17.25,16.19,17.01,17800,17.01
2013-12-13,16.20,16.56,15.90,16.54,74900,16.54
2013-12-12,16.05,16.54,15.91,16.16,56400,16.16
2013-12-11,16.90,16.90,16.28,16.57,7600,16.57
2013-12-10,17.57,17.57,16.48,16.83,42500,16.83
2013-12-09,17.29,17.45,17.00,17.41,9900,17.41
2013-12-06,16.85,17.30,16.41,17.23,5800,17.23
2013-12-05,17.14,17.50,16.35,16.75,9200,16.75
2013-12-04,17.94,18.00,17.08,17.19,21900,17.19
2013-12-03,17.97,18.25,17.52,17.78,56600,17.78
2013-12-02,18.29,18.62,17.43,18.05,13500,18.05
2013-11-29,18.88,18.88,17.98,18.31,8500,18.31
2013-11-27,18.03,19.00,17.70,18.67,29400,18.67
2013-11-26,17.45,18.20,15.69,18.00,11900,18.00
2013-11-25,17.02,17.61,16.81,17.46,12600,17.46
2013-11-22,17.43,17.70,16.85,17.30,13900,17.30
2013-11-21,16.76,17.60,16.74,17.48,11400,17.48
2013-11-20,16.85,17.09,16.64,17.09,10000,17.09
2013-11-19,16.32,16.86,16.01,16.86,13900,16.86
2013-11-18,16.59,16.85,16.05,16.35,11800,16.35
2013-11-15,15.98,16.60,15.78,16.60,13500,16.60
2013-11-14,16.31,16.63,15.78,16.03,8500,16.03
2013-11-13,16.30,16.41,15.96,16.41,10000,16.41
2013-11-12,16.38,16.68,15.99,16.44,10200,16.44
2013-11-11,16.90,16.91,16.38,16.38,9900,16.38
2013-11-08,16.13,17.05,16.13,16.96,10400,16.96
2013-11-07,16.61,16.92,16.04,16.14,16600,16.14
2013-11-06,16.85,17.04,16.80,16.80,6400,16.80
2013-11-05,16.86,16.86,15.99,16.71,11200,16.71
2013-11-04,16.82,17.23,16.54,16.64,15300,16.64
2013-11-01,17.49,17.61,16.11,16.96,52100,16.96
2013-10-31,18.10,18.10,17.34,17.54,11600,17.54
2013-10-30,18.65,18.79,17.60,17.90,19200,17.90
2013-10-29,18.58,18.98,18.58,18.76,15700,18.76
2013-10-28,18.70,18.97,18.47,18.60,12000,18.60
2013-10-25,18.67,18.92,17.90,18.67,13600,18.67
2013-10-24,18.12,18.91,18.12,18.60,14200,18.60
2013-10-23,18.41,18.41,17.92,18.33,11300,18.33
2013-10-22,18.08,18.44,18.00,18.40,10900,18.40
2013-10-21,17.90,18.64,17.56,18.09,19700,18.09
2013-10-18,17.98,18.00,17.48,17.99,24800,17.99
2013-10-17,17.82,17.93,17.46,17.83,7500,17.83
2013-10-16,17.90,18.00,17.70,17.96,16200,17.96
2013-10-15,17.90,18.00,17.40,17.79,9900,17.79
2013-10-14,17.90,18.00,17.39,17.99,17800,17.99
2013-10-11,18.00,18.01,17.50,18.00,29300,18.00
2013-10-10,18.00,18.03,17.53,17.99,11200,17.99
2013-10-09,17.32,18.00,17.32,17.85,14400,17.85
2013-10-08,17.72,17.88,17.05,17.23,13300,17.23
2013-10-07,17.90,18.05,17.43,17.60,11200,17.60
2013-10-04,17.91,18.50,17.75,18.05,24500,18.05
2013-10-03,18.53,18.53,17.88,18.00,7400,18.00
2013-10-02,18.57,18.59,18.18,18.28,9900,18.28
2013-10-01,18.66,18.85,18.28,18.64,10200,18.64
2013-09-30,18.00,18.84,18.00,18.83,27900,18.83
2013-09-27,17.66,18.63,17.34,18.02,9100,18.02
2013-09-26,17.52,18.01,17.33,17.77,10500,17.77
2013-09-25,17.45,17.55,17.03,17.55,6100,17.55
2013-09-24,17.16,17.71,16.80,17.43,12700,17.43
2013-09-23,16.46,17.42,16.46,17.27,12100,17.27
2013-09-20,16.61,17.01,16.00,16.82,20800,16.82
2013-09-19,16.84,16.84,16.26,16.62,6200,16.62
2013-09-18,16.12,16.90,16.03,16.87,4800,16.87
2013-09-17,16.20,16.64,15.79,16.08,8700,16.08
2013-09-16,17.20,17.51,16.00,16.15,13700,16.15
2013-09-13,16.00,17.28,15.84,17.15,17000,17.15
2013-09-12,15.65,16.24,15.65,15.93,18800,15.93
2013-09-11,16.08,16.41,15.93,15.93,5600,15.93
2013-09-10,16.61,16.90,15.97,16.30,11900,16.30
2013-09-09,16.21,16.80,15.96,16.53,16500,16.53
2013-09-06,16.57,16.95,15.36,16.08,35700,16.08
2013-09-05,16.84,16.93,16.40,16.52,10600,16.52
2013-09-04,16.67,16.95,16.25,16.88,25700,16.88
2013-09-03,16.52,17.07,16.25,16.62,5900,16.62
2013-08-30,16.55,16.86,16.29,16.39,32000,16.39
2013-08-29,16.33,16.84,16.27,16.54,17700,16.54
2013-08-28,16.48,16.97,16.04,16.40,7600,16.40
2013-08-27,16.48,16.77,15.39,16.50,16400,16.50
2013-08-26,15.60,17.10,15.55,16.63,13800,16.63
2013-08-23,16.73,17.09,16.31,16.61,9500,16.61
2013-08-22,16.28,16.76,16.03,16.76,7100,16.76
2013-08-21,16.28,16.94,16.27,16.33,8700,16.33
2013-08-20,15.77,16.64,15.69,16.36,10100,16.36
2013-08-19,16.66,16.66,15.95,16.23,7700,16.23
2013-08-16,17.00,17.25,16.19,16.32,20800,16.32
2013-08-15,17.18,17.75,16.71,17.12,23400,17.12
2013-08-14,17.36,17.73,17.14,17.36,12700,17.36
2013-08-13,17.59,17.70,17.32,17.51,5500,17.51
2013-08-12,17.50,17.50,16.43,17.41,5100,17.41
2013-08-09,17.48,17.97,17.48,17.75,1000,17.75
2013-08-08,18.00,18.01,17.11,17.54,8700,17.54
2013-08-07,18.02,18.19,17.45,17.97,9700,17.97
2013-08-06,17.78,18.50,17.68,18.21,20600,18.21
2013-08-05,17.46,17.82,16.07,17.80,19100,17.80
2013-08-02,17.93,17.95,16.88,17.61,29500,17.61
2013-08-01,18.00,18.00,17.80,17.99,12300,17.99
2013-07-31,18.00,18.06,17.80,17.98,15700,17.98
2013-07-30,18.05,18.13,17.85,18.00,8000,18.00
2013-07-29,17.90,18.19,17.87,17.90,3800,17.90
2013-07-26,17.79,18.12,17.79,17.95,24300,17.95
2013-07-25,17.92,18.00,17.83,17.96,34300,17.96
2013-07-24,18.00,18.31,17.80,17.98,23100,17.98
2013-07-23,18.07,18.45,17.92,18.09,56100,18.09
2013-07-22,17.80,18.03,17.65,17.89,15600,17.89
2013-07-19,18.03,18.25,17.71,18.10,26800,18.10
2013-07-18,18.10,18.45,17.80,18.03,9500,18.03
2013-07-17,17.96,18.43,17.67,18.00,13600,18.00
2013-07-16,17.66,18.25,17.66,17.81,20500,17.81
2013-07-15,17.14,17.78,16.87,17.58,16200,17.58
2013-07-12,17.11,17.38,16.94,17.14,8400,17.14
2013-07-11,17.19,17.39,17.07,17.18,13500,17.18
2013-07-10,17.02,17.34,17.02,17.11,8200,17.11
2013-07-09,16.96,17.44,16.22,17.08,14700,17.08
2013-07-08,17.11,17.26,16.76,16.92,10600,16.92
2013-07-05,17.99,17.99,17.11,17.25,11800,17.25
2013-07-03,16.80,16.80,16.60,16.79,29200,16.79
2013-07-02,17.10,17.10,16.42,16.80,11300,16.80
2013-07-01,17.60,17.93,16.45,17.18,15100,17.18
2013-06-28,17.34,18.00,16.84,18.00,418600,18.00
2013-06-27,16.71,17.47,16.71,17.32,8400,17.32
2013-06-26,16.15,17.24,16.15,16.73,30700,16.73
2013-06-25,16.22,16.67,15.94,16.15,15600,16.15
2013-06-24,16.75,16.75,16.01,16.09,57000,16.09
2013-06-21,18.36,18.66,16.74,16.85,208800,16.85
2013-06-20,16.50,18.62,16.50,18.40,102700,18.40
2013-06-19,15.42,16.89,14.34,16.66,59000,16.66
2013-06-18,13.54,15.97,13.50,15.47,51600,15.47
2013-06-17,14.51,14.61,13.35,13.56,54800,13.56
2013-06-14,14.45,14.67,14.00,14.34,17900,14.34
2013-06-13,13.94,14.65,13.80,14.43,50700,14.43
2013-06-12,14.43,14.43,12.60,14.14,38100,14.14
2013-06-11,13.53,14.65,13.43,13.69,36200,13.69
2013-06-10,13.70,14.31,13.45,14.17,43200,14.17
2013-06-07,12.91,14.11,12.70,13.69,47000,13.69
2013-06-06,12.46,13.07,12.36,12.87,139800,12.87
2013-06-05,13.29,13.29,12.45,12.46,148800,12.46
2013-06-04,15.48,15.48,12.82,13.28,189200,13.28
2013-06-03,16.33,16.75,13.68,15.50,136200,15.50
2013-05-31,16.07,17.51,16.07,16.35,53200,16.35
2013-05-30,18.19,18.19,14.06,16.74,86800,16.74
2013-05-29,19.27,20.00,18.22,18.22,7100,18.22
2013-05-28,20.31,21.31,17.15,20.06,18200,20.06
2013-05-24,20.00,20.10,19.99,20.00,5400,20.00
2013-05-23,18.10,20.00,18.10,20.00,1800,20.00
