Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,17.80,18.53,17.80,18.30,165400,18.30
2014-02-21,17.75,17.84,17.40,17.65,55600,17.65
2014-02-20,17.90,17.96,17.55,17.89,39200,17.89
2014-02-19,17.83,18.99,17.75,18.00,122900,18.00
2014-02-18,17.86,17.99,17.39,17.82,77200,17.82
2014-02-14,17.79,18.01,17.30,17.74,113700,17.74
2014-02-13,17.68,17.88,17.30,17.77,32900,17.77
2014-02-12,17.84,17.99,17.37,17.83,42800,17.83
2014-02-11,17.64,18.00,17.61,17.86,36100,17.86
2014-02-10,17.00,17.96,16.31,17.90,63400,17.90
2014-02-07,17.87,18.07,16.78,17.12,68300,17.12
2014-02-06,18.06,18.20,17.35,17.63,62400,17.63
2014-02-05,17.74,18.00,17.35,17.80,49400,17.80
2014-02-04,17.93,18.08,17.41,17.94,65300,17.94
2014-02-03,18.20,18.45,17.51,17.75,99600,17.75
2014-01-31,18.14,18.46,17.55,18.18,111100,18.18
2014-01-30,18.31,18.87,17.69,18.50,168600,18.50
2014-01-29,18.02,18.47,17.25,18.25,137700,18.25
2014-01-28,17.59,18.55,17.59,18.36,183200,18.36
2014-01-27,17.84,18.00,17.01,17.61,172500,17.61
2014-01-24,18.30,18.45,17.35,17.78,1268000,17.78
2014-01-23,19.94,20.36,19.11,19.56,53500,19.56
2014-01-22,19.00,20.49,18.06,19.94,107500,19.94
2014-01-21,19.64,19.71,18.65,19.11,71600,19.11
2014-01-17,20.00,20.06,19.76,19.79,81200,19.79
2014-01-16,20.00,20.13,19.83,20.00,65100,20.00
2014-01-15,20.04,20.45,19.69,19.94,65300,19.94
2014-01-14,19.85,20.25,19.41,20.04,69900,20.04
2014-01-13,19.53,20.12,19.36,19.62,152900,19.62
2014-01-10,19.12,19.86,19.12,19.51,167800,19.51
2014-01-09,17.52,20.79,17.35,19.01,149400,19.01
2014-01-08,17.33,17.82,17.08,17.52,64000,17.52
2014-01-07,17.00,17.77,16.59,17.32,176800,17.32
2014-01-06,16.48,17.00,16.28,16.93,63300,16.93
2014-01-03,16.75,17.39,16.62,17.08,63600,17.08
2014-01-02,17.18,17.22,16.59,16.87,40000,16.87
2013-12-31,17.00,17.50,16.86,17.24,180100,17.24
2013-12-30,16.50,17.05,16.50,16.88,52500,16.88
2013-12-27,16.29,17.22,16.26,16.39,76700,16.39
2013-12-26,15.93,16.89,15.61,16.43,81200,16.43
2013-12-24,15.80,15.98,15.65,15.90,47600,15.90
2013-12-23,15.68,16.00,15.45,15.84,20500,15.84
2013-12-20,15.40,16.11,15.37,15.45,121500,15.45
2013-12-19,15.27,16.32,14.90,15.43,134400,15.43
2013-12-18,15.84,16.30,15.41,15.80,106700,15.80
2013-12-17,16.23,16.59,15.84,15.91,67300,15.91
2013-12-16,16.49,16.80,16.08,16.33,57200,16.33
2013-12-13,16.43,16.51,16.13,16.24,44800,16.24
2013-12-12,15.96,16.45,15.96,16.26,89600,16.26
2013-12-11,17.55,18.09,15.56,15.60,470500,15.60
2013-12-10,13.74,14.50,13.74,14.05,81000,14.05
2013-12-09,13.40,14.00,13.40,13.59,58700,13.59
2013-12-06,12.60,13.53,12.59,13.28,102100,13.28
2013-12-05,12.24,12.61,12.00,12.50,75100,12.50
2013-12-04,12.00,12.90,11.90,12.13,101700,12.13
2013-12-03,11.84,12.06,11.83,12.06,5700,12.06
2013-12-02,11.81,12.07,11.75,11.96,17000,11.96
2013-11-29,12.10,12.10,11.80,11.81,1700,11.81
2013-11-27,11.99,12.08,11.80,12.07,10400,12.07
2013-11-26,12.12,12.15,11.85,12.08,53800,12.08
2013-11-25,12.23,12.45,11.87,12.03,36600,12.03
2013-11-22,11.96,12.97,11.93,12.17,34000,12.17
2013-11-21,12.16,12.16,11.51,11.84,32500,11.84
2013-11-20,12.00,12.37,11.90,12.04,61100,12.04
2013-11-19,12.00,12.48,11.56,11.86,55100,11.86
2013-11-18,12.18,12.50,11.77,12.00,44200,12.00
2013-11-15,12.09,12.67,12.00,12.05,43300,12.05
2013-11-14,11.64,13.01,11.56,11.95,55900,11.95
2013-11-13,11.18,11.64,11.01,11.57,27700,11.57
2013-11-12,10.43,11.34,10.37,11.34,24000,11.34
2013-11-11,10.78,10.78,10.38,10.38,7900,10.38
2013-11-08,10.59,10.90,10.52,10.66,16900,10.66
2013-11-07,10.23,10.58,10.16,10.37,35200,10.37
2013-11-06,10.74,11.25,10.10,10.11,17500,10.11
2013-11-05,10.45,10.63,10.17,10.20,10200,10.20
2013-11-04,10.53,10.84,9.86,10.27,38000,10.27
2013-11-01,10.20,10.45,8.64,9.95,86500,9.95
2013-10-31,9.76,10.32,9.25,10.21,36100,10.21
2013-10-30,10.36,10.47,10.01,10.16,26100,10.16
2013-10-29,10.62,10.62,10.24,10.37,13300,10.37
2013-10-28,10.59,10.70,10.25,10.69,35400,10.69
2013-10-25,10.55,10.70,10.43,10.50,18900,10.50
2013-10-24,10.70,10.97,10.51,10.56,19500,10.56
2013-10-23,11.10,11.34,10.70,10.76,31000,10.76
2013-10-22,10.76,11.08,10.76,11.08,30000,11.08
2013-10-21,11.23,11.68,10.38,10.75,18200,10.75
2013-10-18,10.90,11.58,10.65,11.15,49500,11.15
2013-10-17,10.83,10.97,10.50,10.89,43800,10.89
2013-10-16,10.69,11.02,10.50,10.72,35300,10.72
2013-10-15,11.11,11.11,10.55,10.78,27400,10.78
2013-10-14,10.81,11.18,10.66,11.04,24700,11.04
2013-10-11,10.77,11.21,10.65,11.00,19200,11.00
2013-10-10,10.88,11.25,10.17,10.72,83200,10.72
2013-10-09,10.12,10.92,10.08,10.87,43800,10.87
2013-10-08,11.84,11.90,10.00,10.88,96700,10.88
2013-10-07,11.25,11.80,11.25,11.73,22700,11.73
2013-10-04,11.50,11.50,11.13,11.39,50300,11.39
2013-10-03,11.25,11.68,11.06,11.39,35300,11.39
2013-10-02,11.20,11.66,10.92,11.35,50000,11.35
2013-10-01,11.00,11.28,10.94,11.10,40900,11.10
2013-09-30,11.59,11.59,10.67,11.00,185400,11.00
2013-09-27,11.91,12.13,11.33,11.64,137300,11.64
2013-09-26,11.88,12.34,11.55,12.02,67000,12.02
2013-09-25,12.02,12.60,11.35,11.50,134500,11.50
2013-09-24,11.41,12.39,11.05,11.75,208600,11.75
2013-09-23,10.80,12.10,10.67,11.50,162400,11.50
2013-09-20,10.82,10.87,10.10,10.78,201000,10.78
2013-09-19,10.76,10.89,10.31,10.71,64600,10.71
2013-09-18,10.86,11.00,10.53,10.62,73400,10.62
2013-09-17,10.98,11.19,10.70,10.75,66300,10.75
2013-09-16,11.39,11.53,10.58,10.94,109800,10.94
2013-09-13,11.22,11.50,10.95,11.13,30400,11.13
2013-09-12,11.00,11.70,10.57,11.23,94100,11.23
2013-09-11,12.83,12.95,10.17,11.00,374900,11.00
2013-09-10,8.29,14.10,8.29,13.00,937000,13.00
2013-09-09,7.70,7.92,7.50,7.62,16100,7.62
2013-09-06,7.91,8.03,7.56,7.60,134900,7.60
2013-09-05,8.10,8.36,7.85,7.94,45800,7.94
2013-09-04,7.89,8.36,7.61,8.01,91100,8.01
2013-09-03,7.66,7.90,7.50,7.90,24800,7.90
