Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,73.13,74.37,73.13,73.79,11300,73.79
2014-02-21,74.13,74.78,72.52,73.58,24500,73.58
2014-02-20,73.08,73.90,72.50,73.75,25100,73.75
2014-02-19,75.95,75.95,72.81,73.22,41400,73.22
2014-02-18,74.84,75.59,74.68,75.59,11900,75.59
2014-02-14,75.66,75.68,74.69,75.11,18600,75.11
2014-02-13,74.30,75.87,74.30,75.59,6000,75.59
2014-02-12,73.09,75.19,72.70,75.19,21100,75.19
2014-02-11,71.65,73.58,71.65,73.35,19800,73.35
2014-02-10,73.20,74.50,71.20,72.63,18100,72.63
2014-02-07,72.28,73.80,72.18,73.08,22300,73.08
2014-02-06,71.75,72.86,71.71,72.33,20400,72.33
2014-02-05,71.70,73.34,70.69,71.32,587000,71.32
2014-02-04,73.06,74.47,71.86,72.16,21100,72.16
2014-02-03,75.33,75.47,71.09,73.00,44800,73.00
2014-01-31,74.00,75.50,74.00,75.21,30200,75.21
2014-01-30,75.52,75.85,75.00,75.19,20300,75.19
2014-01-29,75.86,75.86,72.98,75.07,208900,75.07
2014-01-28,76.48,76.76,75.50,76.09,30400,76.09
2014-01-27,75.73,77.41,72.92,76.04,40400,76.04
2014-01-24,76.77,77.00,74.92,75.70,22400,75.70
2014-01-23,76.44,77.56,75.45,77.56,62900,77.56
2014-01-22,76.21,76.92,76.21,76.49,7100,76.49
2014-01-21,76.98,77.36,75.48,76.77,18000,76.77
2014-01-17,76.80,77.77,76.24,76.82,11700,76.82
2014-01-16,76.26,77.75,76.02,77.13,34600,77.13
2014-01-15,75.68,76.68,75.50,76.63,20500,76.63
2014-01-14,75.40,75.88,75.08,75.85,19500,75.85
2014-01-13,75.42,75.85,74.33,75.40,31200,75.40
2014-01-10,75.39,75.80,74.86,75.80,25300,75.80
2014-01-09,76.22,76.22,74.77,75.25,9000,75.25
2014-01-08,76.34,76.34,74.50,75.05,19900,75.05
2014-01-07,75.69,76.80,75.69,76.45,18000,76.45
2014-01-06,76.22,76.36,75.04,75.65,14400,75.65
2014-01-03,75.27,77.00,75.22,76.02,10900,76.02
2014-01-02,74.63,75.05,73.14,74.82,91500,74.82
2013-12-31,75.75,76.82,74.26,74.60,14000,74.60
2013-12-30,76.14,76.33,74.68,75.51,7700,75.51
2013-12-27,75.50,76.29,75.16,76.19,12400,76.19
2013-12-26,74.10,75.25,73.78,75.19,8100,75.19
2013-12-24,74.56,74.56,73.78,74.31,7200,74.31
2013-12-23,73.48,74.31,73.31,74.00,22400,74.00
2013-12-20,72.40,73.58,71.45,73.25,110600,73.25
2013-12-19,72.44,72.71,69.95,72.07,41800,72.07
2013-12-18,72.03,72.92,70.41,72.50,45500,72.50
2013-12-17,74.29,74.29,71.03,71.72,37900,71.72
2013-12-16,69.99,72.79,69.99,72.47,21100,72.47
2013-12-13,69.15,70.06,69.15,69.90,8600,69.90
2013-12-12,69.33,69.56,68.15,69.18,16700,69.18
2013-12-11,70.37,70.68,68.76,69.01,16600,69.01
2013-12-10,71.83,71.84,70.27,70.42,20300,70.42
2013-12-09,72.47,72.88,71.62,71.97,15000,71.97
2013-12-06,71.94,72.54,71.38,71.97,20200,71.97
2013-12-05,71.47,72.00,70.59,71.73,15900,71.73
2013-12-04,71.05,72.05,70.23,71.66,18700,71.66
2013-12-03,71.82,72.20,71.05,71.25,30000,71.25
2013-12-02,72.84,72.99,70.96,72.26,21500,72.26
2013-11-29,73.57,73.57,72.99,73.04,5700,73.04
2013-11-27,73.15,73.69,73.15,73.50,41400,73.50
2013-11-26,73.22,73.46,73.05,73.24,13700,73.24
2013-11-25,72.64,72.79,72.16,72.50,21500,72.50
2013-11-22,72.41,72.66,71.46,71.72,52200,71.72
2013-11-21,72.10,72.61,71.53,72.60,52300,72.60
2013-11-20,71.79,72.02,70.89,71.58,11200,71.58
2013-11-19,72.99,72.99,70.61,71.64,30000,71.64
2013-11-18,72.50,72.50,71.92,71.92,6700,71.92
2013-11-15,72.27,72.50,71.99,72.36,19100,72.36
2013-11-14,72.10,72.16,71.27,72.05,15600,72.05
2013-11-13,70.90,72.39,70.90,72.25,19000,72.25
2013-11-12,71.28,71.99,70.61,71.59,250300,71.59
2013-11-11,71.31,72.54,71.26,71.75,6500,71.75
2013-11-08,70.67,73.77,70.67,71.27,21700,71.27
2013-11-07,71.44,71.88,71.05,71.53,27900,71.53
2013-11-06,72.46,72.47,70.74,71.40,5200,71.40
2013-11-05,71.32,71.91,70.73,71.54,43100,71.54
2013-11-04,70.94,72.04,70.69,71.47,13800,71.47
2013-11-01,69.87,71.04,68.42,70.58,44400,70.58
2013-10-31,70.61,71.30,69.21,70.17,34500,70.17
2013-10-30,73.38,74.24,70.34,70.34,16600,70.34
2013-10-29,74.10,74.69,73.10,73.37,14200,73.37
2013-10-28,73.47,74.31,73.29,73.87,9500,73.87
2013-10-25,72.81,73.39,72.20,73.35,9700,73.35
2013-10-24,71.14,72.78,71.14,72.62,9300,72.62
2013-10-23,70.81,71.48,70.59,71.12,7800,71.12
2013-10-22,70.80,71.19,70.57,70.94,10800,70.94
2013-10-21,70.68,70.82,70.19,70.36,14100,70.36
2013-10-18,70.35,70.82,69.80,70.50,31100,70.50
2013-10-17,69.00,70.24,68.91,70.00,12900,70.00
2013-10-16,70.57,70.57,68.87,69.16,19800,69.16
2013-10-15,68.84,69.90,68.18,69.45,459000,69.45
2013-10-14,68.65,69.00,68.65,69.00,12200,69.00
2013-10-11,68.48,69.00,68.21,68.88,18500,68.88
2013-10-10,67.63,69.16,66.96,68.49,21200,68.49
2013-10-09,66.82,67.78,66.45,66.70,8600,66.70
2013-10-08,67.18,67.22,65.95,66.31,35000,66.31
2013-10-07,67.43,68.33,66.28,67.11,46700,67.11
2013-10-04,67.21,68.52,67.21,67.95,5800,67.95
2013-10-03,67.83,68.09,67.00,67.30,13700,67.30
2013-10-02,69.00,69.21,68.51,68.68,9400,68.68
2013-10-01,68.69,69.40,68.41,69.01,42800,69.01
2013-09-30,67.89,69.13,66.68,68.71,108200,68.71
2013-09-27,68.00,68.95,68.00,68.73,22400,68.73
2013-09-26,68.01,68.56,67.14,68.56,43900,68.56
2013-09-25,68.78,69.15,67.92,67.93,31000,67.93
2013-09-24,69.21,69.86,68.54,68.88,15600,68.88
2013-09-23,68.95,69.19,68.78,69.05,19500,69.05
2013-09-20,69.01,69.09,68.73,69.02,89500,69.02
2013-09-19,68.86,69.26,68.71,68.90,12000,68.90
2013-09-18,68.86,69.04,67.53,69.00,44600,69.00
2013-09-17,69.20,69.66,68.52,68.87,25500,68.87
2013-09-16,69.23,69.26,68.51,69.06,37700,69.06
2013-09-13,68.76,69.33,68.13,69.23,36200,69.23
2013-09-12,68.57,68.79,68.32,68.43,8400,68.43
2013-09-11,68.50,68.92,68.36,68.57,7600,68.57
2013-09-10,68.29,68.95,68.00,68.51,20400,68.51
2013-09-09,67.95,68.37,67.80,68.07,7300,68.07
2013-09-06,68.42,68.56,67.22,67.93,5900,67.93
2013-09-05,67.85,68.27,67.25,68.27,10200,68.27
2013-09-04,67.68,68.27,67.12,68.10,11100,68.10
2013-09-03,67.52,68.64,66.08,67.38,43100,67.38
2013-08-30,67.83,68.00,66.16,66.95,21200,66.95
2013-08-29,67.43,68.22,66.97,68.15,10100,68.15
2013-08-28,67.35,67.97,67.35,67.85,5900,67.85
2013-08-27,67.29,68.13,66.52,67.61,24000,67.61
2013-08-26,68.85,68.98,68.24,68.44,5000,68.44
2013-08-23,68.57,69.00,68.38,68.95,11600,68.95
2013-08-22,67.98,68.66,67.43,68.54,4200,68.54
2013-08-21,68.32,68.56,67.41,67.55,7900,67.55
2013-08-20,67.40,69.00,67.40,68.87,17500,68.87
2013-08-19,68.17,68.18,67.19,67.26,11800,67.26
2013-08-16,67.26,68.20,67.26,68.14,46400,68.14
2013-08-15,67.23,68.05,66.25,67.59,21500,67.59
2013-08-14,68.85,69.58,67.72,67.74,17300,67.74
2013-08-13,68.81,69.31,68.35,68.77,3700,68.77
2013-08-12,68.09,69.15,67.43,69.05,12900,69.05
2013-08-09,68.95,69.01,68.09,68.80,10900,68.80
2013-08-08,68.46,69.00,68.46,68.85,5100,68.85
2013-08-07,68.44,68.59,67.30,67.77,21000,67.77
2013-08-06,68.68,68.91,68.03,68.48,14100,68.48
2013-08-05,68.88,69.20,68.50,69.12,47600,69.12
2013-08-02,68.16,69.22,68.16,68.96,32200,68.96
2013-08-01,67.88,68.84,67.20,68.81,27000,68.81
2013-07-31,67.57,68.47,67.07,67.51,13000,67.51
2013-07-30,66.70,67.39,65.21,67.31,10000,67.31
2013-07-29,67.72,68.29,66.36,66.60,76400,66.60
2013-07-26,68.09,68.34,67.58,68.01,9200,68.01
2013-07-25,67.55,68.51,67.44,68.46,11900,68.46
2013-07-24,68.32,68.69,67.65,67.90,18200,67.90
2013-07-23,68.65,68.71,67.84,68.26,18200,68.26
2013-07-22,68.05,68.71,67.50,68.55,12200,68.55
2013-07-19,67.70,68.35,67.13,68.21,17600,68.21
2013-07-18,68.81,69.00,67.62,68.05,38800,68.05
2013-07-17,69.00,69.00,68.13,68.76,40200,68.76
2013-07-16,68.70,68.96,67.41,68.83,62600,68.83
2013-07-15,68.14,69.32,67.00,68.60,47200,68.60
2013-07-12,69.10,69.15,66.71,68.25,45000,68.25
2013-07-11,69.97,70.00,68.51,69.38,24600,69.38
2013-07-10,69.60,69.79,68.33,69.07,45500,69.07
2013-07-09,65.33,69.70,65.33,68.92,25700,68.92
2013-07-08,66.15,67.05,65.94,66.33,19300,66.33
2013-07-05,66.89,67.01,65.17,66.01,27100,66.01
2013-07-03,65.54,66.65,64.51,65.64,22800,65.64
2013-07-02,64.04,66.46,62.93,65.81,42600,65.81
2013-07-01,64.51,65.35,62.34,64.41,136600,64.41
2013-06-28,65.74,66.86,64.28,64.43,161600,64.43
2013-06-27,63.71,66.20,63.17,65.71,49600,65.71
2013-06-26,64.33,64.33,62.95,63.32,41100,63.32
2013-06-25,62.51,64.42,62.00,64.09,64500,64.09
2013-06-24,63.85,64.04,61.47,61.99,31700,61.99
2013-06-21,65.74,66.31,63.75,64.51,62000,64.51
2013-06-20,67.26,67.69,65.05,65.38,6300,65.38
2013-06-19,68.13,69.00,67.90,68.19,28100,68.19
2013-06-18,67.75,69.00,67.21,68.99,25100,68.99
2013-06-17,67.88,69.04,66.88,68.06,15900,68.06
2013-06-14,67.25,67.89,66.70,67.21,4200,67.21
2013-06-13,66.25,67.52,65.54,67.49,10200,67.49
2013-06-12,67.10,67.58,66.12,66.36,12800,66.36
2013-06-11,67.31,67.31,65.72,66.55,17500,66.55
2013-06-10,68.79,68.79,67.50,68.15,7200,68.15
2013-06-07,69.45,69.45,68.21,68.81,18500,68.81
2013-06-06,66.81,69.00,65.71,68.95,24600,68.95
2013-06-05,68.56,68.83,66.52,66.67,24600,66.67
2013-06-04,69.70,69.85,68.31,68.99,34200,68.99
2013-06-03,70.77,70.77,68.30,69.83,154000,69.83
2013-05-31,71.42,72.15,70.55,70.65,33600,70.65
2013-05-30,71.94,72.34,71.23,71.90,57300,71.90
2013-05-29,71.54,72.09,71.39,71.86,5800,71.86
2013-05-28,72.34,72.41,70.86,72.05,56200,72.05
2013-05-24,71.86,72.06,71.35,71.39,6400,71.39
2013-05-23,71.29,72.37,71.29,72.00,33300,72.00
