Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,16.08,16.09,15.56,15.61,352900,15.61
2014-02-21,16.25,16.26,15.86,16.00,302800,16.00
2014-02-20,16.12,16.33,16.03,16.24,186000,16.24
2014-02-19,16.06,16.25,16.00,16.13,251300,16.13
2014-02-18,15.95,16.16,15.84,16.09,276800,16.09
2014-02-14,16.11,16.20,15.67,15.92,234800,15.92
2014-02-13,15.92,16.17,15.76,16.13,251200,16.13
2014-02-12,15.83,16.04,15.67,16.03,242400,16.03
2014-02-11,15.77,15.89,15.65,15.79,367400,15.79
2014-02-10,16.06,16.21,15.68,15.70,301400,15.70
2014-02-07,15.43,16.15,15.31,16.10,470900,16.10
2014-02-06,15.61,15.79,15.19,15.39,201400,15.39
2014-02-05,15.65,15.80,15.27,15.60,369600,15.60
2014-02-04,15.37,15.77,15.03,15.65,507100,15.65
2014-02-03,16.39,16.41,15.25,15.35,551300,15.35
2014-01-31,16.24,16.46,16.02,16.41,631400,16.41
2014-01-30,17.14,17.15,16.29,16.48,639100,16.48
2014-01-29,18.02,18.11,17.02,17.13,722100,17.13
2014-01-28,18.60,18.60,18.01,18.11,322400,18.11
2014-01-27,19.19,19.24,18.37,18.63,315900,18.63
2014-01-24,20.04,20.28,18.96,19.06,303000,19.06
2014-01-23,20.38,20.38,20.04,20.14,378500,20.14
2014-01-22,20.65,20.97,20.35,20.47,545500,20.47
2014-01-21,21.34,21.38,20.61,20.64,328200,20.64
2014-01-17,21.17,21.36,21.01,21.15,291800,21.15
2014-01-16,21.13,21.25,20.66,21.13,284900,21.13
2014-01-15,20.69,21.23,20.58,21.09,243200,21.09
2014-01-14,20.18,20.84,20.01,20.55,279900,20.55
2014-01-13,20.61,20.87,20.01,20.21,371500,20.21
2014-01-10,20.44,20.66,20.28,20.61,316400,20.61
2014-01-09,20.96,21.14,20.27,20.39,296800,20.39
2014-01-08,21.05,21.40,20.80,20.93,331700,20.93
2014-01-07,20.52,21.15,20.52,21.01,253100,21.01
2014-01-06,20.16,20.57,20.09,20.51,259900,20.51
2014-01-03,19.71,20.28,19.52,20.18,202100,20.18
2014-01-02,20.13,20.16,19.60,19.67,234200,19.67
2013-12-31,20.32,20.51,20.18,20.23,226000,20.23
2013-12-30,20.62,20.64,20.13,20.24,169800,20.24
2013-12-27,20.57,20.75,20.31,20.61,202900,20.61
2013-12-26,20.69,20.83,20.38,20.52,217700,20.52
2013-12-24,20.50,20.87,20.45,20.60,91100,20.60
2013-12-23,20.30,20.60,20.20,20.39,304900,20.39
2013-12-20,20.68,21.10,20.27,20.30,603400,20.30
2013-12-19,20.21,20.87,20.21,20.63,497800,20.63
2013-12-18,19.58,20.17,19.51,19.89,274700,19.89
2013-12-17,19.55,19.81,19.39,19.54,230800,19.54
2013-12-16,19.49,19.69,19.45,19.59,382500,19.59
2013-12-13,19.31,19.66,19.18,19.50,228900,19.50
2013-12-12,19.60,19.80,19.23,19.24,214300,19.24
2013-12-11,19.88,20.14,19.59,19.69,322100,19.69
2013-12-10,20.80,20.94,20.12,20.25,365100,19.83
2013-12-09,20.20,21.01,20.16,20.80,365600,20.37
2013-12-06,20.55,20.77,20.24,20.27,283900,19.85
2013-12-05,20.86,20.86,20.32,20.38,246600,19.96
2013-12-04,20.38,21.17,20.34,20.80,519900,20.37
2013-12-03,20.80,21.06,20.29,20.36,471900,19.94
2013-12-02,21.45,21.60,20.30,20.87,511900,20.44
2013-11-29,21.34,21.68,21.04,21.41,147000,20.97
2013-11-27,21.30,21.39,20.83,21.26,264000,20.82
2013-11-26,20.93,21.42,20.77,21.26,279700,20.82
2013-11-25,20.83,21.15,20.79,20.93,280700,20.50
2013-11-22,21.55,21.58,20.46,20.83,795900,20.40
2013-11-21,21.84,22.26,21.69,22.04,286100,21.58
2013-11-20,22.08,22.37,21.76,21.87,259600,21.42
2013-11-19,22.17,22.29,21.81,22.11,271100,21.65
2013-11-18,22.25,22.35,21.95,22.13,289800,21.67
2013-11-15,22.12,22.25,21.89,22.10,273300,21.64
2013-11-14,22.18,22.34,21.84,22.03,280700,21.57
2013-11-13,22.22,22.26,21.81,22.18,222200,21.72
2013-11-12,21.76,22.49,21.76,22.25,375800,21.79
2013-11-11,21.93,22.19,21.52,21.89,293200,21.44
2013-11-08,21.76,22.58,21.66,21.90,266500,21.45
2013-11-07,21.95,22.07,21.64,21.76,268600,21.31
2013-11-06,21.93,23.03,21.62,21.96,500400,21.50
2013-11-05,19.96,21.98,19.89,21.96,927900,21.50
2013-11-04,18.88,19.34,18.77,19.31,344300,18.91
2013-11-01,19.04,19.04,18.45,18.77,264200,18.38
2013-10-31,18.99,19.12,18.54,19.04,196500,18.65
2013-10-30,19.18,19.19,18.85,19.04,197600,18.65
2013-10-29,19.21,19.36,18.92,19.10,195500,18.70
2013-10-28,18.99,19.17,18.94,19.10,139800,18.70
2013-10-25,19.15,19.39,18.97,18.99,130900,18.60
2013-10-24,19.21,19.31,18.91,19.07,177000,18.67
2013-10-23,18.95,19.35,18.90,19.10,214700,18.70
2013-10-22,18.82,19.10,18.81,18.97,229200,18.58
2013-10-21,18.70,19.00,18.65,18.80,300500,18.41
2013-10-18,18.50,18.77,18.22,18.65,311200,18.26
2013-10-17,17.91,18.50,17.91,18.41,283600,18.03
2013-10-16,17.83,18.16,17.77,17.89,215100,17.52
2013-10-15,17.68,17.88,17.66,17.77,167600,17.40
2013-10-14,17.68,17.83,17.54,17.68,315200,17.31
2013-10-11,17.62,17.97,17.62,17.89,174400,17.52
2013-10-10,17.71,17.77,17.55,17.60,214200,17.23
2013-10-09,18.24,18.34,17.48,17.48,321200,17.12
2013-10-08,18.29,18.50,18.20,18.23,131300,17.85
2013-10-07,18.30,18.59,18.19,18.25,131500,17.87
2013-10-04,18.62,18.66,18.34,18.50,169600,18.12
2013-10-03,18.73,18.73,18.31,18.65,175300,18.26
2013-10-02,18.63,19.06,18.50,18.70,123300,18.31
2013-10-01,18.85,19.23,18.70,18.76,213800,18.37
2013-09-30,18.30,19.20,18.00,18.80,539600,18.41
2013-09-27,18.08,18.74,17.77,18.36,323100,17.98
2013-09-26,17.25,18.47,17.25,18.14,456800,17.76
2013-09-25,16.48,17.70,16.39,17.22,645900,16.86
2013-09-24,15.89,16.10,15.62,15.95,156100,15.62
2013-09-23,15.66,16.05,15.47,15.90,192100,15.57
2013-09-20,16.03,16.03,15.60,15.67,432400,15.34
2013-09-19,15.73,16.27,15.62,16.02,203400,15.69
2013-09-18,15.47,15.94,15.41,15.72,217900,15.39
2013-09-17,15.07,15.60,14.80,15.52,219600,15.20
2013-09-16,15.63,15.63,14.59,15.08,419400,14.77
2013-09-13,15.53,15.63,15.29,15.47,87100,15.15
2013-09-12,15.57,15.58,15.15,15.47,174500,15.15
2013-09-11,15.97,15.97,15.39,15.55,214000,15.23
2013-09-10,16.23,16.55,16.10,16.44,223300,15.69
2013-09-09,16.18,16.38,16.01,16.18,243200,15.44
2013-09-06,16.45,16.45,15.78,16.08,202200,15.34
2013-09-05,16.44,16.61,16.20,16.41,186400,15.66
2013-09-04,16.73,16.80,16.34,16.48,193900,15.73
2013-09-03,16.75,17.28,16.53,16.72,209700,15.95
2013-08-30,16.82,16.90,16.46,16.62,132400,15.86
2013-08-29,16.60,17.03,16.60,16.78,80700,16.01
2013-08-28,16.57,16.91,16.53,16.63,107800,15.87
2013-08-27,16.32,16.69,16.28,16.53,169800,15.77
2013-08-26,16.32,16.71,16.26,16.51,140100,15.75
2013-08-23,16.19,16.38,16.16,16.28,187300,15.54
2013-08-22,15.97,16.42,15.93,16.19,153700,15.45
2013-08-21,15.90,16.53,15.86,15.97,296100,15.24
2013-08-20,15.00,16.25,14.76,16.17,482300,15.43
2013-08-19,16.82,16.90,15.15,15.27,945600,14.57
2013-08-16,18.23,18.28,17.92,18.23,133000,17.40
2013-08-15,18.50,18.62,18.13,18.23,179900,17.40
2013-08-14,18.53,18.81,18.51,18.65,118800,17.80
2013-08-13,18.70,18.82,18.45,18.53,117500,17.68
2013-08-12,18.80,19.00,18.50,18.62,157700,17.77
2013-08-09,18.46,19.00,18.46,18.86,144100,18.00
2013-08-08,18.91,19.04,18.34,18.45,239600,17.61
2013-08-07,18.40,18.94,18.36,18.79,160800,17.93
2013-08-06,18.59,18.67,18.29,18.40,234700,17.56
2013-08-05,18.62,18.75,18.39,18.59,219800,17.74
2013-08-02,18.41,18.86,18.20,18.55,193600,17.70
2013-08-01,18.83,18.98,18.37,18.39,275700,17.55
2013-07-31,19.53,19.53,18.71,18.73,229100,17.87
2013-07-30,18.82,19.74,18.66,19.40,229100,18.51
2013-07-29,18.80,18.95,18.62,18.64,115400,17.79
2013-07-26,18.85,18.95,18.55,18.78,91800,17.92
2013-07-25,18.63,18.94,18.51,18.91,105600,18.04
2013-07-24,18.89,18.94,18.54,18.58,156700,17.73
2013-07-23,19.05,19.05,18.79,18.89,136200,18.03
2013-07-22,19.20,19.29,18.75,18.99,273800,18.12
2013-07-19,19.00,19.29,18.70,19.19,168900,18.31
2013-07-18,18.96,19.23,18.75,19.01,234000,18.14
2013-07-17,18.77,18.96,18.12,18.69,321900,17.83
2013-07-16,17.85,20.47,17.81,18.60,817400,17.75
2013-07-15,17.03,18.15,17.00,17.81,643100,17.00
2013-07-12,16.80,16.90,16.69,16.78,85300,16.01
2013-07-11,16.84,16.95,16.60,16.82,131100,16.05
2013-07-10,16.45,16.75,16.45,16.71,137800,15.95
2013-07-09,16.50,16.56,16.39,16.48,142600,15.73
2013-07-08,16.45,16.45,16.34,16.38,109800,15.63
2013-07-05,16.47,16.47,16.22,16.42,42600,15.67
2013-07-03,16.26,16.40,16.21,16.36,29200,15.61
2013-07-02,16.30,16.41,16.21,16.36,80500,15.61
2013-07-01,16.54,16.59,16.26,16.32,110400,15.57
2013-06-28,16.13,16.62,15.97,16.46,286700,15.71
2013-06-27,16.00,16.25,15.76,16.21,85100,15.47
2013-06-26,15.94,16.01,15.78,15.90,82800,15.17
2013-06-25,15.74,15.85,15.56,15.81,66600,15.09
2013-06-24,15.52,15.78,15.26,15.52,116900,14.81
2013-06-21,15.53,15.85,15.11,15.62,325100,14.91
2013-06-20,15.41,15.57,15.20,15.45,155600,14.74
2013-06-19,15.75,15.90,15.56,15.63,102100,14.91
2013-06-18,15.81,15.96,15.76,15.80,59200,15.08
2013-06-17,16.17,16.28,15.41,15.75,176900,15.03
2013-06-14,15.84,16.14,15.75,15.96,72600,15.23
2013-06-13,15.49,16.02,15.40,15.81,159300,15.09
2013-06-12,15.90,15.90,15.18,15.51,324400,14.80
2013-06-11,16.42,16.50,16.19,16.25,278500,15.11
2013-06-10,16.40,16.55,16.28,16.47,107900,15.31
2013-06-07,16.43,16.60,16.20,16.35,180300,15.20
2013-06-06,16.13,16.48,16.00,16.25,117300,15.11
2013-06-05,16.17,16.31,16.01,16.05,96200,14.92
2013-06-04,16.50,16.65,16.04,16.22,134400,15.08
2013-06-03,16.51,16.67,16.26,16.45,134800,15.29
2013-05-31,16.26,16.72,16.18,16.37,201200,15.22
2013-05-30,15.70,16.34,15.70,16.26,191200,15.11
2013-05-29,16.34,16.49,15.50,15.62,362200,14.52
2013-05-28,16.35,16.62,16.17,16.21,182600,15.07
2013-05-24,15.75,16.45,15.66,16.33,136500,15.18
2013-05-23,15.09,15.46,15.01,15.46,96100,14.37
2013-05-22,15.80,15.96,15.17,15.18,154200,14.11
2013-05-21,15.60,15.80,15.56,15.71,92700,14.60
2013-05-20,15.57,15.69,15.41,15.63,124700,14.53
2013-05-17,15.14,15.60,15.12,15.57,120000,14.47
2013-05-16,15.50,15.50,14.91,15.03,200300,13.97
2013-05-15,15.35,15.60,15.30,15.50,95100,14.41
2013-05-14,15.50,15.50,15.17,15.32,108000,14.24
2013-05-13,15.49,15.49,15.27,15.44,43600,14.35
2013-05-10,15.28,15.49,15.20,15.47,82300,14.38
2013-05-09,15.50,15.50,15.20,15.22,153100,14.15
2013-05-08,14.87,15.45,14.80,15.43,149500,14.34
2013-05-07,14.59,15.00,14.59,14.85,134800,13.80
2013-05-06,14.76,14.84,14.50,14.52,112500,13.50
2013-05-03,14.68,14.91,14.51,14.72,148000,13.68
2013-05-02,14.21,14.53,14.02,14.50,85100,13.48
2013-05-01,14.65,14.75,14.10,14.12,131100,13.13
2013-04-30,14.54,14.80,14.45,14.72,112400,13.68
2013-04-29,14.38,14.62,14.23,14.50,86800,13.48
2013-04-26,14.38,14.52,14.26,14.31,98500,13.30
2013-04-25,14.10,14.68,14.00,14.37,187100,13.36
2013-04-24,14.08,14.25,13.97,14.06,121800,13.07
2013-04-23,13.97,14.31,13.77,14.28,128700,13.27
2013-04-22,13.97,14.09,13.66,13.91,168500,12.93
2013-04-19,13.78,13.99,13.66,13.93,132000,12.95
2013-04-18,13.49,13.77,13.36,13.71,121900,12.74
2013-04-17,14.00,14.11,13.28,13.42,193900,12.47
2013-04-16,13.56,14.07,13.52,14.03,241900,13.04
2013-04-15,13.99,14.07,13.42,13.54,213800,12.59
2013-04-12,13.53,14.15,13.41,14.11,162000,13.12
2013-04-11,13.77,13.91,13.45,13.55,145400,12.60
2013-04-10,13.45,13.88,13.45,13.76,92900,12.79
2013-04-09,13.50,13.58,13.25,13.42,109500,12.47
2013-04-08,13.29,13.56,13.05,13.55,121400,12.60
2013-04-05,12.86,13.37,12.76,13.28,68600,12.34
2013-04-04,13.19,13.38,13.07,13.10,196900,12.18
2013-04-03,13.31,13.48,13.15,13.15,87700,12.22
2013-04-02,13.24,13.38,13.13,13.26,107400,12.33
2013-04-01,12.83,13.24,12.75,13.22,136000,12.29
2013-03-28,12.84,12.84,12.59,12.81,213300,11.91
2013-03-27,12.90,12.97,12.73,12.86,120900,11.95
2013-03-26,13.14,13.25,12.96,13.00,119900,12.08
2013-03-25,12.93,13.22,12.79,13.10,171900,12.18
2013-03-22,13.04,13.04,12.79,12.88,107500,11.97
2013-03-21,12.82,13.17,12.82,12.99,171100,12.08
2013-03-20,12.91,13.11,12.70,12.82,158900,11.92
2013-03-19,13.01,13.04,12.75,12.88,87800,11.97
2013-03-18,13.09,13.27,12.89,12.96,144300,12.05
2013-03-15,12.87,13.20,12.80,13.19,428300,12.26
2013-03-14,12.77,13.00,12.75,12.88,208100,11.97
2013-03-13,13.10,13.15,12.56,12.78,170500,11.88
2013-03-12,12.52,13.16,12.23,13.10,280800,12.18
2013-03-11,12.85,13.02,12.65,13.00,286200,11.69
2013-03-08,12.61,12.83,12.60,12.81,177700,11.52
2013-03-07,12.55,12.83,12.39,12.52,188500,11.26
2013-03-06,12.28,12.62,12.17,12.47,169800,11.22
2013-03-05,12.30,12.45,12.22,12.22,176100,10.99
2013-03-04,12.45,12.56,12.21,12.25,259100,11.02
2013-03-01,12.46,12.70,12.11,12.50,381500,11.24
2013-02-28,13.39,13.42,12.33,12.48,328200,11.23
2013-02-27,13.16,13.59,13.04,13.45,110400,12.10
2013-02-26,13.70,13.77,13.17,13.19,140500,11.87
2013-02-25,13.59,13.89,13.56,13.62,262900,12.25
2013-02-22,13.20,13.67,13.20,13.56,135600,12.20
2013-02-21,13.12,13.29,13.01,13.17,79100,11.85
2013-02-20,13.08,13.35,12.96,13.11,139500,11.79
2013-02-19,13.03,13.12,12.97,13.09,267300,11.78
2013-02-15,12.94,13.01,12.76,12.97,118100,11.67
2013-02-14,13.04,13.15,12.68,12.90,149400,11.60
2013-02-13,13.20,13.29,12.81,13.12,110600,11.80
2013-02-12,12.82,13.20,12.75,13.20,70800,11.87
2013-02-11,13.01,13.20,12.70,12.78,78100,11.50
2013-02-08,12.99,13.17,12.84,13.05,91500,11.74
2013-02-07,12.75,12.97,12.72,12.97,123900,11.67
2013-02-06,12.79,12.80,12.61,12.72,149900,11.44
2013-02-05,12.76,13.00,12.60,12.80,115400,11.51
2013-02-04,12.92,12.97,12.65,12.65,211700,11.38
2013-02-01,12.97,13.15,12.73,12.95,181200,11.65
2013-01-31,12.40,13.00,12.40,12.93,196600,11.63
2013-01-30,12.70,12.81,12.35,12.38,171800,11.14
2013-01-29,12.65,12.86,12.59,12.74,150100,11.46
2013-01-28,12.40,12.66,12.35,12.65,140200,11.38
2013-01-25,13.09,13.09,12.27,12.36,250900,11.12
2013-01-24,12.77,13.28,12.61,13.01,293400,11.70
2013-01-23,12.40,12.82,12.31,12.72,195600,11.44
