Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,2.44,2.51,2.41,2.48,94900,2.48
2014-02-21,2.43,2.51,2.42,2.44,85600,2.44
2014-02-20,2.49,2.52,2.41,2.45,98400,2.45
2014-02-19,2.47,2.62,2.42,2.49,166900,2.49
2014-02-18,2.50,2.53,2.45,2.48,109200,2.48
2014-02-14,2.54,2.58,2.46,2.49,176700,2.49
2014-02-13,2.58,2.65,2.46,2.52,222900,2.52
2014-02-12,2.70,2.72,2.58,2.62,207000,2.62
2014-02-11,2.67,2.77,2.62,2.70,182100,2.70
2014-02-10,2.59,2.84,2.52,2.64,342600,2.64
2014-02-07,2.50,2.75,2.45,2.59,300000,2.59
2014-02-06,2.53,2.61,2.45,2.48,146000,2.48
2014-02-05,2.55,2.65,2.45,2.54,155700,2.54
2014-02-04,2.74,2.81,2.54,2.58,625200,2.58
2014-02-03,2.63,2.65,2.40,2.53,212900,2.53
2014-01-31,2.50,2.72,2.42,2.65,733400,2.65
2014-01-30,2.32,2.52,2.30,2.49,272900,2.49
2014-01-29,2.31,2.33,2.25,2.32,109600,2.32
2014-01-28,2.35,2.49,2.30,2.31,64000,2.31
2014-01-27,2.40,2.41,2.22,2.32,137800,2.32
2014-01-24,2.60,2.60,2.25,2.35,290800,2.35
2014-01-23,2.26,2.59,2.24,2.59,245100,2.59
2014-01-22,2.40,2.49,2.17,2.35,760000,2.35
2014-01-21,2.60,2.68,2.42,2.43,480500,2.43
2014-01-17,2.71,2.71,2.58,2.61,232700,2.61
2014-01-16,2.65,2.74,2.56,2.74,141700,2.74
2014-01-15,2.60,2.73,2.55,2.65,239600,2.65
2014-01-14,2.66,2.81,2.57,2.59,382900,2.59
2014-01-13,3.00,3.14,2.66,2.71,653800,2.71
2014-01-10,2.78,2.97,2.71,2.81,461000,2.81
2014-01-09,2.66,2.77,2.55,2.71,379300,2.71
2014-01-08,2.75,2.75,2.58,2.66,248800,2.66
2014-01-07,2.80,2.85,2.67,2.76,273000,2.76
2014-01-06,2.78,2.88,2.78,2.84,183500,2.84
2014-01-03,2.93,2.93,2.75,2.76,203600,2.76
2014-01-02,2.93,2.99,2.81,2.92,94500,2.92
2013-12-31,2.71,3.05,2.71,2.92,379700,2.92
2013-12-30,2.81,2.81,2.64,2.73,194100,2.73
2013-12-27,2.89,2.89,2.69,2.74,172300,2.74
2013-12-26,2.85,2.92,2.77,2.81,167200,2.81
2013-12-24,2.96,2.96,2.81,2.87,73600,2.87
2013-12-23,2.99,3.00,2.85,2.90,167700,2.90
2013-12-20,2.80,3.00,2.68,3.00,471000,3.00
