Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,4.00,6.30,3.95,4.47,13800,4.47
2014-02-21,3.75,4.00,3.26,3.86,4900,3.86
2014-02-20,3.20,3.91,2.92,3.70,31600,3.70
2014-02-19,2.64,3.17,2.64,2.99,3300,2.99
2014-02-18,2.80,3.20,2.66,3.20,13500,3.20
2014-02-14,2.72,2.80,2.72,2.80,1500,2.80
2014-02-13,2.73,2.78,2.72,2.72,1600,2.72
2014-02-12,2.88,2.88,2.70,2.70,400,2.70
2014-02-11,2.94,3.00,2.70,2.76,4200,2.76
2014-02-10,2.93,3.00,2.64,2.65,8100,2.65
2014-02-07,2.98,2.99,2.64,2.99,2000,2.99
2014-02-06,3.00,3.00,3.00,3.00,000,3.00
2014-02-05,2.99,3.00,2.99,3.00,400,3.00
2014-02-04,2.69,2.73,2.64,2.64,1800,2.64
2014-02-03,2.69,2.71,2.69,2.71,1300,2.71
2014-01-31,3.00,3.00,2.71,2.71,1000,2.71
2014-01-30,2.60,2.91,2.60,2.75,1000,2.75
2014-01-29,2.99,2.99,2.62,2.91,1000,2.91
2014-01-28,2.85,2.85,2.85,2.85,000,2.85
2014-01-27,2.72,2.85,2.72,2.85,3100,2.85
2014-01-24,2.99,3.13,2.61,2.75,7700,2.75
2014-01-23,2.99,2.99,2.70,2.89,2300,2.89
2014-01-22,3.20,3.20,2.61,2.69,6000,2.69
2014-01-21,2.90,3.20,2.60,3.10,19300,3.10
2014-01-17,2.61,2.93,2.61,2.93,1400,2.93
2014-01-16,2.60,2.60,2.51,2.60,4800,2.60
2014-01-15,2.65,2.70,2.65,2.70,1400,2.70
2014-01-14,2.59,2.86,2.58,2.85,7800,2.85
2014-01-13,2.75,3.00,2.70,2.71,800,2.71
2014-01-10,2.57,3.04,2.57,3.04,2400,3.04
2014-01-09,2.53,2.93,2.53,2.93,800,2.93
2014-01-08,2.56,3.04,2.56,3.04,4800,3.04
2014-01-07,2.45,2.79,2.45,2.79,600,2.79
2014-01-06,3.03,3.04,2.88,2.88,4600,2.88
2014-01-03,2.90,2.96,2.78,2.90,4700,2.90
2014-01-02,2.80,3.04,2.25,2.83,11100,2.83
2013-12-31,2.99,2.99,2.14,2.77,2200,2.77
2013-12-30,2.11,2.78,2.11,2.20,1100,2.20
2013-12-27,2.16,2.24,2.11,2.13,4200,2.13
2013-12-26,2.27,2.27,2.15,2.25,9400,2.25
2013-12-24,2.35,2.35,2.35,2.35,1100,2.35
2013-12-23,2.46,2.46,2.46,2.46,000,2.46
2013-12-20,2.40,2.48,2.18,2.46,3600,2.46
2013-12-19,2.88,2.89,2.20,2.31,19500,2.31
2013-12-18,2.18,2.89,2.10,2.89,11000,2.89
2013-12-17,2.26,2.26,2.26,2.26,300,2.26
2013-12-16,2.30,2.99,2.24,2.70,3700,2.70
2013-12-13,2.25,2.25,2.13,2.23,4800,2.23
2013-12-12,2.70,2.79,2.16,2.39,29800,2.39
2013-12-11,2.79,3.00,2.79,3.00,4600,3.00
2013-12-10,2.96,3.15,2.90,2.90,2700,2.90
2013-12-09,2.98,2.99,2.98,2.99,1800,2.99
2013-12-06,2.76,2.76,2.76,2.76,100,2.76
2013-12-05,3.20,3.20,2.76,2.76,2100,2.76
2013-12-04,2.70,3.00,2.51,2.75,7400,2.75
2013-12-03,2.84,3.23,2.75,3.20,2400,3.20
2013-12-02,3.25,3.25,3.25,3.25,000,3.25
2013-11-29,3.25,3.25,2.84,3.25,3100,3.25
2013-11-27,2.94,3.46,2.94,3.25,2900,3.25
2013-11-26,3.01,3.45,2.70,3.40,1900,3.40
2013-11-25,3.20,3.45,3.15,3.45,900,3.45
2013-11-22,3.08,3.25,2.94,3.25,18000,3.25
2013-11-21,3.49,3.50,3.00,3.10,4500,3.10
2013-11-20,3.24,4.55,2.96,3.00,11100,3.00
2013-11-19,3.85,4.04,3.32,3.87,35100,3.87
2013-11-18,3.50,3.89,3.14,3.48,46700,3.48
2013-11-15,3.15,3.20,2.31,3.00,35700,3.00
2013-11-14,3.50,3.95,3.15,3.18,12600,3.18
2013-11-13,3.35,3.90,3.34,3.51,22400,3.51
2013-11-12,4.00,4.40,3.15,3.21,80700,3.21
2013-11-11,3.25,3.88,2.87,3.46,102900,3.46
2013-11-08,2.05,4.49,2.05,2.35,123300,2.35
2013-11-07,1.99,2.00,1.60,1.60,6000,1.60
2013-11-06,1.85,1.85,1.85,1.85,000,1.85
2013-11-05,1.70,1.85,1.70,1.85,300,1.85
2013-11-04,1.99,2.00,1.65,1.65,400,1.65
2013-11-01,2.05,2.05,1.63,1.70,3000,1.70
2013-10-31,1.90,1.90,1.90,1.90,000,1.90
2013-10-30,1.90,1.90,1.90,1.90,000,1.90
2013-10-29,1.90,1.90,1.90,1.90,000,1.90
2013-10-28,1.90,1.90,1.90,1.90,000,1.90
2013-10-25,1.90,1.90,1.90,1.90,000,1.90
2013-10-24,1.90,1.90,1.90,1.90,000,1.90
2013-10-23,1.90,1.90,1.90,1.90,000,1.90
2013-10-22,1.90,1.90,1.90,1.90,000,1.90
2013-10-21,2.05,2.05,1.57,1.90,1300,1.90
2013-10-18,2.05,2.05,2.05,2.05,000,2.05
2013-10-17,2.05,2.05,2.05,2.05,000,2.05
2013-10-16,2.05,2.05,2.05,2.05,000,2.05
2013-10-15,2.05,2.05,2.05,2.05,000,2.05
2013-10-14,2.05,2.05,2.05,2.05,500,2.05
2013-10-11,2.05,2.05,2.05,2.05,000,2.05
2013-10-10,2.05,2.05,2.05,2.05,000,2.05
2013-10-09,2.05,2.05,2.05,2.05,000,2.05
2013-10-08,2.05,2.05,2.05,2.05,1600,2.05
2013-10-07,2.00,2.00,2.00,2.00,500,2.00
2013-10-04,2.20,2.20,2.00,2.00,2900,2.00
2013-10-03,2.00,2.00,2.00,2.00,000,2.00
2013-10-02,2.00,2.00,2.00,2.00,000,2.00
2013-10-01,2.00,2.00,2.00,2.00,000,2.00
2013-09-30,2.00,2.00,2.00,2.00,000,2.00
2013-09-27,2.05,2.05,2.00,2.00,2100,2.00
2013-09-26,2.05,2.05,2.00,2.00,6200,2.00
2013-09-25,2.10,2.10,2.10,2.10,1000,2.10
2013-09-24,2.10,2.10,2.10,2.10,2000,2.10
2013-09-23,1.92,1.92,1.92,1.92,1200,1.92
2013-09-20,1.92,1.92,1.92,1.92,5300,1.92
2013-09-19,1.92,1.92,1.92,1.92,100,1.92
2013-09-18,1.92,1.92,1.92,1.92,700,1.92
2013-09-17,2.00,2.09,2.00,2.09,2300,2.09
