Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,17.22,17.62,17.22,17.50,811600,17.50
2014-02-21,17.08,17.31,17.01,17.22,725200,17.22
2014-02-20,17.28,17.28,16.97,17.11,448100,17.11
2014-02-19,17.42,17.52,17.20,17.25,879700,17.25
2014-02-18,17.28,17.38,17.07,17.29,1097700,17.29
2014-02-14,17.18,17.39,17.11,17.22,637900,17.22
2014-02-13,17.26,17.39,17.02,17.26,540100,17.26
2014-02-12,17.45,17.58,17.24,17.30,443800,17.30
2014-02-11,17.14,17.55,17.08,17.50,1025800,17.50
2014-02-10,17.06,17.19,16.73,17.15,920700,17.15
2014-02-07,16.50,17.50,16.50,17.00,1909400,17.00
2014-02-06,15.40,15.74,15.18,15.66,1457800,15.66
2014-02-05,15.20,15.49,15.12,15.31,2498300,15.31
2014-02-04,15.18,15.36,15.00,15.07,4492500,15.07
2014-02-03,15.55,15.73,15.06,15.07,1966600,15.07
2014-01-31,15.63,15.82,15.58,15.61,783600,15.61
2014-01-30,16.05,16.05,15.75,15.80,1937300,15.80
2014-01-29,15.86,16.02,15.80,15.92,1283200,15.92
2014-01-28,16.10,16.27,16.00,16.01,1214600,16.01
2014-01-27,16.14,16.52,16.05,16.15,3012700,16.15
2014-01-24,16.40,16.73,16.06,16.15,838800,16.15
2014-01-23,16.58,16.58,16.39,16.55,372700,16.55
2014-01-22,16.74,17.01,16.57,16.67,644100,16.67
2014-01-21,17.12,17.12,16.66,16.76,885900,16.76
2014-01-17,16.96,17.08,16.88,17.02,813400,17.02
2014-01-16,17.06,17.17,16.99,17.04,506000,17.04
2014-01-15,17.25,17.25,17.09,17.15,480300,17.15
2014-01-14,17.08,17.29,17.08,17.24,594200,17.24
2014-01-13,17.28,17.37,17.03,17.08,458200,17.08
2014-01-10,17.28,17.41,17.23,17.34,303800,17.34
2014-01-09,17.33,17.47,17.20,17.30,594200,17.30
2014-01-08,17.26,17.33,17.07,17.24,630300,17.24
2014-01-07,17.51,17.55,17.22,17.32,1174400,17.32
2014-01-06,17.82,17.87,17.43,17.55,620000,17.55
2014-01-03,17.95,17.95,17.62,17.73,431600,17.73
2014-01-02,17.84,18.03,17.76,17.89,758500,17.89
2013-12-31,17.63,17.92,17.63,17.83,297100,17.83
2013-12-30,17.68,17.83,17.60,17.75,308400,17.75
2013-12-27,17.66,17.70,17.46,17.68,319700,17.68
2013-12-26,17.84,17.95,17.58,17.70,240200,17.70
2013-12-24,17.80,17.90,17.63,17.82,87700,17.82
2013-12-23,17.60,17.83,17.57,17.78,395900,17.78
2013-12-20,17.28,17.78,17.28,17.58,565100,17.58
2013-12-19,17.27,17.31,17.05,17.21,386800,17.21
2013-12-18,17.29,17.40,16.95,17.35,531000,17.35
2013-12-17,17.32,17.38,17.02,17.21,800900,17.21
2013-12-16,17.43,17.65,17.38,17.63,718700,17.63
2013-12-13,17.43,17.55,17.22,17.50,643300,17.50
2013-12-12,17.39,17.50,17.31,17.35,466800,17.35
2013-12-11,17.45,17.61,17.33,17.47,745800,17.47
2013-12-10,17.30,17.56,17.10,17.50,937700,17.50
2013-12-09,17.36,17.43,17.18,17.36,1985800,17.36
2013-12-06,17.47,17.61,17.21,17.36,1733400,17.36
2013-12-05,17.46,17.46,17.26,17.37,513200,17.37
2013-12-04,17.41,17.60,17.29,17.50,540200,17.50
2013-12-03,17.54,17.60,17.40,17.53,560400,17.53
2013-12-02,17.90,17.95,17.62,17.66,889300,17.66
2013-11-29,17.90,18.00,17.87,17.97,392000,17.97
2013-11-27,17.71,18.00,17.60,17.89,1039300,17.89
2013-11-26,17.60,17.82,17.50,17.76,1162100,17.76
2013-11-25,17.69,17.83,17.51,17.61,717400,17.61
2013-11-22,17.88,17.92,17.69,17.71,1203700,17.71
2013-11-21,17.84,17.97,17.76,17.80,299200,17.80
2013-11-20,17.75,18.00,17.70,17.85,805500,17.85
2013-11-19,17.67,17.91,17.61,17.73,471700,17.73
2013-11-18,18.03,18.07,17.61,17.69,795200,17.69
2013-11-15,17.60,18.08,17.60,18.02,842100,18.02
2013-11-14,17.50,17.67,17.47,17.51,573900,17.51
2013-11-13,17.41,17.60,17.27,17.53,833800,17.53
2013-11-12,17.39,17.65,17.00,17.49,1135600,17.49
2013-11-11,17.86,17.98,17.68,17.78,537400,17.78
2013-11-08,17.58,17.97,17.54,17.94,518800,17.94
2013-11-07,17.75,18.12,17.58,17.61,660600,17.61
2013-11-06,18.09,18.24,17.71,17.77,619800,17.77
2013-11-05,18.13,18.26,17.88,18.10,696300,18.10
2013-11-04,18.16,18.24,18.08,18.13,404700,18.13
2013-11-01,17.87,18.16,17.80,18.11,1295300,18.11
2013-10-31,17.81,18.14,17.73,17.93,1810300,17.93
2013-10-30,17.95,18.00,17.72,17.75,677500,17.75
2013-10-29,17.69,17.93,17.67,17.87,889500,17.87
2013-10-28,17.55,17.73,17.42,17.68,1045000,17.68
2013-10-25,17.73,17.74,17.50,17.56,1527000,17.56
2013-10-24,17.58,17.80,17.50,17.72,931700,17.72
2013-10-23,17.45,17.64,17.29,17.49,1532000,17.49
2013-10-22,17.36,17.53,17.28,17.45,1578100,17.45
2013-10-21,17.36,17.45,17.24,17.30,563900,17.30
2013-10-18,17.36,17.39,17.24,17.32,2034100,17.32
2013-10-17,17.19,17.27,17.10,17.26,861300,17.26
2013-10-16,17.20,17.29,17.08,17.26,1241700,17.26
2013-10-15,17.04,17.18,16.94,17.16,1436900,17.16
2013-10-14,16.76,17.14,16.75,17.06,754900,17.06
2013-10-11,16.60,17.06,16.60,16.92,2259400,16.92
2013-10-10,16.39,16.67,16.39,16.65,1069200,16.65
2013-10-09,16.21,16.40,16.17,16.34,4387600,16.34
2013-10-08,16.21,16.35,16.17,16.23,667400,16.23
2013-10-07,16.15,16.36,16.11,16.27,1107800,16.27
2013-10-04,16.24,16.40,16.20,16.27,1114000,16.27
2013-10-03,16.50,16.59,16.21,16.27,2186100,16.27
2013-10-02,16.17,16.57,16.02,16.49,1292300,16.49
2013-10-01,16.45,16.45,16.16,16.29,521200,16.29
2013-09-30,16.52,16.52,16.29,16.43,611800,16.43
2013-09-27,16.47,16.59,16.37,16.56,823300,16.56
2013-09-26,17.12,17.12,16.47,16.67,2539000,16.67
2013-09-25,17.23,17.30,16.99,17.09,1126100,17.09
2013-09-24,16.77,17.43,16.77,17.33,1402900,17.33
2013-09-23,16.82,16.85,16.61,16.79,703900,16.79
2013-09-20,17.10,17.23,16.72,16.91,1416500,16.91
2013-09-19,17.39,17.39,16.91,17.13,884200,17.13
2013-09-18,17.20,17.34,17.07,17.25,951800,17.25
2013-09-17,17.16,17.29,17.12,17.22,548600,17.22
2013-09-16,17.37,17.38,17.00,17.17,772100,17.17
2013-09-13,17.29,17.29,16.98,17.11,411600,17.11
2013-09-12,17.19,17.46,17.11,17.30,601600,17.30
2013-09-11,16.71,17.20,16.68,17.20,1531600,17.20
2013-09-10,16.53,16.72,16.41,16.72,846300,16.72
2013-09-09,16.33,16.50,16.30,16.49,772900,16.49
2013-09-06,16.43,16.49,16.23,16.34,1655900,16.34
2013-09-05,16.20,16.44,16.07,16.39,1912100,16.39
2013-09-04,15.90,16.28,15.90,16.21,2037400,16.21
2013-09-03,16.02,16.20,15.88,16.00,584400,16.00
2013-08-30,15.91,15.97,15.76,15.84,1583300,15.84
2013-08-29,15.98,16.09,15.83,15.96,797500,15.96
2013-08-28,15.97,16.02,15.89,15.97,7235800,15.97
2013-08-27,15.98,16.20,15.93,15.94,3848700,15.94
2013-08-26,15.94,16.13,15.94,16.06,1095300,16.06
2013-08-23,15.84,16.02,15.77,15.92,1676500,15.92
2013-08-22,15.99,16.03,15.82,15.88,1611600,15.88
2013-08-21,15.83,16.00,15.70,15.94,1948100,15.94
2013-08-20,15.91,15.98,15.72,15.88,993300,15.88
2013-08-19,16.21,16.22,15.88,15.89,610700,15.89
2013-08-16,16.26,16.45,16.16,16.19,2144700,16.19
2013-08-15,16.06,16.39,15.94,16.32,1351600,16.32
2013-08-14,16.00,16.21,15.87,16.18,2029000,16.18
2013-08-13,16.23,16.23,16.00,16.05,1643600,16.05
2013-08-12,16.10,16.30,15.97,16.11,1917600,16.11
2013-08-09,16.41,16.41,16.22,16.24,1370900,16.24
2013-08-08,16.32,16.51,16.15,16.38,2109500,16.38
2013-08-07,16.24,16.30,16.04,16.16,1239800,16.16
2013-08-06,16.13,16.45,16.03,16.39,1335300,16.39
2013-08-05,16.41,16.48,16.08,16.21,1127500,16.21
2013-08-02,16.29,16.64,16.25,16.50,2042800,16.50
2013-08-01,16.11,16.42,16.09,16.39,1951600,16.39
2013-07-31,16.09,16.37,16.04,16.09,2392800,16.09
2013-07-30,15.73,16.18,15.67,16.14,3438100,16.14
2013-07-29,15.98,16.07,15.61,15.71,3495600,15.71
2013-07-26,15.76,16.16,15.50,16.09,937600,16.09
2013-07-25,15.91,16.05,15.64,15.76,2097300,15.76
2013-07-24,15.79,16.05,15.62,15.92,2205100,15.92
2013-07-23,15.85,16.05,15.71,15.85,2104900,15.85
2013-07-22,16.15,16.26,15.75,15.90,2159200,15.90
2013-07-19,15.37,16.26,15.37,16.12,3735400,16.12
2013-07-18,16.04,16.25,15.46,15.60,2827900,15.60
2013-07-17,15.28,16.12,15.28,16.02,3737700,16.02
2013-07-16,14.71,15.47,14.70,15.39,2711100,15.39
2013-07-15,15.00,15.08,14.52,14.80,5331400,14.80
2013-07-12,15.00,15.18,14.97,14.99,3042300,14.99
2013-07-11,15.80,15.80,15.06,15.21,3630300,15.21
2013-07-10,15.50,15.60,15.22,15.45,3010500,15.45
2013-07-09,15.81,16.02,15.67,15.73,3656200,15.73
2013-07-08,15.83,16.08,15.55,16.02,4010700,16.02
2013-07-05,14.96,15.94,14.96,15.61,3470900,15.61
2013-07-03,14.88,15.12,14.84,14.97,2265100,14.97
2013-07-02,14.68,15.19,14.67,14.99,8682500,14.99
2013-07-01,15.48,15.50,14.84,14.87,4343500,14.87
2013-06-28,15.29,15.68,15.25,15.38,1793700,15.38
2013-06-27,14.78,15.74,14.66,15.37,3258000,15.37
2013-06-26,15.54,15.55,15.31,15.47,901000,15.47
2013-06-25,15.50,15.67,15.35,15.66,564400,15.66
2013-06-24,15.79,15.79,15.19,15.52,758300,15.52
2013-06-21,15.98,15.98,15.46,15.80,635300,15.80
2013-06-20,16.25,16.30,15.36,15.44,1874600,15.44
2013-06-19,15.21,16.03,14.96,15.53,7717000,15.53
