Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,21.97,22.10,21.82,21.93,6000,21.93
2014-02-21,21.79,21.93,21.75,21.88,5500,21.88
2014-02-20,21.99,21.99,21.72,21.79,20100,21.79
2014-02-19,21.96,22.44,21.51,21.93,25000,21.93
2014-02-18,21.70,21.93,21.51,21.76,31300,21.76
2014-02-14,21.61,21.75,21.46,21.66,33900,21.66
2014-02-13,21.28,22.00,21.13,21.58,11100,21.58
2014-02-12,21.21,21.29,21.20,21.28,17300,21.28
2014-02-11,21.19,21.19,21.09,21.13,5600,21.13
2014-02-10,21.07,21.10,20.95,21.03,17800,21.03
2014-02-07,21.03,21.07,20.75,21.01,35700,21.01
2014-02-06,21.01,21.05,20.90,21.02,3700,21.02
2014-02-05,20.87,21.00,20.85,20.96,5600,20.96
2014-02-04,20.90,20.96,20.78,20.89,27200,20.89
2014-02-03,21.07,21.07,20.78,20.80,55300,20.80
2014-01-31,20.81,20.95,20.72,20.95,28400,20.95
2014-01-30,20.82,20.96,20.75,20.81,16600,20.81
2014-01-29,20.96,20.96,20.64,20.79,16700,20.79
2014-01-28,20.92,20.98,20.87,20.92,4200,20.92
2014-01-27,20.90,20.99,20.82,20.89,35300,20.89
2014-01-24,20.85,20.90,20.78,20.87,11500,20.87
2014-01-23,21.03,21.10,20.90,20.95,8400,20.95
2014-01-22,21.01,21.10,20.92,20.95,31900,20.95
2014-01-21,20.95,21.03,20.88,20.92,32500,20.92
2014-01-17,20.90,21.04,20.81,20.97,5200,20.97
2014-01-16,21.15,21.15,20.85,20.92,37200,20.92
2014-01-15,21.18,21.18,20.94,20.94,36400,20.94
2014-01-14,20.98,21.15,20.98,21.00,18500,21.00
2014-01-13,20.78,21.17,20.77,20.86,14400,20.86
2014-01-10,20.93,21.02,20.75,20.75,13700,20.75
2014-01-09,20.90,20.97,20.90,20.94,5600,20.94
2014-01-08,20.90,21.10,20.76,20.76,43900,20.76
2014-01-07,20.97,21.31,20.77,20.86,67400,20.86
2014-01-06,20.84,20.84,20.40,20.79,4500,20.79
2014-01-03,20.50,20.79,20.50,20.79,63600,20.79
2014-01-02,20.21,20.50,20.21,20.50,13700,20.50
2013-12-31,19.60,20.35,19.60,20.10,71200,20.10
2013-12-30,19.75,20.03,19.61,19.61,43500,19.61
2013-12-27,20.09,20.09,19.60,19.74,59100,19.74
2013-12-26,20.49,20.65,20.27,20.39,40100,19.91
2013-12-24,20.75,20.75,20.55,20.69,14900,20.20
2013-12-23,20.35,20.69,20.15,20.60,30900,20.11
2013-12-20,21.10,21.10,20.31,20.44,20000,19.95
2013-12-19,20.60,21.02,20.59,20.59,23700,20.10
2013-12-18,20.50,20.60,20.50,20.59,37400,20.10
2013-12-17,20.65,20.78,20.50,20.58,10700,20.09
2013-12-16,20.63,20.75,20.40,20.65,49600,20.16
2013-12-13,20.67,20.67,20.35,20.56,13600,20.07
2013-12-12,20.75,20.75,20.25,20.35,16800,19.87
2013-12-11,20.60,20.89,20.48,20.84,24000,20.35
2013-12-10,20.70,20.85,20.40,20.65,18100,20.16
2013-12-09,20.55,20.55,20.27,20.50,14800,20.01
2013-12-06,20.47,20.83,20.47,20.50,6700,20.01
2013-12-05,20.63,20.89,20.29,20.40,22600,19.92
2013-12-04,20.92,21.00,20.27,20.60,38300,20.11
2013-12-03,21.00,21.19,20.89,20.95,26500,20.45
2013-12-02,20.80,21.00,20.80,21.00,2700,20.50
2013-11-29,20.81,21.00,20.71,21.00,9100,20.50
2013-11-27,20.80,21.17,20.80,20.81,11800,20.32
2013-11-26,20.94,20.94,20.45,20.80,19700,20.31
2013-11-25,20.95,20.95,20.56,20.88,12300,20.38
2013-11-22,21.27,21.27,20.36,20.62,18400,20.13
2013-11-21,21.19,21.27,20.85,21.27,7600,20.77
2013-11-20,21.26,21.33,20.32,21.10,9200,20.60
2013-11-19,21.61,21.65,21.15,21.35,20100,20.84
2013-11-18,21.16,21.44,20.80,21.01,9200,20.51
2013-11-15,20.54,21.13,20.44,21.13,27900,20.63
2013-11-14,20.40,20.47,20.30,20.40,23000,19.92
2013-11-13,20.38,20.43,20.23,20.30,15500,19.82
2013-11-12,20.36,20.72,20.30,20.38,12300,19.90
2013-11-11,20.36,20.52,20.36,20.52,15000,20.03
