Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,2.85,2.90,2.83,2.87,430700,2.87
2014-02-21,2.94,2.95,2.82,2.84,890500,2.84
2014-02-20,2.85,2.97,2.84,2.93,522000,2.93
2014-02-19,2.93,2.94,2.83,2.85,701800,2.85
2014-02-18,2.86,2.98,2.84,2.96,1225600,2.96
2014-02-14,2.82,2.86,2.75,2.83,898200,2.83
2014-02-13,2.60,2.81,2.59,2.79,1996100,2.79
2014-02-12,2.65,2.65,2.59,2.61,579000,2.61
2014-02-11,2.52,2.65,2.52,2.63,1190700,2.63
2014-02-10,2.50,2.55,2.48,2.53,593500,2.53
2014-02-07,2.48,2.54,2.43,2.48,841100,2.48
2014-02-06,2.42,2.49,2.39,2.48,690300,2.48
2014-02-05,2.70,2.70,2.43,2.44,1753900,2.44
2014-02-04,2.56,2.65,2.48,2.49,1285000,2.49
2014-02-03,2.85,2.87,2.58,2.59,1195600,2.59
2014-01-31,2.55,2.74,2.51,2.67,1582900,2.67
2014-01-30,2.53,2.58,2.53,2.55,589900,2.55
2014-01-29,2.52,2.57,2.47,2.49,729600,2.49
2014-01-28,2.51,2.56,2.46,2.53,1034700,2.53
2014-01-27,2.62,2.62,2.46,2.52,1397400,2.52
2014-01-24,2.69,2.69,2.58,2.63,1307300,2.63
2014-01-23,2.76,2.78,2.63,2.73,1398700,2.73
2014-01-22,2.78,2.85,2.68,2.78,1022600,2.78
2014-01-21,2.80,2.91,2.75,2.80,1293300,2.80
2014-01-17,2.72,2.87,2.70,2.76,1009800,2.76
2014-01-16,2.70,2.76,2.62,2.75,930600,2.75
2014-01-15,2.51,2.74,2.51,2.71,1287200,2.71
2014-01-14,2.57,2.62,2.50,2.55,1301100,2.55
2014-01-13,2.67,2.75,2.55,2.57,1085700,2.57
2014-01-10,2.65,2.68,2.56,2.65,970500,2.65
2014-01-09,2.82,2.82,2.60,2.68,1629400,2.68
2014-01-08,2.80,2.81,2.73,2.80,1363700,2.80
2014-01-07,2.63,2.74,2.58,2.71,1630300,2.71
2014-01-06,2.60,2.67,2.53,2.59,1136900,2.59
2014-01-03,2.55,2.65,2.48,2.57,1559700,2.57
2014-01-02,2.49,2.54,2.44,2.53,798700,2.53
2013-12-31,2.45,2.54,2.42,2.49,1079600,2.49
2013-12-30,2.60,2.60,2.46,2.46,816100,2.46
2013-12-27,2.50,2.60,2.45,2.54,749000,2.54
2013-12-26,2.37,2.55,2.28,2.50,1888200,2.50
2013-12-24,2.28,2.38,2.25,2.38,900400,2.38
2013-12-23,2.19,2.32,2.15,2.31,1496800,2.31
2013-12-20,2.07,2.20,2.07,2.20,1812200,2.20
2013-12-19,2.07,2.11,2.06,2.09,1969600,2.09
2013-12-18,2.05,2.10,2.05,2.08,509400,2.08
2013-12-17,2.08,2.10,2.05,2.07,421200,2.07
2013-12-16,2.07,2.10,2.06,2.08,776900,2.08
2013-12-13,2.11,2.21,2.07,2.08,983800,2.08
2013-12-12,2.05,2.13,2.05,2.10,469800,2.10
2013-12-11,2.16,2.21,2.05,2.07,1149200,2.07
2013-12-10,2.19,2.23,2.16,2.17,1115500,2.17
2013-12-09,2.16,2.23,2.16,2.19,718700,2.19
2013-12-06,2.19,2.26,2.15,2.18,1774400,2.18
2013-12-05,2.23,2.24,2.15,2.16,848600,2.16
2013-12-04,2.18,2.23,2.18,2.21,522200,2.21
2013-12-03,2.19,2.24,2.17,2.19,401200,2.19
2013-12-02,2.25,2.25,2.17,2.22,779000,2.22
2013-11-29,2.20,2.28,2.20,2.26,282900,2.26
2013-11-27,2.22,2.25,2.20,2.20,537400,2.20
2013-11-26,2.21,2.25,2.21,2.22,360700,2.22
2013-11-25,2.25,2.30,2.20,2.22,406600,2.22
2013-11-22,2.28,2.35,2.24,2.25,715300,2.25
2013-11-21,2.25,2.33,2.21,2.30,874100,2.30
2013-11-20,2.25,2.33,2.20,2.23,430900,2.23
2013-11-19,2.30,2.44,2.16,2.26,1594700,2.26
2013-11-18,2.38,2.52,2.28,2.32,2147900,2.32
2013-11-15,2.20,2.42,2.18,2.38,3176100,2.38
2013-11-14,2.24,2.24,2.14,2.21,1275200,2.21
2013-11-13,2.14,2.25,2.12,2.24,1006900,2.24
2013-11-12,2.23,2.24,2.13,2.14,1017800,2.14
2013-11-11,2.16,2.25,2.13,2.22,1743000,2.22
2013-11-08,2.00,2.17,2.00,2.15,1338500,2.15
2013-11-07,2.20,2.22,1.92,2.02,1794700,2.02
2013-11-06,2.15,2.22,2.12,2.21,1344300,2.21
2013-11-05,2.06,2.18,2.03,2.15,1183600,2.15
2013-11-04,2.03,2.06,2.02,2.04,610800,2.04
2013-11-01,2.05,2.07,1.98,2.03,1058800,2.03
2013-10-31,2.04,2.08,1.99,2.04,1131800,2.04
2013-10-30,2.06,2.08,1.96,2.07,651700,2.07
2013-10-29,1.90,2.07,1.90,2.06,911400,2.06
2013-10-28,2.02,2.07,1.90,1.95,1110600,1.95
2013-10-25,2.05,2.06,2.03,2.05,500700,2.05
2013-10-24,2.17,2.17,2.02,2.07,1299800,2.07
2013-10-23,2.11,2.17,2.10,2.17,795900,2.17
2013-10-22,2.08,2.15,2.07,2.15,828600,2.15
2013-10-21,2.18,2.19,2.08,2.09,934700,2.09
2013-10-18,2.14,2.20,2.10,2.17,677700,2.17
2013-10-17,2.17,2.20,2.12,2.15,552600,2.15
2013-10-16,2.14,2.19,2.10,2.17,1450700,2.17
2013-10-15,2.11,2.17,2.05,2.13,1596700,2.13
2013-10-14,2.04,2.18,2.02,2.12,2532300,2.12
2013-10-11,1.96,2.07,1.90,2.05,4399300,2.05
2013-10-10,1.87,1.90,1.84,1.85,891300,1.85
2013-10-09,1.89,1.91,1.77,1.86,1840400,1.86
2013-10-08,1.77,1.95,1.76,1.89,2594300,1.89
2013-10-07,1.77,1.80,1.76,1.76,540300,1.76
2013-10-04,1.78,1.79,1.74,1.78,577600,1.78
2013-10-03,1.79,1.80,1.74,1.76,537600,1.76
2013-10-02,1.79,1.80,1.75,1.78,581100,1.78
2013-10-01,1.78,1.83,1.74,1.80,831800,1.80
2013-09-30,1.75,1.87,1.71,1.77,1581800,1.77
2013-09-27,1.69,1.84,1.65,1.80,2482600,1.80
2013-09-26,1.68,1.69,1.63,1.68,475100,1.68
2013-09-25,1.65,1.69,1.62,1.67,663500,1.67
2013-09-24,1.70,1.72,1.63,1.67,1080800,1.67
2013-09-23,1.69,1.72,1.67,1.70,759000,1.70
2013-09-20,1.65,1.72,1.64,1.67,1968700,1.67
2013-09-19,1.60,1.65,1.57,1.65,1372000,1.65
2013-09-18,1.60,1.63,1.54,1.61,1499600,1.61
2013-09-17,1.52,1.64,1.45,1.63,3387100,1.63
2013-09-16,1.71,1.73,1.54,1.64,4717700,1.64
2013-09-13,1.63,1.71,1.58,1.65,8982300,1.65
2013-09-12,1.38,1.59,1.32,1.46,15175700,1.46
2013-09-11,1.06,1.06,1.00,1.06,550100,1.06
2013-09-10,1.05,1.09,1.03,1.06,929200,1.06
2013-09-09,0.89,1.04,0.89,1.02,1691500,1.02
2013-09-06,0.89,0.92,0.89,0.91,897600,0.91
2013-09-05,0.92,0.93,0.88,0.89,1720100,0.89
2013-09-04,1.05,1.05,0.90,0.92,3305100,0.92
2013-09-03,1.07,1.07,1.03,1.06,1144300,1.06
2013-08-30,1.05,1.08,1.04,1.07,786900,1.07
2013-08-29,1.05,1.09,1.03,1.07,390100,1.07
2013-08-28,1.05,1.10,1.04,1.07,818900,1.07
2013-08-27,1.10,1.11,1.04,1.05,764300,1.05
2013-08-26,1.10,1.11,1.08,1.10,401000,1.10
2013-08-23,1.09,1.12,1.06,1.08,324300,1.08
2013-08-22,1.10,1.10,1.06,1.09,223400,1.09
2013-08-21,1.07,1.09,1.05,1.08,423100,1.08
2013-08-20,1.09,1.10,1.02,1.09,1077800,1.09
2013-08-19,1.13,1.13,1.09,1.10,277000,1.10
2013-08-16,1.12,1.13,1.10,1.13,226900,1.13
2013-08-15,1.14,1.15,1.09,1.12,643800,1.12
2013-08-14,1.19,1.19,1.13,1.15,618900,1.15
2013-08-13,1.16,1.19,1.15,1.19,593900,1.19
2013-08-12,1.17,1.18,1.15,1.15,195400,1.15
2013-08-09,1.16,1.18,1.15,1.17,430600,1.17
2013-08-08,1.16,1.18,1.15,1.16,394000,1.16
2013-08-07,1.17,1.21,1.16,1.16,668200,1.16
2013-08-06,1.15,1.18,1.15,1.16,250700,1.16
2013-08-05,1.16,1.20,1.14,1.16,546900,1.16
2013-08-02,1.16,1.19,1.15,1.15,414800,1.15
2013-08-01,1.20,1.23,1.15,1.16,612800,1.16
2013-07-31,1.15,1.28,1.15,1.19,1481300,1.19
2013-07-30,1.14,1.18,1.14,1.16,303200,1.16
2013-07-29,1.15,1.17,1.14,1.14,414400,1.14
2013-07-26,1.21,1.24,1.16,1.16,722200,1.16
2013-07-25,1.26,1.27,1.21,1.23,597100,1.23
2013-07-24,1.26,1.29,1.22,1.29,721000,1.29
2013-07-23,1.33,1.33,1.26,1.28,556800,1.28
2013-07-22,1.33,1.35,1.19,1.31,1564100,1.31
2013-07-19,1.16,1.33,1.14,1.29,1658000,1.29
2013-07-18,1.15,1.22,1.15,1.16,636300,1.16
2013-07-17,1.14,1.20,1.13,1.16,813700,1.16
2013-07-16,1.12,1.14,1.11,1.13,430100,1.13
2013-07-15,1.13,1.14,1.12,1.13,359200,1.13
2013-07-12,1.15,1.15,1.12,1.14,327300,1.14
2013-07-11,1.14,1.17,1.12,1.14,462300,1.14
2013-07-10,1.15,1.17,1.12,1.13,436600,1.13
2013-07-09,1.14,1.17,1.10,1.14,567400,1.14
2013-07-08,1.20,1.23,1.08,1.12,983400,1.12
2013-07-05,1.19,1.20,1.17,1.18,152400,1.18
2013-07-03,1.16,1.19,1.15,1.17,118000,1.17
2013-07-02,1.17,1.24,1.15,1.15,865800,1.15
2013-07-01,1.20,1.23,1.16,1.17,667200,1.17
2013-06-28,1.25,1.27,1.17,1.18,11793700,1.18
2013-06-27,1.26,1.28,1.24,1.24,796400,1.24
2013-06-26,1.29,1.30,1.22,1.24,393700,1.24
2013-06-25,1.25,1.27,1.21,1.27,552800,1.27
2013-06-24,1.22,1.25,1.21,1.22,510700,1.22
2013-06-21,1.27,1.34,1.19,1.25,1854000,1.25
2013-06-20,1.23,1.30,1.21,1.26,1480900,1.26
2013-06-19,1.16,1.26,1.16,1.23,1427400,1.23
2013-06-18,1.13,1.17,1.11,1.15,450800,1.15
2013-06-17,1.17,1.17,1.12,1.13,784400,1.13
2013-06-14,1.16,1.24,1.15,1.15,1205900,1.15
2013-06-13,1.07,1.16,1.05,1.15,992400,1.15
2013-06-12,1.10,1.12,1.05,1.07,749900,1.07
2013-06-11,1.09,1.12,1.04,1.08,786700,1.08
2013-06-10,1.23,1.28,1.09,1.12,2740800,1.12
2013-06-07,1.02,1.18,1.02,1.18,4050700,1.18
2013-06-06,1.03,1.08,1.01,1.03,1338800,1.03
2013-06-05,1.03,1.05,1.01,1.01,763100,1.01
2013-06-04,1.06,1.06,1.03,1.03,642400,1.03
2013-06-03,1.05,1.07,1.04,1.04,874400,1.04
2013-05-31,1.06,1.06,1.03,1.05,1265600,1.05
2013-05-30,1.04,1.08,1.03,1.07,675900,1.07
2013-05-29,1.06,1.07,1.01,1.03,2271700,1.03
2013-05-28,1.07,1.07,1.05,1.07,583000,1.07
2013-05-24,1.08,1.09,1.06,1.07,301900,1.07
2013-05-23,1.08,1.09,1.06,1.09,568200,1.09
2013-05-22,1.10,1.12,1.09,1.09,676500,1.09
2013-05-21,1.10,1.11,1.08,1.10,374500,1.10
2013-05-20,1.08,1.11,1.06,1.11,657000,1.11
2013-05-17,1.11,1.11,1.08,1.09,653100,1.09
2013-05-16,1.06,1.10,1.05,1.10,912500,1.10
2013-05-15,1.09,1.10,1.04,1.07,970100,1.07
2013-05-14,1.08,1.09,1.07,1.09,938200,1.09
2013-05-13,1.05,1.08,1.03,1.08,1343100,1.08
2013-05-10,1.07,1.08,1.03,1.05,1489500,1.05
2013-05-09,1.10,1.12,1.05,1.05,1095600,1.05
2013-05-08,1.11,1.11,0.99,1.09,8042400,1.09
2013-05-07,1.34,1.42,1.34,1.36,1373800,1.36
2013-05-06,1.35,1.39,1.33,1.36,400100,1.36
2013-05-03,1.38,1.39,1.34,1.35,447300,1.35
2013-05-02,1.34,1.36,1.32,1.35,349400,1.35
2013-05-01,1.35,1.38,1.31,1.33,798400,1.33
2013-04-30,1.36,1.38,1.33,1.36,541900,1.36
2013-04-29,1.37,1.41,1.35,1.38,786800,1.38
2013-04-26,1.30,1.41,1.29,1.35,1362600,1.35
2013-04-25,1.21,1.32,1.21,1.28,1059900,1.28
2013-04-24,1.22,1.24,1.20,1.22,238500,1.22
2013-04-23,1.20,1.22,1.17,1.22,377300,1.22
2013-04-22,1.19,1.21,1.18,1.18,271900,1.18
2013-04-19,1.15,1.21,1.15,1.20,220300,1.20
2013-04-18,1.20,1.21,1.15,1.17,549500,1.17
2013-04-17,1.21,1.24,1.18,1.19,323900,1.19
2013-04-16,1.20,1.25,1.18,1.22,719600,1.22
2013-04-15,1.21,1.21,1.17,1.17,562900,1.17
2013-04-12,1.20,1.22,1.18,1.20,561600,1.20
2013-04-11,1.22,1.26,1.21,1.22,433700,1.22
2013-04-10,1.20,1.28,1.20,1.23,947500,1.23
2013-04-09,1.22,1.25,1.19,1.20,361800,1.20
2013-04-08,1.24,1.24,1.18,1.23,465400,1.23
2013-04-05,1.25,1.27,1.23,1.23,352900,1.23
