Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,13.41,13.76,13.36,13.63,536100,13.63
2014-02-21,13.19,13.48,13.12,13.40,1193700,13.40
2014-02-20,13.07,13.20,12.90,13.05,843700,13.05
2014-02-19,13.49,13.51,13.05,13.07,889800,13.07
2014-02-18,13.50,13.57,13.29,13.52,357500,13.52
2014-02-14,13.39,13.48,13.31,13.44,701300,13.44
2014-02-13,13.46,13.48,13.36,13.40,650800,13.40
2014-02-12,13.62,13.86,13.49,13.54,405700,13.54
2014-02-11,13.44,13.72,13.35,13.64,664400,13.64
2014-02-10,13.47,13.59,13.29,13.39,655800,13.39
2014-02-07,13.58,13.64,13.32,13.50,717100,13.50
2014-02-06,13.43,13.63,13.37,13.50,1072600,13.50
2014-02-05,13.42,13.56,13.32,13.44,588100,13.44
2014-02-04,13.42,13.61,13.24,13.45,746400,13.45
2014-02-03,13.96,14.59,13.17,13.33,950600,13.33
2014-01-31,13.94,14.06,13.85,14.00,620600,14.00
2014-01-30,14.09,14.23,13.96,14.13,377000,14.13
2014-01-29,14.07,14.23,13.98,14.00,510000,14.00
2014-01-28,14.31,14.40,14.13,14.21,455600,14.21
2014-01-27,14.46,14.68,14.23,14.24,545600,14.24
2014-01-24,14.57,14.78,14.40,14.47,685200,14.47
2014-01-23,14.71,14.76,14.46,14.65,758900,14.65
2014-01-22,14.68,14.74,14.53,14.74,391400,14.74
2014-01-21,14.47,14.82,14.47,14.66,803400,14.66
2014-01-17,14.42,14.57,14.25,14.46,610400,14.46
2014-01-16,14.50,14.63,14.29,14.39,682900,14.39
2014-01-15,14.72,14.88,14.58,14.59,487600,14.59
2014-01-14,14.55,14.68,14.39,14.61,1030700,14.61
2014-01-13,14.61,14.80,14.40,14.45,529100,14.45
2014-01-10,14.66,14.89,14.50,14.62,599300,14.62
2014-01-09,14.70,14.88,14.53,14.63,903500,14.63
2014-01-08,15.00,15.11,14.60,14.61,1296600,14.61
2014-01-07,15.04,15.23,15.04,15.12,252200,15.12
2014-01-06,15.23,15.36,15.01,15.02,360300,15.02
2014-01-03,15.16,15.45,15.07,15.20,296000,15.20
2014-01-02,15.35,15.35,15.03,15.17,396600,15.17
2013-12-31,15.50,15.50,15.36,15.37,326300,15.37
2013-12-30,15.39,15.49,15.33,15.44,206200,15.44
2013-12-27,15.53,15.58,15.36,15.44,235400,15.44
2013-12-26,15.62,15.73,15.44,15.47,360100,15.47
2013-12-24,15.75,15.75,15.53,15.59,249000,15.59
2013-12-23,15.42,15.70,15.08,15.69,641000,15.69
2013-12-20,15.28,15.45,15.18,15.37,2206100,15.37
2013-12-19,15.35,15.39,15.17,15.21,396100,15.21
2013-12-18,15.11,15.41,14.92,15.41,451400,15.41
2013-12-17,15.19,15.24,14.99,15.09,518500,15.09
2013-12-16,14.98,15.24,14.95,15.20,584900,15.20
2013-12-13,15.02,15.02,14.80,14.87,638500,14.87
2013-12-12,14.82,15.06,14.82,14.95,306200,14.95
2013-12-11,15.07,15.11,14.83,14.85,362700,14.85
2013-12-10,15.27,15.32,15.00,15.05,286800,15.05
2013-12-09,15.36,15.41,15.23,15.34,358800,15.34
2013-12-06,15.18,15.55,15.18,15.35,317100,15.35
2013-12-05,14.99,15.06,14.97,15.04,213700,15.04
2013-12-04,14.99,15.14,14.80,15.03,331200,15.03
2013-12-03,15.14,15.32,14.88,15.05,469900,15.05
2013-12-02,15.56,15.56,15.14,15.21,459800,15.21
2013-11-29,15.64,15.80,15.47,15.55,193000,15.55
2013-11-27,15.49,15.59,15.32,15.55,284600,15.55
2013-11-26,15.50,15.59,15.39,15.56,432100,15.46
2013-11-25,15.39,15.57,15.32,15.44,391300,15.34
2013-11-22,15.41,15.54,15.26,15.35,464800,15.25
2013-11-21,15.22,15.33,15.13,15.32,615700,15.22
2013-11-20,15.07,15.21,14.97,15.10,350200,15.00
2013-11-19,15.04,15.15,14.97,15.03,335100,14.93
2013-11-18,14.99,15.17,14.89,15.01,342800,14.91
2013-11-15,15.02,15.06,14.79,14.98,422300,14.88
2013-11-14,15.10,15.11,14.95,15.04,392000,14.94
2013-11-13,14.85,15.08,14.75,15.07,627900,14.97
2013-11-12,15.03,15.07,14.82,14.90,263300,14.80
2013-11-11,15.25,15.25,15.06,15.08,409000,14.98
2013-11-08,14.70,15.34,14.70,15.29,623500,15.19
2013-11-07,14.83,14.94,14.62,14.71,465800,14.62
2013-11-06,14.82,14.94,14.69,14.80,414400,14.70
2013-11-05,14.59,14.84,14.46,14.75,782500,14.66
2013-11-04,14.58,14.71,14.46,14.67,542300,14.58
2013-11-01,14.50,14.73,14.37,14.58,758400,14.49
2013-10-31,14.66,14.74,14.53,14.54,651700,14.45
2013-10-30,14.57,14.77,14.43,14.67,690900,14.58
2013-10-29,14.25,14.68,14.25,14.52,963800,14.43
2013-10-28,14.88,15.00,14.74,14.82,478300,14.72
2013-10-25,14.93,14.94,14.77,14.90,402400,14.80
2013-10-24,14.92,14.93,14.77,14.86,608300,14.76
2013-10-23,14.88,15.10,14.66,14.91,401700,14.81
2013-10-22,14.99,15.02,14.84,14.99,289700,14.89
2013-10-21,14.88,15.00,14.73,14.97,358300,14.87
2013-10-18,14.87,14.99,14.64,14.87,608900,14.77
2013-10-17,14.62,14.76,14.43,14.73,441000,14.64
2013-10-16,14.57,14.80,14.42,14.69,308700,14.60
2013-10-15,14.48,14.55,14.35,14.47,326600,14.38
2013-10-14,14.38,14.51,14.32,14.51,318600,14.42
2013-10-11,14.08,14.46,14.02,14.45,357600,14.36
2013-10-10,14.07,14.19,13.98,14.16,265500,14.07
2013-10-09,13.84,13.98,13.79,13.85,297500,13.76
2013-10-08,13.96,14.00,13.79,13.81,359900,13.72
2013-10-07,13.88,14.01,13.77,13.95,355400,13.86
2013-10-04,14.02,14.12,13.96,14.00,246900,13.91
2013-10-03,14.23,14.27,13.98,14.06,627500,13.97
2013-10-02,14.26,14.34,14.08,14.26,442500,14.17
2013-10-01,14.24,14.40,14.09,14.36,398400,14.27
