Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,168.56,169.96,168.51,169.16,14400,169.16
2014-02-21,168.60,168.90,167.89,168.18,13300,168.18
2014-02-20,167.19,168.47,166.55,167.88,9700,167.88
2014-02-19,168.32,168.75,166.68,166.68,21900,166.68
2014-02-18,167.35,168.68,167.03,168.48,59400,168.48
2014-02-14,167.13,167.51,166.39,167.05,49100,167.05
2014-02-13,164.78,167.08,164.01,167.08,41300,167.08
2014-02-12,165.53,166.00,165.09,165.45,34400,165.45
2014-02-11,163.77,165.28,163.68,164.90,33700,164.90
2014-02-10,162.52,163.38,162.35,163.21,15400,163.21
2014-02-07,160.60,162.34,160.23,162.34,33100,162.34
2014-02-06,158.48,159.85,158.48,159.69,17200,159.69
2014-02-05,158.19,158.19,156.07,157.47,46200,157.47
2014-02-04,157.61,159.11,157.58,158.29,25800,158.29
2014-02-03,161.39,161.52,156.72,156.90,52500,156.90
2014-01-31,160.67,162.09,160.00,161.38,44300,161.38
2014-01-30,161.06,162.75,160.99,161.83,38900,161.83
2014-01-29,160.32,160.45,159.01,159.54,21100,159.54
2014-01-28,160.00,161.25,160.00,161.13,14000,161.13
2014-01-27,162.11,162.64,159.30,160.83,92200,160.83
2014-01-24,164.64,164.80,162.18,162.52,36700,162.52
2014-01-23,166.62,166.63,164.92,166.01,38200,166.01
2014-01-22,166.70,167.06,166.29,166.77,10200,166.77
2014-01-21,166.04,166.48,164.77,165.73,11600,165.73
2014-01-17,165.84,165.99,164.65,165.19,13700,165.19
2014-01-16,165.82,168.00,165.17,166.00,16800,166.00
2014-01-15,165.23,165.92,165.23,165.86,15300,165.86
2014-01-14,162.35,164.50,162.35,164.35,14400,164.35
2014-01-13,164.25,164.49,161.02,161.56,24500,161.56
2014-01-10,163.90,164.19,163.00,164.11,6100,164.11
2014-01-09,164.46,164.46,163.00,163.67,23600,163.67
2014-01-08,163.36,163.98,163.36,163.91,9300,163.91
2014-01-07,162.51,163.59,162.51,163.47,15700,163.47
2014-01-06,162.71,162.73,161.42,161.79,26700,161.79
2014-01-03,163.15,163.46,162.20,162.53,15700,162.53
2014-01-02,163.17,163.88,162.60,163.33,73700,163.33
2013-12-31,163.81,164.49,163.70,164.07,12300,164.07
2013-12-30,163.60,163.63,163.02,163.62,16500,163.62
2013-12-27,163.96,164.14,163.42,163.67,21400,163.67
2013-12-26,163.89,163.96,163.82,163.96,16100,163.96
2013-12-24,163.49,163.91,163.00,163.43,9300,163.43
2013-12-23,169.02,169.03,161.70,163.10,43000,163.10
2013-12-20,160.09,161.83,160.08,161.74,10800,161.74
2013-12-19,160.53,160.53,159.65,160.27,17600,159.75
2013-12-18,158.99,160.57,157.28,160.52,13900,160.00
2013-12-17,159.12,159.34,158.02,158.96,12400,158.44
2013-12-16,158.68,159.46,158.40,159.10,8100,158.58
2013-12-13,158.49,158.49,157.70,157.78,13900,157.27
2013-12-12,158.18,158.32,157.32,158.30,12300,157.79
2013-12-11,160.38,160.38,157.71,158.18,33500,157.67
2013-12-10,160.48,160.77,160.20,160.40,9600,159.88
2013-12-09,161.16,162.60,160.39,160.67,13700,160.15
2013-12-06,160.38,160.62,159.58,160.42,10500,159.90
2013-12-05,159.44,159.44,158.71,159.41,4800,158.89
2013-12-04,158.90,159.68,158.11,159.24,12600,158.72
2013-12-03,159.57,159.87,158.67,158.98,6900,158.46
2013-12-02,160.52,160.52,159.55,159.55,8000,159.03
2013-11-29,160.21,160.64,159.00,160.40,8700,159.88
2013-11-27,158.96,159.70,158.57,159.70,10300,159.18
2013-11-26,157.81,158.91,157.71,158.55,5900,158.04
2013-11-25,158.01,158.08,157.48,157.71,5800,157.20
2013-11-22,156.71,157.46,156.71,157.46,6200,156.95
2013-11-21,155.36,156.61,155.36,156.30,4200,155.79
2013-11-20,155.27,155.75,154.29,154.82,8000,154.32
2013-11-19,155.79,156.26,154.71,155.12,10200,154.62
2013-11-18,158.42,158.42,155.27,155.37,26100,154.87
2013-11-15,156.88,157.16,156.50,157.15,7500,156.64
2013-11-14,156.25,156.76,155.85,156.48,18300,155.97
