Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,9.07,9.34,8.87,9.00,546800,9.00
2014-02-21,8.79,9.20,8.54,8.74,850200,8.74
2014-02-20,8.28,8.87,7.75,8.79,3349900,8.79
2014-02-19,13.93,14.19,13.66,13.86,717900,13.86
2014-02-18,14.00,14.32,13.50,13.87,298400,13.87
2014-02-14,13.99,14.17,13.50,13.98,167000,13.98
2014-02-13,13.53,14.12,13.27,14.05,183600,14.05
2014-02-12,14.28,14.31,13.53,13.56,198100,13.56
2014-02-11,14.93,15.10,13.97,14.17,423500,14.17
2014-02-10,15.06,15.40,14.60,14.80,230900,14.80
2014-02-07,14.10,15.20,13.86,15.08,195100,15.08
2014-02-06,14.40,14.61,13.96,14.02,205000,14.02
2014-02-05,14.48,14.54,13.84,14.41,239600,14.41
2014-02-04,14.38,14.94,13.83,14.54,377700,14.54
2014-02-03,15.20,15.34,14.73,15.05,364900,15.05
2014-01-31,15.16,15.16,14.58,15.12,282500,15.12
2014-01-30,13.81,16.22,13.63,15.16,504200,15.16
2014-01-29,13.35,13.73,12.81,13.62,230800,13.62
2014-01-28,12.39,13.57,12.30,13.53,344500,13.53
2014-01-27,11.98,12.25,11.44,11.97,162900,11.97
2014-01-24,12.67,12.99,11.91,12.02,277000,12.02
2014-01-23,13.80,13.80,12.61,12.68,297300,12.68
2014-01-22,14.33,14.67,13.60,13.95,350700,13.95
2014-01-21,13.39,14.36,13.34,14.29,414800,14.29
2014-01-17,12.67,13.45,12.67,13.18,198400,13.18
2014-01-16,12.26,12.75,12.26,12.64,140600,12.64
2014-01-15,12.46,12.66,12.01,12.15,124400,12.15
2014-01-14,12.27,12.83,12.27,12.51,138600,12.51
2014-01-13,12.10,13.09,12.04,12.27,236000,12.27
2014-01-10,11.43,12.10,11.42,11.98,201700,11.98
2014-01-09,11.80,11.80,11.02,11.36,220700,11.36
2014-01-08,11.42,11.55,11.08,11.24,204300,11.24
2014-01-07,11.15,11.43,10.93,11.32,200000,11.32
2014-01-06,11.30,11.75,10.80,11.15,293600,11.15
2014-01-03,11.50,11.60,11.15,11.30,144900,11.30
2014-01-02,11.53,11.66,11.25,11.50,230700,11.50
2013-12-31,12.04,12.41,11.40,11.48,318100,11.48
2013-12-30,11.94,12.13,11.31,11.99,305800,11.99
2013-12-27,12.22,12.29,11.95,11.99,165400,11.99
2013-12-26,12.18,12.48,12.02,12.15,288100,12.15
2013-12-24,12.30,12.46,12.00,12.05,189300,12.05
2013-12-23,12.85,13.05,12.20,12.42,239200,12.42
2013-12-20,13.46,13.85,12.69,12.83,979300,12.83
2013-12-19,13.33,13.86,13.03,13.48,198100,13.48
2013-12-18,14.43,14.75,12.77,13.32,1051000,13.32
2013-12-17,16.21,16.72,15.66,16.38,351500,16.38
2013-12-16,14.54,16.46,14.54,16.08,365500,16.08
2013-12-13,14.68,14.72,13.98,14.59,98800,14.59
2013-12-12,14.02,15.00,14.00,14.68,186800,14.68
2013-12-11,14.84,14.99,13.77,14.00,295000,14.00
2013-12-10,15.05,15.40,14.83,14.91,265500,14.91
2013-12-09,17.19,17.19,14.35,15.06,601100,15.06
2013-12-06,16.54,16.61,16.00,16.22,306500,16.22
2013-12-05,15.70,16.49,15.64,16.36,306000,16.36
2013-12-04,15.37,16.04,15.21,15.73,254200,15.73
2013-12-03,15.26,16.15,15.02,15.37,298800,15.37
2013-12-02,14.70,15.39,14.51,15.20,256300,15.20
2013-11-29,14.42,15.02,14.40,14.67,138700,14.67
2013-11-27,14.19,14.69,14.15,14.34,208000,14.34
2013-11-26,13.75,14.50,13.58,14.17,193900,14.17
2013-11-25,14.29,14.94,12.81,13.70,317500,13.70
2013-11-22,14.75,15.34,14.15,14.22,242000,14.22
2013-11-21,15.19,15.19,14.25,14.57,309600,14.57
2013-11-20,13.15,15.40,13.15,15.21,701500,15.21
2013-11-19,12.25,13.08,12.25,13.01,750300,13.01
2013-11-18,12.03,12.57,11.73,11.75,247600,11.75
2013-11-15,12.02,12.46,11.75,11.97,251200,11.97
2013-11-14,13.14,13.51,11.85,12.00,345400,12.00
2013-11-13,12.93,13.19,12.39,13.15,244900,13.15
2013-11-12,13.30,13.50,12.65,13.07,216900,13.07
2013-11-11,12.97,13.81,12.03,13.39,337400,13.39
2013-11-08,13.31,14.24,12.80,12.97,250900,12.97
2013-11-07,15.56,15.60,13.16,13.25,576900,13.25
2013-11-06,16.43,16.68,15.31,15.35,235900,15.35
2013-11-05,14.85,16.91,14.60,16.30,479000,16.30
2013-11-04,15.00,15.33,14.53,14.86,187800,14.86
2013-11-01,15.92,15.92,14.67,14.98,328900,14.98
2013-10-31,16.37,16.61,15.35,15.74,197400,15.74
2013-10-30,17.91,18.00,16.27,16.35,328100,16.35
2013-10-29,17.73,18.66,17.38,17.94,582200,17.94
2013-10-28,15.69,16.95,15.69,16.68,388400,16.68
2013-10-25,16.62,16.84,15.12,15.69,385500,15.69
2013-10-24,18.04,18.04,16.41,16.66,272900,16.66
2013-10-23,18.83,19.14,17.25,17.65,227400,17.65
2013-10-22,19.94,19.96,18.25,18.77,244000,18.77
2013-10-21,20.75,21.33,19.65,19.94,190800,19.94
2013-10-18,21.94,22.80,20.50,20.68,261700,20.68
2013-10-17,21.85,22.24,21.63,21.94,81400,21.94
2013-10-16,22.00,22.60,20.72,21.85,223300,21.85
2013-10-15,22.64,23.08,21.70,21.96,160800,21.96
2013-10-14,23.76,23.98,22.49,22.64,238900,22.64
2013-10-11,24.60,24.92,23.76,23.98,171700,23.98
2013-10-10,24.95,25.15,24.08,24.58,145600,24.58
2013-10-09,26.64,26.64,24.06,24.51,217500,24.51
2013-10-08,27.38,27.86,26.00,26.64,89900,26.64
2013-10-07,28.80,29.20,27.36,27.71,74400,27.71
2013-10-04,29.30,31.13,29.09,29.14,181700,29.14
2013-10-03,27.51,28.99,26.88,28.81,88400,28.81
2013-10-02,26.53,27.65,25.98,27.42,79600,27.42
2013-10-01,26.39,27.37,26.39,26.78,87800,26.78
2013-09-30,26.12,26.65,25.16,26.47,770000,26.47
2013-09-27,27.99,28.48,25.75,26.88,114400,26.88
2013-09-26,26.33,27.94,26.33,27.75,147200,27.75
2013-09-25,24.59,26.45,24.25,26.20,171400,26.20
2013-09-24,24.87,25.13,24.30,24.41,32300,24.41
2013-09-23,24.50,25.20,24.20,25.01,95700,25.01
2013-09-20,25.15,25.33,24.51,24.66,184100,24.66
2013-09-19,24.98,25.32,24.70,25.19,61200,25.19
2013-09-18,24.33,25.04,24.20,24.98,74500,24.98
2013-09-17,25.26,25.40,24.20,24.74,57200,24.74
2013-09-16,25.59,25.59,24.50,25.15,64800,25.15
2013-09-13,25.14,25.33,24.12,25.00,82200,25.00
2013-09-12,25.34,25.83,24.16,24.90,110000,24.90
2013-09-11,26.40,26.40,24.78,25.25,71200,25.25
2013-09-10,26.83,27.05,26.27,26.40,57800,26.40
2013-09-09,26.10,27.11,25.67,26.53,85800,26.53
2013-09-06,26.40,26.40,24.75,26.02,83600,26.02
2013-09-05,25.52,26.15,25.26,25.70,78400,25.70
2013-09-04,25.00,26.29,24.77,25.21,72400,25.21
2013-09-03,24.98,25.57,23.85,25.05,75600,25.05
2013-08-30,25.84,25.85,24.34,24.34,39500,24.34
2013-08-29,25.67,26.34,24.71,24.73,73500,24.73
2013-08-28,25.16,26.00,24.51,25.36,45400,25.36
2013-08-27,26.95,27.00,24.90,25.22,86700,25.22
2013-08-26,27.32,27.84,27.03,27.16,44800,27.16
2013-08-23,26.26,27.61,26.08,26.98,90700,26.98
2013-08-22,25.10,26.25,25.10,25.76,58400,25.76
2013-08-21,25.77,25.77,24.07,24.96,80200,24.96
2013-08-20,24.51,24.95,24.00,24.35,79900,24.35
2013-08-19,25.31,26.00,23.91,24.41,199800,24.41
2013-08-16,27.12,27.77,25.61,25.69,196900,25.69
2013-08-15,27.37,27.99,26.01,27.00,89000,27.00
