Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,35.81,36.10,34.81,35.16,105200,35.16
2014-02-21,35.96,36.37,35.50,35.64,127200,35.64
2014-02-20,36.00,36.46,35.25,35.66,152100,35.66
2014-02-19,37.00,37.81,35.11,36.05,239300,36.05
2014-02-18,34.86,37.60,34.76,37.07,373700,37.07
2014-02-14,35.00,35.00,33.66,34.43,344800,34.43
2014-02-13,33.97,34.78,33.28,34.75,161500,34.75
2014-02-12,32.28,34.42,32.24,34.04,1570400,34.04
2014-02-11,32.36,33.33,31.20,32.65,176200,32.65
2014-02-10,31.39,33.31,30.98,32.38,109800,32.38
2014-02-07,30.39,31.95,30.26,31.86,132200,31.86
2014-02-06,30.36,30.59,29.92,30.41,69500,30.41
2014-02-05,30.35,30.63,29.01,30.39,133100,30.39
2014-02-04,30.64,31.00,29.95,30.51,98000,30.51
2014-02-03,30.91,32.00,29.32,30.51,163200,30.51
2014-01-31,30.71,31.37,29.54,30.89,127500,30.89
2014-01-30,30.86,31.28,30.80,31.16,65900,31.16
2014-01-29,30.71,31.06,29.47,30.70,129600,30.70
2014-01-28,30.17,31.25,29.12,31.05,148200,31.05
2014-01-27,30.99,31.17,28.60,30.09,178000,30.09
2014-01-24,31.03,31.84,29.97,30.80,186900,30.80
2014-01-23,30.79,31.60,30.10,31.18,103800,31.18
2014-01-22,31.20,31.32,29.67,30.73,105300,30.73
2014-01-21,30.16,31.75,30.09,31.18,217200,31.18
2014-01-17,31.00,31.00,29.45,29.87,337500,29.87
2014-01-16,30.98,31.24,30.21,30.97,90600,30.97
2014-01-15,31.02,31.24,30.50,30.98,62400,30.98
2014-01-14,30.70,31.17,29.96,31.01,192400,31.01
2014-01-13,31.42,32.13,30.55,30.68,85800,30.68
2014-01-10,31.00,32.25,30.50,31.40,118300,31.40
2014-01-09,31.67,32.44,30.92,31.14,128600,31.14
2014-01-08,30.88,32.50,30.88,31.64,93500,31.64
2014-01-07,31.25,31.40,30.28,31.00,152400,31.00
2014-01-06,32.62,32.67,30.93,31.15,126700,31.15
2014-01-03,31.49,32.46,31.12,32.32,68800,32.32
2014-01-02,32.12,32.55,30.77,31.29,67000,31.29
2013-12-31,31.95,32.65,31.30,32.35,156400,32.35
2013-12-30,32.54,32.59,31.59,31.89,119900,31.89
2013-12-27,31.11,32.86,31.11,32.30,86200,32.30
2013-12-26,32.04,33.00,30.76,30.99,77700,30.99
2013-12-24,32.66,32.99,31.24,32.37,45800,32.37
2013-12-23,31.58,33.34,30.99,32.70,175500,32.70
2013-12-20,32.09,32.26,30.00,31.02,1598900,31.02
2013-12-19,31.69,32.49,31.16,32.11,152700,32.11
2013-12-18,32.09,32.09,30.41,31.63,242700,31.63
2013-12-17,32.24,32.58,31.00,32.00,225200,32.00
2013-12-16,30.93,33.42,30.93,32.23,310200,32.23
2013-12-13,29.89,31.11,29.74,30.89,128600,30.89
2013-12-12,28.62,30.22,28.14,29.68,81700,29.68
2013-12-11,28.40,29.61,27.77,28.78,87600,28.78
2013-12-10,29.80,30.19,28.33,28.51,135400,28.51
2013-12-09,30.80,31.36,29.59,29.81,151700,29.81
2013-12-06,29.11,31.93,28.99,30.00,201300,30.00
2013-12-05,28.32,29.87,28.23,28.91,125900,28.91
2013-12-04,27.00,28.91,26.54,28.09,124400,28.09
2013-12-03,28.14,28.42,26.05,26.97,74800,26.97
2013-12-02,28.25,29.60,28.09,28.41,104600,28.41
2013-11-29,26.80,28.58,26.80,28.25,86600,28.25
2013-11-27,27.29,27.75,26.41,26.65,92000,26.65
2013-11-26,25.70,27.36,25.70,27.09,100500,27.09
2013-11-25,25.39,25.84,25.16,25.62,16000,25.62
2013-11-22,24.65,26.27,23.66,25.47,70800,25.47
2013-11-21,24.63,25.43,23.54,24.68,134800,24.68
2013-11-20,23.90,25.80,23.44,24.62,451300,24.62
2013-11-19,25.16,25.49,23.55,23.88,99500,23.88
2013-11-18,23.84,24.61,22.61,24.49,189700,24.49
2013-11-15,24.66,25.20,23.25,23.69,208300,23.69
2013-11-14,26.00,27.22,23.60,24.64,310600,24.64
2013-11-13,26.50,26.75,23.30,26.00,632400,26.00
2013-11-12,28.62,31.20,26.02,26.49,178400,26.49
2013-11-11,27.57,29.37,27.00,28.52,61400,28.52
2013-11-08,27.35,28.54,26.80,27.50,91800,27.50
2013-11-07,28.53,28.53,26.14,27.00,257600,27.00
2013-11-06,31.94,31.94,28.02,28.72,253000,28.72
2013-11-05,30.98,32.20,29.75,30.50,117700,30.50
2013-11-04,32.13,32.74,29.75,31.34,339300,31.34
2013-11-01,33.21,34.00,31.65,32.35,194100,32.35
2013-10-31,33.88,34.00,31.52,33.52,164000,33.52
2013-10-30,34.31,34.49,33.14,33.75,130800,33.75
2013-10-29,34.23,36.36,33.55,34.01,98600,34.01
2013-10-28,35.24,35.75,33.19,34.37,98000,34.37
2013-10-25,34.91,34.93,33.08,34.00,288100,34.00
2013-10-24,33.09,36.60,33.09,34.93,314400,34.93
2013-10-23,33.62,34.35,32.16,33.27,138700,33.27
2013-10-22,34.25,34.25,32.00,33.08,269500,33.08
2013-10-21,31.32,32.95,30.28,32.67,784700,32.67
2013-10-18,28.67,30.26,28.56,29.25,49600,29.25
2013-10-17,29.25,29.25,28.08,28.75,156400,28.75
2013-10-16,27.97,29.05,27.11,29.00,117400,29.00
2013-10-15,28.00,28.23,27.25,27.59,68300,27.59
2013-10-14,27.24,27.97,27.10,27.81,73400,27.81
2013-10-11,26.80,27.97,26.53,27.63,300700,27.63
2013-10-10,28.50,29.75,26.00,27.38,462100,27.38
2013-10-09,28.98,28.98,25.77,28.22,422900,28.22
