Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,17.29,17.41,17.22,17.37,316900,17.37
2014-02-21,17.20,17.61,17.14,17.33,334400,17.33
2014-02-20,17.63,17.81,17.27,17.29,274200,17.29
2014-02-19,18.38,18.60,17.27,17.65,1411100,17.65
2014-02-18,17.01,17.04,16.57,16.88,728000,16.88
2014-02-14,16.63,16.89,16.58,16.85,239700,16.85
2014-02-13,16.39,16.82,16.12,16.69,353700,16.69
2014-02-12,16.96,17.13,16.47,16.51,362400,16.51
2014-02-11,16.74,17.09,16.62,16.89,254600,16.89
2014-02-10,16.85,17.03,16.60,16.72,227200,16.72
2014-02-07,16.74,17.06,16.57,16.89,250900,16.89
2014-02-06,16.54,17.04,16.50,16.68,395500,16.68
2014-02-05,16.86,16.93,16.29,16.53,410300,16.53
2014-02-04,16.81,17.08,16.62,16.93,384600,16.93
2014-02-03,17.15,17.39,16.54,16.79,719200,16.79
2014-01-31,17.04,17.23,17.00,17.14,445200,17.14
2014-01-30,17.08,17.44,16.98,17.24,289400,17.24
2014-01-29,17.29,17.45,16.95,17.02,385000,17.02
2014-01-28,17.52,17.55,16.92,17.46,658200,17.46
2014-01-27,17.56,17.71,17.21,17.53,294700,17.53
2014-01-24,17.72,17.72,17.25,17.54,703200,17.54
2014-01-23,18.58,18.58,17.35,17.75,1427500,17.75
2014-01-22,18.05,18.68,17.95,18.68,389300,18.68
2014-01-21,18.06,18.10,17.69,17.88,468200,17.88
2014-01-17,18.20,18.40,17.93,18.06,296400,18.06
2014-01-16,18.73,18.84,18.21,18.26,393500,18.26
2014-01-15,18.43,18.81,18.29,18.73,307900,18.73
2014-01-14,18.49,18.58,18.44,18.51,277000,18.51
2014-01-13,19.03,19.10,18.43,18.51,312800,18.51
2014-01-10,18.94,19.15,18.81,19.02,194000,19.02
2014-01-09,18.98,19.09,18.76,18.99,424300,18.99
2014-01-08,19.29,19.33,18.82,19.02,240900,19.02
2014-01-07,19.41,19.48,19.25,19.31,253700,19.31
2014-01-06,19.37,19.45,19.16,19.36,354500,19.36
2014-01-03,19.15,19.31,19.12,19.30,418200,19.30
2014-01-02,19.21,19.28,19.00,19.08,492800,19.08
2013-12-31,18.92,19.30,18.92,19.25,437900,19.25
2013-12-30,19.19,19.35,18.92,18.94,172100,18.94
2013-12-27,19.20,19.26,19.05,19.14,201800,19.14
2013-12-26,19.20,19.37,19.10,19.14,394000,19.14
2013-12-24,18.80,19.30,18.74,19.20,232700,19.20
2013-12-23,18.70,18.88,18.64,18.77,286600,18.77
2013-12-20,18.75,18.85,18.56,18.65,709000,18.65
2013-12-19,18.70,18.86,18.42,18.75,516900,18.75
2013-12-18,18.89,18.96,18.46,18.75,496000,18.75
2013-12-17,19.20,19.30,18.73,18.89,537400,18.89
2013-12-16,19.27,19.49,19.14,19.21,252200,19.21
2013-12-13,19.39,19.41,19.16,19.22,415700,19.22
2013-12-12,19.01,19.50,18.96,19.36,442900,19.36
2013-12-11,19.62,19.69,19.05,19.11,368700,19.11
2013-12-10,19.81,19.91,19.57,19.65,463200,19.65
2013-12-09,20.49,20.49,19.78,19.92,351000,19.92
2013-12-06,20.59,20.65,20.42,20.54,245700,20.54
2013-12-05,20.69,20.69,20.46,20.53,416400,20.53
2013-12-04,20.45,20.66,20.40,20.60,413700,20.60
2013-12-03,20.64,20.70,20.45,20.51,214700,20.51
2013-12-02,20.81,20.85,20.55,20.64,233800,20.64
2013-11-29,20.82,20.97,20.80,20.83,189700,20.83
2013-11-27,20.68,20.81,20.58,20.73,115000,20.73
2013-11-26,20.43,20.72,20.43,20.70,234000,20.70
2013-11-25,20.58,20.60,20.40,20.48,806500,20.48
2013-11-22,20.55,20.67,20.50,20.63,169200,20.63
2013-11-21,20.73,20.81,20.48,20.58,215700,20.58
2013-11-20,20.60,20.74,20.48,20.59,189900,20.59
2013-11-19,20.59,20.64,20.47,20.50,337400,20.50
2013-11-18,20.74,20.83,20.50,20.59,522600,20.59
2013-11-15,20.68,20.76,20.48,20.73,231200,20.73
2013-11-14,20.44,20.73,20.34,20.71,753900,20.71
2013-11-13,20.30,20.57,20.18,20.52,363900,20.52
2013-11-12,20.43,20.43,20.13,20.28,466400,20.28
2013-11-11,20.09,20.54,20.07,20.45,775600,20.45
2013-11-08,20.33,20.50,20.05,20.09,539100,20.09
2013-11-07,20.34,20.45,20.01,20.28,419100,20.28
2013-11-06,20.30,20.46,19.75,20.22,842900,20.22
2013-11-05,19.79,20.58,19.49,20.25,4636000,20.25
2013-11-04,17.90,18.14,17.71,18.05,798400,18.05
2013-11-01,17.56,17.87,17.34,17.71,438200,17.71
2013-10-31,17.75,17.87,17.52,17.53,687900,17.53
2013-10-30,18.49,18.61,17.71,17.77,449300,17.77
2013-10-29,18.55,18.64,18.39,18.55,168800,18.55
2013-10-28,18.68,18.72,18.28,18.59,185300,18.59
2013-10-25,18.50,18.72,18.32,18.67,130200,18.67
2013-10-24,18.66,18.66,17.97,18.48,277400,18.48
2013-10-23,18.73,18.80,18.16,18.64,214300,18.64
2013-10-22,18.50,18.81,18.46,18.80,220600,18.80
2013-10-21,18.70,18.84,18.43,18.51,163300,18.51
2013-10-18,18.38,18.76,18.17,18.69,235700,18.69
2013-10-17,18.22,18.56,18.20,18.28,97800,18.28
2013-10-16,18.13,18.33,18.00,18.20,161300,18.20
2013-10-15,18.34,18.45,18.00,18.11,159200,18.11
2013-10-14,18.44,18.52,18.32,18.37,155300,18.37
2013-10-11,18.53,18.55,18.32,18.52,246900,18.52
2013-10-10,18.62,18.67,18.40,18.54,496800,18.54
2013-10-09,18.68,18.94,18.25,18.50,397900,18.50
2013-10-08,19.01,19.10,18.57,18.73,471400,18.73
2013-10-07,18.70,19.25,18.54,18.95,491200,18.95
2013-10-04,18.67,18.83,18.45,18.80,99300,18.80
2013-10-03,18.34,18.71,18.12,18.57,181100,18.57
2013-10-02,18.18,18.46,18.10,18.31,147600,18.31
2013-10-01,18.12,18.50,18.04,18.24,206000,18.24
2013-09-30,18.11,18.30,17.81,18.20,326700,18.20
2013-09-27,18.46,18.46,18.03,18.31,153000,18.31
2013-09-26,18.70,18.71,18.33,18.53,138000,18.53
2013-09-25,18.01,18.75,18.01,18.64,297900,18.64
2013-09-24,18.03,18.21,17.85,18.00,90300,18.00
2013-09-23,18.15,18.40,17.98,18.04,216500,18.04
2013-09-20,18.51,18.52,18.10,18.20,171400,18.20
2013-09-19,18.50,18.68,18.38,18.55,352500,18.55
2013-09-18,18.46,18.65,18.27,18.43,232800,18.43
2013-09-17,18.65,18.80,18.48,18.50,143400,18.50
2013-09-16,18.61,18.81,18.45,18.65,156900,18.65
2013-09-13,18.68,18.84,18.49,18.54,112700,18.54
2013-09-12,18.77,19.05,18.60,18.65,381900,18.65
2013-09-11,18.73,19.30,18.62,18.85,730900,18.85
2013-09-10,18.52,18.79,18.34,18.58,207900,18.58
2013-09-09,18.63,18.80,18.43,18.57,440100,18.57
2013-09-06,18.42,18.78,18.27,18.65,321900,18.65
2013-09-05,18.40,18.50,18.35,18.38,213600,18.38
2013-09-04,17.94,18.45,17.94,18.35,239600,18.35
2013-09-03,17.57,18.20,17.46,18.02,454200,18.02
2013-08-30,17.57,17.60,17.38,17.44,56900,17.44
2013-08-29,17.44,17.61,17.40,17.50,134100,17.50
2013-08-28,17.58,17.71,17.40,17.41,148300,17.41
2013-08-27,17.33,17.60,17.29,17.43,253800,17.43
2013-08-26,17.27,17.66,17.27,17.51,163000,17.51
2013-08-23,17.75,17.75,17.25,17.26,217800,17.26
2013-08-22,17.40,17.74,17.33,17.68,148700,17.68
2013-08-21,17.55,17.55,17.02,17.04,120100,17.04
2013-08-20,17.07,17.60,17.00,17.56,141300,17.56
2013-08-19,17.37,17.37,17.00,17.03,194500,17.03
2013-08-16,17.73,17.73,17.32,17.34,235500,17.34
2013-08-15,17.73,17.81,17.41,17.73,213400,17.73
2013-08-14,17.82,17.95,17.80,17.84,193800,17.84
2013-08-13,18.53,18.53,17.86,17.88,164700,17.88
2013-08-12,18.52,18.59,18.34,18.47,166000,18.47
2013-08-09,18.41,18.79,18.41,18.54,740800,18.54
2013-08-08,18.22,18.75,18.10,18.60,1020200,18.60
2013-08-07,17.72,17.98,17.35,17.57,418700,17.57
2013-08-06,17.41,17.72,17.41,17.70,163000,17.70
2013-08-05,17.04,17.42,16.94,17.38,454000,17.38
2013-08-02,17.04,17.14,16.98,17.00,305800,17.00
2013-08-01,17.17,17.20,16.87,17.01,2230600,17.01
2013-07-31,17.00,17.28,16.75,17.01,313400,17.01
