Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,30.54,30.91,30.54,30.61,102600,30.61
2014-02-21,30.78,30.86,30.45,30.60,98700,30.60
2014-02-20,30.24,30.78,30.24,30.62,76900,30.62
2014-02-19,30.83,30.95,30.33,30.36,72500,30.36
2014-02-18,30.88,30.98,30.61,30.84,140700,30.84
2014-02-14,30.29,30.75,29.86,30.62,106800,30.62
2014-02-13,29.05,30.35,28.71,30.29,128500,30.29
2014-02-12,29.99,29.99,29.15,29.32,155800,29.32
2014-02-11,29.14,30.50,29.14,29.99,350100,29.69
2014-02-10,27.35,27.77,27.03,27.67,167800,27.39
2014-02-07,27.21,27.34,27.00,27.23,82900,26.95
2014-02-06,27.19,27.50,27.01,27.21,105800,26.94
2014-02-05,27.25,27.49,27.01,27.06,97900,26.79
2014-02-04,27.39,27.60,27.03,27.28,99400,27.00
2014-02-03,27.85,28.10,26.96,27.32,135400,27.04
2014-01-31,27.88,28.46,27.77,27.84,101600,27.56
2014-01-30,28.16,28.72,28.02,28.34,90700,28.05
2014-01-29,28.00,28.25,27.74,27.93,77700,27.65
2014-01-28,28.31,28.31,28.00,28.11,106900,27.83
2014-01-27,28.36,28.46,28.20,28.32,61300,28.03
2014-01-24,28.42,28.67,28.09,28.34,104600,28.05
2014-01-23,28.35,28.72,28.20,28.67,90200,28.38
2014-01-22,28.37,28.47,28.13,28.39,49600,28.10
2014-01-21,28.32,28.43,28.05,28.41,83700,28.12
2014-01-17,28.42,28.42,28.11,28.24,43100,27.95
2014-01-16,28.48,28.70,28.14,28.37,48000,28.08
2014-01-15,28.61,28.85,28.35,28.40,66800,28.11
2014-01-14,28.50,28.90,28.26,28.61,53800,28.32
2014-01-13,28.57,28.74,28.11,28.34,73300,28.05
2014-01-10,28.79,29.13,28.20,28.63,75700,28.34
2014-01-09,28.88,28.88,28.40,28.73,53200,28.44
2014-01-08,28.81,28.88,28.33,28.70,133400,28.41
2014-01-07,28.81,29.07,28.55,28.76,45400,28.47
2014-01-06,28.90,28.90,28.51,28.67,111100,28.38
2014-01-03,28.81,28.99,28.63,28.74,114000,28.45
2014-01-02,29.24,29.24,28.56,28.78,62000,28.49
2013-12-31,29.55,29.65,29.21,29.27,80500,28.97
2013-12-30,29.79,29.79,29.25,29.48,41500,29.18
2013-12-27,30.01,30.04,29.55,29.89,36600,29.59
2013-12-26,29.91,30.03,29.76,29.88,57000,29.58
2013-12-24,29.75,30.00,29.57,29.85,26400,29.55
2013-12-23,29.59,29.94,29.59,29.80,71400,29.50
2013-12-20,28.90,29.66,28.89,29.53,334100,29.23
2013-12-19,29.20,29.20,28.57,28.76,54100,28.47
2013-12-18,28.78,29.37,28.46,29.28,98800,28.98
2013-12-17,29.00,29.00,28.55,28.66,41300,28.37
2013-12-16,28.62,29.00,28.62,28.96,77000,28.67
2013-12-13,28.65,28.97,28.54,28.56,71600,28.27
2013-12-12,27.98,28.81,27.98,28.56,91900,28.27
2013-12-11,28.58,28.64,27.78,27.97,108400,27.69
2013-12-10,28.47,28.71,28.20,28.44,102400,28.15
2013-12-09,28.71,28.71,28.30,28.63,92000,28.34
2013-12-06,28.60,28.84,28.25,28.71,88200,28.42
2013-12-05,28.53,28.62,28.23,28.43,83700,28.14
2013-12-04,28.37,28.76,28.09,28.55,46700,28.26
2013-12-03,28.89,29.07,28.41,28.61,104900,28.32
2013-12-02,29.61,29.62,28.06,29.00,187400,28.71
2013-11-29,29.85,29.90,29.50,29.56,29600,29.26
2013-11-27,29.66,29.77,29.41,29.64,40800,29.34
2013-11-26,29.68,29.79,29.37,29.55,45100,29.25
2013-11-25,29.52,29.82,29.52,29.70,75000,29.40
2013-11-22,29.37,29.61,29.16,29.52,80000,29.22
2013-11-21,29.24,29.68,29.20,29.37,79600,29.07
2013-11-20,29.49,29.61,29.10,29.20,50000,28.90
2013-11-19,29.70,29.81,29.30,29.44,47700,29.14
2013-11-18,29.74,29.84,29.48,29.60,60800,29.30
2013-11-15,29.59,29.72,29.44,29.70,109400,29.40
2013-11-14,29.69,29.81,29.51,29.64,46800,29.34
2013-11-13,29.34,29.76,29.21,29.76,61500,29.46
2013-11-12,30.36,30.38,29.83,29.90,102400,29.30
2013-11-11,30.55,30.83,30.31,30.39,84300,29.78
2013-11-08,30.16,30.70,29.78,30.64,88700,30.03
2013-11-07,30.80,30.89,30.17,30.18,83400,29.58
2013-11-06,30.70,30.95,30.58,30.74,60300,30.13
2013-11-05,29.75,30.87,29.72,30.52,134500,29.91
2013-11-04,29.67,29.96,29.36,29.71,92300,29.12
2013-11-01,29.70,29.95,29.21,29.67,152700,29.08
2013-10-31,29.64,30.04,29.25,29.83,130700,29.24
2013-10-30,30.00,30.00,29.62,29.64,51500,29.05
2013-10-29,30.00,30.00,29.72,29.94,38200,29.34
2013-10-28,29.91,29.98,29.51,29.95,59900,29.35
2013-10-25,29.62,29.88,29.41,29.88,44900,29.28
2013-10-24,29.79,29.94,29.42,29.50,77000,28.91
2013-10-23,29.59,30.00,29.53,29.81,65800,29.22
2013-10-22,29.66,29.99,29.16,29.83,57000,29.24
2013-10-21,29.32,29.56,29.09,29.31,56600,28.73
2013-10-18,29.21,29.41,28.97,29.40,97900,28.81
2013-10-17,28.08,28.92,28.08,28.88,68400,28.30
2013-10-16,28.18,28.35,28.00,28.27,52800,27.71
2013-10-15,28.67,28.67,27.91,28.00,66400,27.44
2013-10-14,28.65,28.70,28.19,28.68,47500,28.11
2013-10-11,28.04,28.82,27.87,28.76,62600,28.19
2013-10-10,28.08,28.25,27.80,28.16,49900,27.60
2013-10-09,27.00,27.80,26.95,27.68,102500,27.13
2013-10-08,26.98,27.25,26.90,26.90,87600,26.36
2013-10-07,26.80,27.23,26.80,27.02,56700,26.48
2013-10-04,26.94,27.19,26.93,27.03,38400,26.49
2013-10-03,27.37,27.56,26.88,27.01,81900,26.47
2013-10-02,27.51,27.63,27.36,27.49,56500,26.94
2013-10-01,27.55,27.82,27.52,27.66,63300,27.11
2013-09-30,27.35,27.68,27.13,27.60,85300,27.05
2013-09-27,27.92,28.18,27.75,27.77,38000,27.22
2013-09-26,28.24,28.40,27.99,28.18,32100,27.62
2013-09-25,28.69,28.72,28.20,28.20,39300,27.64
2013-09-24,28.45,28.93,28.19,28.59,54800,28.02
2013-09-23,27.97,28.66,27.97,28.45,55900,27.88
2013-09-20,28.00,28.16,27.70,28.06,143400,27.50
2013-09-19,28.25,28.27,27.81,28.00,62600,27.44
2013-09-18,27.30,28.39,27.16,28.24,114900,27.68
2013-09-17,27.27,27.61,27.13,27.32,76300,26.78
2013-09-16,27.59,27.72,27.20,27.27,51500,26.73
2013-09-13,27.04,27.26,26.89,27.09,37900,26.55
2013-09-12,27.11,27.32,26.86,26.89,42800,26.35
2013-09-11,27.14,27.47,27.07,27.13,73100,26.59
2013-09-10,26.93,27.25,26.74,27.24,87500,26.70
2013-09-09,26.45,26.86,26.34,26.85,62100,26.31
2013-09-06,26.43,26.61,26.13,26.40,52500,25.87
2013-09-05,26.32,26.56,25.84,26.26,144000,25.74
2013-09-04,26.20,26.33,26.05,26.24,61200,25.72
2013-09-03,26.65,26.65,26.01,26.21,65700,25.69
2013-08-30,26.81,26.91,26.10,26.28,91900,25.76
2013-08-29,26.83,26.95,26.71,26.91,59500,26.37
2013-08-28,26.85,27.05,26.66,26.81,64000,26.28
2013-08-27,26.92,27.25,26.81,26.88,62400,26.34
2013-08-26,28.00,28.00,27.23,27.33,45100,26.79
2013-08-23,27.80,27.94,27.50,27.91,55400,27.35
2013-08-22,27.75,28.00,27.33,27.81,45400,27.26
2013-08-21,27.85,28.11,27.48,27.63,66600,27.08
2013-08-20,27.35,28.09,27.03,27.95,85000,27.39
2013-08-19,27.68,27.71,26.64,27.25,121300,26.71
2013-08-16,27.81,27.90,27.25,27.77,106300,27.22
2013-08-15,28.55,28.87,27.94,28.01,83800,27.45
2013-08-14,28.86,29.00,28.60,28.93,63200,28.35
2013-08-13,28.97,29.10,28.58,28.86,70700,28.28
2013-08-12,28.75,29.18,28.75,29.16,66500,28.29
2013-08-09,29.08,29.26,28.93,28.95,47500,28.08
2013-08-08,29.08,29.30,28.84,29.19,49600,28.32
2013-08-07,29.10,29.58,28.66,28.81,129200,27.95
2013-08-06,30.00,31.79,29.03,29.24,120100,28.37
2013-08-05,31.07,31.33,30.84,31.20,56200,30.27
2013-08-02,31.14,31.32,31.00,31.21,42800,30.28
2013-08-01,30.88,31.25,30.79,31.21,77600,30.28
2013-07-31,31.07,31.22,30.37,30.59,99200,29.67
2013-07-30,31.23,31.23,30.69,31.05,70600,30.12
2013-07-29,31.48,31.48,30.93,31.19,67400,30.26
2013-07-26,31.30,31.65,31.26,31.51,36500,30.57
2013-07-25,30.77,31.66,30.37,31.63,99800,30.68
2013-07-24,31.72,31.72,30.80,30.93,64300,30.00
2013-07-23,31.70,31.88,31.34,31.64,61400,30.69
2013-07-22,31.50,31.85,31.47,31.66,53500,30.71
2013-07-19,31.46,31.70,31.21,31.70,60900,30.75
2013-07-18,31.28,31.65,31.23,31.63,80300,30.68
2013-07-17,31.00,31.37,30.78,31.32,63600,30.38
2013-07-16,30.54,30.99,30.33,30.93,103700,30.00
2013-07-15,30.00,30.67,29.87,30.57,79000,29.66
2013-07-12,29.92,30.13,29.75,30.07,77900,29.17
2013-07-11,29.91,30.08,29.36,30.05,86200,29.15
2013-07-10,29.29,29.62,29.08,29.57,62800,28.69
2013-07-09,29.02,29.41,28.76,29.39,86400,28.51
2013-07-08,29.28,29.63,28.93,28.95,96300,28.08
2013-07-05,28.96,29.26,28.42,29.24,79100,28.37
2013-07-03,28.24,28.75,28.23,28.57,35100,27.72
2013-07-02,28.23,28.70,28.02,28.44,56700,27.59
2013-07-01,28.44,28.44,28.05,28.33,99400,27.48
2013-06-28,28.09,28.58,27.90,28.40,311200,27.55
2013-06-27,27.75,28.31,27.75,28.23,93200,27.39
2013-06-26,28.00,28.00,27.60,27.62,40800,26.79
2013-06-25,27.51,27.85,27.19,27.77,77500,26.94
2013-06-24,27.13,27.63,27.00,27.29,106700,26.47
2013-06-21,27.10,27.37,26.50,27.31,246100,26.49
2013-06-20,27.55,27.70,26.90,27.01,115700,26.20
2013-06-19,28.76,28.78,27.95,27.95,49300,27.11
2013-06-18,28.19,28.74,27.77,28.68,108900,27.82
2013-06-17,27.97,28.17,27.91,28.09,81200,27.25
2013-06-14,28.09,28.14,27.66,27.76,94400,26.93
2013-06-13,27.85,28.24,27.51,28.19,73700,27.35
