Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,0.95,0.97,0.94,0.94,82200,0.94
2014-02-21,0.99,1.01,0.94,0.97,85600,0.97
2014-02-20,1.00,1.02,0.99,0.99,62100,0.99
2014-02-19,1.05,1.06,0.99,0.99,105400,0.99
2014-02-18,1.08,1.08,1.00,1.06,216000,1.06
2014-02-14,1.09,1.09,1.01,1.01,356600,1.01
2014-02-13,1.10,1.10,1.03,1.10,308900,1.10
2014-02-12,1.00,1.16,1.00,1.13,1449700,1.13
2014-02-11,1.03,1.03,0.96,0.97,131600,0.97
2014-02-10,0.99,1.04,0.99,1.02,315900,1.02
2014-02-07,0.95,1.01,0.95,1.00,412800,1.00
2014-02-06,0.89,0.98,0.87,0.96,257900,0.96
2014-02-05,0.91,0.91,0.87,0.91,131100,0.91
2014-02-04,0.91,0.93,0.85,0.93,136900,0.93
2014-02-03,0.90,0.93,0.85,0.93,191900,0.93
2014-01-31,0.91,0.95,0.88,0.89,198500,0.89
2014-01-30,0.97,0.97,0.90,0.95,273800,0.95
2014-01-29,1.01,1.01,0.92,0.95,143200,0.95
2014-01-28,1.03,1.04,0.98,1.01,174000,1.01
2014-01-27,1.08,1.08,1.00,1.02,597600,1.02
2014-01-24,1.06,1.06,0.96,1.01,132500,1.01
2014-01-23,1.06,1.07,1.04,1.04,104900,1.04
2014-01-22,1.04,1.09,1.03,1.07,431500,1.07
2014-01-21,1.04,1.05,1.01,1.04,102500,1.04
2014-01-17,1.04,1.05,1.00,1.01,84300,1.01
2014-01-16,1.02,1.05,1.02,1.04,33200,1.04
2014-01-15,1.00,1.05,0.99,1.05,41100,1.05
2014-01-14,1.00,1.06,1.00,1.02,65300,1.02
2014-01-13,1.06,1.09,1.02,1.04,77700,1.04
2014-01-10,1.10,1.10,1.02,1.06,42200,1.06
2014-01-09,1.08,1.14,1.06,1.09,348700,1.09
2014-01-08,1.06,1.10,1.04,1.08,31200,1.08
2014-01-07,1.09,1.10,1.07,1.08,46000,1.08
2014-01-06,1.02,1.10,1.02,1.09,147600,1.09
2014-01-03,0.99,1.02,0.98,1.01,136500,1.01
2014-01-02,0.98,1.00,0.93,0.99,99400,0.99
2013-12-31,0.98,0.99,0.93,0.97,112800,0.97
2013-12-30,0.98,1.01,0.95,0.99,179700,0.99
2013-12-27,0.99,1.02,0.97,1.00,61500,1.00
2013-12-26,0.98,1.03,0.98,1.00,103700,1.00
2013-12-24,1.00,1.00,0.96,0.96,117700,0.96
2013-12-23,1.04,1.04,0.96,0.99,169200,0.99
2013-12-20,1.00,1.03,0.95,1.03,191600,1.03
2013-12-19,1.02,1.06,0.95,0.97,140700,0.97
2013-12-18,1.09,1.10,1.04,1.05,45500,1.05
2013-12-17,1.06,1.10,1.06,1.08,13000,1.08
2013-12-16,1.10,1.13,1.08,1.09,62200,1.09
2013-12-13,1.10,1.10,1.08,1.10,44200,1.10
2013-12-12,1.13,1.14,1.10,1.13,170400,1.13
2013-12-11,1.17,1.17,1.11,1.15,56600,1.15
2013-12-10,1.15,1.15,1.14,1.15,124500,1.15
2013-12-09,1.18,1.18,1.16,1.16,111700,1.16
2013-12-06,1.15,1.17,1.13,1.17,52900,1.17
2013-12-05,1.13,1.15,1.12,1.15,150000,1.15
2013-12-04,1.08,1.12,1.07,1.12,61600,1.12
2013-12-03,1.15,1.15,1.04,1.10,276600,1.10
2013-12-02,1.18,1.20,1.09,1.15,367400,1.15
2013-11-29,1.15,1.19,0.99,1.18,92800,1.18
2013-11-27,1.04,1.22,1.04,1.16,822700,1.16
2013-11-26,1.10,1.11,1.03,1.10,388900,1.10
2013-11-25,0.95,1.12,0.91,1.12,542800,1.12
2013-11-22,0.90,0.95,0.85,0.94,3371000,0.94
2013-11-21,0.86,0.90,0.85,0.88,81900,0.88
2013-11-20,0.90,0.90,0.85,0.89,6500,0.89
2013-11-19,0.90,0.95,0.85,0.89,70500,0.89
2013-11-18,0.95,0.95,0.88,0.90,67300,0.90
2013-11-15,0.92,0.92,0.89,0.90,58700,0.90
2013-11-14,0.97,0.97,0.88,0.90,223900,0.90
2013-11-13,0.94,0.96,0.91,0.95,330500,0.95
2013-11-12,0.97,0.97,0.90,0.91,78200,0.91
2013-11-11,0.93,0.93,0.87,0.92,55700,0.92
2013-11-08,0.89,0.90,0.87,0.89,66200,0.89
2013-11-07,0.93,0.93,0.87,0.91,207500,0.91
2013-11-06,0.91,0.97,0.89,0.90,259300,0.90
2013-11-05,0.90,0.94,0.86,0.90,147800,0.90
2013-11-04,0.98,0.99,0.85,0.90,211300,0.90
2013-11-01,1.04,1.10,0.94,0.98,422800,0.98
2013-10-31,0.91,0.91,0.85,0.90,21400,0.90
2013-10-30,0.92,0.92,0.87,0.90,4400,0.90
2013-10-29,0.87,0.90,0.87,0.90,2800,0.90
2013-10-28,0.87,0.98,0.85,0.85,3600,0.85
2013-10-25,0.91,0.94,0.89,0.90,18200,0.90
2013-10-24,0.86,0.95,0.84,0.94,68200,0.94
2013-10-23,0.85,0.86,0.85,0.85,2500,0.85
2013-10-22,0.85,0.85,0.80,0.85,50400,0.85
2013-10-21,0.85,0.85,0.79,0.81,64400,0.81
2013-10-18,0.92,0.92,0.82,0.85,66300,0.85
2013-10-17,0.88,0.93,0.88,0.88,14900,0.88
2013-10-16,0.89,0.93,0.89,0.91,13700,0.91
2013-10-15,0.90,0.92,0.89,0.91,42000,0.91
2013-10-14,0.94,0.94,0.88,0.90,19800,0.90
2013-10-11,0.89,0.93,0.88,0.91,47700,0.91
2013-10-10,0.95,0.95,0.89,0.90,17000,0.90
2013-10-09,0.92,0.97,0.90,0.90,11900,0.90
2013-10-08,0.94,0.96,0.89,0.95,29600,0.95
2013-10-07,0.97,0.97,0.89,0.95,19100,0.95
2013-10-04,0.90,0.97,0.89,0.92,22000,0.92
2013-10-03,0.98,0.98,0.89,0.93,30100,0.93
2013-10-02,1.00,1.00,0.90,0.95,23000,0.95
2013-10-01,1.00,1.00,0.94,0.96,16800,0.96
2013-09-30,1.01,1.09,0.95,0.99,118600,0.99
2013-09-27,1.00,1.01,0.96,1.00,4700,1.00
2013-09-26,0.95,1.00,0.94,0.98,42700,0.98
2013-09-25,1.01,1.01,0.94,1.00,13600,1.00
2013-09-24,0.97,1.01,0.92,1.00,33500,1.00
2013-09-23,0.98,1.03,0.96,0.99,48000,0.99
2013-09-20,1.03,1.06,0.98,0.98,950500,0.98
2013-09-19,1.09,1.09,1.01,1.04,39700,1.04
2013-09-18,1.09,1.09,1.00,1.03,11600,1.03
2013-09-17,1.06,1.09,1.02,1.08,80700,1.08
2013-09-16,1.09,1.09,1.08,1.09,12600,1.09
2013-09-13,1.09,1.09,1.03,1.04,46600,1.04
2013-09-12,1.10,1.12,1.05,1.08,25700,1.08
2013-09-11,1.14,1.19,1.08,1.10,68100,1.10
2013-09-10,1.11,1.15,1.06,1.08,9100,1.08
2013-09-09,1.08,1.10,1.07,1.10,31100,1.10
2013-09-06,1.10,1.11,1.05,1.10,16700,1.10
2013-09-05,1.11,1.20,1.08,1.09,82600,1.09
2013-09-04,1.14,1.20,1.10,1.19,26300,1.19
2013-09-03,1.20,1.25,1.15,1.16,29400,1.16
2013-08-30,1.18,1.28,1.17,1.23,57700,1.23
2013-08-29,1.25,1.25,1.15,1.20,22000,1.20
2013-08-28,1.25,1.25,1.12,1.24,68200,1.24
2013-08-27,1.19,1.26,1.19,1.21,32900,1.21
2013-08-26,1.17,1.21,1.12,1.20,72000,1.20
2013-08-23,1.14,1.16,1.05,1.16,26400,1.16
2013-08-22,1.12,1.18,1.10,1.16,47000,1.16
2013-08-21,1.10,1.15,1.10,1.15,67900,1.15
