Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,23.18,23.18,22.36,22.82,30500,22.82
2014-02-21,24.00,24.00,22.60,22.74,54500,22.74
2014-02-20,23.82,24.00,23.46,23.99,47900,23.99
2014-02-19,23.93,24.00,23.60,23.71,131800,23.71
2014-02-18,24.00,24.00,23.36,23.99,69000,23.99
2014-02-14,24.43,24.45,23.30,23.39,46600,23.39
2014-02-13,23.99,24.00,23.38,23.99,28600,23.99
2014-02-12,24.00,24.72,23.28,23.68,13300,23.68
2014-02-11,22.30,25.05,22.30,23.99,63200,23.99
2014-02-10,22.64,23.34,22.02,23.08,48500,23.08
2014-02-07,22.30,23.00,21.94,22.46,63400,22.46
2014-02-06,21.57,22.41,20.89,22.13,91000,22.13
2014-02-05,21.66,22.99,20.79,21.68,151700,21.68
2014-02-04,20.38,22.71,20.38,21.86,62400,21.86
2014-02-03,21.04,21.19,20.50,20.62,36700,20.62
2014-01-31,20.17,21.70,19.55,21.18,72300,21.18
2014-01-30,21.33,21.33,19.53,20.58,20000,20.58
2014-01-29,20.88,21.10,19.97,20.20,29500,20.20
2014-01-28,20.81,21.53,19.44,21.16,63000,21.16
2014-01-27,20.31,22.17,20.01,20.84,46100,20.84
2014-01-24,21.31,21.98,20.25,21.06,37700,21.06
2014-01-23,21.80,22.89,21.26,21.53,52300,21.53
2014-01-22,20.95,21.94,20.57,21.78,39800,21.78
2014-01-21,19.85,21.02,19.30,21.00,17100,21.00
2014-01-17,20.02,20.39,19.11,19.58,50500,19.58
2014-01-16,19.17,20.43,18.93,20.05,101300,20.05
2014-01-15,18.82,21.00,18.51,19.34,71400,19.34
2014-01-14,18.70,19.36,18.30,19.33,50800,19.33
2014-01-13,18.89,19.76,18.50,18.52,55500,18.52
2014-01-10,18.79,22.00,18.50,18.89,51300,18.89
2014-01-09,18.21,19.42,18.21,18.73,20000,18.73
2014-01-08,18.12,18.20,17.25,18.20,17500,18.20
2014-01-07,19.01,19.91,17.59,18.20,40900,18.20
2014-01-06,19.40,19.82,18.95,18.96,10200,18.96
2014-01-03,18.93,19.89,18.45,19.50,41400,19.50
2014-01-02,19.39,19.49,18.45,18.92,21100,18.92
2013-12-31,19.11,19.49,19.06,19.38,15300,19.38
2013-12-30,18.41,19.24,18.01,18.99,20200,18.99
2013-12-27,19.11,19.25,18.19,18.36,32000,18.36
2013-12-26,19.55,19.55,18.57,19.02,25000,19.02
2013-12-24,19.41,19.46,18.40,19.24,7100,19.24
2013-12-23,19.76,19.76,19.06,19.38,16700,19.38
2013-12-20,18.11,19.63,18.00,19.63,877300,19.63
2013-12-19,20.05,20.05,18.50,18.59,45000,18.59
2013-12-18,19.00,20.06,18.00,19.90,84100,19.90
2013-12-17,17.60,18.89,17.24,18.34,152000,18.34
2013-12-16,17.98,18.10,16.86,17.44,82100,17.44
2013-12-13,18.10,18.79,17.08,17.70,81500,17.70
2013-12-12,18.84,18.95,17.25,17.94,37600,17.94
2013-12-11,18.07,19.03,17.99,18.89,26800,18.89
2013-12-10,18.20,18.20,17.06,18.20,15600,18.20
2013-12-09,18.38,18.38,17.65,18.10,21800,18.10
2013-12-06,17.99,18.17,17.25,17.65,36600,17.65
2013-12-05,19.50,19.50,15.60,18.03,44500,18.03
2013-12-04,15.40,16.00,15.40,15.45,65000,15.45
2013-12-03,15.64,15.70,15.31,15.36,15600,15.36
2013-12-02,15.75,15.75,15.20,15.75,10700,15.75
2013-11-29,15.98,15.98,15.37,15.87,2500,15.87
2013-11-27,15.51,15.89,14.51,15.46,52300,15.46
2013-11-26,15.25,16.72,15.25,15.89,17400,15.89
2013-11-25,15.09,15.95,14.51,15.88,126400,15.88
2013-11-22,14.00,15.88,13.58,15.40,2365100,15.40
