Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,23.56,23.56,23.30,23.44,19400,23.44
2014-02-21,23.56,23.56,23.41,23.41,4900,23.41
2014-02-20,23.57,23.57,23.57,23.57,300,23.57
2014-02-19,23.49,23.58,23.46,23.58,20600,23.58
2014-02-18,23.52,23.52,23.18,23.18,3500,23.18
2014-02-14,23.49,23.49,23.17,23.44,4000,23.44
2014-02-13,23.55,23.55,23.20,23.25,2400,23.25
2014-02-12,23.22,23.68,23.22,23.66,6900,23.66
2014-02-11,23.15,23.30,23.11,23.30,24000,23.14
2014-02-10,23.45,23.45,23.15,23.15,20700,23.00
2014-02-07,23.16,23.45,23.16,23.20,10700,23.04
2014-02-06,23.15,23.45,23.15,23.45,6000,23.29
2014-02-05,23.30,23.30,23.17,23.25,3800,23.09
2014-02-04,23.49,23.49,23.30,23.30,2500,23.14
2014-02-03,23.40,23.45,23.40,23.45,300,23.29
2014-01-31,23.34,23.49,23.30,23.31,14600,23.15
2014-01-30,23.06,23.34,23.06,23.33,9500,23.17
2014-01-29,23.10,23.29,23.10,23.26,800,23.10
2014-01-28,23.24,23.28,23.11,23.28,10200,23.12
2014-01-27,23.24,23.24,22.98,23.23,4800,23.07
2014-01-24,23.05,23.24,23.05,23.23,3600,23.07
2014-01-23,23.16,23.20,23.02,23.18,13600,23.02
2014-01-22,23.20,23.26,23.06,23.26,6800,23.10
2014-01-21,23.25,23.25,23.07,23.08,10800,22.93
2014-01-17,23.08,23.25,23.03,23.24,13800,23.08
2014-01-16,23.17,23.17,22.98,23.12,12700,22.97
2014-01-15,22.99,23.10,22.98,23.10,12800,22.95
2014-01-14,23.25,23.26,23.20,23.23,10700,22.92
2014-01-13,23.25,23.25,23.10,23.15,9600,22.84
2014-01-10,23.19,23.22,23.13,23.22,6400,22.91
2014-01-09,22.94,23.20,22.90,23.20,3400,22.89
2014-01-08,23.15,23.21,22.88,23.15,4500,22.84
2014-01-07,22.75,23.23,22.75,23.07,9700,22.76
2014-01-06,23.00,23.00,22.85,22.98,11300,22.67
2014-01-03,22.82,23.20,22.75,23.20,12500,22.89
2014-01-02,22.88,22.98,22.80,22.80,9200,22.50
2013-12-31,22.89,22.90,22.85,22.90,4500,22.59
2013-12-30,22.84,22.89,22.74,22.79,9200,22.49
2013-12-27,22.70,22.84,22.70,22.84,5900,22.53
2013-12-26,22.70,22.74,22.69,22.70,3100,22.40
2013-12-24,22.69,22.69,22.69,22.69,500,22.39
2013-12-23,22.67,22.67,22.51,22.67,12000,22.37
2013-12-20,22.55,22.67,22.50,22.67,6700,22.37
2013-12-19,22.49,22.55,22.49,22.55,7700,22.25
2013-12-18,22.22,22.55,22.21,22.55,16500,22.25
2013-12-17,22.59,22.59,22.50,22.50,7300,22.05
2013-12-16,22.51,22.59,22.50,22.59,12800,22.13
2013-12-13,22.51,22.55,22.50,22.50,28000,22.05
2013-12-12,22.55,22.57,22.27,22.51,13300,22.06
2013-12-11,22.23,22.50,22.23,22.50,20400,22.05
2013-12-10,22.20,22.35,22.20,22.34,10000,21.89
2013-12-09,22.15,22.25,22.15,22.15,6700,21.70
2013-12-06,22.15,22.25,21.71,22.15,23300,21.70
2013-12-05,22.30,22.30,22.18,22.24,9900,21.79
2013-12-04,22.45,22.45,22.26,22.26,900,21.81
2013-12-03,22.26,22.42,22.18,22.40,19500,21.95
2013-12-02,22.42,22.45,22.21,22.33,19600,21.88
2013-11-29,22.45,22.45,22.36,22.36,3100,21.91
2013-11-27,22.39,22.49,22.39,22.45,21600,22.00
2013-11-26,22.35,22.40,22.35,22.38,12700,21.93
2013-11-25,22.17,22.30,22.17,22.30,32200,21.85
2013-11-22,22.20,22.24,22.11,22.16,13600,21.71
2013-11-21,22.10,22.15,21.99,22.10,24800,21.65
2013-11-20,22.15,22.15,21.93,22.10,21600,21.65
2013-11-19,22.12,22.20,22.00,22.10,50100,21.65
2013-11-18,22.25,22.25,22.08,22.11,30500,21.66
2013-11-15,22.25,22.25,22.17,22.25,53200,21.80
2013-11-14,22.39,22.39,22.18,22.25,44300,21.80
2013-11-13,22.50,22.55,22.25,22.45,489600,21.84
2013-11-12,23.35,23.35,22.38,22.51,154600,21.90
2013-11-11,23.66,23.66,23.66,23.66,200,23.02
2013-11-08,23.66,23.66,23.50,23.66,1400,23.02
2013-11-07,23.45,23.45,23.45,23.45,300,22.82
2013-11-06,23.50,23.50,23.50,23.50,000,22.87
2013-11-05,23.54,23.54,23.50,23.50,900,22.87
2013-11-04,23.40,23.40,23.40,23.40,300,22.77
2013-11-01,23.54,23.54,23.54,23.54,500,22.90
2013-10-31,23.54,23.54,23.54,23.54,500,22.90
2013-10-30,23.48,23.48,23.23,23.23,600,22.60
2013-10-29,23.13,23.48,23.13,23.48,1200,22.85
2013-10-28,23.30,23.58,23.00,23.12,4700,22.50
2013-10-25,23.45,23.53,23.45,23.50,2900,22.87
2013-10-24,23.50,23.50,23.49,23.50,12600,22.87
2013-10-23,23.29,23.29,23.29,23.29,000,22.66
2013-10-22,23.25,23.29,23.25,23.29,800,22.66
2013-10-21,23.39,23.39,23.39,23.39,000,22.76
2013-10-18,23.14,23.39,23.14,23.39,2000,22.76
2013-10-17,23.14,23.14,23.14,23.14,300,22.51
2013-10-16,23.50,23.50,23.10,23.10,2900,22.48
