Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,26.22,26.22,26.06,26.06,1100,26.06
2014-02-21,26.45,26.45,26.45,26.45,000,26.45
2014-02-20,26.45,26.45,26.45,26.45,700,26.45
2014-02-19,25.95,26.36,25.95,26.36,600,26.36
2014-02-18,25.90,26.43,25.84,26.02,1000,26.02
2014-02-14,26.47,26.47,26.47,26.47,000,26.47
2014-02-13,26.47,26.47,26.47,26.47,000,26.47
2014-02-12,26.44,26.47,26.44,26.47,1200,26.47
2014-02-11,26.47,26.47,26.47,26.47,200,26.29
2014-02-10,26.48,26.48,26.48,26.48,000,26.30
2014-02-07,26.48,26.48,26.48,26.48,000,26.30
2014-02-06,26.48,26.48,26.48,26.48,000,26.30
2014-02-05,26.49,26.49,26.48,26.48,200,26.30
2014-02-04,26.45,26.45,26.00,26.00,4900,25.83
2014-02-03,26.55,26.55,26.55,26.55,000,26.37
2014-01-31,26.55,26.55,26.55,26.55,100,26.37
2014-01-30,26.14,26.14,26.14,26.14,000,25.97
2014-01-29,26.14,26.14,26.14,26.14,000,25.97
2014-01-28,26.14,26.14,26.14,26.14,000,25.97
2014-01-27,26.14,26.14,26.14,26.14,300,25.97
2014-01-24,26.15,26.15,26.15,26.15,200,25.98
2014-01-23,26.13,26.13,26.13,26.13,000,25.96
2014-01-22,26.55,26.55,26.13,26.13,400,25.96
2014-01-21,26.99,26.99,26.99,26.99,000,26.81
2014-01-17,26.99,26.99,26.99,26.99,000,26.81
2014-01-16,26.20,26.99,26.20,26.99,2000,26.81
2014-01-15,26.12,26.12,26.12,26.12,300,25.95
2014-01-14,26.18,26.18,26.18,26.18,1300,25.83
2014-01-13,26.23,26.23,26.23,26.23,000,25.88
2014-01-10,26.20,26.23,26.20,26.23,600,25.88
2014-01-09,26.15,26.15,26.15,26.15,4100,25.80
2014-01-08,26.16,26.16,26.16,26.16,600,25.81
2014-01-07,26.15,26.16,26.15,26.15,9200,25.80
2014-01-06,26.15,26.22,26.14,26.14,1800,25.79
2014-01-03,26.12,26.14,26.12,26.14,700,25.79
2014-01-02,26.25,26.25,26.25,26.25,700,25.90
2013-12-31,26.25,26.25,26.25,26.25,1300,25.90
2013-12-30,26.19,26.20,26.19,26.20,1100,25.85
2013-12-27,26.20,26.20,26.20,26.20,1000,25.85
2013-12-26,26.28,26.28,26.28,26.28,000,25.93
2013-12-24,26.28,26.28,26.28,26.28,000,25.93
2013-12-23,26.28,26.28,26.10,26.28,2600,25.93
2013-12-20,26.27,26.27,26.27,26.27,200,25.92
2013-12-19,26.25,26.30,26.25,26.25,900,25.90
2013-12-18,26.32,26.32,26.32,26.32,000,25.97
2013-12-17,26.32,26.32,26.32,26.32,200,25.79
2013-12-16,26.15,26.15,26.15,26.15,000,25.63
2013-12-13,26.15,26.16,26.15,26.15,1100,25.63
2013-12-12,26.15,26.15,26.15,26.15,000,25.63
2013-12-11,26.10,26.16,26.10,26.15,10600,25.63
2013-12-10,26.26,26.26,26.26,26.26,000,25.73
2013-12-09,26.26,26.26,26.26,26.26,100,25.73
2013-12-06,26.18,26.25,26.10,26.15,3500,25.63
2013-12-05,26.32,26.32,26.32,26.32,000,25.79
2013-12-04,26.30,26.33,26.30,26.32,1300,25.79
2013-12-03,26.22,26.22,26.22,26.22,000,25.69
2013-12-02,26.22,26.22,26.22,26.22,400,25.69
2013-11-29,26.30,26.30,26.30,26.30,500,25.77
2013-11-27,26.30,26.30,26.22,26.30,400,25.77
2013-11-26,26.22,26.30,26.22,26.30,1400,25.77
2013-11-25,26.17,26.17,26.17,26.17,100,25.65
2013-11-22,26.29,26.29,26.29,26.29,000,25.76
2013-11-21,26.29,26.29,26.29,26.29,000,25.76
2013-11-20,26.29,26.29,26.29,26.29,300,25.76
2013-11-19,26.08,26.08,26.08,26.08,9600,25.56
2013-11-18,26.08,26.08,26.08,26.08,1000,25.56
2013-11-15,26.03,26.13,26.03,26.13,400,25.61
2013-11-14,26.44,26.44,26.44,26.44,000,25.91
2013-11-13,26.50,26.50,26.44,26.44,300,25.74
2013-11-12,26.08,26.50,26.08,26.50,5800,25.80
2013-11-11,26.08,26.08,26.08,26.08,000,25.39
2013-11-08,26.08,26.08,26.08,26.08,000,25.39
2013-11-07,26.09,26.09,26.08,26.08,300,25.39
2013-11-06,26.08,26.08,26.08,26.08,000,25.39
2013-11-05,26.09,26.09,26.08,26.08,900,25.39
2013-11-04,26.10,26.10,26.10,26.10,1200,25.41
2013-11-01,26.05,26.15,26.05,26.15,1400,25.45
2013-10-31,26.15,26.20,26.15,26.20,900,25.50
2013-10-30,26.05,26.30,26.05,26.30,1500,25.60
2013-10-29,26.02,26.05,26.02,26.05,800,25.36
2013-10-28,26.15,26.15,26.15,26.15,000,25.45
2013-10-25,26.10,26.15,26.10,26.15,2200,25.45
2013-10-24,26.20,26.20,26.20,26.20,000,25.50
2013-10-23,26.20,26.20,26.20,26.20,300,25.50
2013-10-22,26.29,26.29,26.29,26.29,000,25.59
2013-10-21,26.20,26.29,26.02,26.29,700,25.59
2013-10-18,26.22,26.29,26.22,26.29,1400,25.59
2013-10-17,26.22,26.22,26.22,26.22,000,25.52
2013-10-16,26.10,26.22,26.00,26.22,1100,25.52
2013-10-15,26.22,26.22,26.10,26.10,1700,25.23
2013-10-14,26.25,26.25,26.25,26.25,1200,25.38
2013-10-11,25.90,26.19,25.90,26.19,2900,25.32
2013-10-10,26.00,26.00,26.00,26.00,000,25.14
2013-10-09,26.00,26.00,26.00,26.00,000,25.14
2013-10-08,26.00,26.00,26.00,26.00,000,25.14
2013-10-07,26.00,26.00,26.00,26.00,000,25.14
2013-10-04,26.00,26.00,26.00,26.00,000,25.14
2013-10-03,26.00,26.00,26.00,26.00,400,25.14
2013-10-02,26.05,26.05,26.05,26.05,000,25.19
2013-10-01,26.05,26.05,26.05,26.05,400,25.19
2013-09-30,26.00,26.25,26.00,26.25,1100,25.38
2013-09-27,26.00,26.00,26.00,26.00,100,25.14
2013-09-26,26.00,26.00,25.99,26.00,6500,25.14
2013-09-25,26.00,26.00,26.00,26.00,000,25.14
2013-09-24,25.79,26.00,25.76,26.00,900,25.14
2013-09-23,25.85,25.85,25.85,25.85,600,24.99
2013-09-20,26.25,26.25,26.25,26.25,600,25.38
2013-09-19,26.00,26.04,26.00,26.04,600,25.18
2013-09-18,26.01,26.04,26.01,26.04,600,25.18
2013-09-17,26.00,26.00,26.00,26.00,000,25.14
2013-09-16,25.78,26.05,25.78,26.00,2100,24.97
2013-09-13,26.05,26.05,26.05,26.05,1000,25.01
2013-09-12,26.05,26.05,26.05,26.05,500,25.01
2013-09-11,26.00,26.00,26.00,26.00,1000,24.97
2013-09-10,25.87,26.00,25.87,26.00,1200,24.97
2013-09-09,26.00,26.00,26.00,26.00,000,24.97
2013-09-06,26.00,26.00,26.00,26.00,1400,24.97
2013-09-05,26.00,26.00,26.00,26.00,000,24.97
2013-09-04,26.00,26.00,26.00,26.00,000,24.97
2013-09-03,26.30,26.30,26.00,26.00,1800,24.97
2013-08-30,26.00,26.00,26.00,26.00,3000,24.97
2013-08-29,26.00,26.10,26.00,26.08,800,25.04
2013-08-28,26.00,26.00,26.00,26.00,2100,24.97
2013-08-27,26.02,26.02,26.02,26.02,400,24.98
2013-08-26,26.36,26.36,26.36,26.36,000,25.31
2013-08-23,26.38,26.38,26.36,26.36,300,25.31
2013-08-22,26.20,26.20,26.20,26.20,000,25.16
2013-08-21,26.00,26.24,26.00,26.20,1400,25.16
2013-08-20,26.00,26.00,26.00,26.00,000,24.97
2013-08-19,26.00,26.00,26.00,26.00,2000,24.97
2013-08-16,26.00,26.01,26.00,26.00,8400,24.97
2013-08-15,25.94,26.05,25.94,26.00,4800,24.80
2013-08-14,25.95,25.95,25.95,25.95,100,24.75
2013-08-13,26.17,26.17,26.17,26.17,000,24.96
2013-08-12,26.15,26.17,26.06,26.17,3600,24.96
2013-08-09,26.10,26.10,26.10,26.10,000,24.89
2013-08-08,26.10,26.10,26.10,26.10,000,24.89
2013-08-07,26.14,26.22,26.10,26.10,3000,24.89
2013-08-06,25.96,25.96,25.96,25.96,100,24.76
2013-08-05,25.96,25.96,25.96,25.96,100,24.76
2013-08-02,25.95,25.95,25.95,25.95,000,24.75
2013-08-01,25.95,26.00,25.95,25.95,1200,24.75
2013-07-31,26.18,26.18,26.18,26.18,000,24.97
2013-07-30,25.94,26.18,25.94,26.18,1300,24.97
2013-07-29,26.10,26.20,26.10,26.20,1000,24.99
2013-07-26,26.10,26.20,26.10,26.10,2800,24.89
2013-07-25,25.94,25.94,25.94,25.94,200,24.74
2013-07-24,26.19,26.19,26.19,26.19,000,24.97
2013-07-23,25.95,26.19,25.95,26.19,3300,24.97
2013-07-22,26.19,26.19,26.19,26.19,500,24.98
2013-07-19,25.90,25.90,25.90,25.90,000,24.70
2013-07-18,25.92,25.92,25.90,25.90,1800,24.70
2013-07-17,26.05,26.06,26.05,26.06,600,24.85
2013-07-16,26.20,26.28,26.06,26.06,3800,24.68
2013-07-15,26.20,26.20,26.20,26.20,500,24.82
2013-07-12,26.10,26.10,26.10,26.10,000,24.72
2013-07-11,26.12,26.32,26.05,26.10,7800,24.72
2013-07-10,26.12,26.12,26.12,26.12,700,24.74
2013-07-09,26.07,26.07,26.07,26.07,000,24.69
2013-07-08,26.07,26.07,26.07,26.07,000,24.69
2013-07-05,26.04,26.08,26.02,26.07,2100,24.69
2013-07-03,26.02,26.02,26.02,26.02,000,24.65
2013-07-02,26.02,26.02,26.02,26.02,1000,24.65
2013-07-01,26.01,26.01,26.01,26.01,200,24.64
2013-06-28,26.00,26.00,25.90,26.00,2400,24.63
2013-06-27,26.00,26.00,25.99,25.99,2100,24.62
2013-06-26,26.00,26.00,26.00,26.00,000,24.63
2013-06-25,26.00,26.00,26.00,26.00,200,24.63
2013-06-24,25.75,26.33,25.75,26.00,1300,24.63
2013-06-21,26.23,26.23,25.85,25.85,700,24.49
2013-06-20,25.75,26.00,25.75,25.85,4000,24.49
2013-06-19,25.91,26.00,25.91,26.00,2800,24.63
2013-06-18,26.10,26.19,25.91,25.91,2500,24.54
2013-06-17,25.95,26.00,25.95,26.00,2400,24.63
2013-06-14,25.95,25.95,25.72,25.95,7700,24.58
2013-06-13,25.99,25.99,25.99,25.99,2400,24.45
2013-06-12,26.17,26.17,26.00,26.04,8100,24.49
2013-06-11,26.15,26.15,26.15,26.15,200,24.60
2013-06-10,26.15,26.15,26.15,26.15,1100,24.60
2013-06-07,26.18,26.18,26.15,26.18,600,24.63
2013-06-06,26.22,26.22,26.00,26.00,500,24.46
2013-06-05,26.16,26.16,26.13,26.13,800,24.58
2013-06-04,26.03,26.39,26.03,26.39,2200,24.83
2013-06-03,26.21,26.21,26.03,26.03,7400,24.49
2013-05-31,26.34,26.35,26.20,26.20,3700,24.65
2013-05-30,26.12,26.35,26.12,26.35,5300,24.79
2013-05-29,26.15,26.20,26.03,26.11,5100,24.56
2013-05-28,26.35,26.35,26.14,26.14,3900,24.59
2013-05-24,26.14,26.14,26.14,26.14,1000,24.59
2013-05-23,26.30,26.30,26.30,26.30,1000,24.74
2013-05-22,26.55,26.55,26.30,26.30,2900,24.74
2013-05-21,26.55,26.55,26.50,26.52,5500,24.95
2013-05-20,26.22,26.50,25.90,26.48,12200,24.91
2013-05-17,26.45,26.62,26.45,26.62,1600,25.04
2013-05-16,26.65,26.66,26.45,26.45,5400,24.72
2013-05-15,26.72,26.72,26.61,26.65,6100,24.90
2013-05-14,26.67,26.67,26.58,26.61,1600,24.87
2013-05-13,26.75,26.75,26.75,26.75,500,25.00
2013-05-10,26.51,26.51,26.51,26.51,500,24.77
2013-05-09,26.34,26.34,26.34,26.34,000,24.61
2013-05-08,26.36,26.36,26.34,26.34,600,24.61
2013-05-07,26.35,26.35,26.34,26.34,400,24.61
2013-05-06,26.50,26.50,26.50,26.50,100,24.76
2013-05-03,26.85,26.85,26.29,26.50,7000,24.76
2013-05-02,26.75,26.79,26.55,26.62,1100,24.88
2013-05-01,26.84,26.84,26.40,26.50,2300,24.76
2013-04-30,26.16,26.16,26.16,26.16,1000,24.45
2013-04-29,26.35,26.35,26.35,26.35,700,24.62
2013-04-26,26.40,26.40,26.40,26.40,000,24.67
2013-04-25,26.39,26.40,26.39,26.40,1500,24.67
2013-04-24,26.40,26.40,26.40,26.40,300,24.67
2013-04-23,26.40,26.40,26.40,26.40,600,24.67
2013-04-22,26.04,26.24,26.03,26.24,1700,24.52
2013-04-19,26.00,26.00,26.00,26.00,000,24.30
2013-04-18,26.00,26.00,26.00,26.00,000,24.30
2013-04-17,26.01,26.01,26.00,26.00,2200,24.30
2013-04-16,26.15,26.15,26.15,26.15,000,24.27
2013-04-15,26.15,26.15,26.15,26.15,200,24.27
2013-04-12,26.55,26.55,26.55,26.55,300,24.64
2013-04-11,26.50,26.50,26.50,26.50,000,24.60
2013-04-10,26.55,26.55,26.50,26.50,400,24.60
2013-04-09,26.59,26.59,26.59,26.59,500,24.68
2013-04-08,26.59,26.59,26.59,26.59,2000,24.68
2013-04-05,26.60,26.60,26.60,26.60,000,24.69
2013-04-04,26.60,26.60,26.60,26.60,000,24.69
2013-04-03,26.60,26.60,26.60,26.60,000,24.69
2013-04-02,26.60,26.60,26.60,26.60,000,24.69
2013-04-01,26.60,26.60,26.60,26.60,500,24.69
2013-03-28,26.00,26.00,26.00,26.00,200,24.13
2013-03-27,26.45,26.45,26.45,26.45,500,24.55
2013-03-26,26.19,26.45,26.19,26.44,3800,24.54
2013-03-25,26.00,26.00,26.00,26.00,000,24.13
2013-03-22,26.00,26.00,26.00,26.00,000,24.13
2013-03-21,26.00,26.00,26.00,26.00,1700,24.13
2013-03-20,26.00,26.00,25.80,25.80,6000,23.95
2013-03-19,26.10,26.10,26.00,26.02,3300,24.15
2013-03-18,26.30,26.30,26.28,26.30,1500,24.41
2013-03-15,26.00,26.00,26.00,26.00,1000,24.13
2013-03-14,26.10,26.10,25.80,25.90,6000,23.87
2013-03-13,26.30,26.55,26.01,26.22,7300,24.17
2013-03-12,26.00,26.00,26.00,26.00,1300,23.97
2013-03-11,26.00,26.00,26.00,26.00,000,23.97
2013-03-08,26.15,26.15,26.00,26.00,2300,23.97
2013-03-07,26.10,26.10,26.00,26.00,9200,23.97
2013-03-06,26.25,26.25,26.00,26.00,1000,23.97
2013-03-05,26.01,26.01,26.01,26.01,000,23.98
2013-03-04,26.40,26.40,26.00,26.01,800,23.98
2013-03-01,26.00,26.30,26.00,26.30,1200,24.24
2013-02-28,26.00,26.05,26.00,26.05,400,24.01
2013-02-27,26.25,26.25,26.25,26.25,000,24.20
2013-02-26,26.25,26.25,26.25,26.25,000,24.20
2013-02-25,26.25,26.25,26.25,26.25,000,24.20
2013-02-22,26.25,26.25,26.25,26.25,000,24.20
2013-02-21,26.25,26.25,26.25,26.25,200,24.20
2013-02-20,26.25,26.25,26.25,26.25,400,24.20
2013-02-19,26.30,26.30,26.30,26.30,700,24.24
2013-02-15,26.20,26.20,26.05,26.05,3700,24.01
2013-02-14,25.95,26.00,25.95,26.00,800,23.97
2013-02-13,25.96,26.00,25.96,25.96,1700,23.93
2013-02-12,25.80,26.15,25.80,26.10,3300,23.90
2013-02-11,25.75,26.10,25.75,26.10,1700,23.90
2013-02-08,25.76,26.00,25.76,26.00,200,23.80
2013-02-07,25.85,25.85,25.85,25.85,2200,23.67
2013-02-06,26.00,26.01,25.85,26.00,4200,23.80
2013-02-05,25.94,25.94,25.94,25.94,000,23.75
2013-02-04,25.94,25.94,25.94,25.94,000,23.75
2013-02-01,25.88,25.94,25.88,25.94,600,23.75
2013-01-31,25.88,26.00,25.88,26.00,5600,23.80
2013-01-30,26.30,26.30,26.22,26.22,400,24.01
2013-01-29,26.00,26.00,26.00,26.00,500,23.80
2013-01-28,26.05,26.05,25.85,26.05,1500,23.85
2013-01-25,26.39,26.39,26.39,26.39,800,24.16
2013-01-24,26.00,26.25,25.85,25.91,5900,23.72
2013-01-23,25.90,26.00,25.85,26.00,9500,23.80
2013-01-22,25.91,25.98,25.89,25.95,6700,23.76
2013-01-18,25.94,25.98,25.94,25.98,700,23.78
2013-01-17,25.80,25.80,25.71,25.71,1000,23.54
2013-01-16,25.80,25.88,25.47,25.85,17200,23.67
2013-01-15,25.80,25.80,25.80,25.80,200,23.46
2013-01-14,25.76,25.80,25.76,25.80,1100,23.46
2013-01-11,25.75,25.80,25.75,25.80,800,23.46
2013-01-10,25.73,25.73,25.71,25.73,10800,23.40
2013-01-09,25.75,25.75,25.73,25.73,5700,23.40
2013-01-08,25.75,25.75,25.62,25.71,11100,23.38
2013-01-07,25.65,25.75,25.65,25.75,2700,23.41
2013-01-04,25.65,25.65,25.62,25.62,700,23.30
2013-01-03,25.59,25.60,25.59,25.60,800,23.28
2013-01-02,25.50,25.60,25.50,25.60,300,23.28
2012-12-31,25.86,25.86,25.21,25.81,2700,23.47
2012-12-28,25.69,25.89,25.69,25.89,1600,23.54
2012-12-27,25.48,25.48,25.47,25.47,500,23.16
2012-12-26,25.79,25.79,25.32,25.47,3100,23.16
2012-12-24,25.50,25.50,25.50,25.50,000,23.19
2012-12-21,25.50,25.50,25.50,25.50,1000,23.19
2012-12-20,25.81,25.81,25.40,25.43,7900,23.12
2012-12-19,25.92,25.92,25.34,25.34,4600,23.04
2012-12-18,25.55,25.95,25.55,25.95,12700,23.42
2012-12-17,25.30,25.69,25.30,25.58,20600,23.09
2012-12-14,25.20,25.25,25.15,25.25,7800,22.79
2012-12-13,25.43,25.44,25.43,25.44,500,22.96
2012-12-12,25.45,25.49,25.15,25.20,12000,22.74
2012-12-11,25.15,25.17,25.15,25.17,4400,22.71
2012-12-10,25.49,25.49,25.16,25.25,2600,22.79
2012-12-07,25.20,25.20,25.11,25.20,7100,22.74
2012-12-06,25.49,25.50,25.25,25.25,8200,22.79
2012-12-05,25.26,25.31,25.26,25.27,7800,22.80
2012-12-04,25.17,25.60,25.17,25.28,38700,22.81
