Date,Open,High,Low,Close,Volume,Adj Close
2014-02-24,20.08,20.85,20.00,20.53,396900,20.53
2014-02-21,19.50,20.20,19.50,20.11,661400,20.11
2014-02-20,20.40,20.51,19.18,19.36,1611900,19.36
2014-02-19,21.04,21.40,19.88,20.46,3044500,20.46
2014-02-18,23.05,23.05,22.11,22.40,1185900,22.40
2014-02-14,22.70,22.99,22.26,22.62,275900,22.62
2014-02-13,22.74,22.97,21.80,22.70,362100,22.70
2014-02-12,21.25,22.48,21.03,22.21,510800,22.21
2014-02-11,21.68,22.02,21.13,21.24,373000,21.24
2014-02-10,21.41,21.91,21.31,21.67,210500,21.67
2014-02-07,21.39,21.61,21.03,21.37,203300,21.37
2014-02-06,21.50,21.55,21.06,21.19,327600,21.19
2014-02-05,21.91,22.14,21.40,21.51,222100,21.51
2014-02-04,21.86,22.20,21.73,22.06,140000,22.06
2014-02-03,22.67,22.93,21.64,21.70,404200,21.70
2014-01-31,23.00,23.17,22.57,22.67,134000,22.67
2014-01-30,22.60,23.45,22.25,23.20,278000,23.20
2014-01-29,23.00,23.34,22.34,22.41,293900,22.41
2014-01-28,22.82,23.46,22.57,23.40,276100,23.40
2014-01-27,22.49,22.90,22.35,22.72,367200,22.72
2014-01-24,22.68,22.75,21.73,22.30,413000,22.30
2014-01-23,23.53,23.71,22.70,22.71,503800,22.71
2014-01-22,23.50,23.77,22.81,23.56,405200,23.56
2014-01-21,24.29,24.72,23.24,23.40,807200,23.40
2014-01-17,24.84,25.47,24.04,24.15,522100,24.15
2014-01-16,24.09,25.12,24.03,24.83,447200,24.83
2014-01-15,24.00,24.25,23.68,24.03,302200,24.03
2014-01-14,23.51,23.90,23.35,23.61,280200,23.61
2014-01-13,24.48,24.57,23.30,23.40,579300,23.40
2014-01-10,24.35,24.83,24.06,24.58,230000,24.58
2014-01-09,24.89,24.97,24.15,24.29,240400,24.29
2014-01-08,26.26,26.26,24.57,24.73,661200,24.73
2014-01-07,24.98,26.37,24.74,26.17,496300,26.17
2014-01-06,24.70,25.00,24.21,24.99,360500,24.99
2014-01-03,24.05,24.64,24.00,24.45,223400,24.45
2014-01-02,24.47,24.50,23.80,24.04,373800,24.04
2013-12-31,24.20,24.90,24.17,24.28,380200,24.28
